incident,case_number,date_reported,date_occurred,location,disposition
Annoying/Abusive/Thr,2018-0034,2/22/18 17:00,2/22/18 12:20,Bldg. 50,Open
Hit & Run w/Injuries,2018-0033,2/22/18 12:26,2/20/18 18:30,UNF Dr @ Crosswalk,Open
Criminal Mischief,2018-0028,2/21/18 10:31,2/17/18 18:00,Osprey Fountains Lot,Suspended
,,,,55,
Criminal Mischief,2018-0028,2/19/18 14:20,2/17/18 18:00,Osprey Fountains,Open
,,,,Parking Lot 55,
Grand Theft,2018-0026,2/17/18 22:12,2/15/18 12:00,Bldg 12,Suspended
Child Neglect,2018-0023,2/10/18 16:52,2/10/18 11:35,Garage 38,Cleared by arrest
Burglary to Vehicle,2018-0021,2/9/18 14:54,2/8/18 22:30,Osprey Flats Lot,Open
Possess Marijuana,2018-0020,2/9/18 0:45,2/9/18 0:45,Osprey Hall,Citation Issued
Grand Theft,2018-0019,2/8/18 17:01,2/8/18 13:35,Bldg 58W,Suspended
Expired Tag,A0Y5QIP,2/3/18 15:40,2/3/18 15:40,Osprey Ridge &,Citation Issued
,,,,Kernan Blvd,
Driving with suspended license,A0Y5NS9,1/22/18 12:25,,UNF Dr/Alumni Dr,Citation Issued
suspended/revoked,,,,,
License,,,,,
Petit Theft,2018-0006,1/16/18 22:25,1/16/18 18:45,Bldg 16,Suspended
Petit Theft,2018-0005,1/11/18 15:11,1/5/18 8:00,Garage 44,Suspended
Petit Theft,2018-0004,1/10/18 17:37,12/7/17 20:00,Osprey Crossings,Suspended
Battery,2017-0250,1/9/18 1:44,1/8/18 20:45,UNF Dr @ Lot 9,Cleared by arrest
Petit Theft,2017-0267,12/14/17 21:50,12/14/17 7:00,The Flats,Suspended
Grand Theft,2017-0266,12/13/17 18:33,12/13/17 10:30,Bldg 43,Suspended
Petit Theft,2017-0264,12/7/17 11:16,12/6/17 14:10,Bldg 9,Suspended
Grand Theft,2017-0261,12/5/17 15:19,12/4/17 22:20,The Flats,Suspended
Petit Theft,2017-0260,12/5/17 12:15,12/3/17 18:00,Bldg. 61,Suspended
Petit Theft,2017-0260,12/4/17 16:36,12/3/17 18:00,Bldg. 61,Open
No Driver's License On,9815-GYD,12/2/17 20:59,,1 UNF Dr/Eco Rd Citation Issued,NA
Person,,,,,NA
Driving While License,9745-GYD,12/2/17 10:05,,1 UNF Dr Citation Issued,NA
Suspended,,,,,NA
Driving While License suspended,9745-GYD,12/2/17 10:05,,1 UNF Dr Citation Issued,NA
Suspended,,,,,NA
Unlawful Speed,A0Y5NRP,12/1/17 11:25,,4600 Osprey Ridge Rd Citation Issued,NA
Driving While License,A0Y5NQP,12/1/17 9:40,,Eco Rd/N Ent Rd Citation Issued,NA
Suspended,,,,,NA
Careless Driving,A0Y55WP,11/28/17 16:55,11/28/17 16:55,Lot 2 Citation Issued,NA
Petit Theft,2017-0235,11/13/17 14:33,11/3/17 1:35,Osprey Fountains,Cleared by arrest
Information,2017-0241,11/8/17 21:20,11/8/17 16:30,Bldg 42,Open
Home Invasion,2017-0240,11/7/17 23:27,11/7/17 19:15,UNF Dorm Room,Open
w/Weapon,,,,,
Information,2017-0239,11/7/17 21:05,11/7/17 18:42,Bldg 12,Closed
Information,2017-0238,11/7/17 13:08,11/7/17 10:00,The Flats,Open
Criminal Mischief,2017-0237,11/7/17 9:19,11/6/17 7:00,Bldg 12,Suspended
Information,2017-0236,11/5/17 15:32,11/5/17 14:00,Osprey Crossings,Closed
Petit Theft,2017-0235,11/3/17 17:15,11/3/17 1:35,Osprey Fountains,Open
Possess Over 20 grams of marijuana,2017-0233,11/1/17 1:42,10/31/17 23:32,4600 Osprey Rd,Cleared by arrest
Grams of Marijuana,,,,Traffic Stop,
Ran Into Rear of,A0Y55VP,10/31/17 12:50,10/31/17 12:50,I-295NB Exit Ramp @,Citation Issued
Stopped Vehicle,,,,UNF Dr,
Ran Stop Sign,A0Y5PVP,10/30/17 11:40,10/30/17 11:40,UNF Dr @ Lot 46,Citation Issued
Improper Turn From,2017-0230,10/28/17 13:30,10/28/17 13:30,UNF Dr Under State,Citation Issued
Wrong Lane,,,,Rd 9A,
Expired Tag-More,A0Y55TP,10/28/17 11:20,10/28/17 11:20,Eco Rd/Roundabout,Citation Issued
Than 2 Months,,,,,
Driving While License suspended,A0Y55UP,10/28/17 11:20,10/28/17 11:20,Eco Rd/Roundabout,Citation Issued
Suspended,,,,,
Posess  Over 20 GR marjiuana,2017-0228,10/25/17 3:10,10/25/17 3:10,Osprey Cove,Cleared by arrest
Marijuana,,,,,
Information,2017-0227,10/24/17 16:39,10/24/17 7:19,Bldg. 57,Closed
No Valid DL,9742-GYD,10/24/17 9:45,10/24/17 9:45,1 UNF Dr/Eco Rd,Citation Issued
Violation of Right of,A0Y5PRP,10/23/17 14:45,10/23/17 14:45,N Entrance/Central,Citation Issued
Violation of Right of,A0Y5PQP,10/23/17 14:25,10/23/17 14:25,N. Entrance/Central Citation Issued,NA
Way,,,,Pkwy,NA
Expired Tag,A0Y5POP,10/22/17 14:40,10/22/17 14:40,Beach Blvd/Central Citation Issued,NA
,,,,Pkwy,NA
No Valid Driver's license,A0Y5PPP,10/22/17 14:40,10/22/17 14:40,Beach Blvd/Central Citation Issued,NA
License,,,,Pkwy,NA
Lost Property,2017-0222,10/20/17 17:35,10/20/17 8:30,Bldg 12 Closed,NA
Assault/Agg/with a,2017-0221,10/20/17 16:30,10/19/17 19:50,Osprey Fountains Cleared by arrest,NA
Deadly Weapon,,,,,NA
Assault/Agg/with a,2017-0221,10/20/17 5:22,10/19/17 19:50,Osprey Fountains Cleared by arrest,NA
Deadly Weapon w/o,,,,,NA
Intent to Kill,,,,,NA
Information,2017-0198,10/18/17 19:29,9/27/17 21:21,Osprey Fountains Closed,NA
Petit Theft,2017-0195,10/18/17 15:50,9/10/17 21:00,Osprey Fountains Suspended,NA
Unlawful Speed,A0Y5NKP,10/17/17 13:50,10/17/17 13:50,4600 Osprey Ridge Rd Citation Issued,NA
Driving While License suspended,A0Y5M4P,10/17/17 9:50,10/17/17 9:50,Varsity Lane 300 Ft Citation Issued,NA
Suspended,,,,North of UNF Dr,NA
Grand Theft,2017-0220,10/13/17 17:45,10/12/17 15:00,Bldg 15/3400 Open,NA
Burglary To Vehicle,2017-0216,10/13/17 10:06,10/11/17 1:00,Lot 12 Unfounded,NA
Possess Over 20 grams of marijuana,207-0218,10/13/17 2:03,10/12/17 22:41,Osprey Crossings Cleared by arrest,NA
Grams Marijuana,,,,Parking Lot,NA
Improper Left Turn,A0Y5NJP,10/12/17 15:45,10/12/17 14:07,1 UNF Dr. Lot 18 Citation Issued,NA
Information,2017-0214,10/12/17 0:23,10/12/17 15:00,Osprey Crossings Open,NA
Information,2017-0213,10/11/17 2:59,10/9/17 12:50,Bldg 17 Closed,NA
Criminal Mischief,2017-0210,10/8/17 17:36,10/8/17 1:30,Osprey Landing X314 Suspended,NA
Property -Damaged,2017-0209,10/6/17 8:54,10/6/17,Bldg 59 Closed,NA
Petit Theft,2017-0205,10/4/17 18:05,9/19/17 15:00,Bldg. 8,Open
Property-Damaged,2017-0201,10/2/17 12:32,9/29/17 14:00,Bldg. 58W,Closed
Battery,2017-0145,10/2/17 11:24,7/19/17 11:50,Bldg. 14,Exceptionally
,,,,,Cleared
Grand Theft,2017-0200,9/29/17 0:04,9/28/17 18:00,Bldg 16,Open
Grand Theft,2017-0199,9/28/17 17:09,9/15/17 8:28,Osprey Flats,Open
Information,2017-0198,9/28/17 1:10,9/27/17 21:21,Osprey Fountains,Closed
Employee Theft,2017-0097,9/27/17 9:01,,1 UNF Dr,Closed
Property Found,2017-0190,9/26/17 17:02,6/26/17 8:00,Bldg. 8,Closed
Petit Theft,2017-0192,9/23/17 13:47,9/21/17 15:00,Lot 11,Suspended
Petit Theft,2017-0189,9/22/17 2:17,9/21/17 11:05,Lot 15,Suspended
Property Damaged,2017-0187,9/21/17 13:11,9/21/17 6:45,Bldg. 64,Closed
Property Lost,2017-0185,9/19/17 12:50,9/6/17 11:00,Bdlg 16,Closed
Criminal Mischief,2017-0182,9/16/17 11:50,9/7/17 14:00,Lot 18,Case not Cleared
Petit Theft,2017-0175,9/15/17 23:41,9/1/17 18:00,Bldg. 16,Suspended
Battery--Touch or,2017-1079,9/7/17 9:36,9/7/17 9:00,Osprey Village,Exceptionally
Strike,,,,,Cleared
Battery--Touch or,2017-0179,9/7/17 9:36,9/7/17 9:00,Osprey Village,
Strike,,,,,
Grand Theft,2017-0178,9/6/17 17:37,9/5/17 23:00,Osprey Village,
Grand Theft,2017-0177,9/6/17 17:08,9/5/17 19:00,Osprey Village,Suspended
Petit Theft,2017-0175,9/1/17 21:57,9/1/17 18:00,Bldg. 16,Suspended
Petit Theft,2017-0175,9/1/17 18:45,9/1/17 18:00,Building 16,Case Suspended
Petit Theft,2017-0174,9/1/17 15:25,8/26/17 10:00,Osprey Village,Suspended
Assault/Agg/with a,2017-0172,9/1/17 0:32,8/31/17 23:55,Osprey Cove Bldg V,Cleared by arrest
deadly weapon w/o,,,,,
intent to kill,,,,,
Petit Theft-Bicycle,2017-0169,8/30/17 18:36,8/28/17 21:00,Osprey Cove Bldg. U,Suspended
,,,,Bike Rack,
Revoked DL,2017-0168,8/29/17 21:30,8/29/17 21:30,UNF Dr  @ Eco Rd,Citation Issued
Petit Theft-Bike,2017-0166,8/28/17 16:08,8/27/17 19:00,Osprey Fountains,Suspended
Information,2017-0141,8/28/17 14:33,5/19/17 15:15,Off-Campus,Closed
Criminal Mischief,2017-0165,8/26/17 23:02,8/26/17 10:00,Lot 15,Suspended
Battery,2017-0164,8/23/17 23:35,8/23/17 19:15,Osprey Crossings,Cleared by arrest
Battery,2017-0163,8/23/17 14:39,8/23/17 12:10,Garage 44,Suspended
Information,2017-0159,8/21/17 13:47,8/21/17 9:25,Osprey Landing,Open
Expired Tag,8958-GYD,8/17/17 12:25,8/17/17 12:25,Kernan Blvd and,Citation Issued
,,,,Alumni Dr,
Careless Driving,8957-GYD,8/17/17 9:50,8/17/17 9:50,Lot #47 Parking,Citation Issued
Property Damaged,2017-0155,8/14/17 11:55,8/14/17 8:00,Lot # 100,Closed
Petit Theft,2017-0146,8/8/17 7:21,7/19/17 16:00,Bldg 12,Suspended
Battery,2017-0145,8/8/17 7:13,7/19/17 11:50,Bldg 14,Open
Obscene Telephone,2017-0148,8/3/17 10:45,7/26/17 10:30,Bldg 15,Suspended
Calls,,,,,
Sexual Battery,2017-0044,8/2/17 14:31,2/16/17 22:30,1 UNF Dr,Suspended
Property Damaged,2017-0153,8/2/17 0:50,8/1/17 18:55,Garage 44,Closed
Possess Heroin,2017-0152,8/1/17 11:15,7/31/17 14:22,Osprey Fountains,Open
Evidence--Tampering,2017-0152,7/31/17 14:22,7/31/17 14:22,Off-campus,Arrest
with or fabricating,,,,,
Petit Theft,2017-0151,7/31/17 12:18,7/24/17 17:00,Bldg. 12,Suspended
Traffic Crash,2017-0150,7/30/17 16:12,7/30/17 16:11,I-295 NB Exit Ramp,Citation Issued
,,,,at UNF Dr,
Traffic Crash,2017-0149,7/28/17 11:10,7/28/17 11:09,Lot 9 UNF Dr,Citation Issued
Obscene Phone Call,2017-0148,7/27/17 11:45,7/26/17 10:30,Bldg 15,Suspended
Sexual Battery,2017-0029,7/25/17 14:58,1/31/17 0:30,Osprey Hall,Suspended
Criminal Mischief,2017-0147,7/25/17 9:07,7/24/17 9:30,Hicks Hall Bldg. 53,Suspended
Criminal Mischief,2017-0146,7/21/17 14:23,7/19/17 16:00,Bldg 12,Open
Smuggle,2015-0319,7/20/17 9:43,10/15/15 14:32,18100 UNF Dr N,Exceptionally
Benzodiazepine Into,,,,,Cleared
State,,,,,
Battery,2017-0145,7/19/17 18:07,7/19/17 11:50,Bldg. 14,Open
Property Damaged,2017-0144,7/14/17 16:51,7/14/17 15:45,Bldg 53,Closed
Property Damaged,2017-0142,7/9/17 11:48,7/9/17 6:50,Lot 18,Closed
Criminal Mischief,2017-0138,7/8/17,6/30/17 15:00,Bldg 58,Suspended
Information,2017-0141,7/7/17 12:15,5/19/17 15:15,Bldg 5,Closed
Petit Theft,2017-0139,7/6/17 13:19,7/3/17 14:30,Bldg. 60,Suspended
Criminal Mischief,2017-0138,7/2/17 7:45,6/30/17 15:00,Bldg 58W,Open
Petit Theft,2017-0137,6/27/17 18:00,6/20/17 12:00,Lot 9,Suspended
Petit Theft,2017-0137,6/20/17 12:00,6/20/17 13:00,Lot 9,Suspended
Information,2017-0136,6/17/17 17:07,6/17/17 14:00,UNF Bldg 15,Closed
Grand Theft,2017-0135,6/17/17 14:27,6/17/17 10:25,Bldg 45,Suspended
Petit Theft,2017-0134,6/16/17 9:30,6/7/17 15:00,Bldg 16,Suspended
Driving While License,A0Y5LZP,6/15/17 9:55,6/15/17 9:55,UNF Dr & Lot 11,Citation Issued
Suspended,,,,,
Grand Theft- Bicycle,2017-0122,6/14/17 7:12,4/27/17 12:00,Osprey Cove,Suspended
Information,2017-0132,6/9/17 13:48,6/9/17 13:48,Bldg 57,Open
Information,2017-0131,6/9/17 9:54,6/9/17 9:15,"Bldg 1, Rm 1901",Suspended
Damaged Property,2017-0130,6/8/17 13:50,6/8/17 8:45,Bldg 64,Closed
Grand Theft -Bicycle,2017-0122,5/13/17 15:04,4/27/17 12:00,Osprey Cove,Suspended
Grand Theft,2017-0118,5/7/17 20:46,5/7/17 17:00,Lot 100,Suspended
Grand Theft,2017-0111,5/6/17 12:59,4/28/17 15:15,Osprey Landing V,Suspended
Petit Theft-Bicycle,2017-0117,5/5/17 12:27,5/4/17 16:00,Osprey Hall,Suspended
Information,2017-0116,5/4/17 13:17,9/1/16 6:00,Bldg 46,Closed
Grand Theft,2017-0114,5/3/17 15:12,5/2/17 13:15,Lot 100,Suspended
Grand Theft,2017-0115,5/2/17 21:00,5/1/17 10:00,Bldg 45,Open
Grand Theft,2017-0114,5/2/17 15:58,5/2/17 13:15,Lot 100,Open
Graffiti,2017-0113,5/1/17 11:30,4/28/17 17:00,Bldg. 2,Suspended
Graffiti,2017-0112,5/1/17 8:54,4/28/17 17:00,Bldg. 15,Suspended
Grand Theft,2017-0111,4/28/17 17:52,4/28/17 15:15,Osprey Landing V,Open
Criminal Mischief,2017-0109,4/28/17 12:56,4/26/17 16:00,Building 42,Open
Petit Theft,2017-0083,4/27/17 10:40,4/2/17 12:49,Osprey Fountains,Exceptionally
,,,,,Cleared
Driving while License suspended,A0Y5GQP,4/26/17 12:24,,UNF Dr & Alumni Dr,Citation Issued
Suspended,,,,,
Information,2017-0108,4/25/17 17:29,4/25/17 11:00,Bldg 45,Closed
Criminal Mischief,2017-0106,4/25/17 0:55,4/24/17 14:00,Bldg. 12/Rm. 1917,Suspended
Criminal Mischief,2017-0027,4/23/17 16:29,1/26/17 18:30,Osprey Landings,Suspended
Criminal Mischief,2017-0104,4/23/17 12:31,4/22/17 14:30,Lot 55,Suspended
Sexual Battery,2017-0103,4/22/17 13:11,4/21/17 22:00,UNF,Open
Petit Theft,2017-0102,4/22/17 0:01,4/21/17 21:25,Bldg. 12,Suspended
Graffiti,2017-0101,4/21/17 6:30,4/20/17,Bldg 57,Suspended
Grand Theft from,2017-0100,4/20/17 8:45,4/19/17 20:30,Lot 55,Suspended
Motor Vehicle,,,,,
Possess Controlled substance,2017-0099,4/20/17 3:05,4/20/17 3:05,Osprey Hall,Cleared by arrest
Substance,,,,,
Grand Theft,2017-0098,4/19/17 14:27,3/30/17 19:00,Bldg. 45,Suspended
Criminal Mischief,2017-0090,4/17/17 13:40,4/8/17 10:00,Osprey Flats,Suspended
Grand Theft,2017-0096,4/17/17 9:00,4/12/17 19:30,Osprey Flats,Suspended
Driving While License suspended,A0Y536P,4/14/17 14:35,4/14/17 14:35,UNF Dr/Alumni Rd,Citation Issued
Suspended,,,,,
Petit Theft,2017-0083,4/14/17 13:22,4/2/17 12:49,Osprey Fountains,Suspended
Information,2017-0093,4/12/17 14:30,4/11/17 20:15,Osprey Flats,Open
Criminal Mischief,2017-0092,4/11/17 17:25,4/10/17 21:30,UNF Dr/Lot 18,Suspended
Grand Theft,2017-0085,4/10/17 10:04,3/31/17 9:00,Osprey Flats,Exceptionally
,,,,,Cleared
Criminal Mischief,2017-0090,4/9/17 9:00,4/8/17 10:00,Osprey Flats,Open
Petit Theft,2017-0089,4/6/17 14:24,4/3/17 7:00,Bldg 39,Suspended
Theft of Motor Vehicle,2017-0086,4/6/17 0:23,4/4/17 17:30,Lot 18,Open
Grand Theft,2017-0085,4/5/17 13:25,3/31/17 9:00,4850 First Coast Tech,Open
,,,,Pkwy-Lot 65,
Petit Theft,2017-0083,4/2/17 13:30,4/2/17 12:49,Osprey Fountains-,Open
Damaged Property,2017-0082,4/1/17 13:25,4/1/17 13:21,Bldg 34,Closed
Petit Theft,2017-0080,3/30/17 21:17,3/30/17 14:00,Bldg 8,Suspended
Information,2017-0081,3/30/17 18:20,3/30/17 18:10,Bldg 26,Closed
Permitting,A0Y59CP,3/29/17 8:18,3/29/17 8:18,4892 First Coast,Citation Issued
Unauthorized Person to drive,,,,Technological,
to Drive,,,,Parkway,
No Valid Driver's license,A0Y59BP,3/29/17 8:18,3/29/17 8:18,4892 First Coast,Citation Issued
License,,,,Technilogical Parkway,
Leaving Scene of Crash,A0Y59AP,3/29/17 8:18,3/30/17 8:18,4892 First Coast,Citation Issued
,,,,Technological,
,,,,Parkway,
Lost Property,2017-0077,3/28/17 8:11,3/23/17 20:00,Between 44A and B,Closed
,,,,Bldg,
Death-Undetermined,2017-0076,3/26/17 22:00,3/26/17 17:49,UNF Housing,Open
Battery,2017-0059,3/22/17 13:20,2/23/17 21:30,Lot 18,Exceptionally
,,,,,Cleared
Battery,2017-0059,3/20/17 9:43,2/23/17 21:30,Lot 18,Suspended
Information,2017-0075,3/20/17 6:00,3/18/17 20:00,Osprey Flats,Closed
Criminal Mischief,2017-0074,3/17/17 14:00,3/16/17 14:00,Bldg 15,Suspended
Petit Theft,2017-0071,3/14/17 14:45,3/12/17 19:00,Lot 18,Suspended
Posess Marijuana &,2017-0069,3/13/17 16:45,3/13/17 16:45,Osprey Village,Citation Issued
Drug Paraphernalia,,,,,
Possess Marijuana,2017-0068,3/13/17 13:49,3/13/17 13:49,Osprey Crossings,Citation Issued
Battery,2017-0054,3/13/17 3:05,2/27/17 20:00,Lot 18,Suspended
Information,2017-0066,3/9/17 9:04,3/8/17 17:15,Lot 16,Closed
Battery,2017-0059,3/9/17 8:30,2/23/17 21:30,Lot 18,Suspended
Petit Theft,2017-0037,3/8/17 9:44,2/5/17 22:30,Osprey Fountains,Suspended
Sexual Assault,,3/8/17,3/3/17,Osprey Landing,Unreported Crime
Sexual Assault,,3/8/17,1/20/17,Osprey Cove,Unreported Crime
Petit Theft,2017-0065,3/7/17 12:55,2/26/17 12:00,Parking Lot,Suspended
Grand Theft --,2017-0064,3/6/17 21:30,3/6/17 20:00,"1 UNF Drive, 58 East",Case not cleared--
Unspecified $300-,,,,,Patrol Efforts
"$4,999 ",,,,,Suspended
Information,2017-0062,3/5/17 23:41,2/20/17 0:01,1 UNF Drive,Information
,,,,,Report Closed
Petit Theft,2017-0061,3/4/17 17:00,2/25/17 17:00,Lot 55,Suspended
Property-Damaged,2017-0060,3/3/17 12:36,2/27/17 6:30,UNF Dr,Closed
Battery,2017-0059,3/3/17 11:52,2/23/17 21:30,Lot 18,Suspended
Grand Theft-Bicycle,2017-0058,3/2/17 15:33,3/1/17 13:00,Off Campus,Suspended
Petit Theft-Bicycle,2017-0057,3/2/17 13:26,3/1/17 21:00,Off Campus,Suspended
Petit Theft,2017-0056,3/2/17 13:24,3/1/17 18:45,Osprey Crossings,Suspended
Criminal Mischief,2016-0281,3/2/17 9:06,10/17/16 8:00,Osprey Crossings,Suspended
Petit Theft,2017-0056,3/1/17 20:30,3/1/17 18:45,Osprey Crossings,Open
Petit Theft,2017-0055,2/28/17 18:19,2/23/17 12:07,Lot  55,Suspended
Battery,2017-0054,2/27/17 22:20,2/27/17 20:00,Lot 18,Open
Driving While License suspended,A0Y533P,2/26/17 9:45,,UNF Dr/Alumni Dr,Citation Issued
Suspended,,,,,
Theft of Motor Vehicle,2017-0051,2/24/17 3:14,2/23/17 18:00,Lot 18,Suspended
Property Damage,2017-0048,2/21/17 21:03,2/21/17 20:55,Lot 3,Closed
Petit Theft,2017-0046,2/20/17 17:53,2/11/17 13:00,Lot 16,Suspended
Reckless Land Burning,2017-0045,2/19/17 17:29,2/19/17 16:00,Native Heart Island,Suspended
Sexual Battery (Victim,2017-0044,2/18/17 18:00,2/16/17 22:30,UNF Eco Preserve,Open--Detective
Incapacitated/Drugs),,,,bridge/island,Follow-up
Grand Theft,2017-0042,2/16/17 15:18,2/15/17 16:00,Bldg 50,Suspended
Petit Theft,2017-0041,2/12/17 22:05,2/12/17 20:45,Bdlg 45,Suspended
Missing Person,2017-0039,2/12/17 16:42,2/12/17 3:00,Osprey Flats,Open
Information,2017-0040,2/12/17 14:08,2/12/17 3:00,Lot 65,Closed
Criminal Mischief,2017-0038,2/10/17 9:55,2/9/17 1:00,Osprey Flats,Suspended
Hit & Run,2017-0036,2/8/17 18:20,,Garage 44A,Closed
Petit Theft,2017-0037,2/8/17 16:15,2/5/17 22:30,Osprey Fountains,Open
Hit & Run,2017-0036,2/7/17 18:53,,Garage 44A,Suspended
Hit & Run,2017-0035,2/7/17 18:45,,UNF Dr Lot 18,Suspended
Petit Theft,2017-0034,2/7/17 14:00,2/6/17 19:00,Bldg. 16,Suspended
Preventing/Obst Fire,2017-0032,2/7/17 10:02,2/6/17 14:58,Osprey Flats,Suspended
Equipment,,,,,
Preventing/Obst Fire,2017-0032,2/6/17 14:58,2/6/17 14:58,Osprey Flats,Open
Equipment,,,,,
Battery,2016-0233,2/6/17 12:45,10/17/16 23:15,Opsrey Cove,Exceptionally
,,,,,Cleared
Criminal Mischief,2017-0033,2/5/17 22:46,2/5/17 21:45,Osprey Fountains,Open
Possess Marijuana,2017-0031,2/5/17 17:20,2/5/17 17:21,Osprey Landing,Cleared by arrest
Grand Theft,2017-0007,2/5/17 16:26,1/10/17 14:55,1 UNF Dr,Suspended
Petit Theft,2017-0030,2/5/17 14:48,2/4/17 23:00,Osprey Cove,Suspended
Grand Theft,2016-0275,2/4/17 13:21,11/18/16 12:00,Lot 16,Suspended
Sexual Battery/Petit,2017-0029,1/31/17 18:00,1/31/17 0:30,On-campus Housing,Case Not Cleared--
Criminal Mischief,2017-0027,1/28/17 10:50,1/26/17 18:30,Osprey Landing,Open
Information,2017-0026,1/27/17 11:00,1/12/17 14:00,Bldg 34,Closed
Property Damaged,2017-0021,1/24/17 13:15,1/24/17 8:45,Lot 34,Closed
Petit Theft,2017-0022,1/24/17 13:06,1/22/17 13:15,Bldg 12,Open
Battery,2016-0290,1/23/17 16:22,12/9/16 11:35,Bldg 34,Exceptionally
,,,,,Cleared
Expose Sexual Organs,2017-0006,1/23/17 16:00,,Off-Campus,Cleared by arrest
Petit Theft,2017-0020,1/23/17 11:00,1/13/17 18:00,Lot 5S,Suspended
Agg. Battery/LEO,2016-0282,1/21/17 19:29,11/29/16 18:45,Bldg 58,Cleared by arrest
Lost Property,2017-0017,1/20/17 16:00,1/20/17 16:30,Osprey Flats,Closed
Information,2017-0016,1/19/17 17:15,1/19/17 20:40,Lot 18,
Information,2017-0015,1/19/17 13:45,1/20/17 13:30,Bldg 43,Suspended
Battery,2016-0254,1/18/17 14:59,11/9/16 20:30,Lot 2,Cleared by arrest
Petit Theft,2017-0014,1/18/17 10:12,1/17/17 21:30,Osprey Fountains,Suspended
Battery,2017-0013,1/15/17 4:20,1/15/17 4:10,Osprey Flats,Exceptionally
,,,,,Cleared
Battery,,1/14/17 16:30,1/14/17 16:10,Osprey Flats,Exceptionally
,,,,,Cleared
Grand Theft,2016-0141,1/12/17 15:31,12/18/14 9:00,Bldg 12,Unfounded
Grand Theft,2016-0126,1/12/17 14:29,5/20/16 16:30,Bldg 61,Suspended
Battery,2016-0290,1/12/17 13:24,12/9/16 11:35,1 UNF Dr,Open
Petit Theft,2017-0009,1/11/17 13:00,1/11/17 9:15,Lot 18,Suspended
Driving While License,A0Y5C8P,1/11/17 8:00,1/11/17 8:00,UNF Dr/Lot 12,Citation Issued
Expose Sexual Organs,2017-0006,1/9/17 12:05,1/8/17 14:10,1 UNF Dr by,Suspended
,,,,Fountains Boardwalk,
Expose Sexual Organs,2017-0004,1/8/17 13:35,1/8/17 13:05,Lot 12,Open
Grand Theft,2016-0275,1/7/17 8:46,11/18/16 12:00,Lot 16,Suspended
Criminal Mischief,2017-0002,1/3/17 4:40,12/23/16 11:00,Bldg. 15,Suspended
Driving/while license suspended,2017-0001,1/1/17 17:06,1/1/17 17:06,Lot 11,Cleared by arrest
is Suspended or,,,,,
Revoked,,,,,
Grand Theft,2016-0292,12/31/16 13:15,12/29/16 21:15,Bldg 34,Unfounded
Grand Theft,2016-0292,12/30/16 12:45,12/29/16 21:15,Bldg 34,Suspended
Battery-Touch or,2016-0290,12/17/16 12:08,12/9/16 11:35,Bldg 34,Open
strik/no injury,,,,,
Battery-Touch or,2016-0290,12/16/16 14:01,12/9/16 11:35,Bldg 34,Open
strike/no injury,,,,,
Driving w/o License,A0Y5C7P,12/10/16 12:50,12/10/16 12:50,1 UNF Dr,Citation Issued
Petit Theft,2016-0270,12/9/16 21:11,11/18/16 6:00,Bldg 16,Suspended
Information-Fire,2016-0288,12/8/16 4:12,12/8/16 3:00,Wooded area across,Closed
,,,,from Lot #11/Osprey,
,,,,Landing,
Grand Theft,2016-0287,12/7/16 15:45,10/15/16 12:00,Osprey Cove,Suspended
Petit Theft,2016-0276,12/6/16 8:00,11/22/16 15:20,Building 16,Exceptionally
,,,,,Cleared--
,,,,,Prosecution
,,,,,Declined
Petit Theft,2016-0276,12/6/16 0:36,11/22/16 15:20,Bldg 16,Exceptionally
,,,,,Cleared
Agg Battery LEO,2016-0282,11/29/16 19:20,11/29/16 18:45,,Cleared by arrest
Criminal Mischief,2016-0281,11/29/16 16:30,10/17/16 8:00,Osprey Crossings,Open
Criminal Mischief,2016-0280,11/29/16 13:48,11/28/16 13:00,Old Skatepark/Lot 18,Suspended
Driving While License suspended,A0Y55JP,11/29/16 11:40,11/29/16 11:40,Eco Rd and,Citation Issued
Suspended,,,,Roundabout,
Petit Theft,2016-0279,11/29/16 11:12,8/25/16 11:00,Osprey Flats,Open
Grand Theft,2016-0278,11/28/16 22:57,11/23/16 12:00,Lot 14,Suspended
Grand Theft,2016-0278,11/27/16 21:30,11/27/16 12:00,Lot 14,Open
Petit Theft,2016-0276,11/22/16 16:10,11/22/16 15:20,Bldg 16,Suspended
Grand Theft,2016-0275,11/22/16 13:20,11/18/16 12:00,Lot 16,Suspended
Petit Theft,2016-0274,11/22/16 9:00,11/21/16 19:00,Bldg W,Suspended
Burglary Auto,2016-0273,11/21/16 23:12,11/21/16 11:00,UNF Parking Lots,Suspended
Petit Theft,2016-0272,11/21/16 19:46,11/21/16 18:40,Osprey Cove,Suspended
Agg. Battery/LEO,2016-0271,11/21/16 19:24,11/19/16 16:40,Osprey Cove,Cleared by arrest
Agg Battery on LEO,2016-0271,11/19/16 11:59,11/19/16 4:20,Bldg U,Cleared by arrest
Petit Theft,2016-0268,11/19/16 6:38,11/17/16 13:00,Bldg 12,Suspended
Petit Theft,2016-0270,11/18/16 23:36,11/18/16 6:00,Bldg 16,Open
Petit Theft,2016-0268,11/17/16 14:05,11/17/16 13:00,Bldg 12,Suspended
Petit Theft,2016-0267,11/16/16 14:15,11/16/16 13:30,Lot 14,Suspended
Information,2016-0265,11/15/16 16:22,11/9/16 23:00,Osprey Landing,Open
