case_number,date_reported,date_occurred,time_occurred,location,time_reported,incident,university
P-15-0001,2020-01-03,2015-01-03,02:01,US HIGHWAY 76 & PERIMETER ROAD      C             Cleared by Arrest,02:01,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0002,2020-01-04,2015-01-04,00:26,HIGHWAY 93 & HIGHWAY 76             C             Cleared by Arrest,00:26,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0003,2020-01-04,2015-01-04,09:42,S8C CALHOUN COURTS                  C             Not Cleared,09:42,991 OFF CAMPUS THREAT REPORTED (STUDENT INVOLVED),Clemson University
P-15-0004,2020-01-04,2015-01-04,23:13,HIGHWAY 93 & HIGHWAY 76             C             Not Cleared,23:13,35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0005,2020-01-05,2015-01-05,00:47,MCMILLAN ROAD & MILLS ROAD          C             Not Cleared,00:47,991 VEHICLE SEARCH,Clemson University
P-15-0006,2020-01-05,2015-01-05,01:21,HIGHWAY 93 & NEWMAN ROAD            C             Cleared by Arrest,01:12,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0008,2020-01-05,2015-01-05,09:41,MCMILLAN ROAD                       C             Cleared by Arrest,09:41,950 DRIVING UNDER SUSPENSION,Clemson University
P-15-0010,2020-01-05,2015-01-05,21:13,311 DONALDSON HALL                  C             Cleared by Arrest,21:13,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0011,2020-01-05,2015-01-05,21:33,414 WANNAMAKER HALL                 C             Cleared by Arrest,21:33,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0012,2020-01-05,2015-01-05,21:52,917 JOHNSTONE HALL                  C             Cleared by Arrest,21:52,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0013,2020-01-05,2015-01-05,22:34,834 JOHNSTONE HALL                  C             Cleared by Arrest,22:34,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-0014,2020-01-06,2015-01-06,02:08,SC HIGHWAY 93 & HIGHWAY 123         C             Cleared by Arrest,02:08,90D DRIVING UNDER THE INFLUENCE 90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0015,2020-01-06,2015-01-06,15:02,E-4 PARKING LOT                     C             Not Cleared,15:05,23F PETIT LARCENY 290 MALICIOUS INJURY TO PERSONAL PROPERTY,Clemson University
P-15-0018,2020-01-07,2015-01-07,22:55,FIKE RECREATION CENTER                      C             Not Cleared,23:38,23D PETIT LARCENY,Clemson University
P-15-0020,2020-01-08,2014-12-12,08:00,DOUG KINGSMORE STADIUM BATTING CAGE         C             Not Cleared,09:46,23H PETIT LARCENY,Clemson University
P-15-0021,2020-01-07,2014-12-06,09:00,CENTENNIAL BLVD                             C             Not Cleared,17:30,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0023,2020-01-08,2015-01-05,16:00,CLEMSON HOUSE MOPED PARKING AREA            C             Not Cleared,16:03,991 PROPERTY DAMAGE (MOPED),Clemson University
P-15-0025,2020-01-08,2015-01-07,00:00,4B1 BARNETT HALL                            U             Not Cleared,21:36,26B FINANCIAL TRANSACTION CARD FRAUD,Clemson University
P-15-0026,2020-01-09,2015-01-09,05:29,BIOSCIENCE BUILDING                         C             Not Cleared,05:33,991 SUSPICIOUS PERSON,Clemson University
P-15-0027,2020-01-09,2015-01-09,00:30,BRYAN CIRCLE (IN FRONT OF BYRNES HALL)      C             Not Cleared,11:47,999 LOST PROPERTY,Clemson University
P-15-0030,2020-01-09,2015-01-09,21:59,CHERRY ROAD & OLD STADIUM ROAD              C             Cleared by Arrest,21:59,35A SIMPLE POSSESSION OF MARIJUANA 950 DRIVING UNDER SUSPENSION 950 OPERATING UNINSURED VEHICLE,Clemson University
P-15-0031,2020-01-10,2015-01-10,11:33,STARKEY SWINE FARM                          C             Not Cleared,11:35,991 ANIMAL COMPLAINT,Clemson University
P-15-0032,2020-01-10,2015-01-10,16:15,BOTANICAL GARDENS PARKING LOT               C             Not Cleared,16:25,994 PERSONAL INJURY (DOG BITE),Clemson University
P-15-0033,2020-01-10,2015-01-10,19:29,306 BENET HALL                              C             Not Cleared,19:31,35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0034,2020-01-10,2015-01-10,20:45,BENET HALL PARKING LOT                      C             Cleared by Arrest,20:45,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0035,2020-01-10,2015-01-10,22:53,SC HIGHWAY 93 & WILLIAMSON ROAD             C             Not Cleared,22:53,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-0036,2020-01-10,2015-01-10,23:48,4C5 LEVER HALL                              C             Cleared by Arrest,23:48,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0037,2020-01-11,2015-01-11,00:06,115-B THORNHILL VILLAGE                    C             Cleared by Arrest,00:06,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0038,2020-01-11,2015-01-11,02:51,SIMPSON HALL NORTH 1ST FLOOR BATHROOM      C             Not Cleared,02:51,991 ALCOHOL RELATED MEDICAL TRANSPORT (STUDENT),Clemson University
P-15-0039,2020-01-11,2015-01-11,15:00,412 STADIUM SUITES                         C             Not Cleared,18:38,991 WELLBEING CHECK (STUDENT),Clemson University
P-15-0040,2020-01-11,2015-01-11,23:39,9C4 LEVER HALL                             C             Not Cleared,23:39,991 MARIJUANA ODOR,Clemson University
P-15-0041,2020-01-11,2015-01-11,22:16,LEVER HALL STAIRWELL                       C             Not Cleared,22:18,90Z TAMPERING WITH FIRE EQUIPMENT,Clemson University
P-15-0043,2020-01-12,2015-01-12,12:30,CENTENNIAL BLVD                            U             Not Cleared,17:55,23F PETIT LARCENY,Clemson University
P-15-0045,2020-01-12,2015-01-12,22:32,8D4 LEVER HALL                             C             Cleared by Arrest,22:32,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0052,2020-01-13,2015-01-13,21:23,E-1 PARKING LOT                            C             Not Cleared,21:23,991  VEHICLE SEARCH,Clemson University
P-15-0053,2020-01-14,2015-01-13,15:00,CENTENNIAL BLVD                            C             Not Cleared,09:06,999 LOST PROPERTY,Clemson University
P-15-0054,2020-01-14,2015-01-04,18:00,NORRIS HALL PARKING AREA                   C             Not Cleared,12:17,23F PETIT LARCENY,Clemson University
P-15-0055,2020-01-14,2015-01-14,17:02,E-1 PARKING LOT                            C             Not Cleared,17:02,991 VEHICLE SEARCH,Clemson University
P-15-0057,2020-01-15,2015-01-15,01:38,SC HIGHWAY 93 & US HIGHWAY 76              C             Cleared by Arrest,01:38,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0058,2020-01-15,2015-01-15,05:30,COOPER LIBRARY 4TH FLOOR                   C             Not Cleared,05:38,23E PETIT LARCENY 290 MALICIOUS INJURY TO PERSONAL PROPERTY,Clemson University
P-15-0059,2020-01-15,2015-01-15,09:18,HIGHWAY 76 & HIGHWAY 93                    C             Cleared by Arrest,09:22,950 DRIVING UNDER SUSPENSION,Clemson University
P-15-0060,2020-01-15,2015-01-15,21:14,202 BOWEN HALL                        C             Cleared by Arrest,21:14,35A PWID MARIJUANA/ PWID PROXIMITY OF SCHOOL 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0061,2020-01-16,2015-01-16,00:50,312 DONALDSON HALL                    C             Not Cleared,00:50,991 MARIJUANA ODOR,Clemson University
P-15-0062,2020-01-16,2015-01-16,01:06,JOHNSTONE HALL (LOUNGE AREA)          C             Cleared by Arrest,01:06,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-0063,2020-01-16,2015-01-16,03:18,WILLIAMSON ROAD                       C             Not Cleared,03:18,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-0065,2020-01-16,2015-01-15,22:00,301 COPE HALL                         C             Not Cleared,16:07,23D PETIT LARCENY,Clemson University
P-15-0066,2020-01-16,2015-01-16,20:20,BRADLEY HALL 3RD FLOOR STAIRWELL      C             Cleared by Arrest,20:20,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0067,2020-01-16,2015-01-16,20:36,WANAMAKER HALL 3RD FLOOR HALLWAY      C             Cleared by Arrest,20:36,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0068,2020-01-16,2015-01-16,22:49,643 JOHNSTONE HALL                    C             Cleared by Arrest,22:49,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0069,2020-01-17,2015-01-17,05:27,TILLMAN HALL                          C             Cleared by Arrest,05:30,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-0070,2020-01-17,2015-01-16,21:00,WANNAMAKER HALL                       C             Exceptional Clearance,10:42,290 MALICIOUS INJURY TO REAL PROPERTY,Clemson University
P-15-0071,2020-01-17,2015-01-17,16:48,LITTLEJOHN COLLISEUM                  C             Cleared by Arrest,16:48,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-0072,2020-01-17,2015-01-17,07:00,STUDENT UNION                         C             Not Cleared,16:31,290 MALICIOUS INJURY TO REAL PROPERTY,Clemson University
P-15-0074,2020-01-17,2015-01-17,22:31,HIGHWAY 93 & CHERRY ROAD              C             Cleared by Arrest,22:31,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0075,2020-01-17,2015-01-17,23:22,S6A CALHOUN COURTS                    C             Not Cleared,23:22,90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0076,2020-01-18,2015-01-18,00:07,MELLL HALL PARKING LOT            C             Cleared by Arrest,00:07,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0077,2020-01-18,2015-01-18,00:28,CENTENNIAL BLVD & HIGHWAY 93      C             Cleared by Arrest,00:28,280 POSSESSION OF STOLEN FIREARM 520 UNLAWFUL CARRY OF A FIREARM,Clemson University
P-15-0078,2020-01-18,2015-01-18,23:30,S7F CALHOUN COURTS                C             Cleared by Arrest,23:27,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0079,2020-01-18,2015-01-18,23:14,723 JOHNSTONE HALL                C             Not Cleared,23:14,991 DEATH NOTIFICATION,Clemson University
P-15-0080,2020-01-19,2015-01-19,02:30,BRYAN CIRCLE (WENDY'S)            C             Not Cleared,11:23,23D PETIT LARCENY,Clemson University
P-15-0081,2020-01-15,2015-01-18,21:00,CCIT                              C             Not Cleared,12:46,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0082,2020-01-19,2015-01-19,14:30,LEVER HALL                        C             Not Cleared,14:30,290 MALICIOUS INJURY TO STATE PROPERTY,Clemson University
P-15-0083,2020-01-20,2015-01-19,08:00,BROOKS CENTER PARKING LOT         C             Not Cleared,12:41,23G PETIT LARCENY (VEHICLE LCENSE),Clemson University
P-15-0084,2020-01-20,2015-01-19,19:00,BYRNES HALL PARKING LOT           C             LOCATED (MISSING PERSONS,13:14,991 AUTO ACCIDENT (HIT & RUN),Clemson University
P-15-0085,2020-01-20,2015-01-19,11:00,R-3 PARKING LOT                   C             Not Cleared,16:16,240 PETIT LARCENY (MOPED),Clemson University
P-15-0087,2020-01-20,2015-01-20,20:40,S8D CALHOUN COURTS                C             Not Cleared,20:40,991 DEATH INVESTIGATION,Clemson University
P-15-0089,2020-01-21,2015-01-21,15:00,113A THORNHILL VILLAGE            C             Not Cleared,15:45,26A OBTAINING GOODS UNDER FALSE PRETENSES,Clemson University
P-15-0091,2020-01-21,2015-01-21,19:00,110A THORNHILL VILLAGE            C             Not Cleared,20:35,26A OBTAINING GOODS UNDER FALSE PRETENSES,Clemson University
P-15-0092,2020-01-22,2015-01-21,11:15,LEVER HALL                        C             Not Cleared,10:06,26E IDENTITY THEFT,Clemson University
P-15-0093,2020-01-22,2015-01-20,17:45,FIKE RECREATION CENTER            A             Not Cleared,12:28,23D PETIT LARCENY,Clemson University
P-15-0094,2020-01-22,2015-01-22,20:55,206 WANNAMAKER HALL                              C             Cleared by Arrest,20:55,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0095,2020-01-22,2015-01-22,21:38,HIGHWAY 93 & CALHOUN DRIVE                       C             Cleared by Arrest,21:38,950 DRIVING UNDER SUSPENSION,Clemson University
P-15-0096,2020-01-22,2015-01-22,18:00,33B THORNHILL VILLAGE                            A             Not Cleared,20:18,26A OBTAINING GOODS BY FALSE PRETENSES,Clemson University
P-15-0099,2020-01-23,2015-01-23,01:30,LEE HALL 3RD FLOOR                               C             Not Cleared,15:11,991 SUSPICIOUS PERSONS,Clemson University
P-15-0100,2020-01-23,2015-01-23,15:08,29 DANIEL (ASPEN HEIGHTS) DRIVE #150 APARTMENT   C             Not Cleared,15:17,991 OFF CAMPUS HARASSMENT REPORTED,Clemson University
P-15-0101,2020-01-23,2015-01-22,20:00,203 COPE HALL                                    C             Not Cleared,15:49,23D PETIT LARCENY,Clemson University
P-15-0102,2020-01-23,2015-01-23,00:00,112 COPE HALL                                    C             Not Cleared,16:10,23D PETIT LARCENY,Clemson University
P-15-0103,2020-01-23,2015-01-23,01:30,101 COPE HALL                                    C             Not Cleared,16:23,23D PETIT LARCENY,Clemson University
P-15-0105,2020-01-23,2015-01-23,20:20,4B5 SMITH HALL                                   C             Not Cleared,20:20,23D PETIT LARCENY,Clemson University
P-15-0106,2020-01-23,2015-01-23,22:40,SC HIGHWAY 93 & BOWMAN FIELD                     C             Not Cleared,22:40,991 VEHICLE DAMAGE REPORTED,Clemson University
P-15-0107,2020-01-24,2015-01-24,02:06,SC HIGHWAY 93 & NEWMAN ROAD                      C             Cleared by Arrest,02:06,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0110,2020-01-24,2015-01-24,00:00,R-1 PARKING LOT ROW 7                            C             Not Cleared,14:48,290 MALICIOUS INJURY TO PERSONAL PROPERTY,Clemson University
P-15-0111,2020-01-24,2015-01-24,18:02,CHERRY ROAD & MCMILLAN ROAD                      C             Cleared by Arrest,18:02,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0112,2020-01-24,2015-01-24,21:54,8TH FLOOR JOHNSTONE HALL                         C             Cleared by Arrest,21:54,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90N RESISTING ARREST,Clemson University
P-15-0113,2020-01-25,2015-01-25,01:10,SC HIGHWAY 93 & CALHOUN DRIVE                    C             Cleared by Arrest,01:10,90G POSSESSION OF LIQUOR UNDER 21/ OPEN CONTAINER,Clemson University
P-15-0114,2020-01-25,2015-01-25,01:57,SC HIGHWAY 93 & CALHOUN DRIVE              C             Cleared by Arrest,01:57,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0115,2020-01-25,2015-01-25,03:45,BRYAN CIRCLE                               C             Cleared by Arrest,03:45,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-0116,2020-01-25,2015-01-24,20:00,LEVER HALL ELEVATOR                        C             Not Cleared,11:53,23D PETIT LARCENY,Clemson University
P-15-0118,2020-01-26,2015-01-24,08:00,320 SLOAN STREET #9 APARTMENT              A             Not Cleared,15:56,991 OFF CAMPUS COMPUTER CRIME REPORTED,Clemson University
P-15-0120,2020-01-27,2015-01-27,00:14,JOHNSTONE HALL 8TH FLOOR BATHROOM          C             Not Cleared,00:14,290 MALICIOUS INJURY TO REAL PROPERTY,Clemson University
P-15-0121,2020-01-26,2015-01-26,22:23,8D2 BYRNES HALL                            C             Not Cleared,22:23,35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0122,2020-01-26,2015-01-26,12:53,REDFERN HEALTH CENTER                      C             Not Cleared,12:54,991 MEDICAL TRANSPORT (STUDENT),Clemson University
P-15-0123,2020-01-27,2015-01-14,18:30,MEMORIAL STADIUM (WESTEND ZONE LOBBY)      C             Not Cleared,11:26,23D BURGLARY,Clemson University
P-15-0125,2020-01-27,2015-01-27,13:07,REDFERN HEALTH CENTER                      C             Not Cleared,13:11,991 ALCOHOL RELATED MEDICAL TRANSPORT (STUDENT),Clemson University
P-15-0126,2020-01-27,2015-01-27,17:54,N6C CALHOUN COURTS                         C             Not Cleared,17:55,991 MAGAZINE SOLICITATION,Clemson University
P-15-0128,2020-01-28,2015-01-28,14:45,HARCOMBE DINING HALL (FOOD COURT)          C             Not Cleared,14:49,998 ASSISTING ANOTHER AGENCY (SENECA PD),Clemson University
P-15-0129,2020-01-28,2015-01-28,22:27,612 JOHNSTONE HALL                         C             Cleared by Arrest,22:27,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0131,2020-01-29,2015-01-29,00:00,444 BRACKETT HALL                          C             Not Cleared,15:27,220 BURGLARY/BREAKING AND ENTERING 290 MALICIOUS INJURY TO REAL PROPERTY,Clemson University
P-15-0132,2020-01-29,2015-01-28,16:45,SOUTH PALMETTO BLVD                        C             Not Cleared,14:20,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0134,2020-01-29,2015-01-29,21:04,FIKE RECREATION CENTER              C             Not Cleared,21:05,23D PETIT LARCENY,Clemson University
P-15-0135,2020-01-29,2015-01-29,22:16,MCGREGOR ROAD                       C             Cleared by Arrest,22:16,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0136,2020-01-29,2015-01-29,23:46,FIKE RECREATION CENTER              C             Not Cleared,23:46,23D PETIT LARCENY,Clemson University
P-15-0137,2020-01-30,2015-01-30,00:22,SC HIGHWAY 93 & PERIMETER ROAD      C             Cleared by Arrest,00:22,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0138,2020-01-30,2015-01-30,02:17,CALHOUN DRIVE & PARKWAY DRIVE       C             Cleared by Arrest,02:17,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-0139,2020-01-30,2015-01-29,22:45,BROOKS CENTER                       A             Not Cleared,12:15,23D PETIT LARCENY,Clemson University
P-15-0140,2020-01-28,2015-01-28,11:30,REDFERN HEALTH CENTER               C             Not Cleared,11:34,991 MEDICAL TRANSPORT (STUDENT),Clemson University
P-15-0141,2020-01-30,2015-01-30,20:15,HIGHWAY 93 & CHERRY ROAD            C             Not Cleared,20:15,991 VEHICLE SEARCH,Clemson University
P-15-0142,2020-01-30,2015-01-30,20:59,4A1 SMITH HALL ROOM                 C             Cleared by Arrest,20:59,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0143,2020-01-30,2015-01-30,21:06,108 WANAMAKER HALL                  C             Cleared by Arrest,21:06,90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0144,2020-01-30,2015-01-30,22:08,MAULDIN HALL FRONT LOBBY            C             Cleared by Arrest,22:20,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0145,2020-01-30,2015-01-30,22:35,4C1 MAULDIN HALL                    C             Exceptional Clearance,22:35,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0146,2020-01-30,2015-01-30,23:13,326 MCCABE HALL                     C             Cleared by Arrest,23:13,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0147,2020-01-31,2015-01-31,00:01,119 HOLMES HALL                     C             Cleared by Arrest,00:01,90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0148,2020-01-31,2015-01-31,00:53,YOUNG HALL & FRONT LAWN             C             Cleared by Arrest,00:53,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-0149,2020-01-31,2015-01-31,00:57,618 JOHNSTONE HALL                    C             Exceptional Clearance,00:58,90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0150,2020-01-30,2015-01-30,21:00,613 JOHNSTONE HALL                    C             Cleared by Arrest,21:46,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0151,2020-01-30,2015-01-30,22:23,8A4 LEVER HALL ROOM                   C             Not Cleared,22:26,991 MEDICAL TRANSPORT - HARM TO SELF (STUDENT),Clemson University
P-15-0153,2020-01-31,2015-01-31,23:54,620 JOHNSTONE HALL                    C             Exceptional Clearance,23:54,35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0156,2020-02-02,2015-01-30,22:30,422 HARTS COVE WAY                    C             Not Cleared,14:39,991 OFF CAMPUS HARASSMENT REPORTED,Clemson University
P-15-0157,2020-02-02,2015-02-02,18:00,STUDENT UNION                         C             Not Cleared,19:32,999 LOST PROPERTY,Clemson University
P-15-0158,2020-02-02,2015-02-02,20:29,PERIMETER ROAD & CHERRY ROAD          C             Cleared by Arrest,20:29,35A POSS CONTROLLED SUBSTANCES / POSS OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0159,2020-02-02,2015-02-02,23:20,SC HIGHWAY 93 & HIGHWAY 76            C             Not Cleared,23:20,991 VEHICLE SEARCH,Clemson University
P-15-0160,2020-02-03,2015-02-02,16:00,SIKES HALL 1ST FLOOR FRONT LOBBY      C             Not Cleared,08:57,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0162,2020-02-03,2015-02-02,19:00,COOPER LIBRARY                        C             Not Cleared,12:11,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0164,2020-02-03,2015-02-03,21:41,SC HIGHWAY 93 & CHERRY ROAD           C             Cleared by Arrest,21:41,90G POSSESSION OF WINE BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0165,2020-02-04,2015-02-03,13:40,C-1 PARKING LOT                       C             Not Cleared,14:56,23F PETIT LARCENY,Clemson University
P-15-0167,2020-02-04,2015-02-04,21:20,FIKE RECREATION CENTER                C             Not Cleared,21:23,23D PETIT LARCENY,Clemson University
P-15-0168,2020-02-04,2015-02-04,22:18,9C3 MANNING HALL                      C             Not Cleared,22:18,991 WELLBEING CHECK (STUDENT),Clemson University
P-15-0169,2020-02-05,2015-02-05,09:00,COOPER LIBRARY WEST PARKING LOT             C             Cleared by Arrest,13:14,520 POSSESSION OF FIREARM ON SCHOOL PROPERTY,Clemson University
P-15-0171,2020-02-05,2015-02-05,15:00,CENTENNIAL BLVD                             C             Not Cleared,19:41,991 SUSPICIOUS TWITTER MESSAGE,Clemson University
P-15-0172,2020-02-05,2015-02-05,20:35,FIKE RECREATION CENTER                      C             Cleared by Arrest,20:35,90J TRESPASS AFTER NOTICE,Clemson University
P-15-0173,2020-02-06,2015-02-06,00:31,CAMPUS BEACH & HIGHWAY 93                   C             Cleared by Arrest,00:31,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-15-0175,2020-02-06,2015-02-06,21:27,BENET HALL PARKING LOT                      C             Not Cleared,21:27,240 PETIT LARCENY (MOPED),Clemson University
P-15-0176,2020-02-07,2015-02-07,00:18,115A THORNHILL VILLAGE                      C             Cleared by Arrest,00:18,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G TRANSFER LIQUOR TO MINOR/ POSS OF ALCOHOL UNDER 21,Clemson University
P-15-0177,2020-02-07,2015-02-07,01:36,WILLIAMSON ROAD & HEISMAN STREET            C             Cleared by Arrest,01:36,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-15-0178,2020-02-07,2015-01-27,08:00,214 BENET HALL                              C             Not Cleared,12:14,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0179,2020-02-07,2015-02-07,20:45,MCMILLAN ROAD & PERIMETER ROAD              C             Cleared by Arrest,20:45,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-15-0181,2020-02-07,2015-02-07,23:51,CHERRY ROAD & MCMILLAN ROAD                 C             Cleared by Arrest,23:51,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0182,2020-02-08,2015-02-08,01:53,HIGHWAY 93 & CALHOUN COURTS APARTMENTS      C             Cleared by Arrest,01:53,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-15-0183,2020-02-08,2015-02-08,10:00,205 GODDARD AVE                             C             Not Cleared,14:02,991 OFF CAMPUS HARASSMENT REPORTED,Clemson University
P-15-0184,2020-02-08,2015-02-08,16:57,CALHOUN DRIVE                               C             Cleared by Arrest,16:58,90Z FAILURE TO STOP FOR BLUE LIGHTS,Clemson University
P-15-0185,2020-02-08,2015-02-08,03:30,405 COPE HALL                      C             Not Cleared,19:00,90J TRESPASS OF REAL PROPERTY,Clemson University
P-15-0187,2020-02-08,2015-02-08,21:56,BYRNES HALL 4TH FLOOR              C             Not Cleared,21:56,23D PETIT LARCENY,Clemson University
P-15-0188,2020-02-09,2015-02-09,03:26,KITE HILL GRASSY AREA              C             Not Cleared,03:26,991 DAMAGE TO VEHICLE (PATROL),Clemson University
P-15-0189,2020-02-09,2015-02-09,08:00,REDFERN HEALTH CENTER              C             Not Cleared,08:29,991 MEDICAL TRANSPORT (HARM TO SELF - STUDENT),Clemson University
P-15-0190,2020-02-09,2015-02-09,12:22,BYRNES HALL BASEMENT               C             Not Cleared,12:25,991 MARIJUANA ODOR,Clemson University
P-15-0192,2020-02-09,2015-02-08,01:30,209 COPE HALL                      C,18:39,90J TRESPASS OF REAL PROPERTY,Clemson University
P-15-0193,2020-02-09,2015-02-09,18:58,643 JOHNSTONE HALL                 C             Not Cleared,18:58,991 MARIJUANA ODOR,Clemson University
P-15-0194,2020-02-09,2015-02-09,21:02,5B2 BYRNES HALL                    C             Not Cleared,21:04,991 MARIJUANA ODOR,Clemson University
P-15-0195,2020-02-09,2015-02-09,22:45,8A5 BRYNES HALL                    C             Not Cleared,22:45,35B POSSESSION OF DRUG PARAPHERNALIA 991 MARIJUANA ODOR,Clemson University
P-15-0196,2020-02-10,2015-02-04,15:00,BOTANICAL GARDENS                  C             Not Cleared,11:12,23H PETIT LARCENY,Clemson University
P-15-0197,2020-02-10,2015-02-10,13:30,S6C CALHOUN COURTS                 C             Not Cleared,13:55,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0198,2020-02-10,2015-02-10,13:15,FIKE RECREATION CENTER             C             Not Cleared,16:19,23D PETIT LARCENY,Clemson University
P-15-0199,2020-02-10,2015-02-10,15:00,HENDRIX STUDENT CENTER             A             Not Cleared,17:51,991 SUSPICIOUS ACTIVITY,Clemson University
P-15-0201,2020-02-11,2015-02-11,02:03,SHERMAN STREET & DANIEL DRIVE      C             Cleared by Arrest,02:03,90D DRIVING UNDER THE INFLUENCE,Clemson University
P-15-0202,2020-02-11,2015-02-11,02:06,CHERRY ROAD & HIGHWAY 93           C             Exceptional Clearance,02:06,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
