Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
16-4791,10/28/16,10/28/16,Traffic Crash-Property Damage-Hit Skip
16-4790,10/28/16,10/28/16,Traffic Crash-Property Damage-Hit Skip
16-4789,10/28/16,10/25/16,Theft (Of Bicycle)
16-4788,10/28/16,10/26/16,Theft
16-4786,10/28/16,10/27/16,Theft
16-4785,10/28/16,10/28/16,Possessing Drug Abuse Instruments
16-4782,10/28/16,10/28/16,Offenses Involving Underage Persons
16-4781,10/28/16,10/28/16,Assist Other Agency
16-4780,10/27/16,10/27/16,Theft (Of Bicycle)
16-4778,10/27/16,10/27/16,Theft (Of Bicycle)
16-4774,10/27/16,10/27/16,Theft
16-4764,10/27/16,10/27/20,Prohibited Acts
16-4763,10/27/16,10/27/16,Traffic Crash-Property Damage
16-4762,10/27/16,10/26/16,Administrative Information
16-4760,10/26/16,10/26/20,Possession Of Drugs
16-4760,11/21/16,11/21/16,Supplement
16-4759,10/26/16,10/26/16,Theft
16-4755,10/27/16,10/27/20,Traffic Crash-Property Damage
16-4754,10/26/16,10/26/16,Drug Paraphernalia
16-4753,10/26/16,10/26/16,Drug Paraphernalia
16-4752,10/26/16,10/14/16,Theft
16-4742,10/26/16,9/29/16,Administrative Information
16-4741,10/26/16,10/26/16,Traffic Crash-Property Damage
16-4740,10/26/16,10/26/16,Theft
16-4739,10/26/16,9/9/16,Theft
16-4737,10/26/16,10/26/16,Assist Other Agency
16-4736,10/26/16,10/26/16,Drug Paraphernalia
16-4730,10/25/16,10/19/16,Administrative Information
16-4726,10/25/16,10/24/16,Theft
16-4724,10/25/16,10/25/16,Theft
16-4724,10/27/16,10/27/16,Supplement
16-4723,10/25/16,10/25/16,Theft (Of Bicycle)
16-4722,10/25/16,10/25/16,Prohibited Acts
16-4717,10/25/16,10/22/16,Administrative Information
16-4716,10/25/16,10/25/16,Administrative Information
16-4714,10/25/16,10/25/16,Ill Aided
16-4713,10/25/16,10/25/16,Ill Aided
16-4711,10/25/16,10/25/16,Theft (Of Bicycle)
16-4708,10/24/16,10/24/16,Theft (Of Bicycle)
16-4707,10/24/16,10/23/16,Theft
16-4702,10/24/16,10/18/16,Theft
16-4697,10/24/16,10/24/16,Theft
16-4689,10/24/16,10/24/16,Theft
16-4688,10/24/16,9/23/16,Prohibited Acts
16-4686,10/24/16,4/21/16,Telecommunications Harassment
16-4686,10/24/16,4/21/16,Telecommunications Harassment
16-4683,10/24/16,10/23/16,Theft
16-4682,10/24/16,10/24/16,Theft
16-4681,10/24/16,10/24/20,Telecommunications Harassment
16-4677,10/24/16,10/24/16,Making False Alarms
16-4677,10/31/16,10/24/16,Supplement
16-4677,11/9/16,11/9/16,Supplement
16-4675,10/23/16,10/23/16,Theft
16-4673,10/23/16,10/1/16,Theft (Of Bicycle)
16-4669,10/23/16,10/23/16,Theft (From Auto)
16-4669,10/28/16,10/28/16,Supplement
16-4668,10/29/16,10/29/16,Supplement
16-4668,10/23/16,10/22/16,Disorderly Conduct
16-4667,10/23/16,10/22/16,Criminal Trespass
16-4666,10/23/16,10/23/16,Offenses Involving Underage Persons
16-4657,10/22/16,9/21/16,Administrative Information
16-4656,10/22/16,10/20/16,Theft (Of Bicycle)
16-4654,10/22/16,10/22/16,Disorderly Conduct
16-4651,10/22/16,10/22/16,Offenses Involving Underage Persons
16-4650,10/22/16,10/22/16,Offenses Involving Underage Persons
16-4647,10/21/16,10/21/16,Possession Of Drugs
16-4646,10/21/16,10/21/16,Possession Of Drugs
16-4643,10/21/16,10/21/16,Drug Paraphernalia
16-4642,10/21/16,10/21/16,Ill Aided
16-4641,10/21/16,10/21/16,Theft (Of Bicycle)
16-4639,10/21/16,10/21/16,Theft (From Auto)
16-4638,10/21/16,10/21/16,Theft
16-4637,10/21/16,10/20/16,Theft
16-4635,10/21/16,10/15/16,Administrative Information
16-4634,10/21/16,4/21/16,Theft
16-4633,10/21/16,10/21/16,Traffic Crash-Injury
16-4632,10/21/16,8/1/16,Theft
16-4629,10/21/16,10/21/16,Offenses Involving Underage Persons
16-4628,10/21/16,10/21/16,Offenses Involving Underage Persons
16-4626,10/20/16,10/20/16,Traffic Crash-Property Damage
16-4625,10/20/16,10/20/16,Theft
16-4624,10/20/16,10/20/16,Theft (From Auto)
16-4623,10/20/16,10/20/16,Theft
16-4622,10/20/16,10/20/16,Theft
16-4621,10/20/16,9/9/16,Disorderly Conduct
16-4620,10/20/16,10/20/16,Ill Aided
16-4619,10/20/16,10/20/16,Traffic Crash-Property Damage-Hit Skip
16-4618,10/20/16,10/19/16,Theft (Of Bicycle)
16-4617,10/20/16,10/20/16,Theft
16-4616,10/20/16,10/1/16,Administrative Information
16-4615,10/20/16,10/20/16,Resisting Arrest
16-4608,10/19/16,10/19/16,Obstructing Official Business
16-4607,10/19/16,10/19/16,Possession Of Drugs
16-4604,10/19/16,10/19/16,Ill Aided
16-4603,10/19/16,10/19/16,Theft (Of Bicycle)
16-4602,10/19/16,10/19/16,Theft
16-4601,10/19/16,10/19/16,Traffic Crash-Property Damage
16-4600,10/19/16,10/19/16,Theft
16-4599,10/19/16,10/19/16,Possession Of Drugs
16-4597,10/19/16,10/18/16,Theft
16-4594,10/19/16,10/19/16,Traffic Crash-Property Damage
16-4593,10/19/16,9/29/16,Theft (Of Bicycle)
16-4591,10/19/16,10/19/16,Theft (Of Bicycle)
16-4587,10/19/16,10/19/20,Assist Other Agency
16-4582,10/19/16,10/19/16,Assist Other Agency
16-4581,10/19/16,10/19/16,Ill Aided
16-4578,10/18/16,10/18/16,Drug Paraphernalia
16-4577,10/18/16,10/18/16,Possession Of Drugs
16-4575,10/18/16,10/18/16,Theft (Of Bicycle)
16-4571,10/18/16,10/18/16,Drug Paraphernalia
16-4570,10/18/16,10/18/16,Theft
16-4569,10/18/16,10/18/16,Theft
16-4566,10/18/16,10/18/16,Traffic Crash-Property Damage-Hit Skip
16-4563,10/18/16,10/18/16,Assist Other Agency
16-4562,10/18/16,10/18/16,Assist Other Agency
16-4561,10/18/16,5/31/16,Theft in Office
16-4555,10/17/16,10/17/16,Possessing Drug Abuse Instruments
16-4553,10/17/16,10/17/16,Theft
16-4552,10/17/16,10/17/16,Drug Paraphernalia
16-4549,10/17/16,10/17/16,Theft
16-4548,10/17/16,10/12/16,Theft (Of Bicycle)
16-4547,10/17/16,10/12/16,Theft (Of Bicycle)
16-4545,10/17/16,10/17/16,Theft (From Auto)
16-4543,10/17/16,10/17/16,Theft (Of Bicycle)
16-4541,10/17/16,10/17/16,Traffic Crash-Property Damage
16-4540,10/17/16,10/17/16,Possession Of Drugs
16-4539,10/17/16,10/17/16,Theft (Of Bicycle)
16-4537,10/14/16,2/15/15,Administrative Information
16-4536,10/17/16,9/26/16,Theft
16-4532,10/16/16,10/15/20,Theft
16-4531,10/12/16,10/12/16,Prohibited Acts
16-4530,10/16/16,10/16/16,Ill Aided
16-4529,10/16/16,10/16/16,Theft
16-4528,10/16/16,10/16/16,Criminal Damaging
16-4527,10/16/16,10/16/16,Assist Other Agency
16-4526,10/16/16,10/14/16,Theft (Of Bicycle)
16-4525,10/16/16,10/16/16,Ill Aided
16-4515,10/15/16,10/15/16,Theft
16-4514,10/15/16,10/15/16,Theft (Of Bicycle)
16-4512,10/15/16,10/15/16,Public Accident
16-4508,10/15/16,10/15/16,Drug Paraphernalia
16-4506,10/15/16,10/15/16,Driving Under Suspension
16-4504,10/14/16,10/14/16,Theft (From Auto)
16-4502,10/14/16,10/14/16,Theft
16-4502,11/19/16,11/14/16,Theft
16-4501,10/14/16,10/14/16,Theft
16-4499,10/14/16,10/14/16,Drug Paraphernalia
16-4498,10/14/16,1/1/15,Administrative Information
16-4498,10/19/16,10/19/16,Supplement
16-4495,10/14/16,9/27/16,Rape
16-4495,10/14/16,9/27/16,Rape
16-4494,10/14/16,10/14/16,Traffic Crash-Property Damage
16-4493,10/14/16,10/14/16,Traffic Crash-Property Damage
16-4491,10/14/16,10/14/16,Offenses Involving Underage Persons
16-4488,10/13/16,10/13/16,Assault
16-4486,10/13/16,10/13/16,Drug Paraphernalia
16-4485,10/13/16,10/13/16,Criminal Damaging
16-4483,10/13/16,10/13/16,Drug Paraphernalia
16-4482,10/13/16,10/13/16,Theft (From Auto)
16-4479,10/13/16,10/10/16,Theft (Of Bicycle)
16-4478,10/13/16,10/17/20,Theft
16-4478,10/13/16,10/17/15,Theft
16-4477,10/13/16,10/13/16,Prohibited Acts
16-4476,10/13/16,10/12/16,Theft
16-4472,10/13/16,10/13/16,Theft
16-4470,10/13/16,10/13/16,Traffic Crash-Property Damage
16-4468,10/13/16,10/13/16,Possessing Drug Abuse Instruments
16-4467,10/13/16,10/13/16,Administrative Information
16-4463,10/13/16,10/12/16,Traffic Crash-Property Damage-Hit Skip
16-4460,10/12/16,10/12/16,Possession Of Drugs
16-4448,10/12/16,10/12/16,Administrative Information
16-4447,10/12/16,10/12/16,Administrative Information
16-4446,10/12/16,10/3/16,Theft (Of Bicycle)
16-4445,10/12/16,10/5/20,Theft
16-4443,10/12/16,10/11/16,Theft (Of Bicycle)
16-4442,10/12/16,10/5/16,Theft (Of Bicycle)
16-4439,10/12/16,10/12/16,Theft
16-4434,10/11/16,10/11/16,Traffic Crash-Injury
16-4433,10/11/16,10/10/16,Theft (Of Bicycle)
16-4432,10/11/16,10/11/16,Theft (Of Bicycle)
16-4430,10/11/16,10/7/16,Theft (Of Bicycle)
16-4429,10/11/16,10/11/16,Ill Aided
16-4428,10/11/16,10/10/16,Theft (Of Bicycle)
16-4427,10/11/16,10/10/16,Theft (Of Bicycle)
16-4426,10/11/16,10/11/16,Theft (Of Bicycle)
16-4424,10/11/16,10/10/16,Theft (Of Bicycle)
16-4422,10/11/16,10/10/16,Theft (Of Bicycle)
16-4420,10/10/16,10/10/16,Disorderly Conduct
16-4418,10/10/16,10/01/0201,Theft (Of Bicycle)
16-4417,10/10/16,10/10/0201,Theft (Of Bicycle)
16-4414,10/10/16,10/6/16,Theft
16-4413,10/10/16,10/10/0201,Ill Aided
16-4411,10/10/16,10/10/0201,Prohibited Acts
16-4409,10/8/16,10/8/16,Disorderly Conduct
16-4408,10/8/16,10/8/16,Offenses Involving Underage Persons
16-4406,10/10/16,10/05/0201,Theft
16-4403,10/10/16,10/10/0201,Possession Of Drugs
16-4402,10/9/16,10/8/16,Administrative Information
16-4401,10/9/16,10/9/16,Theft (Of Bicycle)
16-4398,10/9/16,10/9/16,Criminal Mischief
16-4397,10/9/16,10/9/16,Theft
16-4396,10/9/16,10/9/16,Theft
16-4394,10/9/16,10/9/16,Possession Of Drugs
16-4391,10/9/16,10/9/16,Disorderly Conduct
16-4388,10/9/16,10/9/16,Theft (Of Bicycle)
16-4385,10/8/16,10/9/16,Possessing Drug Abuse Instruments
16-4383,10/8/16,10/8/16,Ill Aided
16-4380,10/8/16,10/8/16,Disorderly Conduct
16-4378,10/8/16,10/8/16,Disorderly Conduct
16-4374,10/8/16,10/8/16,Disorderly Conduct
16-4372,10/8/16,10/8/16,Public Accident
16-4370,10/8/16,10/8/16,Offenses Involving Underage Persons
16-4369,10/8/16,10/8/16,Robbery
16-4367,10/8/16,10/8/16,Offenses Involving Underage Persons
16-4362,10/8/16,10/7/16,Traffic Crash-Property Damage-Hit Skip
16-4360,10/8/16,10/6/16,Theft (Of Bicycle)
16-4359,10/8/16,10/5/16,Theft (Of Bicycle)
16-5358,10/8/16,10/8/16,Disorderly Conduct
16-4355,10/8/16,10/8/16,Offenses Involving Underage Persons
16-4353,10/8/16,10/8/16,Offenses Involving Underage Persons
16-4352,10/7/16,10/7/16,Disorderly Conduct
16-4348,10/7/16,10/7/16,Theft
16-4348,10/20/16,10/20/16,Supplement
16-4347,10/7/16,10/7/16,Drug Paraphernalia
16-4346,10/7/16,10/4/16,Traffic Crash-Property Damage-Hit Skip
16-4344,10/7/16,10/7/16,Houst on  House
16-4343,10/7/16,10/7/16,Theft
16-4341,10/7/16,9/29/16,Telecommunications Harassment
16-4340,10/7/16,10/7/16,Ill Aided
16-4339,10/7/16,10/4/16,Theft
16-4339,10/10/16,10/10/16,Supplement
16-4338,10/7/16,10/7/16,Ill Aided
16-4336,10/7/16,10/7/16,Traffic Crash-Property Damage
16-4335,10/7/16,10/7/16,Ill Aided
16-4334,10/7/16,10/6/16,Theft (Of Bicycle)
16-4333,10/7/16,9/20/16,Administrative Information
16-4325,10/7/16,10/7/16,Disorderly Conduct
16-4323,10/6/16,10/6/16,Theft (From Auto)
16-4321,10/6/16,10/6/16,Criminal Damaging
16-4320,10/6/16,10/6/16,Theft (From Auto)
16-4318,10/6/16,10/26/16,Criminal Damaging
16-4317,10/6/16,10/6/16,Theft (From Auto)
16-4316,10/6/16,10/6/16,Theft
16-4313,10/6/16,9/19/16,Theft (Of Bicycle)
16-4305,10/6/16,10/5/16,Theft
16-4304,10/6/16,10/6/16,Traffic Crash-Property Damage-Hit Skip
16-4303,10/6/16,9/18/16,Theft (Of Bicycle)
16-4302,10/6/16,10/2/16,Theft (Of Bicycle)
16-4301,10/6/16,10/6/16,Traffic Crash-Property Damage-Hit Skip
16-4300,10/6/16,9/26/16,Administrative Information
16-4299,10/6/16,08/20/0201,Identity Fraud
16-4295,10/6/16,10/5/16,Theft
16-4291,10/5/16,10/5/16,Possession Of Drugs
16-4290,10/5/16,10/5/16,Assault
16-4286,10/5/16,10/5/16,Missing Person
16-4286,10/5/16,10/5/16,Missing Person
16-4284,10/5/16,10/5/16,Theft
16-4283,10/5/16,10/5/16,Drug Paraphernalia
16-4282,10/5/16,10/5/16,Drug Paraphernalia
16-4281,10/5/16,10/5/16,Ill Aided
16-4279,10/5/16,10/5/16,Assist Other Agency
16-4278,10/5/16,10/5/16,Traffic Crash-Property Damage-Hit Skip
16-4275,10/5/16,10/4/16,Theft (Of Bicycle)
16-4272,10/5/16,10/4/16,Disorderly Conduct
16-4271,10/5/16,9/16/16,Theft
16-4269,10/5/16,10/5/16,Property Impound
16-4266,10/4/16,10/4/16,Theft (From Auto)
16-4261,10/4/16,9/23/16,Theft (Of Bicycle)
16-4260,10/4/16,10/4/16,Theft (Of Bicycle)
16-4259,10/4/16,10/4/16,Theft
16-4252,10/4/16,10/4/16,Assault
16-4252,10/11/16,10/11/16,Supplement
16-4248,10/4/16,10/4/16,Traffic Crash-Property Damage
16-4246,10/4/16,10/4/16,Theft
16-4245,10/4/16,9/13/16,Theft
16-4244,10/4/16,10/3/16,Theft (Of Bicycle)
16-4243,10/4/16,10/3/16,Theft
16-4241,10/4/16,10/4/16,Ill Aided
16-4240,10/4/16,10/4/16,Inducing Panic
16-4239,10/4/16,10/4/16,Inducing Panic
16-4233,10/3/16,10/3/16,Drug Paraphernalia
16-4232,10/4/16,9/25/16,Theft
16-4231,9/30/16,9/30/16,Theft (Of Bicycle)
16-4231,10/15/16,10/15/16,Supplement
16-4229,10/3/16,10/3/16,Ill Aided
16-4227,10/3/16,10/3/16,Theft
16-4227,10/6/16,10/6/16,Supplement
16-4224,10/3/16,10/3/16,Traffic Crash-Property Damage
16-4224,10/3/16,10/3/16,Traffic Crash-Property Damage
16-4223,10/3/16,10/3/16,Ill Aided
16-4222,10/3/16,10/3/16,Ill Aided
16-4220,10/3/16,9/23/16,Theft (Of Bicycle)
16-4218,10/3/16,9/30/16,Theft (Of Bicycle)
16-4217,10/3/16,10/3/16,Traffic Crash-Injury-Hit Skip
16-4216,10/3/16,9/30/16,Theft (Of Bicycle)
16-4214,10/3/16,10/3/16,Supplement
16-4214,10/3/16,10/3/16,Theft
16-4210,10/2/16,10/2/16,Theft
16-4205,10/2/16,10/1/16,Theft (Of Bicycle)
16-4205,11/16/16,11/16/16,Supplement
16-4202,10/2/16,9/29/16,Theft (Of Bicycle)
16-4199,10/2/16,10/2/16,Theft
16-4196,10/2/16,10/2/16,Offenses Involving Underage Persons
16-4194,10/2/16,10/2/16,Disorderly Conduct
16-4193,10/2/16,10/2/16,Assist Other Agency
16-4190,10/2/16,10/2/16,Disorderly Conduct
16-4189,10/2/16,10/2/16,Driving Under Suspension
16-4185,10/2/16,10/2/16,Offenses Involving Underage Persons
16-4180,10/1/16,10/1/16,Criminal Damaging
16-4180,10/3/16,10/3/16,Supplement
16-4179,10/1/16,10/1/16,Theft
16-4178,10/1/16,10/1/16,Disorderly Conduct
16-4175,10/1/16,9/30/16,Theft (Of Bicycle)
16-4173,10/1/16,10/1/16,Ill Aided
16-4171,10/1/16,10/1/16,Theft (From Auto)
16-4168,10/1/16,10/1/16,Offenses Involving Underage Persons
16-4167,10/1/16,10/1/16,Offenses Involving Underage Persons
16-4166,10/1/16,10/1/16,Public Urination
16-4165,10/1/16,10/1/16,Offenses Involving Underage Persons
16-4164,10/1/16,10/1/16,Possessing Criminal Tools
16-4163,10/1/16,10/1/16,Offenses Involving Underage Persons
16-4161,10/1/16,10/1/16,Offenses Involving Underage Persons
16-4159,10/1/16,10/1/16,Traffic Crash-Property Damage
16-4156,10/1/16,10/1/16,Ill Aided
16-4155,10/1/16,10/1/16,Disorderly Conduct
16-4154,10/1/16,10/1/16,Assault
16-4152,10/1/16,10/1/16,Disorderly Conduct
16-4151,10/1/16,10/1/16,Offenses Involving Underage Persons
16-4149,10/1/16,10/1/16,Possession Of Drugs
16-4148,9/30/16,9/30/16,Theft
16-4147,9/30/16,9/30/16,Possession Of Drugs
16-4146,9/30/16,9/30/16,Theft
16-4145,9/30/16,9/30/16,Traffic Crash-Injury
16-4144,9/30/16,9/30/16,Prohibited Acts
16-4143,9/30/16,9/30/16,Ill Aided
16-4142,9/30/16,9/30/16,Disorderly Conduct
16-4141,9/30/16,9/30/16,Traffic Crash-Property Damage
16-4140,9/30/16,9/29/16,Theft (From Auto)
16-4139,9/30/16,9/30/16,Offenses Involving Underage Persons
16-4132,9/30/16,9/30/16,Offenses Involving Underage Persons
16-4130,9/30/16,9/30/16,Ill Aided
16-4128,9/29/16,9/29/16,Traffic Crash-Property Damage
16-4128,11/2/16,11/2/16,Supplement
16-4127,9/29/16,9/29/16,Ill Aided
16-4126,9/29/16,9/29/16,Possession Of Drugs
16-4124,9/29/16,9/12/16,Theft
16-4124,10/5/16,10/5/16,Supplement
16-4123,9/29/16,9/29/16,Theft (Of Bicycle)
16-4121,9/29/16,9/29/16,Theft
16-4121,9/30/16,9/30/16,Supplement
16-4121,10/20/16,10/20/16,Supplement
16-4120,9/29/16,9/23/16,Administrative Information
16-4119,9/29/16,9/29/16,Ill Aided
16-4116,9/29/16,9/29/16,Theft
16-4115,9/29/16,9/23/16,Theft
16-4114,9/29/16,9/29/16,Criminal Trespass
16-4113,9/28/16,9/28/16,Possession Of Drugs
16-4111,9/28/16,9/17/16,Theft
16-4110,9/28/16,9/28/16,Theft (From Auto)
16-4109,9/28/16,9/28/16,Ill Aided
16-4106,9/28/16,9/28/16,Administrative Information
16-4105,9/28/16,9/25/16,Theft (From Auto)
16-4104,9/28/16,9/28/16,Theft (From Auto)
16-4103,9/28/16,9/28/16,Traffic Crash-Injury
16-4099,9/28/16,9/24/16,Theft (Of Bicycle)
16-4098,9/28/16,9/28/16,Theft
16-4095,9/27/16,9/27/16,Disorderly Conduct
16-4093,9/27/16,9/27/16,Assist Other Agency
16-4091,9/27/16,9/25/16,Theft (Of Bicycle)
16-4090,9/27/16,9/25/16,Theft (Of Bicycle)
16-4089,9/27/16,9/27/16,Traffic Crash-Injury-Hit Skip
16-4088,9/27/16,9/27/16,Traffic Crash-Property Damage
16-4087,9/27/16,9/27/16,Theft
16-4086,9/27/16,9/27/16,Traffic Crash-Property Damage
16-4082,9/27/16,9/27/16,Drug Paraphernalia
16-4081,9/27/16,9/27/16,Criminal Trespass
16-4078,9/26/16,9/22/16,Theft (Of Bicycle)
16-4077,9/26/16,9/23/16,Theft (Of Bicycle)
16-4076,9/26/16,9/23/16,Theft (Of Bicycle)
16-4074,9/26/16,9/24/16,Theft
16-4073,9/26/16,9/26/16,Theft (Of Bicycle)
16-4071,9/26/16,9/26/16,Theft
16-4070,9/26/16,9/14/16,Theft
16-4070,10/15/16,10/15/16,Supplement
16-4069,9/26/16,9/25/16,Disorderly Conduct
16-4067,9/25/16,9/25/16,Assist Other Agency
16-4066,9/25/16,9/25/16,Assault
16-4060,9/25/16,9/22/16,Theft (Of Bicycle)
16-4052,9/25/16,9/25/16,Ill Aided
16-4051,9/25/16,9/24/16,Rape
16-4051,9/25/16,9/24/16,Rape
16-4050,9/25/16,9/25/16,Possession Of Drugs
16-4047,9/24/16,9/24/16,Offenses Involving Underage Persons
16-4045,9/24/16,9/24/16,Ill Aided
16-4042,9/24/16,9/24/16,Assist Other Agency
16-4039,9/24/16,8/27/16,Administrative Information
16-4037,9/24/16,9/23/16,Theft
16-4036,9/24/16,9/24/16,Administrative Information
16-4035,9/24/16,9/23/16,Administrative Information
16-4031,9/24/16,9/24/16,Theft
16-4028,9/24/16,9/24/16,Offenses Involving Underage Persons
16-4027,9/24/16,9/24/16,Offenses Involving Underage Persons
16-4025,9/24/16,9/24/16,Offenses Involving Underage Persons
16-4024,9/24/16,9/24/16,Disorderly Conduct
16-4021,9/23/16,9/23/16,Possessing Drug Abuse Instruments
16-4020,9/23/16,9/23/16,Traffic Crash-Property Damage-Hit Skip
16-4018,9/23/16,9/21/16,Theft (Of Bicycle)
16-4017,9/23/16,10/15/14,Sexual Imposition
16-4015,9/23/16,9/22/16,Theft (Of Bicycle)
16-4014,9/23/16,9/22/16,
16-4012,9/23/16,9/23/16,Breaking and Entering
16-4012,9/24/16,9/24/16,Supplement
16-4011,9/23/16,9/23/16,Assist Other Agency
16-4009,9/23/16,9/23/16,Theft (Of Bicycle)
16-4008,9/23/16,9/23/16,Offenses Involving Underage Persons
16-4007,9/23/16,9/23/16,Disorderly Conduct
16-4006,9/22/16,9/22/16,Theft
16-4003,9/22/16,9/22/16,Theft
16-4002,9/22/16,9/22/16,Traffic Crash-Property Damage
16-4001,9/22/16,9/11/16,Theft
16-4000,9/22/16,9/22/16,Theft (From Auto)
16-3999,9/22/16,9/22/16,Theft
16-3995,9/22/16,9/19/16,Theft
16-3994,9/22/16,9/22/16,Sexual Imposition
16-3993,9/22/16,9/22/16,Driving Under Suspension
16-3992,9/22/16,9/22/16,Assist Other Agency
16-3991,9/22/16,9/22/16,Disorderly Conduct
16-3988,9/21/16,9/21/16,Public Accident
16-3987,9/21/16,9/21/16,Theft (Of Bicycle)
16-3986,9/21/16,9/21/16,Criminal Damaging
16-3985,9/21/16,9/21/16,Telecommunications Harassment
16-3983,9/21/16,9/21/16,Traffic Crash-Injury
16-3982,9/21/16,9/21/16,Theft
16-3981,9/21/16,9/21/16,Traffic Crash-Property Damage-Hit Skip
16-3980,9/21/16,9/21/16,Traffic Crash-Property Damage-Hit Skip
16-3979,9/21/16,9/21/16,Disorderly Conduct
16-3978,9/21/16,9/10/16,Traffic Crash-Property Damage-Hit Skip
16-3977,9/21/16,9/20/16,Theft (Of Bicycle)
16-3976,9/21/16,9/21/16,Telecommunications Harassment
16-3975,9/21/16,9/21/16,Traffic Crash-Property Damage
16-3974,9/21/16,9/21/16,Theft
16-3973,9/21/16,9/20/16,Sexual Imposition
16-3971,9/21/16,9/21/16,Theft (Of Bicycle)
16-3970,9/21/16,9/21/16,Criminal Trespass
16-3969,9/21/16,9/20/16,Criminal Trespass
16-3969,9/21/16,9/21/16,Supplement
16-3968,9/21/16,9/21/16,Traffic Crash-Property Damage
16-3966,9/20/16,9/19/16,Telecommunications Harassment
16-3963,9/20/16,9/20/16,Drug Paraphernalia
16-3961,9/20/16,9/6/16,Theft (Of Bicycle)
16-3958,9/20/16,9/20/16,Sexual Imposition
16-3957,9/20/16,9/20/16,Assist Other Agency
16-3955,9/20/16,9/20/16,Theft (From Auto)
16-3954,9/20/16,9/19/16,Theft (Of Bicycle)
16-3951,9/20/16,9/20/16,Possession Of Drugs
16-3947,9/19/16,9/19/16,Drug Paraphernalia
16-3945,9/19/16,9/19/16,Criminal Damaging
16-3940,9/19/16,9/19/16,Traffic Crash-Property Damage
16-3939,9/19/16,9/12/16,Theft
16-3938,9/19/16,9/19/16,Criminal Damaging
16-3937,9/19/16,9/19/16,Administrative Information
16-3936,9/19/16,9/17/16,Theft (Of Bicycle)
16-3934,9/19/16,9/19/16,Administrative Information
16-3932,9/19/16,9/19/16,Traffic Crash-Property Damage
16-3931,9/19/16,9/19/16,Traffic Crash-Property Damage-Hit Skip
16-3928,9/18/16,9/18/16,Administrative Information
16-3924,9/18/16,9/18/16,Theft
16-3923,9/18/16,9/18/16,Drug Paraphernalia
16-3921,9/18/16,9/18/16,Disorderly Conduct
16-3920,9/18/16,9/18/16,Disorderly Conduct
16-3916,9/17/16,9/14/16,Theft
16-3915,9/17/16,9/17/16,Offenses Involving Underage Persons
16-3913,9/17/16,9/16/16,Administrative Information
16-3909,9/17/16,9/17/16,Administrative Information
16-3908,9/17/16,9/17/16,Theft
16-3906,9/17/16,9/17/16,Disorderly Conduct
16-3905,9/17/16,9/17/16,Offenses Involving Underage Persons
16-3904,9/17/16,9/16/16,Criminal Mischief
16-3902,9/16/16,9/16/16,Possession Of Drugs
16-3901,9/16/16,9/16/16,Offenses Involving Underage Persons
16-3900,9/16/16,9/16/16,Theft (Of Bicycle)
16-3898,9/16/16,9/16/16,Drug Paraphernalia
16-3897,9/16/16,9/16/16,Public indecency
16-3896,9/16/16,9/16/16,Theft
16-3895,9/16/16,9/16/16,Theft (Of Auto)
16-3895,9/19/16,9/16/16,Supplement
16-3894,9/16/16,9/15/16,Theft (Of Bicycle)
16-3893,9/16/16,9/16/16,Traffic Crash-Property Damage-Hit Skip
16-3892,9/16/16,9/16/16,Traffic Crash-Property Damage
16-3891,9/16/16,9/16/16,Disorderly Conduct
16-3890,9/16/16,9/16/16,Theft
16-3887,9/16/16,9/16/16,Theft (Of Bicycle)
16-3886,9/16/16,9/16/16,Traffic Crash-Property Damage
16-3883,9/16/16,9/11/16,Theft
16-3880,9/16/16,9/16/16,Ill Aided
16-3877,9/15/16,9/15/16,Traffic Crash-Property Damage
16-3876,9/15/16,9/15/16,Disorderly Conduct
16-3875,9/15/16,9/15/16,Disorderly Conduct
16-3874,9/15/16,9/15/16,Open Container
16-3873,9/15/16,9/15/16,
16-3870,9/15/16,9/15/16,Theft
16-3870,10/5/16,10/5/16,Supplement
16-3869,9/15/16,9/15/16,Drug Paraphernalia
16-3868,9/15/16,9/15/16,Drug Paraphernalia
16-3867,9/15/16,9/14/16,Criminal Trespass
16-3865,9/14/16,9/14/16,Assault
16-3864,9/15/16,9/15/16,Criminal Damaging
16-3862,9/15/16,9/14/16,Administrative Information
16-3860,9/15/16,9/15/16,Traffic Crash-Property Damage
16-3859,9/15/16,9/15/16,Theft
16-3856,9/15/16,9/15/16,Administrative Information
16-3855,9/15/16,9/14/16,Theft
16-3852,9/13/16,9/13/16,Traffic Crash-Property Damage-Hit Skip
16-3851,9/14/16,9/13/14,Traffic Crash-Property Damage-Hit Skip
16-3850,9/14/16,9/9/16,Theft (Of Bicycle)
16-3848,9/14/16,9/14/16,Theft
16-3847,9/14/16,9/13/16,Graffitism
16-3846,9/14/16,9/13/16,Telecommunications Harassment
16-3844,9/14/16,9/10/16,Gross Sexual Imposition
16-3843,9/14/16,9/10/16,Theft (Of Bicycle)
16-3841,9/14/16,9/13/16,Theft
16-3839,9/14/16,9/14/16,Assist Other Agency
16-3838,9/14/16,9/14/16,Ill Aided
16-3837,9/14/16,9/14/16,Offenses Involving Underage Persons
16-3836,9/4/16,9/4/16,Administrative Information
16-3835,9/14/16,9/14/16,Administrative Information
16-3834,9/13/16,9/13/16,Drug Paraphernalia
16-3832,9/13/16,9/13/16,Traffic Crash-Property Damage-Hit Skip
