Report Number,Date Reported (Reported on),Time Reported (Reported on),Date  Occurred (Incident From),Time Occurred (Incident From),Incident Type,Location
14-3887,10/9/14,12:56,10/8/14,9:50,Theft (Of Bicycle),Schoenbaum  Hall
14-3886,10/9/14,11:35,10/9/14,11:30,Theft,Care Point  East
14-3882,10/9/14,1:22,10/9/14,1:22,Physical Control,Martha Moorhouse
14-3881,10/9/14,0:48,10/9/14,0:48,Assist Other Agency,88  E Lane Ave
14-3876,10/8/14,21:13,10/8/14,21:13,Drug Paraphernalia,Kinnear Road Center Build ing B
14-3874,10/8/14,21:30,10/8/14,19:00,Theft (Of Bicycle),18th Ave Library
14-3873,10/8/14,19:43,10/8/14,8:00,Theft (Of Bicycle),Drinko Hall
14-3870,10/8/14,16:21,10/8/14,16:00,Theft,Ma rtha Morehouse
14-3869,10/8/14,16:31,10/4/14,16:00,Theft (Of Bicycle),Buckeye Village
14-3868,N/A,16:16,10/4/14,10:10,Traffic Crash-Property Damage,John Herrick Dr and Vernon Tharp St
14-3866,10/8/14,13:43,10/8/14,13:42,Traffic Crash-Injury,Buckeye Lots
14-3865,10/8/14,13:19,10/8/14,13:00,Theft,Mendenhall  Lab
14-3865,10/15/14,11:24,10/15/14,11:24,Supplement,Blankenship Hall
14-3864,10/8/14,14:52,10/8/14,13:47,Theft,OSU East Medical Center
14-3861,10/8/14,10:38,10/7/14,5:50,Theft,Bevis  Hall
14-3859,10/8/14,9:14,10/8/14,9:14,Ill Aided,Younkin Success Center
14-3857,10/8/14,3:51,10/8/14,3:51,Assist Other Agency,High  St/
14-3853,10/7/14,19:54,10/2/14,12:30,Theft (Of Bicycle),Drackett Tower
14-3852,10/7/14,18:29,10/2/14,8:30,Theft,Doan Hall
14-3851,10/7/14,14:38,10/6/14,14:00,Theft (Of Bicycle),Lincoln Tower
14-3850,10/7/14,15:17,9/30/14,19:00,Theft,Hitchcock Hall
14-3849,10/7/14,12:03,10/5/14,7:00,Theft,Jones Tower
14-3846,10/7/14,1:51,9/29/14,23:00,Administrative Information,Doan Hall
14-3845,10/6/14,20:18,10/6/14,19:30,Theft,Ohio Union
14-3844,10/6/14,18:48,10/6/14,12:00,Theft,Carmack Rd
14-3844,10/6/14,18:48,10/6/20,12:00,Theft,Blankenship Hall
14-3843,10/6/14,17:12,10/6/20,8:45,Theft,Ohio Union Parking Garage North
14-3842,10/6/14,19:39,10/6/20,6:45,Traffic Crash-Property Damage,Polo Reid Lots
14-3841,10/6/14,16:12,10/6/14,15:00,Disorderly Conduct,Don Scott Field Airport
14-3841,10/14/14,20:12,10/14/20,20:12,Supplement,Blankenship Hall
14-3840,10/6/14,15:05,10/6/20,15:05,Traffic Crash-Property Damage,Woodruff Ave at CollegeRd
14-3837,10/5/14,21:19,8/27/14,7:00,Theft,Dreese Lab
14-3836,10/6/14,12:34,10/6/14,12:34,Criminal Trespass,Wetlands Research Cent er
14-3833,10/6/14,10:34,10/6/14,7:40,Theft (From Auto),Ohio Union Parking Garage North
14-3832,10/6/14,N/A,10/5/14,N/A,Telecommunications Harassment,Rhodes Hall
14-3830,10/5/14,22:57,10/5/14,22:50,Criminal Damaging,Drake Performance  & Event Center
14-3825,10/5/14,17:43,10/3/14,18:00,Theft,The Ohio  State University
14-3824,10/5/14,13:42,10/5/14,11:30,Theft (Of Bicycle),Morrill Tower
14-3823,10/5/14,12:00,10/5/14,11:00,Theft (From Auto),Kottman Hall
14-3822,10/5/14,10:24,10/5/14,10:24,Criminal Trespass,Dreese Laboratory
14-3820,10/5/14,9:49,10/5/14,9:49,Traffic Crash-Property Damage,West Lane Ave Garage
14-3818,10/5/14,2:28,10/5/14,1:00,Administrative Information,Drackett Tower
14-3817,10/5/14,1:21,10/5/14,1:21,Administrative Information,Neil  Building
14-3816,10/5/14,0:57,10/5/14,0:57,Administrative Information,Smith-Steeb Hall
14-3815,10/5/14,1:10,10/5/14,1:10,Assist Other Agency,Neil Ave/9th Ave
14-3814,10/5/14,0:00,10/5/14,0:00,Drug Paraphernalia,University Hospital East
14-3812,10/4/14,15:10,10/4/14,14:55,Criminal Trespass,Baker Systems
14-3812,10/5/14,N/A,10/5/14,N/A,Supplement,Blankenship Hall
14-3811,10/4/14,14:24,10/4/20,9:00,Theft (Of Bicycle),Ma in  Library
14-3810,10/4/14,13:42,10/3/14,18:00,Theft (Of Bicycle),Nosker House
14-3808,10/4/14,3:57,10/4/14,3:57,Assist Other Agency,Smith-Steeb Hall
14-3807,10/3/14,22:38,10/3/14,22:30,Offenses Involving underage persons,Morrill Tower
14-3805,10/3/14,20:28,10/3/14,20:28,Possession of Drugs,Ha rding Hospital
14-3802,10/3/14,17:16,10/1/20,19:15,Theft,Talbot Hall
14-3801,10/3/14,16:54,10/3/14,7:10,Traffic Crash-Property Damage-Hit Skip,Fawcett Center
14-3800,10/3/14,15:19,9/22/14,23:00,Theft (Of Bicycle),Drackett Tower
14-3797,10/3/14,11:17,10/3/14,11:17,Traffic Crash-Property Damage-Hit Skip,Carmack 2
14-3796,10/3/14,11:24,1/1/14,11:24,Theft,Hospitals  East
14-3791,10/3/14,2:18,10/3/14,2:18,Felonious Assault,Taylor Property
14-3790,10/3/14,1:39,10/3/14,1:39,Offenses Involving underage persons,Worthington   Ave /  W 11th Ave
14-3789,10/3/14,1:27,9/26/14,1:27,Administrative Information,1842 India nola Ave
14-3788,10/3/14,0:14,10/3/14,0:02,Drug Paraphernalia,OSU East Medical Center
14-3787,10/3/14,0:04,10/3/14,0:04,Ill Aided,Jones Tower
14-3785,10/2/14,21:49,10/2/14,21:48,Drug Paraphernalia,Hospitals Serurity
14-3784,10/2/14,20:15,9/26/14,22:00,Theft,OSU Veterinary Hospital
14-3784,10/9/14,18:13,10/9/14,18:13,Supplement,Blankenship Hall
14-3779,10/2/14,16:19,9/30/14,17:00,Theft (Of Bicycle),Drackett Tower
14-3776,10/2/14,16:00,10/2/14,7:50,Theft (Of Bicycle),Atwell Hall
14-3775,10/2/14,14:47,10/2/14,14:46,Ill Aided,Younkin Success Center
14-3774,10/2/14,11:26,10/2/14,11:25,Traffic Crash-Property Damage,Arps Hall
14-3773,10/2/14,10:19,9/21/14,20:00,Theft,Rhodes Hall
14-3768,10/2/14,0:18,10/2/14,0:18,Obstructing Official Business,660 Akenman Dr
14-3766,10/1/14,23:10,10/1/14,12:00,Missing Person,Scott Hall
14-3766,10/21/14,9:44,10/21/14,9:44,Supplement,Blankenship Hall
14-3765,N/A,22:03,10/1/14,21:35,Drug Paraphernalia,Hospitals Security
14-3763,10/1/14,19:16,10/1/14,19:16,Traffic Crash-Property Damage,Northwest Stadium Lot
14-3758,10/1/14,13:24,10/1/14,13:23,Traffic Crash-Property Damage,Paterson Hall
14-3757,10/1/14,11:32,10/1/14,11:32,Possession of Drugs,osu East
14-3750,10/1/14,1:17,10/1/14,1:17,Receiving Stolen Property,Sullivant Hall
14-3749,9/30/14,23:03,9/30/14,23:03,Ill Aided,Stillman Hall
14-3748,9/30/14,22:16,9/30/14,15:30,Theft (Of Bicycle),Kennedy  Commons
14-3745,9/30/14,19:49,9/30/14,10:00,Theft (Of Bicycle),Drinko  Hall
14-3744,9/30/14,19:01,9/30/14,19:01,Driving Under Suspension,Northwest Stadium
14-3742,9/30/14,18:36,9/30/14,18:36,Traffic Crash-Injury,Institute Behaviorial Medicine Research
14-3740,9/30/14,15:04,9/30/14,15:04,Ill Aided,Wilce Student Health
14-3736,9/30/14,12:57,9/30/14,12:57,Ill Aided,OSU Hospitals East
14-3732,9/30/14,9:47,9/29/14,17:00,Administrative Information,Bricker Hall
14-3730,9/30/14,4:27,9/30/14,4:27,Theft,OSU Medical Center East
14-3723,9/29/14,15:05,9/29/20,15:05,Ill Aided,Younkin Success Center
14-3722,9/29/14,15:08,9/29/20,14:20,Administrative Information,Martha Morehouse
14-3719,9/29/14,13:33,9/28/14,21:50,Assault,Neil Avenue Building
14-3719,10/14/14,7:08,10/14/14,7:08,Supplement,Blankenship Ha ll
14-3716,9/29/14,11:57,9/29/20,11:57,Ill Aided,Smith-Steeb Hall
14-3714,9/29/14,11:07,9/28/14,21:30,Theft (Of Bicycle),Norton House
14-3713,9/29/14,10:34,9/27/14,11:00,Theft (Of Bicycle),Smith-Steeb Hall
14-3712,9/29/14,9:13,9/28/20,21:00,Theft (Of Bicycle),Drackett Tower
14-3708,9/28/14,23:13,9/28/14,23:08,Drug Paraphernalia,OSU Medical Center
14-3707,9/28/14,22:06,9/27/14,23:30,Theft,Smith-Steeb Hall
14-3706,9/28/14,21:50,9/28/20,19:00,Theft (Of Bicycle),Drackett Tower
14-3700,9/28/14,11:49,9/27/14,13:30,Theft (From Auto),Buckeye Lots
14-3698,9/28/14,8:13,9/27/14,22:00,Criminal Damaging,Physics Research Building
14-3697,9/28/14,5:20,9/28/14,5:19,Property Impound,Blankenship Hall
14-3692,9/28/14,0:06,9/27/14,23:30,AdministrativeInformation,Norton House
14-3691,9/27/14,22:39,9/27/14,16:00,Criminal Damaging,Ohio Union North Parking Garage
14-3690,9/27/14,22:39,9/27/14,16:00,Theft (From Auto),Ohio Union North Parking Garage
14-3689,9/27/14,22:05,9/27/14,15:00,Theft (From Auto),Ohio Union North Parking Garage
14-3686,9/27/14,22:00,9/27/14,14:00,Theft (From Auto),Ohio Union North Parking Garage
14-3685,9/27/14,22:05,9/27/14,14:00,Theft (From Auto),Ohio Union North Parking Garage
14-3684,9/27/14,21:52,9/27/14,14:00,Theft (From Auto),Ohio Union North Parking Garage
14-3683,9/27/14,21:52,9/27/14,14:00,Theft (From Auto),Ohio Union North Parking Garage
14-3682,9/27/14,21:08,9/27/14,21:08,Offenses Involving underage persons,Park-Stradley Hall
14-3681,9/27/14,N/A,9/27/14,N/A,Traffic Crash-Property Damage,10th / Cannon Dr
14-3680,9/27/14,20:23,9/27/14,17:00,Theft,South French Field House Lot
14-3679,9/27/14,20:07,9/27/14,20:07,Public Indecency,Main Library
14-3677,9/27/14,19:31,9/27/14,19:10,Theft,Ohio Stadium
14-3676,9/27/14,18:44,9/27/14,18:44,Disorderly Conduct,Ohio Stadium
14-3675,9/27/14,18:38,9/27/14,18:38,Offenses Involving underage persons,Smith-Steeb Hall
14-3674,9/27/14,18:13,9/27/14,18:13,Disorderly Conduct,Hughes Hall
14-3673,9/27/14,18:04,9/27/14,18:04,Disorderly Conduct,18th Ave. Library
14-3672,9/27/14,17:45,9/27/14,17:45,Offenses Involving underage persons,Smith-Steeb Hall
14-3669,9/27/14,19:15,9/27/14,19:15, Public Indecency,Coffey and Tharp
14-3668,9/27/14,17:25,9/27/14,17:25,Open Container,Tuttle Park Place Garage
14-3667,9/27/14,N/A,9/27/14,N/A,Offenses Involving underage persons,Hale Hall
14-3666,9/27/14,16:03,9/27/14,16:03,Assist Other Agency,10th and Cannon Dr
14-3665,9/27/14,15:36,9/27/14,15:36,Open Container,Carmack 2 Parking  Lot
14-3664,9/27/14,15:33,9/27/14,15:33,Open Container,Buckeye Lots
14-3662,9/27/14,15:16,9/27/14,15:16,Offenses Involving underage persons,12th and Cannon Parking  Lot
14-3661,9/27/14,15:13,9/27/14,15:13,Open Container,Buckeye Lots
14-3660,9/27/14,15:03,9/27/14,15:03,Open Container,Buckeye Lots
14-3659,9/27/14,15:02,9/27/14,15:02,Open Container,Carmack 4 Pa rking  Lot
14-3658,9/27/14,14:55,9/27/14,14:55,Open Container,12th and Cannon Parking  Lot
14-3657,9/27/14,14:49,9/27/14,14:49,Open Container,Carmack 4 Pa rking  Lot
14-3653,9/27/14,14:25,9/27/14,14:25,Open Container,Polo Field Lots
14-3652,9/27/14,14:20,9/27/14,14:20,Open Container,Buckeye Lots
14-3651,9/27/14,14:12,9/27/14,14:12,Open Container,Polo Field Lots
14-3648,9/27/14,11:45,9/27/14,11:45,Open Container,Sisson Parking Lot
14-3647,9/27/14,10:26,9/27/14,3:17,Rape,Park-Stradley
14-3646,9/27/14,8:26,9/27/14,8:26,Ill Aided,Neil  Building
14-3644,9/27/14,3:10,9/27/14,3:10,Offenses Involving underage persons,Smith-Steeb Hall
14-3643,9/27/14,2:16,9/27/14,2:16,Disorderly Conduct,Drackett Tower
14-3640,9/27/14,1:42,9/27/14,1:41,Offenses Involving underage persons,Smith-Steeb Hall
14-3637,9/26/14,21:36,9/26/14,20:50,Theft,Rhodes Hall
14-3636,9/26/14,18:49,9/26/14,18:00,Theft,Thompson  Library
14-3634,9/26/14,18:20,9/26/14,18:15,Theft,Rhodes Ha ll
14-3633,9/26/14,17:21,9/26/14,15:35,Disorderly Conduct,OSU Hospital East
14-3632,9/26/14,17:31,9/26/14,17:02,Drug Paraphernalia,Ross Heart Hospital
14-3631,9/26/14,16:29,9/26/14,15:50,Assist Other Agency,Doan Hall
14-3628,9/26/14,13:28,9/26/14,13:28,Administrative Information,Harding Hospital
14-3627,9/26/14,12:18,9/25/14,12:30,Traffic Crash-Property Damage-Hit Skip,Safe Auto Parking Garage
14-3626,9/26/14,10:58,9/26/14,10:57,Falsification,Oxley Hall
14-3625,9/26/14,11:25,9/26/14,11:25,Theft,Hospitals East Gift Shop
14-3624,9/26/14,10:23,9/26/14,10:23,Traffic Crash-Property Damage,Martha Morehouse
14-3623,9/26/14,9:57,9/26/14,9:57,Criminal Trespass,Bevis Hall
14-3619,9/25/14,16:46,9/25/14,16:30,Assault,Hospitals East
14-3618,9/25/14,16:25,9/25/14,16:25,Traffic Crash-Property Damage,Carmack 1 Parking Lot
14-3617,9/25/14,15:54,9/25/14,6:15,Theft (From Auto),Ohio Union Parking Garage North
14-3616,9/25/14,16:16,9/25/14,16:15,Traffic Crash-Property Damage,Polo Field Lots
14-3615,9/25/14,14:11,9/25/14,14:11,Assist Other Agency,Oladwick Lake
14-3614,9/25/14,14:23,9/25/14,10:45,Theft (From Auto),Sout Sub Base Parking Lot
14-3613,9/25/04,N/A,9/25/14,N/A,Theft,Wiseman Hall
14-3607,9/25/14,14:04,9/25/14,8:30,Theft,Doan Hall
14-3604,9/25/14,11:18,9/25/14,11:18,Ill Aided,Younkin Success Center
14-3602,9/25/14,8:49,9/24/14,16:30,Extortion,Doan Hall
14-3597,9/24/14,19:41,9/24/14,6:45,Traffic Crash-Property Damage,Polo Reid Lots
14-3594,9/24/14,17:04,9/19/14,1:00,Telecommunications Harassment,Residence on 10th
14-3591,9/24/14,13:28,9/15/14,7:00,Theft (From Auto),West Stadium Lot
14-3583,9/24/14,8:26,4/19/14,0:01,Theft,Wexner Med ical Center at OSU
14-3583,12/15/14,17:08,12/15/14,17:08,Supplement,Wexner Med ical Center at OSU
14-3582,9/23/14,23:32,9/23/14,23:20,Possession of Drugs,University Hospital East
14-3578,9/23/14,17:11,9/23/14,10:50,Criminal Damaging,12t h and Cannon Parking  Lot
14-3577,9/23/14,17:20,9/23/14,17:20,Traffic Crash-Property Damage,Carmack 1 Parking Lot
14-3576,9/23/14,16:22,9/14/14,22:00,Theft (Of Bicycle),Neliwood Gables
14-3575,9/23/14,N/A,9/24/14,16:36,Property Impound,Bevis Hall
1 4-3573,9/23/14,16:23,9/23/14,16:23,Possession of Drugs,Emergency  Department
14-3572,9/23/14,14:55,9/18/14,14:00,Theft (Of Bicycle),Morr ison  Tower
14-3571,9/23/14,14:57,9/23/14,14:57,Possession of Drugs,Rhodes Ha ll
14-3569,9/23/14,13:32,9/23/14,13:32,Ill Aided,Martha Morehouse
14-3567,9/23/14,10:59,9/23/14,10:59,Traffic Crash-Property Damage,Ohio  Union  Parking  Garage South
14-3566,9/23/14,10:34,9/20/14,12:00,Theft,Doan Hall
14-3565,9/23/14,10:34,9/23/14,10:15,Drug Paraphernalia,OSU Hospital
14-3564,9/23/14,10:14,9/23/14,10:14,Traffic Crash-Property Damage,Riffe Building
14-3563,9/22/14,21:50,9/22/14,21:50,Ill Aided,Have rfie ld  House
14-3561,9/22/14,17:31,9/22/14,17:31,Traffic Crash-Property Damage,Arps Hall
14-3560,9/22/14,18:05,9/19/14,14:15,Theft (Of Bicycle),Lincoln Tower
14-3556,9/22/14,14:05,9/22/14,14:05,Traffic Crash No  Property Damage,18th  Ave at  College  Rd
14-3554,9/22/14,13:01,9/22/14,13:01,Child Endangerment,Buckeye Village
14-3554,11/17/14,14:17,11/17/14,14:17,Supplement,Blankenship  Hall
14-3553,9/22/14,12:31,9/18/14,12:00,Theft (Of Bicycle),Smith-Steeb Hall
14-3551,9/22/14,11:56,9/16/14,18:45,Theft (Of Bicycle),Hagerty Hall
14-3549,9/22/14,10:32,9/18/14,7:00,Telecommunications Harassment,Lane Ave Residence Hall
14-3546,9/22/14,8:45,12/23/10,11:30,Theft,Biolog ica l Sciences Build ing
14-3546,11/17/14,14:17,11/17/14,14:17,Supplement,Blankens hip  Hall
14-3544,9/21/14,22:30,9/21/14,21:37,Theft,RPAC
14-3543,9/21/14,20:51,9/21/14,20:00,Theft,Ohio  Union
14-3542,9/21/14,19:29,9/20/14,21:00,Criminal Damaging,Carmack 5 Pa rking  Lot
14-3540,9/21/14,17:05,9/11/14,22:30,Disorderly Conduct,Taylor Tower
14-3538,9/21/14,17:17,9/21/14,2:28,Making False Alarms,Blankens hip  Hall
14-3536,9/21/14,16:58,9/21/14,19:00,Theft,Hospitals  East
14-3533,9/21/14,11:28,9/20/14,8:00,Theft (Of Bicycle),Paterson Hall
14-3532,N/A,1:34,9/21/14,1:34,Theft,Ohio Union Parking Garage North
14-3530,9/21/14,2:39,9/21/14,2:39,Criminal Mischief,Sm ith-Steeb Hall
14-3528,9/21/14,2:24,9/21/14,2:24,Offenses Involving underage persons,Drinko Hall
14-3527,9/21/14,2:05,9/21/14,2:05,OVI,College   Rd /  Hagerty Rd
14-3522,9/21/14,0:10,9/21/20,0:10,Criminal Trespass,Ohio Stadium
14-3521,9/21/14,0:14,9/21/14,0:14,Ill Aided,Independence Ha ll
14-3520,9/20/14,23:51,9/20/14,23:30,Ill Aided,9th  Ave Parking Garage  (West)
14-3516,9/20/14,18:35,9/20/14,1:30,Theft,Lin co ln Tower
14-3508,9/20/14,0:23,9/20/14,0:23,Offenses Involving underage persons,Park-Strad ley  Ha ll
14-3506,9/19/14,21:13,9/18/14,12:00,Theft (Of Bicycle),Drackett Tower
14-3504,9/19/14,17:57,9/19/14,17:57,No  Operators License,Woody Ha yes  Bridge
14-3503,9/19/14,16:20,9/18/14,23:00,Telecommunications Harassment,Smith-Steeb Hall
14-3503,9/19/14,16:20,9/18/14,23:00,Telecommunications Harassment,Smith -Stee  b
14-3501,9/19/14,13:50,9/19/14,8:30,Theft (From Auto),Arps Parking Garage
14-3500,9/19/14,13:20,9/19/14,13:20,Traffic Crash-Property Damage,OSU Hospita l
14-3499,9/19/14,13:05,9/19/14,11:15,Theft (From Auto),Ohio Unio n Parking Garage North
14-3498,9/19/14,11:47,9/19/14,11:47,Traffic Crash-Property Damage,Woody Hayes and Cannon
14-3497,9/19/14,10:28,9/19/14,10:28,Obstructing Official Business,Sullivant Haq ll
14-3489,9/19/14,5:35,9/19/14,5:15,Missing Person,OSU Medical Center
14-3489,9/24/14,16:20,9/24/14,16:20,Supplement,Blankenship Hall
14-3487,9/19/14,1:37,9/19/14,1:37,Offenses Involving underage persons,Morrison Tower
14-3486,9/19/14,1:13,9/19/14,1:13,Possession of Drugs,Houck House
14-3482,9/18/14,19:11,9/14/14,16:00,Theft (Of Bicycle),Baker Hall West
14-3481,9/18/14,17:17,9/15/14,7:45,Theft (Of Bicycle),RPAC
14-3479,9/18/14,15:00,9/4/14,6:00,Theft,Postle Hall
14-3478,9/18/14,N/A,9/18/14,N/A,Administrative Information,Baker Systems
14-3459,9/17/14,17:45,9/17/14,17:45,Traffic Crash-Injury,Schottenstein Center
14-3458,9/17/14,15:47,9/17/14,15:47,Traffic Crash-Property Damage,Polo Field Lots
14-3456,9/17/14,14:51,9/17/14,11:00,Theft (Of Bicycle),Smith Laboratory
14-3453,9/17/14,13:03,9/17/14,12:30,Disorderly Conduct,Bevis Hall
14-3452,9/17/14,12:26,9/17/14,12:26,Theft,Rhodes Hall
14-3451,9/17/14,11:47,9/17/14,11:47,Theft,Rhodes Hall
14-3450,9/17/14,11:06,9/15/14,8:00,Theft (Of Bicycle),Drackett Tower
14-3448,9/17/14,10:45,9/16/14,0:01,Traffic Crash-Property Damage-Hit Skip,Tuttle Park Garage
14-3445,9/17/14,10:18,6/21/14,0:01,Theft,University Hospitals
14-3444,9/17/14,9:46,9/8/14,15:14,Theft (From Auto),Emergency Department
14-3443,9/17/14,5:02,9/17/14,5:00,Drug Paraphernalia,OSU Medical Center East
14-3440,9/16/14,21:09,9/15/14,10:30,Theft (Of Bicycle),North Commons
14-3438,9/16/14,N/A,9/16/14,17:30,Theft (Of Bicycle),Scott  Laboratory
14-3437,9/16/14,20:41,9/16/14,20:41,Drug Paraphernalia,Emergency Department 
14-3436,9/16/14,20:25,9/16/14,20:25,Ill Aided,Lane Ave Parking Garage
14-3435,9/16/14,19:47,9/16/14,12:15,Theft (From Auto),Hospitals East
14-3435,9/17/14,15:38,9/17/14,15:38,Possession of Drugs,Emergency Department
14-3434,9/16/14,18:35,9/16/14,18:35,Assist Other Agency,Ohio Union Parking Garage North
14-3433,9/16/14,18:37,9/16/14,18:37,Theft (From Auto),Arps Parking Garage
14-3432,9/16/14,18:31,9/16/14,10:00,AdministrativeInformation,Woody Hayes Drive
14-3430,9/16/14,15:49,9/16/14,18:10,Disorderly Conduct,Hawthorn Property
14-3428,9/16/14,14:38,9/16/14,14:38,0-iminal Damaging,Arps Garage
14-3427,9/16/14,13:55,9/16/14,9:00,Property Impound,Mendenhall Lab
14-3425,9/16/14,12:54,9/16/14,12:00,AdministrativeInformation,Blankenship Hall
14-3419,9/16/14,11:50,9/16/14,11:50,Disorderly Conduct,Care Point  East
14-3417,9/16/14,10:13,9/16/14,10:13,Traffic Crash-Property Damage,Northwest Stadium Lot
14-3415,9/16/14,8:20,9/16/14,8:20,Theft (Of Bicycle),Buckeye Village
14-3413,9/15/14,20:48,9/15/14,17:00,Theft,Oval
14-3412,9/15/14,20:38,9/13/14,11:30,Theft (Of Bicycle),Drackett Tower
14-3411,9/15/14,20:02,9/14/14,19:30,Administrative Information,Parle Stradley Ha ll
14-3410,9/15/14,17:31,9/8/14,13:00,Theft (Of Bicycle),Drackett Tower
14-3409,9/15/14,17:22,9/15/14,12:30,Attempted Theft,Kottman Hall
14-3408,9/15/14,16:14,9/15/14,16:14,Theft,Stee b Smith
14-3404,9/15/14,14:42,4/30/14,0:00,Supplement,Steeb Smith
14-3404,9/19/14,3:53,5/1/14,0:00,Administrative Information,Care Point East
14-3403,9/15/14,13:33,9/15/14,13:33,Drug Paraphernalia,Nos ke r House
14-3399,9/15/14,11:59,9/15/14,11:50,Theft,South Cannon Parking Garage
14-3398,9/15/14,10:42,9/15/14,9:38,Traffic Crash-Property Damage,Printing Facility
14-3396,9/15/14,7:11,9/15/14,7:11,Drug Paraphernalia,Emergency Department
14-3394,N/A,0:40,9/14/14,19:00,Theft,RPAC
14-3388,9/14/14,17:16,9/14/14,17:16,Traffic Crash-Property Damage,OSU Golf Course
14-3387,9/14/14,16:17,9/13/14,20:00,Theft (Of Bicycle),Taylor Tower
14-3386,9/14/14,11:58,9/14/14,2:00,Rape,Taylor Tower
14-3386,9/15/14,11:58,9/15/14,2:00,Rape,Taylor Tower
14-3383,9/14/14,12:34,9/13/14,14:00,Theft,Houck House
14-3382,9/14/14,11:30,9/14/14,11:30,Theft,Ohio  Stad  ium
14-3381,9/14/14,11:12,9/14/14,11:12,Menacing,Ohio Union
14-3380,9/14/14,10:38,9/14/14,10:38,Administrative Information,Ohio Union
14-3379,9/14/14,10:42,9/14/14,10:42,Ill Aided,Buckeye Village Sta rkQ  .
14-3376,9/14/14,2:18,9/14/14,2:18,Offenses Involving underage persons,College Rd /  Hagerty Rd
14-3375,9/14/14,1:30,9/14/14,1:30,Offenses Involving underage persons,Jones Tower
14-3371,9/13/14,21:38,9/13/14,21:38,Possession of Drugs,Drackett Tower
14-3368,9/13/14,20:03,9/13/14,9:30,Theft (From Auto),Ohio Union Parking Garage (North)
14-3367,9/13/14,19:10,9/13/14,19:10,Carrying Concealed Weapon,Neil Avenue Parking Garage
14-3365,9/13/14,16:33,9/13/14,16:33,Property Impound,Blankenship Hall
14-3364,9/13/14,15:36,9/13/14,9:30,0-iminal Damaging,Ohio Union North Parking Garage
14-3363,9/13/14,14:55,9/13/14,11:00,Theft (From Auto),Ohio Union North Parking Garage
14-3362,9/13/14,12:08,9/13/14,12:08,AdministrativeInformation,Park-Stradley Hall
14-3361,9/13/14,11:10,9/13/14,11:10,Open Container,Polo Field Lots
14-3359,9/13/14,10:29,9/13/14,10:29,Traffic Crash-Property Damage,Ohio Stadium
14-3357,9/13/14,9:50,9/13/14,9:50,Open Container,Sisson Hall Parking Lot
14-3356,9/13/14,9:05,9/13/14,9:05,Open Container,Vivian Hall Parking Lot
14-3354,9/13/14,8:45,9/13/14,8:45,Open Container,Vivian Hall Parking Lot
14-3347,9/12/14,19:26,9/12/14,12:00,Theft,Prior Hall
14-3345,9/12/14,14:53,9/12/14,14:53,Ill Aided,Metr o  High School
14-3344,9/12/14,16:19,9/12/14,8:30,Theft (From Auto),Arps Parking Garage
14-3343,9/12/14,15:33,9/12/14,14:00,Theft,9th Ave Parking Garage West
14-3340,9/12/14,12:33,9/12/14,8:30,Theft (From Auto),Arps Parking Garage
14-3340,9/12/14,12:33,9/12/14,8:30,Theft (From Auto),Arps Parking Garage
14-3333,9/12/14,8:04,9/9/14,19:00,Theft (Of Bicycle),Taylor
14-3332,9/12/14,7:31,9/12/14,7:31,Property Impound,RPAC
14-3323,9/11/14,20:01,9/9/14,15:00,Theft,Ha rding Hospital
14-3322,9/11/14,20:05,9/9/14,16:00,Theft (Of Bicycle),Smith Stee b Hall
14-332,1/31/14,16:28,1/30/14,18:10,Criminal Mischief,Baker Ha ll West
14-3316,9/11/14,14:27,9/11/14,14:27,Ill Aided,Younkin Success Center
14-3314,9/11/14,13:00,9/9/14,0:01,Traffic Crash-Property Damage-Hit Skip,Agriru ltural Engineering Build ing
14-3313,9/11/14,N/A,9/10/14,N/A,Administrative Information,Hughes Hall
14-3312,9/11/14,11:00,9/10/14,11:00,Theft,Bolz Hall
14-3311,9/11/14,4:58,9/11/14,4:58,Assist Other Agency,RPAC
14-3310,9/11/14,3:25,9/11/14,3:25,Traffic Crash-Property Damage-Hit Skip,9th Ave Pa rking Garage West
14-3309,9/11/14,0:39,9/11/14,0:39,Ill Aided,Baker Hall East
14-3303,9/10/14,14:13,9/10/14,13:44,Possession of Drugs,OSU Hospita l
14-3300,9/10/14,14:10,9/10/14,14:05,Disorderly Conduct,Wendys
14-3299,9/10/14,9:07,9/10/14,9:07,Traffic Crash-Property Damage,Care Point  East
14-3297,9/10/14,0:06,9/9/14,22:30,Theft,RPAC
14-3291,9/9/14,17:02,9/8/14,18:00,Theft (Of Bicycle),Baker Hall East
14-3290,9/9/14,16:36,9/9/14,13:55,Theft,Journalism Building
14-3290,9/18/14,2:31,9/18/14,2:31,Supplement,Blankenship Hall
14-3289,9/9/14,16:00,9/7/14,15:00,Theft (Of Bicycle),Norton House
14-3288,9/9/14,N/A,8/28/14,N/A,Theft,Rhodes Hall
14-3287,9/9/14,14:01,8/25/14,14:01,AdministrativeInformation,Residence on 10th
14-3286,9/9/14,13:45,8/23/14,15:00,Theft,Dulles Hall
14-3285,9/9/14,9:53,9/9/14,9:53,Traffic Crash-Property Damage,Riffe Building
14-3284,9/9/14,8:26,9/9/14,8:26,Assist Other Agency,Main Oval
14-3278,9/8/14,14:35,9/6/14,10:00,Criminal Damaging,St John Arena
14-3277,9/8/14,13:47,9/6/14,18:30,Theft (From Auto),Arps Garage
