Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
15-4235,10/17/15,10/14/15,Traffic Crash-Property Damage-Hit Skip
15-4234,10/17/15,10/17/15,Open Container
15-4233,10/17/15,10/17/20,Offenses involving underage persons
15-4232,10/17/15,10/16/20,Administrative Information
15-4225,10/16/15,10/5/15,Theft
15-4221,10/16/15,9/11/15,Theft
15-4217,10/16/15,10/16/15,Ill Aided
15-4216,10/16/15,10/16/15,Administrative Information
15-4215,10/15/15,10/15/15,Assault
15-4211,10/15/15,10/15/15,Ill Aided
15-4209,10/15/15,10/15/15,Assist Other Agency
15-4194,10/15/15,10/14/15,Theft (From Auto)
15-4190,10/15/15,10/15/15,Assist Other Agency
15-4187,10/14/15,10/13/15,Theft
15-4183,10/14/15,10/14/15,Theft
15-4177,10/14/15,10/9/15,Administrative Information
15-4175,10/14/15,10/14/15,Disorderly Conduct
15-4173,10/14/15,9/14/15,Property Impound
15-4170,10/14/15,9/11/15,Theft
15-4166,10/13/15,10/13/15,Traffic Crash-Property Damage-Hit Skip
15-4164,10/13/15,10/13/15,Criminal Trespass
15-4162,10/13/15,10/10/15,Theft
15-4161,10/13/15,8/26/15,Menacing
15-4160,10/13/15,10/13/15,Drug Paraphernalia
15-4158,10/13/15,10/13/15,Driving Under Suspension
15-4157,10/13/15,10/13/15,Traffic Crash-Property Damage
15-4155,10/13/15,9/18/15,Telecommunications Harassment
15-4154,10/13/15,10/13/15,Traffic Crash-Injury
15-4153,10/12/15,10/12/15,Theft
15-4153,10/27/15,10/27/15,Supplement
15-4152,10/12/15,10/12/15,Drug Paraphernalia
15-4151,10/12/15,10/12/15,Theft
15-4150,10/12/15,10/12/15,Administrative Information
15-4149,10/12/15,10/12/15,Disorderly Conduct
15-4148,10/12/15,10/12/15,Assist Other Agency
15-4146,10/12/15,10/12/15,Assault
15-4145,10/12/15,10/12/15,Traffic Crash-Property Damage
15-4144,10/12/15,10/12/15,Ill Aided
15-4142,10/12/15,10/12/15,Theft
15-4142,10/26/15,10/26/15,Supplement
15-4135,10/12/15,10/12/15,Administrative Information
15-4131,10/12/15,10/12/15,Drug Paraphernalia
15-4130,10/12/15,10/12/15,Administrative Information
15-4123,10/11/15,10/11/15,Assault
15-4122,10/11/15,10/11/15,Theft
15-4122,10/13/15,10/13/15,Supplement
15-4122,10/22/15,10/22/15,Supplement
15-4119,10/11/15,10/11/15,Theft
15-4116,10/11/15,10/11/15,Offenses involving underage persons
15-4112,10/11/15,10/11/15,Offenses involving underage persons
15-4111,10/10/15,8/20/15,Administrative Information
15-4111,10/11/15,10/11/15,Rape
15-4109,10/10/15,10/10/15,Theft (From Auto)
15-4106,10/10/15,10/10/15,Disorderly Conduct
15-4105,10/10/15,10/10/15,Ill Aided
15-4100,10/10/15,10/10/15,Open Container
15-4098,10/10/15,10/10/15,Offenses involving underage persons
15-4097,10/10/15,10/10/15,Criminal Simulation
15-4095,10/10/15,10/10/15,Disorderly Conduct
15-4094,10/10/15,10/9/15,Traffic Crash-Property Damage
15-4093,10/10/15,10/10/15,Traffic Crash-Property Damage
15-4090,10/10/15,10/10/15,Criminal Trespass
15-4089,10/10/15,10/10/15,Disorderly Conduct
15-4088,10/9/15,10/9/15,Disorderly Conduct
15-4086,10/9/15,8/31/15,Administrative Information
15-4084,10/9/15,9/19/15,Theft
15-4082,10/9/15,10/9/15,Traffic Crash-Property Damage
15-4081,10/9/15,10/9/15,Drug Paraphernalia
15-4080,10/9/15,10/9/15,Traffic Crash-Property Damage
15-4079,10/9/15,10/9/15,OVI
15-40 71,10/9/15,10/9/15,Traffic Crash-Property Damage
15-4069,10/9/15,10/4/15,Theft
15-4066,10/9/15,10/9/15,Traffic Crash-Property Damage
15-4065,10/9/15,10/9/15,Offenses involving underage persons
15-4064,10/9/15,10/9/15,Offenses involving underage persons
15-4063,10/9/15,10/9/15,Prohibited Acts
15-4060,10/8/15,10/8/15,Criminal Trespass
15-4059,10/8/15,10/8/15,Theft
15-4057,10/8/15,10/8/15,Theft
15-4056,10/8/15,10/8/15,Traffic Crash-Injury
15-4054,10/8/15,10/8/15,Administrative Information
15-4050,10/8/15,10/8/15,Traffic Crash-Property Damage-Hit Skip
15-4049,10/8/15,10/8/15,Traffic Crash-Property Damage-Hit Skip
15-4039,10/8/15,10/8/15,Possessing Drug Abuse Instruments
15-4033,10/8/15,10/8/15,Theft
15-4032,10/8/15,10/8/15,Administrative Information
15-4030,10/8/15,9/29/15,Telecommunications Harassment
15-4027,10/7/15,10/7/15,Drug Paraphernalia
15-4023,10/7/15,10/7/15,Ill Aided
15-4022,10/7/15,10/5/15,Theft (Of Bicycle)
15-4018,10/7/15,10/7/15,Administrative Information
15-4015,10/7/15,10/7/15,Assist Other Agency
15-4012,10/7/15,10/5/15,Theft
15-4011,10/7/15,9/26/15,Criminal Trespass
15-4011,9/26/15,9/26/15,Criminal Trespass
15-4008,10/7/15,10/7/15,Theft
15-4007,10/7/15,10/6/15,Administrative Information
15-4006,10/7/15,9/29/15,Telecommunications Harassment
15-4004,9/30/15,4/10/15,Rape
15-4003,10/7/15,10/7/15,Disorderly Conduct
15-3995,10/6/15,10/6/15,Theft (Of Bicycle)
15-3994,10/6/15,10/6/15,Ill Aided
15-3992,10/6/15,10/6/15,Theft
15-3991,10/6/15,10/6/15,Assist Other Agency
15-3988,10/6/15,10/6/15,Traffic Crash-Property Damage-Hit Skip
15-3985,10/6/15,10/6/15,Ill Aided
15-3983,10/6/15,10/6/15,Drug Paraphernalia
15-3979,10/5/15,10/5/15,Theft
15-3978,10/5/15,10/5/15,Theft (From Auto)
15-3977,10/5/15,10/5/15,Drug Paraphernalia
15-3976,10/5/15,10/5/15,Drug Paraphernalia
15-3975,10/5/15,10/5/15,Failure to Comply With Order of Police Officer
15-3974,10/5/15,10/5/15,Ill Aided
15-3973,10/5/15,10/5/15,Ill Aided
15-3972,10/5/15,10/5/15,Menacing
15-3968,10/5/15,10/4/15,Criminal Damaging
15-3955,10/4/15,10/4/15,Traffic Crash-Injury
15-3954,10/4/15,10/4/15,Theft
15-3950,10/4/15,10/4/15,Drug Paraphernalia
15-3945,10/3/15,10/3/15,Possession of Drugs
15-3944,10/3/15,9/19/15,Theft (Of Bicycle)
15-3942,10/3/15,10/2/15,Theft
15-3941,10/3/15,10/3/15,Possessing Drug Abuse Instruments
15-3937,10/3/15,10/3/15,Prohibited Acts
15-3934,10/2/15,10/2/15,Administrative Information
15-3933,10/2/15,10/2/15,Possession of Drugs
15-3929,10/2/15,10/2/15,Theft
15-3927,10/2/15,10/2/15,Theft
15-3925,10/2/15,9/26/15,Theft
15-3924,10/2/15,10/2/15,Administrative Information
15-3921,10/2/15,10/2/15,Offenses involving underage persons
15-3920,10/2/15,10/2/15,Offenses involving underage persons
15-3918,10/1/15,10/1/15,Possession of Drugs
15-3917,10/1/15,10/1/15,Theft
15-3916,10/1/15,10/1/15,Theft (Of Bicycle)
15-3916,12/18/15,12/18/15,Supplement
15-3915,10/1/15,10/1/15,Ill Aided
15-3914,10/1/15,10/1/15,Theft (Of Bicycle)
15-3914,10/3/15,10/3/15,Supplement
15-3913,10/1/15,10/1/15,Theft (Of Bicycle)
15-3910,10/1/15,9/2/15,Illegal Processing Of Drug Document
15-3902,10/1/15,9/29/15,Theft
15-3901,9/30/15,9/27/15,Theft
15-3899,9/30/15,9/30/15,Menacing By Stalking
15-3899,10/4/15,9/30/15,Supplement
15-3895,9/30/15,9/30/15,Driving Under Suspension
15-3893,9/30/15,9/29/15,Theft (Of Bicycle)
15-3891,9/29/15,9/29/15,Drug Paraphernalia
15-3890,9/29/15,9/29/15,Possession of Drugs
15-389,2/8/15,2/8/15,Ill Aided
15-3888,9/29/15,11/29/15,Criminal Damaging
15-3887,9/29/15,9/29/15,Traffic Crash-Injury
15-3886,9/29/15,9/29/15,Drug Paraphernalia
15-3885,9/29/15,9/22/15,Theft (Of Bicycle)
15-3884,9/29/15,9/29/15,Traffic Crash-Injury
15-3883,9/29/15,9/29/15,Traffic Crash-Property Damage
15-3882,9/29/15,9/27/15,Administrative Information
15-3881,9/29/15,9/29/15,Traffic Crash-Property Damage
15-3878,9/29/15,9/29/15,Traffic Crash-Property Damage
15-3877,9/29/15,9/29/15,Traffic Crash-Property Damage
15-3867,9/28/15,9/28/15,Ill Aided
15-3865,9/28/15,9/28/15,Public Accident
15-3864,9/28/15,9/28/15,Theft
15-3863,9/28/15,9/28/15,Theft (Of Bicycle)
15-3862,9/28/15,9/28/15,Theft
15-3861,9/28/15,9/28/15,Drug Paraphernalia
15-3860,9/28/15,9/28/15,Ill Aided
15-3858,9/28/15,9/25/15,Theft
15-3858,9/28/15,9/25/15,Theft
15-3857,9/28/15,9/28/15,Traffic Crash-Property Damage
15-3854,9/28/15,9/28/15,Ill Aided
15-3849,9/28/15,9/28/15,Assist Other Agency
15-3848,9/27/15,9/27/15,OVI
15-3846,9/27/15,9/26/15,Theft
15-3844,9/27/15,9/25/15,Theft (Of Bicycle)
15-3844,10/12/15,10/12/15,Supplement
15-3840,9/27/15,9/24/15,Theft
15-3838,9/27/15,9/27/15,Criminal Trespass
15-3836,9/27/15,9/27/15,Offenses involving underage persons
15-3833,9/26/15,9/26/15,Offenses involving underage persons
15-3829,9/26/15,9/26/15,Theft (Of Bicycle)
15-3826,9/26/15,9/26/15,Criminal Trespass
15-3824,9/26/15,9/26/15,Disorderly Conduct
15-3819,9/26/15,9/26/15,Theft
15-3817,9/26/15,9/26/15,Assist Other Agency
15-3814,9/26/15,9/26/15,Offenses involving underage persons
15-3812,9/28/15,9/28/15,Supplement
15-3810,9/26/15,9/26/15,Theft
15-3810,9/25/15,9/24/15,Traffic Crash-Injury-Hit Skip
15-3796,9/25/15,9/24/15,Traffic Crash-Injury-Hit Skip
15-3795,9/25/15,9/10/15,Administrative Information
15-3794,9/25/15,9/25/15,Theft
15-3792,9/25/15,9/24/15,Theft (Of Bicycle)
15-3791,9/25/15,9/24/15,Theft
15-3779,9/25/15,9/25/15,Drug Paraphernalia
15-3776,9/25/15,9/25/15,Assist Other Agency
15-3773,9/24/15,9/24/15,Ill Aided
15-3772,9/24/15,9/24/15,Theft (Of Bicycle)
15-3771,9/24/15,9/24/15,Theft
15-3769,9/24/15,9/24/15,Drug Paraphernalia
15-3768,9/24/15,9/20/15,Theft
15-3765,9/24/15,9/23/15,Theft (Of Bicycle)
15-3764,9/24/15,9/24/15,Ill Aided
15-3763,9/24/15,9/24/15,Theft
15-3762,9/24/15,9/12/15,Theft (Of Bicycle)
15-3761,9/24/15,9/24/15,Ill Aided
15-3760,9/24/15,9/24/15,Traffic Crash-Property Damage
15-3758,9/24/15,9/12/15,Rape
15-3757,9/24/15,9/24/15,Ill Aided
15-3756,9/24/15,9/24/15,Ill Aided
15-3754,9/24/15,1/9/08,Identity Fraud
15-3754,9/24/15,1/9/08,Identity Fraud
15-3753,9/24/15,9/24/15,Theft
15-3753,11/11/15,11/11/15,Supplement
15-3752,9/24/15,9/23/15,Theft (Of Bicycle)
15-3751,9/24/15,9/24/15,Ill Aided
15-3736,9/24/15,3/30/15,Gross Sexual Imposition
15-3736,9/24/15,9/24/15,Gross Sexual Imposition
15-3735,9/23/15,9/23/15,Theft
15-3732,9/23/15,9/23/15,Theft
15-3731,9/23/15,9/23/15,Assist Other Agency
15-3728,9/23/15,9/22/15,Theft
15-3727,9/23/15,9/23/15,Ill Aided
15-3726,9/23/15,9/23/15,Drug Paraphernalia
15-3725,9/23/15,9/23/15,Theft
15-3724,9/23/15,9/23/15,Administrative Information
15-3723,9/23/15,9/23/15,Traffic Crash-Property Damage
15-3717,9/22/15,9/30/15,Criminal Trespass
15-3716,9/22/15,9/22/15,Possession of Drugs
15-3715,9/22/15,9/22/15,Drug Paraphernalia
15-3713,9/22/15,9/22/15,Theft (Of Bicycle)
15-3712,9/22/15,9/22/15,Traffic Crash-Property Damage
15-3711,9/22/15,9/22/15,Traffic Crash-Property Damage-Hit Skip
15-3710,9/22/15,8/20/15,Theft
15-3709,9/22/15,9/22/15,Possession of Drugs
15-3708,9/22/15,9/19/15,Theft
15-3708,11/10/15,9/19/15,Supplement
15-3707,10/1/15,10/1/15,Supplement
15-3706,9/22/15,9/22/15,Criminal Trespass
15-3705,9/22/15,9/22/15,Traffic Crash-Property Damage-Hit Skip
15-3704,9/22/15,9/21/15,Theft (Of Bicycle)
15-3703,9/22/15,9/22/15,Criminal Trespass
15-3701,9/22/15,9/21/15,Theft
15-3700,9/22/15,9/22/15,Possession of Drugs
15-3697,9/21/15,9/21/15,Prohibited Acts
15-3696,9/21/15,9/19/15,Theft (Of Bicycle)
15-3694,9/21/15,9/21/15,Traffic Crash-Injury
15-3693,9/21/15,9/21/15,Missing Person
15-3690,9/21/15,9/21/15,Possessing Drug Abuse Instruments
15-3689,9/21/15,9/21/15,Traffic Crash-Property Damage
15-3684,9/21/15,9/21/15,Obstructing Official Business
15-3674,9/21/15,9/21/15,Assist Other Agency
15-3673,9/21/15,9/21/15,Traffic Crash-Property Damage
15-3668,9/20/15,9/19/15,Sexual Imposition
15-3668,9/20/15,9/19/15,Sexual Imposition
15-3666,9/20/15,9/20/15,Possessing Drug Abuse Instruments
15-3664,9/20/15,9/20/15,Theft
15-3663,9/20/15,9/20/20,Fire-Trash
15-3661,9/20/15,9/20/15,Assist Other Agency
15-3657,9/19/15,9/19/15,OVI
15-3655,9/19/15,9/19/15,Assault
15-3654,9/19/15,9/19/15,Public Urination
15-3652,9/19/15,9/19/15,Offenses involving underage persons
15-3651,9/19/15,9/19/15,Theft
15-3650,9/19/15,9/19/15,Theft (Of Bicycle)
15-3650,9/26/15,9/26/20,Supplement
15-3648,9/19/15,9/19/15,Disorderly Conduct
15-3647,9/19/15,9/19/15,Disorderly Conduct
15-3646,9/19/15,9/19/15,Open Container
15-3644,9/19/14,9/19/15,Open Container
15-3643,9/19/15,9/19/15,Open Container
15-3640,9/19/15,9/18/15,Theft (Of Bicycle)
15-3638,9/19/15,9/12/15,Administrative Information
15-3637,9/19/15,9/19/15,Criminal Trespass
15-3634,9/19/15,9/19/15,Possession of Drugs
15-3632,9/19/15,9/19/15,Offenses involving underage persons
15-3630,9/19/15,9/19/15,Prohibited Acts
15-6628,9/18/15,9/18/15,Theft (From Auto)
15-3627,9/18/15,9/17/15,Theft
15-3627,9/21/15,9/21/15,Supplement
15-3625,9/18/15,9/18/15,Theft (Of Bicycle)
15-3623,9/18/15,8/13/15,Telecommunications Harassment
15-3621,9/2/15,4/30/15,Rape
15-3619,9/18/15,9/18/15,Theft (Of Auto)
15-3616,9/18/15,9/17/15,Theft
15-3614,9/18/15,9/17/15,Criminal Simulation
15-3612,9/18/15,9/18/15,Disorderly Conduct
15-3611,9/17/15,9/17/15,Theft (Of Bicycle)
15 3609,9/17/15,9/17/15,Rape
15-3608,9/17/15,9/17/15,Administrative Information
15-3607,9/17/15,9/17/15,Administrative Information
15-3605,9/17/15,9/17/15,Public Accident
15-3603,9/17/15,9/15/15,Theft (Of Bicycle)
15-3602,9/17/15,9/17/15,Drug Paraphernalia
15-3601,9/17/15,9/17/15,Telecommunications Harassment
15-3600,9/17/15,9/17/15,Theft (Of Bicycle)
15-3598,9/17/15,9/15/15,Theft (Of Bicycle)
15-3596,9/17/15,9/17/15,Traffic Crash-Property Damage
15-3590,9/17/15,9/17/15,Traffic Crash-Property Damage
15-3589,9/16/15,9/16/15,Theft (Of Bicycle)
15 3588,9/16/15,9/16/15,Ill Aided
15-3587,9/16/15,9/16/15,Disorderly Conduct
15-3586,9/16/15,9/16/15,Ill Aided
15-3583,9/16/15,9/16/15,Traffic Crash-Property Damage
15-3582,9/16/15,9/15/15,Theft (Of Bicycle)
15-3581,9/16/15,9/10/15,Theft (Of Bicycle)
15-3576,9/16/16,9/16/15,Theft (Of Bicycle)
15-3574,9/16/15,9/16/15,Child Endangerment
15 -3572,9/16/15,9/16/15,Possession of Drugs
15-3570,9/15/15,9/15/15,Theft (From Auto)
15-3569,9/15/15,9/15/15,Assault
15-3567,9/15/15,9/15/15,Traffic Crash-Property Damage
15-3566,9/15/15,8/30/15,Theft
15 -3565,9/15/15,9/15/15,Traffic Crash-Property Damage
15-3562,9/15/15,9/15/15,Ill Aided
15-3560,9/15/15,9/8/15,Theft
15-3558,9/15/15,9/15/15,Ill Aided
15-3557,9/15/15,9/11/15,Traffic Crash-Property Damage-Hit Skip
15-3555,9/15/15,9/15/15,Traffic Crash-Property Damage
15-3554,9/15/15,9/10/15,Administrative Information
15-3553,9/15/15,9/15/15,Possessing Drug Abuse Instruments
15-3552,9/15/15,9/15/15,Disorderly Conduct
15-3551,9/15/15,9/15/15,Possessing Criminal Tools
15-3549,9/15/15,9/14/15,Theft (Of Bicycle)
15-3547,9/14/15,9/14/15,Possession of Drugs
15-3546,9/14/15,9/14/15,Theft
15-3545,9/14/15,9/14/15,Theft
15-3544,9/14/15,9/14/15,Theft
15-3543,9/14/15,9/14/15,Traffic Crash-Injury
15-3542,9/14/15,9/14/15,Traffic Crash-Property Damage
15-3541,9/14/15,9/14/15,Ill Aided
15-3540,9/14/15,9/2/15,Theft
15-3538,9/14/15,9/13/15,Criminal Mischief
15-3537,9/14/15,9/4/15,Breaking and Entering
15-3536,9/14/15,9/14/14,Traffic Crash-Property Damage-Hit Skip
15-3533,9/14/15,9/12/15,Theft (Of Bicycle)
15-3532,9/14/15,9/13/15,Theft (Of Bicycle)
15-3531,9/14/15,9/14/15,Assault
15-3529,9/14/15,9/14/15,Administrative Information
15-3528,9/13/15,9/13/15,Theft
15-3527,9/14/15,9/12/15,Theft (Of Bicycle)
15-3527,9/14/15,9/14/15,Supplement
15-3526,9/13/15,9/13/15,Ill Aided
15-3521,9/13/15,9/13/15,Possessing Criminal Tools
15-3521,9/13/15,9/13/20,Supplement
15-3519,9/12/15,9/13/15,Disorderly Conduct
15 - 3517,9/12/15,9/12/15,Traffic Crash-Injury
15-3516,9/12/15,9/13/15,Drug Paraphernalia
15-3515,9/12/15,9/11/15,Theft (Of Bicycle)
15-3514,9/12/15,9/11/15,Theft (Of Bicycle)
15-3511,9/12/15,9/12/15,Theft
15-3510,9/12/15,9/12/15,Disorderly Conduct
15-3509,9/12/15,9/12/15,Criminal Trespass
15-3508,9/12/15,9/12/15,Theft
15-3507,9/12/15,9/12/15,Offenses involving underage persons
15-3503,9/12/15,9/13/15,Offenses involving underage persons
15-3500,9/12/15,9/12/15,Theft
15-3498,9/12/15,9/12/15,Open Container
15-3491,9/12/15,9/12/15,Ill Aided
15-3490,9/12/15,9/12/15,Drug Paraphernalia
15-3489,9/11/15,9/11/15,Ill Aided
15-3488,9/11/15,9/11/15,Possession of Drugs
15-3487,9/11/15,9/11/15,Assist Other Agency
15-3485,9/11/15,9/9/15,Theft (Of Bicycle)
15-3484,9/11/15,9/11/15,Carrying Concealed Weapon
15-3482,9/11/15,9/11/15,Possession of Drugs
15-3480,9/11/15,9/11/15,Theft
15-3477,9/11/15,9/11/15,Traffic Crash-Injury
15-3466,9/11/15,9/11/15,Disorderly Conduct
15-3464,9/10/15,9/10/15,Possession of Drugs
15-3461,9/10/15,9/2/15,Theft (Of Bicycle)
15-3460,9/10/15,9/10/15,Theft
15-3459,9/10/15,9/9/15,Theft (Of Bicycle)
15-3458,9/10/15,9/10/15,Theft
15-3457,9/10/15,9/10/15,Recovered Property
15-3452,9/10/15,9/10/15,Ill Aided
15-3447,9/9/15,9/9/15,Assist Other Agency
15-3446,9/9/15,9/9/15,Disorderly Conduct
15  3445,9/9/15,9/9/15,Administrative Information
15-3444,9/9/15,9/7/15,Theft (Of Bicycle)
15-3443,9/9/15,9/9/15,Ill Aided
15-3442,9/9/15,9/6/15,Theft (Of Bicycle)
15-3439,9/9/15,9/9/15,Theft
15-3438,9/9/15,9/7/15,Theft (Of Bicycle)
15-3436,9/9/15,8/29/15,Theft
15-3434,9/9/15,9/8/15,Theft (Of Bicycle)
15-3433,9/9/15,9/9/15,Traffic Crash-Property Damage-Hit Skip
15-3432,9/9/15,9/9/15,Traffic Crash-Property Damage
15-3429,9/9/15,9/9/15,Ill Aided
15-3428,9/9/15,9/4/15,Breaking and Entering
15-3426,9/10/15,9/10/15,Supplement
15-3426,9/9/15,9/8/15,Theft
15-3425,9/9/15,9/7/15,Theft (From Auto)
15-3424,9/8/15,9/8/15,Possession of Drugs
15-3423,9/8/15,9/8/15,Ill Aided
15-3421,9/8/15,9/8/15,Assist Other Agency
15-3419,9/8/15,9/8/15,Theft (Of Bicycle)
15-3417,9/8/15,09/03/0215,Administrative Information
15-3416,9/8/15,9/7/15,Theft (Of Bicycle)
15-3415,9/8/15,9/4/15,Theft (Of Bicycle)
15-3414,9/8/15,9/8/15,Administrative Information
15-3413,9/8/15,9/8/15,Assist Other Agency
15-3412,9/8/15,8/25/15,Theft (Of Bicycle)
15-3409,9/8/15,9/8/15,Breaking and Entering
15-3408,9/8/15,9/8/15,Theft
15-3404,9/7/15,9/7/15,Theft (Of Bicycle)
15-3403,9/7/15,9/6/15,Theft
15-3402,9/7/15,9/7/15,Theft (Of Bicycle)
15-3401,9/7/15,9/5/15,Theft
15-3398,9/7/15,9/7/15,Theft
15-3398,9/7/15,9/7/15,Theft
15-3394,9/7/15,9/7/15,Theft
15-3392,9/6/15,9/6/15,Theft
15-3389,9/6/15,9/3/15,Theft
15-3387,9/6/15,9/6/15,Theft
15-3386,9/6/15,9/6/15,Theft
15-3385,9/6/15,9/3/15,Theft (Of Bicycle)
15-3384,9/6/15,9/6/15,Administrative Information
15-3383,9/6/15,9/6/15,Possessing Criminal Tools
15-3379,9/6/15,9/6/15,Robbery
15-3379,9/6/15,9/6/15,Robbery
15-3375,9/5/15,9/5/15,Offenses involving underage persons
15-3374,9/5/15,9/5/15,Possession of Drugs
15-3372,9/5/15,9/5/15,Administrative Information
15-3770,9/5/15,09/095/2015,Assist Other Agency
15-3369,9/5/15,9/5/15,Ill Aided
15-3368,9/5/15,9/5/15,Menacing
15-3367,9/5/15,9/5/15,Assist Other Agency
15-3366,9/4/15,9/4/15,Assist Other Agency
15-3365,9/5/15,9/5/15,Offenses involving underage persons
15-3361,9/4/15,9/4/15,Disorderly Conduct
15-3358,9/4/15,9/4/15,Public Accident
15-3357,9/4/15,9/4/15,Traffic Crash-Property Damage-Hit Skip
15-3356,9/4/15,9/4/15,Theft (Of Bicycle)
15-3355,9/4/15,9/4/15,Theft
15-3353,9/4/15,9/4/15,Traffic Crash-Property Damage
15-3352,9/4/15,9/4/15,Possession of Drugs
15-3351,9/4/15,9/3/15,Theft
15-3350,9/4/15,5/12/15,Theft (Of Bicycle)
15-3349,9/4/15,9/4/15,Theft (Of Bicycle)
15-3349,10/9/15,10/9/15,Supplement
15-3348,9/4/15,9/4/15,Traffic Crash-Property Damage
15-3346,9/4/15,9/4/15,Disorderly Conduct
15-3345,9/4/15,9/4/15,Possessing Criminal Tools
15-3345,9/11/15,9/11/15,Supplement
15-3345,10/9/15,10/9/15,Supplement
15-3339,9/4/15,9/3/15,Theft
15-3338,9/4/15,9/3/15,Theft
15-3337,9/4/15,9/4/15,Assist Other Agency
15-3333,9/3/15,9/3/15,Theft (Of Bicycle)
15-3331,9/3/15,9/2/15,Theft (Of Bicycle)
15-3329,9/3/15,9/3/15,Theft (Of Bicycle)
15-3327,9/3/15,9/3/15,Theft
15-3327,12/23/15,12/23/15,Supplement
15-3326,9/3/15,9/3/15,Drug Paraphernalia
15-3325,9/3/15,9/2/15,Administrative Information
15-3324,9/3/15,9/2/15,Theft
15-3324,9/9/15,9/9/15,Supplement
15-3324,12/18/15,9/2/15,Supplement
15-3323,9/3/15,9/3/15,Drug Paraphernalia
15-3321,9/3/15,9/3/15,Possession of Drugs
15-3318,9/2/15,9/2/15,Ill Aided
15-3316,9/2/15,9/2/15,Theft
15-3315,9/2/15,9/2/15,Theft
15-3314,9/2/15,8/26/15,Theft
15-3313,9/2/15,9/1/15,Theft
15-3311,9/2/15,9/2/15,Theft
15-3310,9/2/15,9/2/15,Traffic Crash-Property Damage-Hit Skip
15-3309,9/2/15,9/2/15,Traffic Crash-Injury
15-3308,9/2/15,8/25/15,Theft (Of Bicycle)
15-3307,9/2/15,9/25/15,Theft (Of Bicycle)
15-3306,9/2/15,9/2/15,Drug Paraphernalia
15-3305,9/2/15,9/2/15,Drug Paraphernalia
15-3302,9/2/15,9/2/15,Offenses involving underage persons
15-3301,9/2/15,9/2/15,Assist Other Agency
15-3300,9/1/15,09/02/0105,Assault
15-3300,9/7/15,9/1/15,Supplement
15-3298,9/1/15,9/1/15,Possession of Drugs
15-3297,9/1/15,9/1/15,Traffic Crash-Property Damage-Hit Skip
15-3295,9/1/15,9/3/15,Theft
15-3295,9/3/15,9/3/15,Supplement
15-3494,9/1/15,9/1/15,Public Accident
15-3493,9/1/15,8/29/15,Theft (Of Bicycle)
15-3292,9/1/15,9/1/15,Disorderly Conduct
15-3291,9/1/15,9/1/15,Ill Aided
15-3290,9/1/15,9/1/15,Traffic Crash-Property Damage
15-3289,9/1/15,8/31/15,Theft
15-3278,9/1/15,9/1/15,Missing Person
15-3278,9/1/15,9/1/15,Missing Person
15-3277,8/31/15,8/31/15,Theft
15-3275,8/31/15,8/31/15,Theft (Of Bicycle)
15-3274,8/31/15,8/28/15,Theft (Of Bicycle)
15-3273,8/31/15,8/31/15,Theft
15-3272,8/17/15,5/29/15,Theft
15-3266,8/31/15,8/28/15,Theft
15-3265,8/31/15,8/31/15,Assist Other Agency
15-3264,8/30/15,8/28/05,Theft (Of Bicycle)
15-3263,8/30/15,8/28/05,Theft
15-3262,8/30/15,8/30/15,Theft (From Auto)
15-3261,8/30/15,8/30/15,Theft
15-3260,8/30/15,8/30/15,Criminal Trespass
15-3259,8/30/15,8/30/15,Theft (Of Bicycle)
15-3257,8/30/15,8/29/15,Theft
15-3254,8/30/15,8/24/15,Unauthorized Use of a Vehicle
15-3252,8/30/15,8/30/15,Assist Other Agency
15-3250,8/30/15,8/30/15,Offenses involving underage persons
15-3248,8/30/15,8/30/15,Theft
15-3246,8/29/15,8/29/15,Disorderly Conduct
15-3245,8/29/15,8/29/15,Theft
15-3244,8/29/15,8/29/15,Theft (Of Bicycle)
15-3242,8/29/15,8/29/15,Ill Aided
15-3241,8/29/15,8/29/15,Theft
15-3239,8/29/15,8/26/15,Theft (Of Bicycle)
15-3236,8/29/15,8/28/16,Theft (Of Bicycle)
15-3235,8/29/15,8/29/15,Possession of Drugs
15-3233,8/29/15,8/29/15,Drug Paraphernalia
15-3232,8/29/15,8/29/15,Administrative Information
15-3231,8/29/15,8/25/15,Theft (Of Bicycle)
15-3229,8/29/15,8/28/15,Criminal Damaging
15-3227,8/29/15,8/29/15,Offenses involving underage persons
15-3226,8/29/15,8/29/15,Offenses involving underage persons
15-3224,8/29/15,8/29/15,Ill Aided
15-3223,8/29/15,8/28/15,Sexual Imposition
15-3222,8/29/15,8/28/15,Theft
15-3221,8/28/15,8/28/15,Theft
15-3220,8/28/15,8/28/15,Aggravated Menacing
15-3220,9/3/15,9/3/15,Supplement
15-3219,9/4/15,9/4/15,Supplement
15-3219,8/28/15,8/28/15,Contributing to the delinquency of a child
15-3218,8/28/15,8/28/15,Disorderly Conduct
15-3217,8/28/15,8/28/15,Traffic Crash-Property Damage-Hit Skip
15-3217,9/1/15,9/1/15,Supplement
15-3216,8/28/15,8/28/15,Drug Paraphernalia
15-3215,8/28/15,8/28/15,Traffic Crash-Property Damage-Hit Skip
15-3214,8/28/15,8/28/15,Theft
15-3214,9/2/15,9/2/15,Supplement
15-3212,8/28/15,8/27/15,Administrative Information
15-3210,8/28/15,8/27/15,Theft
15-3209,8/28/15,8/27/15,Theft
