Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
17-5157,10/31/17,10/1/17,Theft (Of Bicycle)
17-5156,10/31/17,10/31/17,Theft
17-5155,10/31/17,10/31/17,Prohibited Acts
17-5153,10/31/17,7/1/17,Assault
17-5153,11/21/17,11/21/17,Supplement
17-5152,10/31/17,10/31/17,Theft
17-5151,10/31/17,10/31/17,Theft
17-5149,10/31/17,10/27/17,Theft
17-5147,10/31/17,10/30/17,Administrative Information
17-5146,10/31/17,10/27/17,Sexual Imposition
17-5145,10/31/17,10/31/17,Traffic Crash-Property Damage
17-5144,10/31/17,10/31/17,Administrative Information
17-5143,10/31/17,10/31/17,Administrative Information
17-5142,10/31/17,10/20/17,Missing Person
17-5141,10/31/17,10/31/17,Traffic Crash-Property Damage
17-5140,10/30/17,10/30/17,Criminal Trespass
17-5139,10/30/17,1/1/17,Telecommunications Harassment
17-5136,10/30/17,10/30/17,Ill Aided
17-5135,10/30/17,10/30/17,Traffic Crash-Property Damage-Hit Skip
17-5134,10/30/17,10/30/17,Prohibited Acts
17-5130,10/30/17,10/30/17,Drug Paraphernalia
17-5129,10/30/17,10/28/17,Theft
17-5128,10/30/17,10/27/17,Traffic Crash-Property Damage
17-5127,10/30/17,10/30/17,Criminal Trespass
17-5126,10/30/17,10/30/17,Criminal Trespass
17-5125,10/30/17,10/30/17,Drug Paraphernalia
17-5122,10/29/17,10/29/17,Possession Of Drugs
17-5118,10/29/17,10/29/17,Possession Of Drugs
17-5115,10/29/17,10/28/17,Theft
17-5114,10/29/17,10/28/17,Theft
17-5113,10/29/17,10/29/17,Administrative Information
17-5111,10/29/17,10/29/17,Drug Paraphernalia
17-511 0,10/29/17,10/28/17,Criminal Damaging
17-5109,10/29/17,10/29/17,Domestic Violence
17-5108,10/29/17,10/29/17,OVI
17-5107,10/29/17,10/29/17,Offenses involving underage persons
17-5106,10/29/17,10/29/17,Receiving Stolen Property
17-5104,10/29/17,10/29/17,Ill Aided
17-5103,10/28/17,10/28/17,Criminal Mischief
17-5102,10/28/17,10/28/17,Drug Paraphernalia
17-5100,10/28/17,10/28/17,Ill Aided
17-5098,10/28/17,10/28/17,Traffic Crash-Property Damage
17-5095,10/28/17,10/28/17,Assist Other Agency
17-5093,10/28/17,10/28/17,Administrative Information
17-5092,10/28/17,10/28/17,Open Container
17-5091,10/28/17,10/28/17,Offenses involving underage persons
17-5089,10/28/17,10/28/17,Disorderly Conduct
17-5088,10/28/17,10/28/17,Prohibited Acts
17-5087,10/28/17,10/28/17,Resisting Arrest
17-5086,1/28/17,10/28/17,Offenses involving underage persons
17-5085,10/28/17,10/28/17,Offenses involving underage persons
17-5084,10/28/17,10/28/17,Offenses involving underage persons
17-5083,10/28/17,10/28/17,Criminal Simulation
17-5082,10/28/17,10/28/17,Administrative Information
17-5080,10/28/17,10/28/17,Traffic Crash-Property Damage
17-5078,10/28/17,10/28/17,Offenses involving underage persons
17-5076,10/28/17,10/28/17,Offenses involving underage persons
17-5074,10/28/17,10/28/17,Offenses involving underage persons
17-5068,10/27/17,10/27/17,Offenses involving underage persons
17-5067,10/27/17,10/27/17,Ill Aided
17-5066,10/27/17,10/27/17,Theft
17-5065,10/27/17,10/27/17,Theft
17-5064,10/27/17,10/27/17,Fire-Working
17-5063,10/27/17,9/2/17,Theft
17-5061,10/27/17,9/1/14,Rape
17-5060,10/27/17,6/1/17,CSA Report: Rape
17-5055,10/27/17,9/18/17,Theft
17-5054,10/27/17,10/27/17,CSA Report: Rape
17-5052,10/27/17,10/27/17,Assist Other Agency
17-5051,10/27/17,10/27/17,Offenses involving underage persons
17-5050,10/27/17,10/27/17,Prohibited Acts
17-5044,10/26/17,10/26/17,Traffic Crash-Property Damage
17-5043,10/26/17,10/26/17,Traffic Crash-Property Damage
17-5042,10/26/17,10/26/0201,Traffic Crash-Property Damage
17-5041,10/26/17,10/26/17,Theft
17-5040,10/26/17,10/26/17,Theft (Of Bicycle)
17-5039,10/26/17,10/24/17,Theft
17-5038,10/26/17,10/26/17,Criminal Trespass
17-5035,10/26/17,10/20/17,Theft
17-5034,10/26/17,10/25/17,Traffic Crash-Property Damage
17-5033,10/26/17,10/26/17,Possession Of Drugs
17-5032,10/26/17,10/26/17,Ill Aided
17-5030,10/25/17,10/25/17,Prohibited Acts
17-5030,10/28/17,10/28/17,Supplement
17-5029,10/25/17,10/25/17,Theft (From Auto)
17-5028,10/25/17,10/5/17,Theft
17-5027,10/25/17,10/25/17,Theft
17-5026,10/25/17,10/25/17,Prohibited Acts
17-5025,10/25/17,10/25/17,Theft
17-5024,10/25/17,10/25/17,Theft (Of Auto)
17-5023,10/25/17,10/25/17,Theft
17-5022,10/25/17,10/25/17,Ill Aided
17-5021,10/25/17,10/25/17,CSA Report: Rape
17-5019,10/25/17,10/25/17,Disorderly Conduct
17-5018,10/25/17,10/25/17,Traffic Crash-Injury
17-5017,10/25/17,10/25/17,Assist Other Agency
17-5016,10/25/17,10/24/17,Administrative Information
17-5015,10/24/17,10/19/17,Theft
17-5013,10/24/17,10/24/17,Traffic Crash-Property Damage
17 -5011,10/24/0201,10/24/17,Criminal Trespass
17-5010,10/24/17,10/24/17,Theft
17 -5010,10/26/17,10/26/17,Supplement
17-5008,10/24/17,10/18/17,Theft
17-5 00 7,10/24/17,10/24/17,Telecommunications Harassment
17-5 006,10/24/17,10/24/17,Traffic Crash-Injury
17-5005,10/24/17,10/11/17,Theft (Of Bicycle)
17-5 004,10/24/17,10/23/17,Theft
17-5 002,10/24/17,10/9/17,Theft
17-5 00 1,10/24/17,10/24/17,Theft
"17-
49995",10/24/17,10/24/17,Ill Aided
17-4998,10/24/17,10/24/17,Administrative Information
17-4995,10/24/17,10/24/17,Ill Aided
17-4994,10/24/17,10/24/17,Theft
17-4993,10/24/17,10/23/17,Theft
17-4991,10/23/17,10/23/17,Domestic Violence
17-4990,10/23/17,10/23/17,Administrative Information
17-4989,10/23/17,10/23/17,Theft
17-4988,10/23/17,10/23/17,Theft
17-4986,10/23/17,10/23/17,Assault
17-4985,10/23/17,10/23/17,Theft
17-4984,10/23/17,10/23/17,Prohibited Acts
17-4982,10/23/17,10/23/17,Traffic Crash-Injury
17-4981,10/23/17,10/23/17,Theft
17-4981,12/30/17,12/30/17,Supplement
17-4980,10/23/17,10/20/17,Criminal Damaging
17-4977,10/22/17,10/17/17,Rape
17-4976,10/22/17,10/22/17,Traffic Crash-Property Damage-Hit Skip
17-4975,10/22/17,10/22/17,Ill Aided
17-4973,10/22/17,10/22/17,Drug Paraphernalia
17-4969,10/22/17,10/22/17,Offenses involving underage persons
17-4968,10/22/17,10/22/17,Ill Aided
17-4967,10/22/17,10/22/17,OVI
17-4965,10/21/17,10/21/17,Theft (From Auto)
17-4959,10/21/17,10/17/17,Theft (Of Bicycle)
17-4956,10/21/17,10/21/17,Traffic Crash-Property Damage-Hit Skip
17-4955,10/21/17,10/21/17,Possession Of Drugs
17-4952,10/21/17,10/21/17,Assault
17-4951,10/21/17,10/21/17,Prohibited Acts
17-4949,10/20/17,10/20/17,Ill Aided
17-4947,10/20/17,10/20/17,Disorderly Conduct
17-4944,10/20/17,10/20/17,Assist Other Agency
17-4942,10/20/17,10/19/17,Theft (Of Bicycle)
17-4941,10/20/17,10/20/17,Criminal Damaging
17-4940,10/20/17,10/20/17,Theft
17-4939,10/20/17,10/19/17,Traffic Crash-Property Damage-Hit Skip
17-4938,10/20/17,10/17/17,Theft (Of Bicycle)
17-4937,10/20/17,10/19/17,Breaking and Entering
17-4936,10/20/17,10/20/17,Possession Of Drugs
17-4935,10/20/17,10/20/17,Offenses involving underage persons
17-4933,10/20/17,10/20/17,Prohibited Acts
17-4931,10/20/17,10/20/17,Offenses involving underage persons
17-4930,10/20/17,10/20/17,Offenses involving underage persons
17-4929,10/20/17,10/20/17,Possession Of Drugs
17-4928,10/20/17,10/20/17,Disorderly Conduct
17-4927,10/20/17,10/20/17,Assist Other Agency
17-4926,10/19/17,10/19/17,Drug Paraphernalia
17-4925,10/19/17,10/19/17,Traffic Crash-Property Damage-Hit Skip
17-4924,10/19/17,10/19/17,Disorderly Conduct
17-4923,10/19/17,10/19/17,Domestic Violence
17-4923,10/19/17,10/19/17,Domestic Violence
17-4922,10/19/17,10/19/17,Possession Of Drugs
17-4921,10/19/17,10/19/17,Disorderly Conduct
17-4919,10/19/17,10/19/17,Traffic Crash-Property Damage-Hit Skip
17-4918,10/19/17,10/11/17,Theft (Of Bicycle)
17-4917,10/19/17,10/19/17,Theft
17-4916,10/19/17,10/13/17,Theft (Of Bicycle)
17-4915,10/19/17,10/19/17,Possessing Drug Abuse Instruments
17-4912,10/19/17,10/19/17,Property Impound
17-4911,10/19/17,10/19/17,Property Impound
17-4910,10/19/17,10/19/17,Theft (Of Bicycle)
17-4909,10/19/17,10/19/17,Traffic Crash-Property Damage
17-4908,10/19/17,10/19/17,Assist Other Agency
17-4905,10/19/17,10/14/17,Disorderly Conduct
17-4903,10/19/17,10/19/17,Disorderly Conduct
17-4900,10/18/17,10/18/17,Theft (Of Bicycle)
17-4899,10/18/17,10/12/17,Theft (Of Bicycle)
17-4898,10/18/17,10/18/17,Theft (Of Bicycle)
17-4897,10/18/17,10/18/17,Traffic Crash-Property Damage
17-4896,10/18/17,10/18/17,Administrative Information
17-4895,10/18/17,10/18/17,Ill Aided
17-4891,10/18/17,10/17/17,Theft
17-4890,10/18/17,10/16/17,Theft (From Auto)
17-4885,10/17/17,10/17/17,Public Accident
17-4884,10/17/17,10/17/17,Administrative Information
17-4882,10/17/17,10/17/17,Possession Of Drugs
17-4881,10/17/17,10/17/17,Theft (Of Bicycle)
17-4881,10/18/17,10/18/17,Supplement
17-4881,12/10/17,12/10/17,Supplement
17-488 0,10/17/17,10/17/17,Theft
17-4879,10/17/17,10/17/17,Theft (Of Bicycle)
17-4878,10/17/17,10/17/17,Ill Aided
17-4877,10/17/17,10/17/17,Ill Aided
17-4874,10/16/17,10/16/17,Theft
17-4873,10/17/17,10/8/17,Theft
17-4873,10/24/17,10/24/17,Supplement
17-4872,10/17/17,10/10/17,Theft
17-4868,10/16/17,10/16/17,Theft
17-4867,10/16/17,10/16/17,Theft
17-4866,10/16/17,10/16/17,Theft
17-4866,10/30/17,10/30/17,Supplement
17-4865,10/16/17,10/16/17,Theft (From Auto)
17-4864,10/16/17,10/16/17,Theft
17-4863,10/16/17,10/16/17,Traffic Crash-Property Damage
17-4862,10/16/17,10/16/17,Resisting Arrest
17-4861,10/16/17,10/16/17,Theft (Of Bicycle)
17-4860,10/16/17,10/16/17,Theft
17-4859,10/16/17,10/16/17,Theft (Of Bicycle)
17-4858,10/16/17,10/13/17,Theft (Of Bicycle)
17-4857,10/16/17,10/12/17,Administrative Information
17-4856,10/16/17,10/9/17,Theft (Of Bicycle)
17-4855,10/15/17,10/15/17,Criminal Mischief
17-4853,10/15/17,10/15/17,Public Indecency
17-4853,10/23/17,10/15/17,Supplement
17-4851,10/15/17,10/15/17,Unauthorized Use of Property
17-4850,10/15/17,10/14/17,Rape
17-4850,10/15/17,10/14/17,Rape
17-4849,10/15/17,10/14/17,Theft
17-4848,10/15/17,10/15/17,Disorderly Conduct
17-4846,10/15/17,10/15/17,Assist Other Agency
17-4838,10/14/17,10/11/17,Theft (From Auto)
17-4837,12/8/17,10/13/17,Theft
17-4837,10/14/17,12/8/17,Supplement
17-4836,10/14/17,10/14/17,Possession Of Drugs
17-4835,10/14/17,10/13/17,Administrative Information
17-4834,10/14/17,10/14/17,Theft (From Auto)
17-4833,10/14/17,10/10/17,Theft (Of Bicycle)
17-4832,10/14/17,10/5/17,Theft
17-4831,10/14/17,10/14/17,Administrative Information
17-4829,10/14/17,10/14/17,Assist Other Agency
17-4828,10/14/17,10/14/17,Assist Other Agency
17-4825,10/14/17,10/14/17,Possessing Criminal Tools
17-4824,10/14/17,10/14/17,OVI
17-4820,10/14/17,10/14/17,OVI
17-4814,10/13/17,10/13/17,CSA Report: Rape
17-4813,10/13/17,10/12/17,Theft
17-4811,10/13/17,10/13/17,Possessing Drug Abuse Instruments
17-4810,10/13/17,10/13/17,Assist Other Agency
17-4809,10/13/17,10/13/17,Traffic Crash-Property Damage
17-4808,10/13/17,10/13/17,Traffic Crash-Property Damage
17-4806,10/13/17,10/13/17,Ill Aided
17-4805,10/13/17,10/13/17,Traffic Crash-Property Damage
17-4794,10/12/17,10/12/17,Property Impound
17-4793,10/12/17,10/12/17,Assist Other Agency
17-4793,10/13/17,10/13/17,Supplement
17-4789,10/12/17,10/12/17,Assault
17-4787,10/12/17,10/12/17,Theft (Of Bicycle)
17-4786,10/12/17,10/12/17,Possession Of Drugs
17-4785,10/12/17,10/6/17,Administrative Information
17-4784,10/12/17,10/2/17,Theft
17-4781,10/12/17,10/12/17,Ill Aided
17-4780,10/13/17,10/13/17,Supplement
17-4780,10/12/17,10/9/17,Theft
17-4779,10/12/17,10/12/17,Theft
17-4775,10/12/17,10/12/17,Prohibited Acts
17-4772,10/11/17,10/11/17,Drug Paraphernalia
17-4771,10/11/17,6/30/17,Administrative Information
17-4770,10/11/17,10/11/17,Missing Person
17-4770,10/17/17,10/17/17,Supplement
17-4769,10/11/17,10/9/17,Traffic Crash-Property Damage-Hit Skip
17-4768,10/11/17,10/11/17,Traffic Crash-Property Damage
17-4767,10/11/17,10/11/17,Ill Aided
17-4766,10/11/17,10/11/17,Traffic Crash-Property Damage
17-4763,10/11/17,10/11/17,Traffic Crash-Property Damage
17-4761,10/11/17,10/11/17,Ill Aided
17-4759,10/10/17,10/10/17,Criminal Damaging
17-4758,10/11/17,10/11/17,Supplement
17-4758,10/10/17,10/10/17,Assist Other Agency
17-4757,10/10/17,10/10/17,Possession Of Drugs
17-4754,10/10/17,10/10/17,Prohibited Acts
17-4753,10/10/17,10/10/17,Possession Of Drugs
17-4753,10/16/17,10/10/17,Supplement
17-4751,10/10/17,10/10/17,Traffic Crash-Property Damage
17-4750,10/10/17,10/10/17,Telecommunications Harassment
17-4748,10/10/17,9/22/17,Theft (Of Bicycle)
17-4747,10/10/17,10/10/17,Property Impound
17-4745,10/10/17,10/10/17,Domestic Violence
17-4744,10/10/17,10/10/17,Administrative Information
17-4743,10/10/17,10/10/17,Administrative Information
17-4742,10/10/17,10/10/17,Theft
17-4741,10/10/17,10/10/17,Property Impound
17-4740,10/9/17,10/9/17,Traffic Crash-Property Damage-Hit Skip
17-4738,10/9/17,10/7/17,Felonious Assault
17-4738,11/6/17,10/7/17,Supplement
17-4738,11/21/17,11/21/17,Supplement
17-4737,110/09/2017,10/9/17,Ill Aided
17-4736,10/9/17,10/09/0002,Possession Of Drugs
17-4734,10/9/17,10/5/17,Theft (Of Bicycle)
17-4733,10/9/17,10/9/17,Traffic Crash-Property Damage
17-4732,10/9/17,10/09/0002,Vehicle Impound
17-4731,10/9/17,10/9/17,Ill Aided
17-473 0,10/9/17,10/09/0002,Administrative Information
17-4729,10/9/17,10/9/17,Traffic Crash-Property Damage
17-4728,10/9/17,10/7/17,Theft
17-4727,10/9/17,10/9/17,Theft
17-4726,10/9/17,10/7/17,Criminal Mischief
17-4725,10/9/17,10/9/17,Traffic Crash-Property Damage
17-4724,10/9/17,10/9/17,Traffic Crash-Property Damage
17-4723,10/9/17,10/9/17,Recovered Property
17-4722,10/9/17,10/6/17,Criminal Damaging
17-4720,10/10/17,10/10/17,Supplement
17-4720,10/9/17,10/9/17,Offenses involving underage persons
17-4718,10/9/17,10/9/17,Ill Aided
17-4717,10/9/17,10/8/17,Assault
17-4716,10/9/17,10/08/0002,Menacing
17-4714,10/8/17,10/8/17,Possession Of Drugs
17-4713,10/8/17,10/8/17,Traffic Crash-Property Damage
17-4712,10/8/17,10/8/17,Assault
17-4711,10/8/17,8/25/17,Assault
17-4710,10/8/17,10/8/17,Theft
17-4710,10/22/17,10/8/17,Supplement
17-4709,10/8/17,10/2/17,Administrative Information
17-4707,10/8/17,10/7/17,Theft (From Auto)
17-47 04,10/8/17,10/8/17,Drug Paraphernalia
17-4700,10/7/17,10/7/17,Drug Paraphernalia
17-4697,10/7/17,10/7/17,Prohibited Acts
17-4695,10/7/17,10/7/17,Offenses involving underage persons
17-4691,10/7/17,10/7/17,Prohibited Acts
17-4688,10/7/17,10/3/17,Rape
17-4687,10/7/17,10/6/17,Theft (Of Bicycle)
17-4687,10/15/17,10/15/17,Supplement
17-4686,10/7/17,10/3/17,Theft
17-4683,10/7/17,10/7/17,Theft
17-4680,10/6/17,10/6/17,Criminal Trespass
17-4680,10/19/17,10/19/17,Supplement
17-4678,10/7/17,10/7/17,Offenses involving underage persons
17-4677,10/7/17,10/7/17,Ill Aided
17-4675,10/7/17,10/7/17,Prohibited Acts
17-4672,10/7/17,10/7/17,Offenses involving underage persons
17-4671,10/7/17,10/7/17,Possession Of Drugs
17-4670,10/7/17,10/7/17,Disorderly Conduct
17-4669,10/6/17,10/6/17,Possession Of Drugs
17-4668,10/6/17,10/6/17,Possession Of Drugs
17-4667,10/6/17,10/6/17,Administrative Information
17-4662,10/6/17,10/6/17,Administrative Information
17-4661,10/6/17,10/6/17,Ill Aided
17-4660,10/6/17,10/6/17,Theft
17-4657,10/6/17,10/6/17,Disorderly Conduct
17-4657,10/17/17,10/17/17,Supplement
17-4656,10/6/17,10/6/17,Ill Aided
17-4651,10/6/17,10/6/17,Drug Paraphernalia
17-4648,10/6/17,10/6/17,Possession Of Drugs
17-4638,10/5/17,10/5/17,Administrative Information
17-4637,10/5/17,10/5/17,Traffic Crash-Property Damage-Hit Skip
17-4636,10/5/17,10/5/17,Aggravated Menacing
17-4635,10/5/17,10/5/17,Ill Aided
17-4634,10/5/17,10/5/17,Traffic Crash-Property Damage
17-4633,10/5/17,9/29/17,Administrative Information
17-4632,10/5/17,10/5/17,Traffic Crash-Property Damage
17-4631,10/5/17,10/4/17,Traffic Crash-Property Damage-Hit Skip
17-4630,10/5/17,10/5/17,Theft (Of Bicycle)
17-4629,10/5/17,10/5/17,Recovered Property
17-4627,10/4/17,10/04/0002,Theft
17-4627,11/14/17,10/4/17,Supplement
17-4625,10/5/17,10/5/17,Supplement
17-4625,10/4/17,10/04/0002,Theft (Of Auto)
17-4624,10/4/17,10/4/17,Administrative Information
17-4623,10/4/17,10/4/17,Traffic Crash-Property Damage
17-4621,10/04/0217,10/04/0217,Criminal Trespass
17-4619,10/7/17,10/4/17,Traffic Crash-Property Damage
17-4613,9/28/17,9/28/17,Theft (Of Bicycle)
17-4612,10/4/17,10/4/17,Ill Aided
17-4608,10/4/17,10/4/17,Possession Of Drugs
17-4605,10/3/17,10/3/17,Theft
17-4604,10/3/17,10/3/17,Theft (From Auto)
17-4602,10/3/17,10/3/17,Theft (Of Bicycle)
17-4601,10/3/17,10/2/17,Theft
17-4598,10/3/17,10/3/17,Failureto Disclose Ones Personal I nform ati on
17-4594,10/3/17,10/3/17,Traffic Crash-Property Damage
17-4588,10/3/17,10/3/17,Assault
17-4587,10/3/17,10/3/17,Possession Of Drugs
17-4586,10/2/17,10/2/17,Assist Other Agency
17-4583,10/2/17,10/2/17,Possession Of Drugs
17-4581,10/2/17,10/2/17,Possession Of Drugs
17-4580,10/2/17,10/2/17,Theft (Of Bicycle)
17-4577,10/2/17,10/2/17,Possession Of Drugs
17-4575,10/2/17,10/1/17,Theft
17-4574,10/2/17,10/2/17,Public Accident
17-4571,10/2/17,10/2/17,Possession Of Drugs
17-4570,10/2/17,9/22/17,Theft
17-4569,10/2/17,10/2/17,Disorderly Conduct
17-4567,10/2/17,10/2/17,Criminal Trespass
17-4566,10/2/17,10/2/17,Drug Paraphernalia
17-4562,10/1/17,10/1/17,Ill Aided
17-4559,10/1/17,10/1/17,Theft
17-4558,10/1/17,10/1/17,Theft
17-4557,10/1/17,10/1/17,Theft
17-4556,10/1/17,10/1/17,Domestic Violence
17-4555,10/1/17,10/1/17,Theft
17-4551,10/1/17,10/1/17,Assist Other Agency
17-4550,10/1/17,10/1/17,Administrative Information
17-4549,10/1/17,10/1/17,Disorderly Conduct
17-4548,10/1/17,10/1/17,Offenses involving underage persons
17-4547,10/1/17,10/1/17,Rape
17-4545,10/1/17,10/1/17,Disorderly Conduct
17-4544,9/30/17,9/30/17,Theft (Of Bicycle)
17-4541,9/30/17,9/30/17,Rape
17-4540,9/30/17,9/30/17,Gross Sexual Imposition
17-4539,9/30/17,9/29/17,Theft (Of Bicycle)
17-4538,9/30/17,9/30/17,Prohibited Acts
17-4536,9/30/17,9/30/17,Offenses involving underage persons
17-4535,9/30/17,9/30/17,Possession Of Drugs
17-4534,9/30/17,9/29/17,Robbery
17-4533,9/29/17,9/29/17,Robbery
17-4533,9/29/17,9/29/17,Robbery
17-4532,9/29/17,9/29/17,Disorderly Conduct
17-4530,9/29/17,9/29/17,Offenses involving underage persons
17-4527,9/29/17,9/29/17,Falsification
17-4526,9/29/17,9/29/17,Theft
17-4525,9/29/17,9/29/17,Theft
17-4524,9/29/17,9/29/17,Ill Aided
17-4522,9/29/17,9/29/17,Theft
17-4521,9/29/17,9/29/17,Ill Aided
17-4520,9/29/17,9/29/17,Traffic Crash-Property Damage
17-4519,9/29/17,9/28/17,Theft
17-4518,9/29/17,9/29/17,Possession Of Drugs
17-4517,9/29/17,9/29/17,Property Impound
17-4514,9/29/17,9/29/17,Ill Aided
17-4504,9/28/17,9/28/17,Theft
17-4503,9/28/17,9/28/17,Administrative Information
17-4502,9/28/17,9/27/17,Theft (Of Bicycle)
17-4501,9/28/17,6/9/17,Theft
17-4499,9/28/17,9/28/17,Ill Aided
17-4498,9/28/17,9/28/17,Traffic Crash-Injury
17-4497,9/28/17,9/27/17,Assist Other Agency
17-4496,9/28/17,9/25/17,Public Accident
17-4494,9/28/17,9/28/17,Theft (Of Bicycle)
17-4493,9/28/17,9/28/17,Administrative Information
17-4492,9/28/17,9/28/17,OVI
17-4486,9/28/17,9/28/17,Property Impound
17-4485,9/28/17,9/28/17,Open Container
17-4484,9/28/17,9/28/17,Possession Of Drugs
17-4482,9/27/17,9/27/17,Theft
17-4481,9/27/17,9/27/17,Public Indecency
17-4479,9/27/17,9/27/17,Traffic Crash-Property Damage-Hit Skip
17-4478,9/27/17,9/27/17,Assist Other Agency
17-4477,9/27/17,9/27/17,Drug Paraphernalia
17-4476,9/27/17,9/27/17,Traffic Crash-Property Damage
17-4475,9/27/17,9/27/17,Drug Paraphernalia
17-4474,9/27/17,9/27/17,Drug Paraphernalia
17-4471,9/27/17,9/24/17,Theft
17-4470,9/27/17,9/27/17,Theft (Of Bicycle)
17-4469,9/27/17,9/27/17,Menacing
17-4466,9/27/17,9/26/17,Theft
17-4466,10/29/17,10/29/17,Supplement
17-4466,10/25/17,12/31/69,Supplement
17-4460,9/27/17,9/27/17,Disorderly Conduct
17-4459,9/27/17,9/27/17,Driving Under Suspension
17-4453,9/26/17,9/26/17,Possession Of Drugs
17-4452,9/26/17,9/26/17,Theft
17-4452,9/26/17,9/26/17,Theft
17-4450,9/26/17,9/26/17,Traffic Crash-Property Damage
17-4447,9/26/17,9/26/17,Theft (Of Bicycle)
17-4445,9/26/17,9/21/17,Aggravated Menacing
17-4444,9/26/17,9/26/17,Possession Of Drugs
17-4443,9/26/17,9/26/17,Criminal Trespass
17-4442,9/26/17,9/26/17,Assist Other Agency
17-4441,9/26/17,9/26/17,Traffic Crash-Injury
17-4440,9/26/17,9/1/17,Criminal Damaging
17-4440,9/26/17,9/13/17,Supplement
17-4437,9/26/17,9/26/17,Drug Paraphernalia
17-4435,9/25/17,9/25/17,Prohibited Acts
17-4433,9/25/17,9/25/17,Traffic Crash-Injury
17-4432,9/25/17,9/25/17,Offenses involving underage persons
17-4430,9/25/17,9/22/17,Theft (Of Bicycle)
17-4429,9/25/17,9/25/17,Assist Other Agency
17-4428,9/25/17,9/25/17,Theft
17-4427,9/25/17,9/25/17,Traffic Crash-Property Damage
17-4426,9/25/17,9/25/17,Assist Other Agency
17-4425,9/25/17,9/25/17,Theft
17-4424,9/25/17,9/21/17,Theft (Of Bicycle)
17-4423,9/25/17,9/25/17,Drug Paraphernalia
17-4421,9/25/17,9/25/17,Telecommunications Harassment
17-4419,9/25/17,9/25/17,Administrative Information
17-4418,9/25/17,9/25/17,Administrative Information
17-4415,9/25/17,9/24/17,Property Impound
17-4413,9/24/17,9/24/17,Criminal Damaging
17-4412,9/24/17,9/24/17,Criminal Mischief
17-4412,9/24/17,9/25/17,Supplement
17-4411,9/24/17,9/24/17,Theft
17-4410,9/24/17,9/24/17,Prohibited Acts
17-4409,9/24/17,9/24/17,Prohibited Acts
17-4405,9/24/17,9/24/17,Theft
17-4402,9/24/17,9/24/17,Administrative Information
17-4399,9/24/17,9/24/17,Possessing Drug Abuse Instruments
17-4397,9/24/17,9/24/17,Disorderly Conduct
17-4396,9/24/17,9/24/17,Vehicle Impound
17-4396,9/25/17,9/23/17,Supplement
17-4394,9/24/17,9/24/17,OVI
17-4393,9/24/17,9/24/17,Drug Paraphernalia
17-4392,9/24/17,9/24/17,Prohibited Acts
17-4391,9/23/17,9/23/17,Theft (From Auto)
17-4390,9/23/17,9/23/17,Criminal Trespass
17-4389,9/23/17,9/23/17,Offenses involving underage persons
17-4388,9/23/17,9/22/17,Theft
17-4388,10/3/17,10/3/17,Supplement
17-4387,9/23/17,9/23/17,Disorderly Conduct
17-4387,9/29/17,9/29/17,Supplement
17-4386,9/23/17,9/23/17,Theft
17-4385,9/23/17,9/23/17,Theft (Of Bicycle)
17-4383,9/23/17,9/23/17,Prohibited Acts
17-4378,9/23/17,9/23/17,Offenses involving underage persons
17-4377,9/23/17,9/23/17,Offenses involving underage persons
17-4371,9/23/17,9/23/17,Offenses involving underage persons
17-4367,9/23/17,9/23/17,Possessing Drug Abuse Instruments
17-4365,9/23/17,9/23/17,Offenses involving underage persons
17-4364,9/23/17,9/23/17,Assist Other Agency
17-4363,9/23/17,9/23/17,Offenses involving underage persons
17-4362,9/23/17,9/23/17,Disorderly Conduct
17-4361,9/23/17,9/23/17,Offenses involving underage persons
17-4360,9/23/17,9/23/17,Criminal Mischief
17-4353,9/22/17,9/22/17,Possession Of Drugs
17-4351,9/22/17,9/22/17,Administrative Information
17-4349,9/22/17,9/22/17,Assist Other Agency
17-4348,9/22/17,9/22/17,Theft
17-4347,9/22/17,9/22/17,Traffic Crash-Property Damage
17-4346,9/22/17,8/29/17,Theft
17-4346,10/2/17,10/2/17,Supplement
17-4344,9/22/17,9/22/17,Ill Aided
17-4343,9/22/17,9/22/17,Ill Aided
17-4341,9/22/17,9/22/17,Theft
17-4340,9/22/17,9/22/17,Theft (Of Bicycle)
17-4339,9/22/17,9/22/17,Ill Aided
17-4337,9/22/17,9/22/17,Prohibited Acts
17-4334,9/22/17,9/22/17,Offenses involving underage persons
17-4333,9/22/17,9/22/17,Assault
17-4332,9/22/17,9/22/17,Administrative Information
17-4330,9/21/17,9/21/17,Assault
17-4330,10/5/17,9/21/17,Assault
17-4327,9/21/17,9/20/17,Administrative Information
17-4326,9/21/17,8/23/17,Criminal Trespass
17-4325,9/21/17,9/21/17,Domestic Violence
17-4325,9/23/17,9/23/17,Supplement
17-4324,9/21/17,9/21/17,Traffic Crash-Injury-Hit Skip
17-4322,9/21/17,9/19/17,Criminal Simulation
17-4322,10/22/17,10/22/17,Supplement
17-4319,9/21/17,9/21/17,Traffic Crash-Property Damage
17-4317,9/20/17,9/20/17,Offenses involving underage persons
17-4313,9/20/17,9/20/17,Criminal Simulation
17-4312,9/20/17,9/20/17,Drug Paraphernalia
17-4310,9/20/17,9/20/17,Traffic Crash-Property Damage
17-4309,9/20/17,9/9/17,Theft
17-4307,9/20/17,9/20/17,Theft
17-4306,9/20/17,9/20/17,Possession Of Drugs
