case_number,date_reported,incident,date_occurred,time_occurred,location,university,time_reported
1802946,2018-08-31,Simple Battery (Domestic Violence),2018-08-31,22:00,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802942,2018-08-31,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-08-31,13:15,"Anthropology Bldg, 1557 Dickey Dr, Atlanta 30322",Emory University,NA
1802939,2018-08-31,Entering an Auto,2018-08-31,07:00,"Emory University Hospital, Valet Parking, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802932,2018-08-31,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-08-30,20:00,"Fraternity House, 6 Eagle Row, Atlanta 30322",Emory University,NA
1802904,2018-08-29,"Entering an Auto; Criminal Trespass, Property Damage",2018-08-29,19:00,"Depot Parking Lot, 1 Eagle Row, Atlanta 30322",Emory University,NA
1802902,2018-08-29,Entering an Auto,2018-08-20,09:00,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1802885,2018-08-29,"Criminal Trespass, Property Damage",2018-08-29,00:09,"Longstreet-Means Parking Deck, 646 Means Dr, Atlanta 30322",Emory University,NA
1802883,2018-08-28,Arrest: Family Violence Battery,2018-08-28,18:25,"Gables Emory Point, 855 Emory Point Dr, Atlanta 30329",Emory University,NA
1802875,2018-08-28,"Possession, Display, or Use of False Government ID Document; Person Down-Alcohol-Underage Possession",2018-08-28,01:18,"Longstreet-Means Hall, 646 Means Dr, Atlanta 30322",Emory University,NA
1802849,2018-08-25,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-08-25,10:00,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802829,2018-08-24,"Burglary, First Degree, Non-Forcible Entry",2018-08-24,12:00,"Woodruff Residential Center, 1495 Clifton Rd, Atlanta 30322",Emory University,NA
1802828,2018-08-24,"Burglary, First Degree, Non-Forcible Entry",2018-08-24,12:45,"Woodruff Residential Center, 1495 Clifton Rd, Atlanta 30322",Emory University,NA
1802826,2018-08-24,Harassing Communications,2018-08-22,12:25,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802821,2018-08-24,"Possession, Display, or Use of False Government ID Document; Person Down-Alcohol-Underage Possession",2018-08-24,01:05,"Evans Hall, 4 Eagle Row, Atlanta 30322",Emory University,NA
1802781,2018-08-21,"Theft by Taking (From Bldg, Valued Over $1500)",2018-08-20,16:00,"Winship Clinic, 1711 Uppergate Dr, Atlanta 30322",Emory University,NA
1802775,2018-08-20,Simple Battery (Domestic Violence),2018-08-20,20:50,"Emory Rehabilitation Hospital, 1441 Clifton Rd, Atlanta 30322",Emory University,NA
1802773,2018-08-20,Simple Battery,2018-08-20,20:30,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802768,2018-08-20,"Theft by Taking (Motor Vehicle Parts or Accessories, Exterior)",2018-08-20,09:00,"Peavine I Parking Deck, 27 Eagle Row, Atlanta 30322",Emory University,NA
1802767,2018-08-20,Entering an Auto,2018-08-20,10:55,"Emory Clinic Valet Parking, 1365-A Clifton Rd, 30322",Emory University,NA
1802761,2018-08-20,Arrest: Simple Battery,2018-08-20,09:30,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802744,2018-08-18,"Theft by Taking (From Bldg, Valued Over $1500)",2018-08-17,10:30,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802739,2018-08-17,Arrest: Driving Without a License,2018-08-17,21:33,"Clairmont Rd at Mason Mill Rd, Decatur 30033",Emory University,NA
1802732,2018-08-17,Harassing Communications,2018-08-17,09:30,"Emory University, 201 Dowman Dr, Atlanta 30322",Emory University,NA
1802722,2018-08-16,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-08-11,15:52,"855 Emory Point Dr, Atlanta 30329",Emory University,NA
1802718,2018-08-16,Criminal Attempt - Entering Auto,2018-08-16,09:10,"Old Briarcliff Way near Clifton Rd, Atlanta 30322",Emory University,NA
1802701,2018-08-15,Arrest for Other Law Enforcement Agency (Cobb Co Sheriff's Office - Failure to Appear),2018-08-15,05:54,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802699,2018-08-15,Assist DeKalb County Police (Entering Auto),2018-08-15,03:53,"1414 Emory Rd, Atlanta 30307",Emory University,NA
1802691,2018-08-14,Possession and Use of Drug-Related Objects,2018-08-14,18:12,"Clairmont Tower, 2425 Dooley Dr, Atlanta 30322",Emory University,NA
1802690,2018-08-14,"Theft by Taking (From Bldg, Valued $1500 or Less); Financial Transaction Card Theft",2018-08-14,11:55,"Emory Conference Center Hotel, 1615 Clifton Rd, Atlanta 30322",Emory University,NA
1802682,2018-08-14,Arrest for Other Law Enforcement Agency (Barrow County Sheriff's Office - Possession of a Controlled Substance),2018-08-14,03:51,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802679,2018-08-13,Aggravated Stalking,2018-08-13,22:15,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802670,2018-08-13,Arrest: Driving While License Suspended; Arrest for Other Law Enforcement Agency (Baldwin Co Sheriff's Off. - Probation Violati,2018-08-13,17:32,"Woodruff Circle at Clifton Rd, Atlanta 30322",Emory University,NA
1802668,2018-08-13,Arrest: Loitering or Prowling,2018-08-13,16:18,"1707 N Decatur Rd, Atlanta 30322",Emory University,NA
1802664,2018-08-13,Battery,2018-08-13,08:10,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",Emory University,NA
1802610,2018-08-08,"Arrest: Disorderly Conduct, Public Intoxication",2018-08-08,22:50,"Harwood Condominiums, 759 Houston Mill Rd, Atlanta 30329",Emory University,NA
1802608,2018-08-08,Arrest for Other Law Enforcement Agency (DeKalb County Police - Armed Robbery),2018-08-08,21:22,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802602,2018-08-08,"Theft by Taking (From Bldg, Valued $1500 or Less); Financial Transaction Card Theft",2018-08-07,12:40,"School of Nursing, 1520 Clifton Rd, Atlanta 30322",Emory University,NA
1802601,2018-08-08,Entering an Auto,2018-08-08,08:15,"Emory Clinic A, Valet Parking, 1365-A Clifton Rd, Atlanta 30322",Emory University,NA
1802588,2018-08-07,Simple Battery,2018-08-07,14:30,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",Emory University,NA
1802575,2018-08-06,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-08-06,10:46,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802567,2018-08-05,Driving Without Headlights; Possession of Less Than One Ounce of Marijuana,2018-08-05,22:27,"Clifton Rd at CDC Parkway, Atlanta 30329",Emory University,NA
1802565,2018-08-05,Harassing Communications (Threatening by Electronic Communication),2018-08-05,18:30,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",Emory University,NA
1802547,2018-08-03,Public Indecency (Misdemeanor),2018-08-02,15:50,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",Emory University,NA
1802520,2018-08-01,Simple Battery,2018-08-01,09:40,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802515,2018-08-01,Entering an Auto,2018-07-31,09:52,"Emory Clinic A, Valet Parking, 1365-A Clifton Rd, Atlanta 30322",Emory University,NA
1802510,2018-07-31,"Criminal Trespass, Property Damage",2018-07-31,03:42,"Fraternity House, 20 Eagle Row, Atlanta 30322",Emory University,NA
1802499,2018-07-30,Simple Assault,2018-07-30,15:50,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802488,2018-07-29,Assist DeKalb County Police Dept (Theft by Shoplifting),2018-07-29,14:30,"Kroger's, Sage Hill Shopping Center, 1799 Briarcliff Rd, Atlanta 30329",Emory University,NA
1802481,2018-07-28,"Criminal Trespass, Entering Property With Unlawful Purpose",2018-07-28,20:00,"MIchael St Parking Deck, 550 Michael St, Atlanta 30322",Emory University,NA
1802478,2018-07-28,Simple Assault; Arrest for Other Law Enforcement Agency (Gwinnett County Sheriff's Dept - Theft by Shoplifting),2018-07-28,15:10,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802465,2018-07-27,Entering an Auto,2018-07-16,07:00,"Emory Univ Hospital Tower, Valet Parking, 1365 Clifton Rd, Atlanta 30322",Emory University,NA
1802452,2018-07-26,Battery,2018-07-26,11:45,"Autism Center, 1551 Shoup Ct, Atlanta 30322",Emory University,NA
1802451,2018-07-26,Entering an Auto,2018-07-26,10:00,"Emory Clinic B, Valet Parking, 1365-B Clifton Rd, Atlanta 30322",Emory University,NA
1802450,2018-07-26,"Burglary, Second Degree, Forcible Entry",2018-07-19,16:00,"White Hall, 301 Dowman Dr, Atlanta 30322",Emory University,NA
1802448,2018-07-26,Stalking,2108-07-18,08:51,"Asbury Circle, Atlanta 30322",Emory University,NA
1802445,2018-07-25,"Burglary, Second Degree, Non-Forcible Entry; Criminal Damage to Property Second Degree (Over $500)",2018-07-25,22:18,"Emory West, Bldg A, 1256 Briarcliff Rd, Atlanta 30322",Emory University,NA
1802430,2018-07-24,"Arrest: Simple Assault, Simple Battery",2018-07-24,14:15,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802428,2018-07-24,"Burglary, Second Degree, Forcible Entry",2018-07-23,21:30,"1256 Briarcliff Rd, Atlanta 30322",Emory University,NA
1802413,2018-07-23,Unauthorized Persons Entering Vacant Buildings,2018-07-23,03:00,"Emory West, Bldg A, 1256-A Briarcliff Rd, Atlanta 30322",Emory University,NA
1802401,2018-07-20,Assist DeKalb County Police Dept (Robbery by Intimidation),2018-07-18,22:16,"Clairmont Circle at N Decatur Rd, Decatur 30033",Emory University,NA
1802398,2018-07-20,Arrest: Loitering,2018-07-20,23:35,"Chocolate Coffee, 2094 N Decatur Rd, Atlanta 30307",Emory University,NA
1802384,2018-07-19,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-07-19,14:45,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802377,2018-07-19,"Entering an Auto; Criminal Trespass, Property Damage",2018-07-18,05:20,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802348,2018-07-16,"Criminal Damage to Property, Second Degree; Criminal Trespass (Entry With Unlawful Purpose)",2018-07-16,22:45,"Candler Mansion, 1260 Briarcliff Rd, Atlanta 30322",Emory University,NA
1802344,2018-07-16,Theft of Lost or Mislaid Property (Valued $1500 or Less); Financial Transaction Card Fraud,2018-07-13,19:00,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",Emory University,NA
1802331,2018-07-13,Rape,2018-07-13,01:00,"1540 Avenue Pl, Atlanta 30329",Emory University,NA
1802325,2018-07-13,"Simple Battery; Terroristic Threats; Cruelty to Children, Third Degree",2018-07-13,11:30,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802323,2018-07-13,Financial Transaction Card Theft,2018-07-12,18:30,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802322,2018-07-13,Financial Transaction Card Theft,2018-07-12,18:00,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802301,2018-07-11,"Simple Assault; Giving False Name, Address, or Date of Birth to Law Enforcement Officer",2018-07-11,21:31,"Hopkins Hall, 1310 Clifton Rd, Atlanta 30322",Emory University,NA
1802300,2018-07-11,Simple Assault,2018-07-11,20:51,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802299,2018-07-11,Simple Battery,2018-07-11,20:51,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802272,2018-07-09,"Theft by Taking (All Other, Value $1500 or Less); Financial Transaction Card Theft",2018-05-18,00:00,"Longstreet-Means Hall, 646 Means Dr, Atlanta 30322",Emory University,NA
1802263,2018-07-07,Simple Battery (Domestic Violence),2018-07-07,16:07,"Children's Healthcare of Atlanta - Egleston Hospital, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802259,2018-07-07,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-07-06,19:00,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802255,2018-07-06,"Burglary, First Degree, Non-Forcible Entry; Financial Transaction Card Theft; Financial Transaction Card Fraud",2018-07-03,17:00,"Longstreet-Means Hall, 646 Means Dr, Atlanta 30322",Emory University,NA
1802253,2018-07-06,"Theft by Taking (From Bldg, Valued Over $1500)",2018-07-03,13:29,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",Emory University,NA
1802252,2018-07-06,Assist DeKalb County Police Dept (Robbery by Force),2018-07-06,15:07,"CVS Pharmacy, 1554 N Decatur Rd, Atlanta 30307",Emory University,NA
1802251,2018-07-06,"Theft by Taking (Other, Valued $1500 or Less)",2018-07-03,14:00,"1599 Clifton Rd NE, Atlanta 30322",Emory University,NA
1802245,2018-07-05,"Entering an Auto; Criminal Trespass, Property Damage",2018-07-05,13:52,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta  30322",Emory University,NA
1802241,2018-07-05,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-25,08:00,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",Emory University,NA
1802207,2018-07-02,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-07-01,11:00,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",Emory University,NA
1802187,2018-06-29,Theft by Deception (Over $1500),2018-06-29,14:24,"Emory University, 201 Dowman Dr, Atlanta 30322",Emory University,NA
1802184,2018-06-29,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-28,19:45,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",Emory University,NA
1802179,2018-06-29,"Criminal Trespass, Property Damage; Reckless Driving",2018-06-29,12:35,"Carriage Cleaners, 855 Emory Point Dr, Atlanta 30329",Emory University,NA
1802164,2018-06-28,"Theft by Taking (All Other, Value Over $1500)",2018-06-28,11:15,"Shuttle Bridge, Atlanta 30322",Emory University,NA
1802163,2018-06-28,Simple Battery,2018-06-28,09:15,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",Emory University,NA
1802157,2018-06-27,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-06-26,00:00,"Gambrell Parking Deck, 1705 Gambrell Dr, Atlanta 30322",Emory University,NA
1802136,2018-06-26,Entering an Auto,2018-06-25,08:00,"Gambrell Parking Deck, 1705 Gambrell Dr, Atlanta 30322",Emory University,NA
1802127,2018-06-25,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-25,15:00,"Health Sciences Research Bldg, 1760 Haygood Dr, Atlanta 30322",Emory University,NA
1802123,2018-06-25,"Theft by Taking (From Bldg, Valued $1500 or Less); Financial Transaction Card Theft",2018-06-25,13:30,"Woodruff Memorial Bldg, 101 Woodruff Cir, Atlanta 30322",Emory University,NA
1802121,2018-06-25,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-25,08:05,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802111,2018-06-24,"Aggravated Assault (Knife, Cutting Instrument)",2018-06-24,19:00,"Chappell Park, 701 Peavine Creek Dr, Atlanta 30322",Emory University,NA
1802110,2018-06-24,Simple Battery,2018-06-24,14:00,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",Emory University,NA
1802100,2018-06-22,"Theft by Taking (Motor Vehicle Parts or Accessories, Exterior)",2018-06-18,17:00,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802078,2018-06-21,"Burglary, Second Degree, Non-Forcible Entry; Financial Transaction Card Theft",2018-06-21,06:00,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802075,2018-06-21,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-06-20,10:45,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1802063,2018-06-20,Harassing Communications,2018-05-22,11:39,"Parking and Transportation Services, Starvine Parking Deck, 1945 Starvine Way, Atlanta 30322",Emory University,NA
1802054,2018-06-20,Theft of Lost or Mislaid Property (Valued $1500 or Less); Financial Transaction Card Theft,2018-06-19,23:00,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",Emory University,NA
1802038,2018-06-18,Arrest: Possession of Less Than One Ounce of Marijuana; Possession and Use of Drug-Related Objects,2018-06-18,21:57,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802022,2018-06-17,Simple Battery,2018-06-17,16:47,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1802004,2018-06-15,"Theft by Taking (From Bldg, Valued $1500 or Less)",2020-05-23,16:45,"Emily J Aveda Studio, 1568 Avenue Pl, Atlanta  30329",Emory University,NA
1801995,2018-06-14,"Arrest: Simple Battery, Obstructing a Law Enforcement Officer, Arrest for Other Agency (Probation Violation, DeKalb County)",2018-06-14,18:25,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1801992,2018-06-14,"Entering an Auto; Criminal Trespass, Property Damage",2018-06-14,11:30,"Budd Terrace, Parking Lot, 1833 Clifton Rd, Atlanta 30322",Emory University,NA
1801990,2018-06-14,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-13,08:30,"Duckling, 596 Asbury Cir, Atlanta 30322",Emory University,NA
1801976,2018-06-13,Arrest: Disorderly Conduct,2018-06-13,15:30,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",Emory University,NA
1801965,2018-06-12,"Theft by Taking (From Bldg, Valued Over $1500)",2018-05-31,15:15,"Emory Clinic B, 1365-B Clifton Rd, Atlanta 30322",Emory University,NA
1801955,2018-06-11,Theft by Deception (Over $1500),2018-06-11,15:00,"Park Bldg, Emory Point, 1578 Avenue Pl, Atlanta GA 30329",Emory University,NA
1801948,2018-06-11,Theft by Deception ($1500 or Less),2018-06-11,12:00,"855 Emory Point Dr, Atlanta 30329",Emory University,NA
1801939,2018-06-10,"Arrest: Giving False Name, Address, or Date of Birth; Obstructing a Law Enforcement Officer - Misdemeanor",2018-06-10,00:10,"Clifton Ridge Subdivision, Clifton Rd near Oxford, Atlanta 30307",Emory University,NA
1801938,2018-06-09,Terroristic Threats,2018-06-09,20:58,"Wesley Woods Geriatric Hospital, 1821 Clifton Rd, Atlanta 30322",Emory University,NA
1801933,2018-06-08,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-07,07:30,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1801918,2018-06-07,"Theft by Taking (Bicycle, Valued at $1500 or Less)",2018-06-01,00:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1801917,2018-06-07,"Theft by Taking (From Bldg, Valued Over $1500)",2018-05-31,11:13,"Emory Clinic B, 1365-B Clifton Rd, Atlanta 30322",Emory University,NA
1801911,2018-06-07,Simple Battery,2018-06-03,09:35,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",Emory University,NA
1801907,2018-06-06,Arrest for Other Law Enforcement Agency (Bibb County Sheriff's Office - Violating Condition of Bond),2018-06-06,18:45,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1801899,2018-06-06,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-05-07,18:00,"Autism Center, 1551 Shoup Ct, Atlanta 30322",Emory University,NA
1801897,2018-06-06,Entering an Auto,2018-06-05,21:40,"1500 block Dickey Dr, Atlanta 30322",Emory University,NA
1801893,2018-06-05,Entering an Auto; Loitering and Prowling,2018-06-05,22:31,"Peavine I (South) Parking Deck, 27 Eagle Row, Atlanta 30322",Emory University,NA
1801889,2018-06-05,Unlawfully Obtaining Controlled Substances,2018-05-10,12:00,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta, 30322",Emory University,NA
1801885,2018-06-04,Theft of Lost or Mislaid Property (Valued $1500 or Less),2018-06-04,20:00,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1801881,2018-06-04,"Theft by Taking (From Bldg, Valued $1500 or Less)",2018-06-04,16:45,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",Emory University,NA
1801877,2018-06-04,"Burglary, Second Degree, Forcible Entry",2018-06-01,17:00,"Winship Cancer Clinic, 1711 Uppergate Dr, Atlanta 30322",Emory University,NA
1801876,2018-06-04,Sexual Battery,2018-01-11,00:00,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1801872,2018-06-03,"Burglary, First Degree, Non-Forcible Entry",2018-05-22,00:00,"Wesley Woods Towers, 1825 Clifton Rd, Atlanta 30322",Emory University,NA
1801849,2018-06-01,"Criminal Trespass, Property Damage",2018-05-31,03:00,"Candler Library, 550 Asbury Cir, Atlanta 30322",Emory University,NA
1801845,2018-05-31,"Criminal Trespass, Property Damage",2018-05-31,19:56,"Emory West, 1256 Briarcliff Rd, Atlanta 30322",Emory University,NA
1801834,2018-05-30,Theft of Lost or Mislaid Property (Value Over $500),2018-05-21,13:00,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",Emory University,NA
1801830,2018-05-30,"Criminal Trespass, Property Damage",2018-05-30,10:20,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",Emory University,NA
1801827,2018-05-29,Entering an Auto,2018-05-29,17:00,"Parking Lot, Tarbutton Hall, 1555 Dickey Dr, Atlanta 30322",Emory University,NA
1801825,2018-05-29,"Theft by Taking (Motor Vehicle, Automobile)",2018-05-27,00:01,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1801822,2018-05-29,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-10,08:00,"Oxford Road Bldg, 1390 Oxford Rd, Atlanta 30322",Emory University,NA
1801817,2018-05-28,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-28,14:00,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",Emory University,NA
1801816,2018-05-28,"Theft by Taking (From Bldg, Valued $500 or Less); Financial Transaction Card Theft",2018-05-28,10:30,"Tin Lizzy's, 1540 Avenue Pl, Atlanta 30329",Emory University,NA
1801789,2018-05-24,Financial Transaction Card Theft,2018-02-14,00:00,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",Emory University,NA
1801782,2018-05-24,"Theft by Taking (Motor Vehicle Parts or Accessories, Exterior)",2018-05-23,22:00,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1801774,2018-05-23,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-22,16:30,"A.G. Rhodes at Wesley Woods, 1819 Clifton Rd, Atlanta 30322",Emory University,NA
1801773,2018-05-23,"Criminal Trespass, Property Damage",NA,NA,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",Emory University,NA
1801770,2018-05-23,Fraudulent Telephone Solicitation,2018-05-17,18:00,"Wesley Woods Towers, 1825 Clifton Rd, Atlanta 30322",Emory University,NA
1801769,2018-05-23,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-18,14:00,"Quadrangle, 251 Dowman Dr, Atlanta 30322",Emory University,NA
1801759,2018-05-21,Arrest: Driving While License Suspended or Revoked; Disregard of Traffic Control Device,2018-05-21,23:09,"N Decatur Rd at Clairmont Rd, Decatur 30033",Emory University,NA
1801750,2018-05-19,Harassing Communications,2018-05-19,21:26,"855 Emory Point Dr, Atlanta 30329",Emory University,NA
1801746,2018-05-19,Simple Assault,2018-05-13,00:00,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1801744,2018-05-19,"Simple Battery, Terroristic Threats",2018-05-19,13:44,"Raoul Hall, 2 Eagle Row, Atlanta 30322",Emory University,NA
1801717,2018-05-16,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-14,12:00,"Fraternity House, 18 Eagle Row, Atlanta 30322",Emory University,NA
1801715,2018-05-16,Harassing Communications,2018-05-13,17:00,"Emory Clinic A, 1365-A Clifton Rd, Atlanta 30322",Emory University,NA
1801711,2018-05-15,"Burglary, First Degree, Forcible Entry",2018-05-13,15:30,"Turman Hall, 640 Means Dr, Atlanta 30322",Emory University,NA
1801709,2018-05-15,"Theft by Taking (Motor Vehicle, Other Vehicles)",2018-05-13,07:45,"Dowman Dr at Eagle Row, Atlanta 30322",Emory University,NA
1801708,2018-05-15,"Theft by Taking (Motor Vehicle, Other Vehicles)",2018-05-14,14:30,"Administration Bldg (exterior), 201 Dowman Dr, Atlanta 30322",Emory University,NA
1801703,2018-05-15,Theft of Lost or Mislaid Property (Valued $500 or Less),2018-05-15,00:00,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1801678,2018-05-13,"Entering an Auto; Criminal Trespass, Property Damage",2018-05-13,09:15,"West Parking Deck, 855 Emory Point Dr, Atlanta 30329",Emory University,NA
1801676,2018-05-12,"Theft by Taking (From Bldg, Valued Over $500)",2018-05-08,00:00,"Alumni Memorial University Center, 630 Means Dr, Atlanta 30322",Emory University,NA
1801664,2018-05-11,Harassing Communications,2018-04-01,00:00,"Atwood Hall, 1515 Dickey Dr, Atlanta 30322",Emory University,NA
1801661,2018-05-11,Simple Battery,2018-05-11,18:30,"A G Rhodes at Wesley Woods, 1819 Clifton Rd, Atlanta 30322",Emory University,NA
1801656,2018-05-11,Harassing Communications,2018-05-10,10:00,"Winship Cancer Clinic, 1711 Uppergate Dr, Atlanta 30322",Emory University,NA
1801648,2018-05-10,"Theft by Taking (From Bldg, Valued Over $500)",2018-05-09,09:04,"Sorority Lodge, 11-I Eagle Row, Atlanta 30322",Emory University,NA
1801647,2018-05-10,Disorderly Conduct; Emotionally Disturbed Person,2018-05-10,13:30,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",Emory University,NA
1801642,2018-05-10,Harassing Communications,2018-05-10,09:00,"Emory Healthcare, 57 Executive Park Dr, Brookhaven 30329",Emory University,NA
1801636,2018-05-09,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-09,15:56,"Raoul Hall, 2 Eagle Row, Atlanta 30322",Emory University,NA
1801635,2018-05-09,Arrest: Possession of Less Than One Ounce of Marijuana; Possession and Use of Drug-Related Objects,2018-05-09,15:05,"Turman Hall, 640 Means Dr, Atlanta 30322",Emory University,NA
1801629,2018-05-09,Arrest: Possession of Less Than One Ounce of Marijuana; Possession and Use of Drug-Related Objects,2018-05-09,01:01,"Emory West Campus, 1256 Briarcliff Rd, Atlanta 30322",Emory University,NA
1801623,2018-05-08,"Theft by Taking (All Other, Value $500 or Less)",2018-05-07,07:30,"Psychology Bldg, 36 Eagle Row, Atlanta 30322",Emory University,NA
1801620,2018-05-08,"Theft by Taking (From Bldg, Valued $500 or Less)",2018-05-08,08:00,"Goizueta Business School, 1300 Clifton Rd, Atlanta 30322",Emory University,NA
1801609,2018-05-07,Theft of Lost or Mislaid Property (Value Over $500),2018-05-06,23:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
