CFS #,Case #,Date Reported,Date Occurred,Address,Incident,Disposition
CFS15-01-23-000631,UPD-150066,1/23/15 19:28,1/23/15 0:00,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: ROOM 308,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-01-23-000632,UPD,1/23/15 21:12,,Common Name: RYORS GARAGE / SA,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-23-000633,UPD,1/23/15 21:37,,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,FIRE ALARM,
CFS15-01-23-000637,UPD,1/23/15 23:28,,101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 417,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-24-000638,UPD,1/24/15 0:17,,EAST UNION STREET Common Name: SCHOONOVER CENTER Location Detail: FRONT OF,DISORDERLY CONDUCT OFFENSES,
CFS15-01-24-000639,UPD-150067,1/24/15 0:23,1/24/15 0:23,COLLEGE STREET Common Name: COLLEGE STREET Location Detail: PAST APD,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-24-000640,UPD,1/24/15 0:52,,126 SOUTH GREEN DRIVE Common Name: BROUGH Location Detail: OUTSIDE,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-24-000641,UPD,1/24/15 1:43,,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM 304,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-24-000642,UPD,1/24/15 2:18,,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: 1ST FLOOR,DISORDERLY CONDUCT OFFENSES,
CFS15-01-24-000643,UPD,1/24/15 2:19,,SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: COURTYARD IN BACK OF BUILDING,NOISE COMPLAINT,
CFS15-01-24-000644,UPD-150068,1/24/15 2:48,1/24/15 2:48,45 EAST GREEN STREET Common Name: LINCOLN HALL Location Detail: 3RD FLOOR,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-24-000645,UPD-150069,1/24/15 3:23,1/24/15 3:23,123 SOUTH GREEN DRIVE Common Name: O'BLENESS HOUSE Location Detail: CALLBOX,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-24-000651,UPD-150071,1/24/15 10:36,1/24/15 3:00,100 FACTORY ST. Common Name: PARKING SERVICES,DESTRUCTION OF PROPERTY,CONVERSION OUPD - OPEN
CFS15-01-24-000656,UPD-150072,1/24/15 15:55,1/18/15 0:30,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN,RAPE,CONVERSION OUPD CLOSED
CFS15-01-24-000657,UPD,1/24/15 16:48,,124 SOUTH GREEN DRIVE Common Name: CADY,ALCOHOL OFFENSE,
CFS15-01-24-000662,UPD,1/24/15 19:59,,MORTON HALL LOT Common Name: PARKING LOT 90,ANIMAL COMPLAINT,
CFS15-01-24-000663,UPD,1/24/15 20:59,,68 SOUTH GREEN DRIVE Common Name: PICKERING HALL,FIRE ALARM,
CFS15-01-24-000668,UPD-150073,1/24/15 22:31,1/24/15 22:31,SOUTH GREEN Common Name: SOUTH GREEN Location Detail: BETWEEN EWING/WRAY UNDER CATWALK,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-01-24-000670,UPD-150074,1/24/15 23:28,1/24/15 21:47,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 245,DRUG OFFENSES,CONVERSION OUPD - OPEN
CFS15-01-25-000671,UPD-150075,1/25/15 0:05,1/25/15 0:05,57 EAST GREEN DRIVE Common Name: PERKINS HALL Location Detail: 4TH FLOOR,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-01-25-000672,UPD,1/25/15 0:23,,WASHINGTON STREET Common Name: WASHINGTON STREET Location Detail: BY PARKING GARAGE,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-25-000678,UPD-150076,1/25/15 2:25,1/25/15 2:25,125 SOUTH GREEN DRIVE Common Name: FOSTER HOUSE Location Detail: 2ND FLOOR,DESTRUCTION OF PROPERTY,CONVERSION OUPD CLOSED
CFS15-01-25-000679,UPD,1/25/15 2:47,,MILL STREET Common Name: MILL STREET Location Detail: PAST STEWART ST.,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-25-000680,UPD-150077,1/25/15 2:57,1/25/15 2:57,126 SOUTH GREEN DRIVE Common Name: BROUGH Location Detail: ROOM 333,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-25-000681,UPD,1/25/15 3:01,,126 SOUTH GREEN DRIVE Common Name: BROUGH Location Detail: ROOM 436,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-25-000687,UPD,1/25/15 9:41,,SOUTH GREEN DRIVE Common Name: ADAMS HALL,FIRE ALARM,
CFS15-01-25-000689,UPD,1/25/15 11:22,,ELLIOTT STREET Common Name: ELLIOT STREET,TRAFFIC FAILURE TO DISPLAY LIC. PLATE/STICKER 4503.21,
CFS15-01-25-000690,UPD-150078,1/25/15 12:35,1/25/15 12:35,46 EAST GREEN STREET Common Name: JEFFERSON HALL,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-25-000692,UPD-150079,1/25/15 12:58,1/25/15 12:58,51 EAST GREEN STREET Common Name: BIDDLE Location Detail: LOBBY BATHROOM,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-25-000697,UPD,1/25/15 15:28,,Common Name: ADAMS GARAGE Location Detail: HANDICAP SPOT,CONVERSION_TRAFFIC PROHIBITED PARKING 4511.68,
CFS15-01-25-000699,UPD,1/25/15 16:17,,35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: ROOM 510,FIRE ALARM,
CFS15-01-25-000701,UPD-150080,1/25/15 17:21,1/25/15 17:21,SOUTH GREEN DRIVE - INTRAMURAL FD. Common Name: PARKING LOT 55,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-25-000703,UPD-150081,1/25/15 17:45,1/25/15 17:45,CONGRESS STREET Common Name: CONGRESS STREET Location Detail: COURTHOUSE,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-25-000705,UPD,1/25/15 18:29,,MORTON HALL LOT Common Name: PARKING LOT 90,TRAFFIC DRIVING UPON SIDEWALK AREA 4511.711,
CFS15-01-25-000707,UPD,1/25/15 22:21,,51 EAST GREEN STREET Common Name: BIDDLE Location Detail: BACK SIDE OF BUILDING,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-25-000708,UPD,1/25/15 22:24,,POPLAR ST (SCOTT QUAD ALLEY) Common Name: POPLAR STREET,CONVERSION_TRAFFIC ONE-WAY TRAFFIC - ROTARY ISLANDS 4511.32,
CFS15-01-26-000711,UPD-150082,1/26/15 0:46,1/26/15 0:46,Common Name: RIVERPARK TOWERS APTS. Location Detail: AND BETWEEN  RIVERS EDGE APTS.,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,CONVERSION OUPD CLOSED
CFS15-01-26-000712,UPD-150083,1/26/15 1:16,1/26/15 1:16,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM 135,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-01-26-000719,UPD-150084,1/26/15 14:43,1/23/15 15:30,Common Name: SOUTH GREEN GARAGE,DESTRUCTION OF PROPERTY,CONVERSION OUPD CLOSED
CFS15-01-26-000724,UPD-150085,1/26/15 15:31,1/26/15 16:02,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: RIVERS  EDGE,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-26-000726,UPD-150086,1/26/15 16:58,1/26/15 16:58,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: RIVER EDGE APARTMENTS,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-26-000730,UPD,1/26/15 20:17,,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM 248,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-26-000732,UPD,1/26/15 20:49,,47 EAST GREEN STREET Common Name: JOHNSON HALL Location Detail: ROOM 128,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-26-000734,UPD,1/26/15 21:35,,101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 237,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-27-000738,UPD-150087,1/27/15 1:10,1/27/15 1:10,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: @ OXBOW TRAIL,CONVERSION_TRAFFIC SIGNALING STOPS/TURNS 4511.39,CONVERSION OUPD CLOSED
CFS15-01-27-000739,UPD,1/27/15 4:07,,S.GREEN DR/UNIV.TERRACE Common Name: PING STUDENT REC. CENTER,FIRE ALARM,
CFS15-01-27-000743,UPD-150088,1/27/15 7:30,1/24/15 12:00,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-01-27-000745,UPD-150089,1/27/15 8:38,1/27/15 8:38,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: S CURVE,TRAFFIC LEFT OF CENTER 4511.30,CONVERSION OUPD CLOSED
CFS15-01-27-000751,UPD-150090,1/27/15 11:49,11/1/14 12:00,Common Name: SCRIPPS HALL Location Detail: 016A,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,CONVERSION OUPD CLOSED
CFS15-01-27-000752,UPD-150091,1/27/15 13:38,1/26/15 0:00,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM 306,MENACING OFFENSES,CONVERSION OUPD CLOSED
CFS15-01-27-000761,UPD,1/27/15 18:48,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: NEAR RIVER'S EDGE APTS,CONVERSION_TRAFFIC SPEED 4511.21,
CFS15-01-27-000762,UPD-150092,1/27/15 19:07,1/27/15 19:07,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: NEAR RIVER'S EDGE APTS,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-27-000770,UPD,1/27/15 22:33,,101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 206,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-28-000774,UPD,1/28/15 0:50,,UNION STREET Common Name: UNION STREET Location Detail: WEST,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-28-000775,UPD-150093,1/28/15 1:07,1/28/15 1:07,SHAFER STREET Common Name: SHAFER STREET Location Detail: CONVO,CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION,CONVERSION OUPD CLOSED
CFS15-01-28-000776,UPD,1/28/15 2:17,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-28-000785,UPD,1/28/15 11:41,,69 SOUTH GREEN DRIVE Common Name: BROWN HALL,FIRE ALARM,
CFS15-01-28-000787,UPD-150094,1/28/15 13:27,1/27/15 16:00,SCOTT QUAD Common Name: OHIO UNIVERSITY POLICE DEPT,THREAT ASSESSMENT,CONVERSION OUPD CLOSED
CFS15-01-28-000790,UPD-150095,1/28/15 13:39,1/27/15 13:00,OXBOW DRIVE - BIRD Common Name: PARKING LOT 120,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-28-000795,UPD,1/28/15 16:07,,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: ROOM 304,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-28-000801,UPD-150096,1/28/15 21:27,1/28/15 21:27,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 219,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-28-000802,UPD-150097,1/28/15 22:46,1/28/15 22:46,101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 224,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-29-000817,UPD,1/29/15 11:57,,16 E.OXBOW TRAIL Common Name: IRVINE HALL,FIRE ALARM,
CFS15-01-29-000830,UPD-150098,1/29/15 22:18,1/29/15 20:40,MCCRACKEN REAR Common Name: PARKING LOT 43 Location Detail: BEHIND MCCRACKEN,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-29-000833,UPD,1/29/15 23:15,,128 SOUTH GREEN DRIVE Common Name: WELD HOUSE Location Detail: ROOM 418,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-29-000834,UPD-150099,1/29/15 23:40,1/29/15 23:40,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: ROOM 233,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-29-000837,UPD,1/29/15 23:56,,PALMER STREET Common Name: PALMER STREET Location Detail: PALMER PLACE 102,NOISE COMPLAINT,
CFS15-01-30-000838,UPD,1/30/15 0:14,,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: @ ELLIS,CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION,
CFS15-01-30-000850,UPD-150100,1/30/15 10:52,1/30/15 8:00,SCOTT QUAD Common Name: OHIO UNIVERSITY POLICE DEPT,THREAT ASSESSMENT,CONVERSION OUPD CLOSED
CFS15-01-30-000852,UPD,1/30/15 12:46,,SOUTH GREEN Common Name: PARKING LOT 77 Location Detail: METER SPACE,THEFT OFFENSE,
CFS15-01-30-000857,UPD-150101,1/30/15 16:40,1/28/15 12:00,JEFFERSON HALL Common Name: JEFFERSON DINING HALL Location Detail: JEFF MARKET,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,CONVERSION OUPD CLOSED
CFS15-01-30-000858,UPD-150102,1/30/15 17:38,1/30/15 17:38,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: NEAR RIVERS EDGE APTS,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-30-000861,UPD,1/30/15 18:30,,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 337,ANIMAL COMPLAINT,
CFS15-01-30-000863,UPD,1/30/15 23:23,,UNION STREET Common Name: UNION STREET Location Detail: 73 W UNION ST,BURGLARY OFFENSES,
CFS15-01-31-000864,UPD,1/30/15 23:50,,130 SOUTH GREEN DRIVE Common Name: ATKINSON Location Detail: OUTSIDE LOOP,DISORDERLY CONDUCT OFFENSES,
CFS15-01-31-000865,UPD-150105,1/31/15 0:13,1/31/15 0:19,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: ROOM 143,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-01-31-000866,UPD,1/31/15 0:21,,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: AT WEST GREEN DRIVE,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-31-000867,UPD-150104,1/31/15 0:29,1/31/15 0:29,MILL STREET Common Name: MILL STREET Location Detail: AT COLLEGE ST,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-01-31-000869,UPD,1/31/15 1:06,,Common Name: LANCASTER STREET Location Detail: SOUTH,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-31-000871,UPD-150106,1/31/15 1:40,1/31/15 1:40,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: ROOM 304,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-01-31-000872,UPD,1/31/15 1:43,,Common Name: RYORS GARAGE,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-31-000874,UPD,1/31/15 2:06,,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: ROOM 435,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-31-000876,UPD-150107,1/31/15 2:42,1/31/15 2:55,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: ROOM 260,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-01-31-000880,UPD-150108,1/31/15 5:14,1/30/15 22:45,PARK PLACE Common Name: ALDEN LIBRARY Location Detail: SERVICE ROAD,DESTRUCTION OF PROPERTY,CONVERSION OUPD CLOSED
CFS15-01-31-000889,UPD,1/31/15 15:01,,100 WEST GREEN DRIVE Common Name: BOYD,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-31-000890,UPD,1/31/15 16:06,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT RUFUS DRIVE,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-31-000898,UPD,1/31/15 19:39,,UNION STREET Common Name: UNION STREET Location Detail: COURT,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-31-000899,UPD-150109,1/31/15 19:54,1/31/15 19:54,UNIVERSITY TERRACE Common Name: T.B. MEMORIAL AUDITORIUM,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-31-000900,UPD,1/31/15 20:23,,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: ROOM # 144,FIRE ALARM,
CFS15-01-31-000901,UPD-150110,1/31/15 21:43,1/31/15 21:43,UNIVERSITY TERRACE Common Name: T.B. MEMORIAL AUDITORIUM,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-31-000905,UPD,1/31/15 22:28,,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: LAUNDRY,RECOVERED PROPERTY,
CFS15-01-31-000903,UPD,1/31/15 22:30,,MCKINLEY AVE Common Name: MCKINLEY AVE Location Detail: RUFUS LANE,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-31-000909,UPD,1/31/15 23:40,,COURT STREET Common Name: COURT STREET Location Detail: 7,NOISE COMPLAINT,
CFS15-01-31-000912,UPD,1/31/15 23:57,,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: CARRIAGE HILL 407,NOISE COMPLAINT,
CFS15-02-01-000911,UPD,2/1/15 0:00,,88 UNIVERSITY TERRACE Common Name: SCOTT QUADRANGLE Location Detail: ROOM 347,DRUG OFFENSES,CONVERSION OUPD CLOSED
CFS15-02-01-000913,UPD,2/1/15 0:07,,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: 4TH FLOOR WOMEN'S RESTROOM,DISORDERLY CONDUCT OFFENSES,
CFS15-02-01-000914,UPD,2/1/15 0:56,,Common Name: EAST STATE STREET Location Detail: EAST,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-02-01-000916,UPD,2/1/15 1:15,,131 SOUTH GREEN DRIVE Common Name: SMITH HOUSE,DISORDERLY CONDUCT OFFENSES,
CFS15-02-01-000917,UPD-150111,2/1/15 1:22,2/1/15 1:22,60 E.GREEN DR. Common Name: TIFFIN HALL Location Detail: ROOM 343,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-02-01-000918,UPD-150112,2/1/15 1:39,2/1/15 1:39,136 SOUTH GREEN DRIVE Common Name: HOOVER HOUSE Location Detail: ROOM 254,MENACING OFFENSES,CONVERSION OUPD CLOSED
CFS15-02-01-000919,UPD,2/1/15 1:58,,COURT STREET Common Name: COURT STREET Location Detail: COURT SIDE,DISORDERLY CONDUCT OFFENSES,
CFS15-02-01-000921,UPD,2/1/15 2:36,,MILL STREET Common Name: MILL STREET Location Detail: 134,NOISE COMPLAINT,
CFS15-02-01-000924,UPD,2/1/15 3:15,,MILL STREET Common Name: MILL STREET Location Detail: 149,NOISE COMPLAINT,
CFS15-02-01-000925,UPD-150113,2/1/15 3:51,2/1/15 3:51,47 EAST GREEN STREET Common Name: JOHNSON HALL Location Detail: LOBBY,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-02-01-000929,UPD,2/1/15 7:11,,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL,ALCOHOL OFFENSE,
CFS15-02-01-000934,UPD,2/1/15 16:51,,MULBERRY ST Common Name: MULBERRY ST Location Detail: AT STEWART,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-02-01-000941,UPD,2/1/15 22:35,,Common Name: BIKE PATH,TRAFFIC DRIVING ON CLOSED ROADWAY 4511.71,
CFS15-02-01-000942,UPD,2/1/15 22:50,,88 UNIVERSITY TERRACE Common Name: SCOTT QUADRANGLE Location Detail: ROOM 347,FIRE ALARM,
CFS15-02-02-000947,UPD,2/2/15 1:29,,STATE ROUTE 682 Common Name: STATE ROUTE 682 Location Detail: EAST OF TRAFFIC CIRCLE,CONVERSION_TRAFFIC TIME FOR LIGHTED LIGHTS ON MOTOR VEHICLES 4513.03,
CFS15-02-02-000948,UPD-150115,2/2/15 1:52,2/2/15 1:52,MILL STREET Common Name: MILL STREET Location Detail: FRONT OF 77,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-02-02-000953,UPD,2/2/15 7:20,,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL,THEFT OFFENSE,
CFS15-02-02-000957,UPD-150116,2/2/15 12:07,1/31/15 17:30,UNIVERSITY TERRACE Common Name: T.B. MEMORIAL AUDITORIUM,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-02-02-000958,UPD-150117,2/2/15 12:29,2/2/15 12:29,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT OXBOW,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-02-02-000969,UPD,2/2/15 21:50,,SOUTH GREEN DRIVE - WALTER HALL Common Name: PARKING LOT 134 Location Detail: SOUTH GREEN DRIVE,CONVERSION TRAFFIC YIELD HALF OF ROADWAY 4511.26,
CFS15-02-02-000970,UPD-150118,2/2/15 22:00,2/2/15 22:00,SHAFER STREET Common Name: SHAFER STREET Location Detail: BY CENTRAL FOODS,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-02-03-000975,UPD,2/3/15 0:02,,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: ROOM 318,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-02-03-000976,UPD,2/3/15 0:05,,57 EAST GREEN DRIVE Common Name: PERKINS HALL Location Detail: ROOM 219,FIRE ALARM,
CFS15-02-03-000977,UPD-150119,2/3/15 0:10,2/3/15 0:10,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: ROOM 207,POSSESSION OF DRUG PARAPHERNALIA,CONVERSION OUPD CLOSED
CFS15-02-03-000979,UPD,2/3/15 6:09,,S.GREEN DR/UNIV.TERRACE Common Name: PING STUDENT REC. CENTER,FIRE ALARM,
CFS15-02-03-000985,UPD-150120,2/3/15 10:04,2/3/15 10:04,MCKINLEY AVE Common Name: MCKINLEY AVE,CONVERSION_TRAFFIC OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE 4510.12(A)(1),CONVERSION OUPD CLOSED
CFS15-02-03-000988,UPD-150121,2/3/15 11:24,2/3/15 11:24,PARK PLACE Common Name: ALDEN LIBRARY Location Detail: 6TH FLOOR,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,CONVERSION OUPD - OPEN
CFS15-02-03-000993,UPD,2/3/15 14:23,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,
CFS15-02-03-001000,UPD,2/3/15 16:08,,SOUTH GREEN DR.- PEDEN REAR Common Name: PARKING LOT 133,ANIMAL COMPLAINT,
CFS15-02-03-001002,UPD-150122,2/3/15 19:13,2/2/15 0:00,50 EAST GREEN STREET Common Name: BUSH,MENACING OFFENSES,CONVERSION OUPD CLOSED
CFS15-02-04-001005,UPD,2/4/15 0:49,,88 UNIVERSITY TERRACE Common Name: SCOTT QUADRANGLE Location Detail: HALLWAY BY 316,FIRE ALARM,
CFS15-02-04-001007,UPD-150123,2/4/15 1:22,2/4/15 1:22,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: @ SGDR,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",CONVERSION OUPD CLOSED
CFS15-02-04-001009,UPD-150124,2/4/15 6:54,2/3/15 18:00,SOUTH GREEN DRIVE Location Detail: NEW RESIDENCE HALL CONSTRUCTION SITE,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-02-04-001014,UPD-150125,2/4/15 10:54,2/4/15 10:54,S.G. DRIVE Common Name: SOUTH GREEN DRIVE,CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION,CONVERSION OUPD CLOSED
CFS15-02-04-001016,UPD-150126,2/4/15 13:37,2/4/15 13:37,S.G. DRIVE Common Name: SOUTH GREEN DRIVE,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-02-04-001017,UPD-150127,2/4/15 14:12,2/4/15 0:00,PARK PLACE Common Name: GORDY HALL Location Detail: ELEVATOR,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,CONVERSION OUPD - OPEN
CFS15-02-04-001022,UPD,2/4/15 17:00,,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,EDC DEPLOYMENT,
CFS15-02-04-001026,UPD,2/4/15 17:55,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE,CONVERSION_TRAFFIC SPEED 4511.21,
CFS15-02-04-001027,UPD,2/4/15 18:03,,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL,FIRE ALARM,
CFS15-02-04-001032,UPD,2/4/15 22:12,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE,CONVERSION_TRAFFIC SPEED 4511.21,
CFS15-02-05-001037,UPD,2/5/15 2:03,,97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOOM 349,ANIMAL COMPLAINT,
CFS15-02-05-001039,UPD-150129,2/5/15 3:30,2/5/15 4:00,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: CITY,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-02-05-001042,UPD,2/5/15 8:12,,WEST UNION STREET Common Name: HANING HALL,FIRE ALARM,
CFS15-02-05-001044,UPD-150128,2/5/15 8:24,2/4/15 17:00,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-02-05-001046,UPD-150130,2/5/15 10:23,2/4/15 22:15,MCCRACKEN SIDE - STEWART STREET Common Name: PARKING LOT 44,DESTRUCTION OF PROPERTY,CONVERSION OUPD - OPEN
