date_reported,time_reported,location,date_occurred,time_occurred,case_number,university,incident
2014-12-31,21:04,NA,2014-12-31,21:04,15-00002,Arkansas State University-Main Campus,"NA"
2014-12-31,22:06,1115 University Loop East Building #2,2014-12-31,20:00,14-01195,Arkansas State University-Main Campus,Fire Alarm
2015-01-01,01:13,125 Dean  ST,2015-01-01,00:14,15-00003,Arkansas State University-Main Campus,University Referral - Alcohol Violation University Referral - Residence Hall Violation COMMUNICATING A FALSE ALARM / CAUSE EVACUATION Fire Alarm
2015-01-01,04:56,125 Dean  ST,2015-01-01,01:40,15-00004,Arkansas State University-Main Campus,University Referral - Residence Hall Violation University Referral - Alcohol Violation
2015-01-01,04:57,1006 University Loop East,2014-12-31,11:50,15-00005,Arkansas State University-Main Campus,"University Referral - PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR"
2015-01-02,11:56,120 Dean  ST,2015-01-01,23:30,15-00006,Arkansas State University-Main Campus,Accident - Hit and Run
2015-01-03,05:42,1905 Eldridge ST,2015-01-03,04:00,15-00007,Arkansas State University-Main Campus,Welfare Concern
2015-01-05,09:34,2004 E Nettleton  AVE,2015-01-05,09:28,15-00008,Arkansas State University-Main Campus,Burglary Alarm
2015-01-06,20:52,2105 Aggie Road,2015-01-06,17:50,15-00009,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-07,12:31,2509 Aggie RD,2015-01-07,12:10,15-00010,Arkansas State University-Main Campus,Fire Alarm
2015-01-07,16:16,2108 Aggie  Road,2015-01-07,14:16,15-00011,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-07,17:21,101 N Caraway Road,2015-01-05,08:00,15-00012,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-09,05:57,2405A Aggie Way ITS,2015-01-09,05:14,15-00013,Arkansas State University-Main Campus,Fire Alarm Burglary Alarm
2015-01-09,09:19,2629 Cherokee ST,2015-01-09,06:19,15-00014,Arkansas State University-Main Campus,"DOMESTIC BATTERING - 3RD DEGREE / PURPOSE OF CAUSING INJURY, CAUSES INJURY INTERFERING WITH EMERGENCY COMMUNICATION 1ST DEGREE"
2015-01-09,12:41,2009 Aggie Road,2015-01-08,13:00,15-00015,Arkansas State University-Main Campus,THEFT OF PROPERTY CREDIT/DEBIT CARDS FRAUDULENT USE OF A CREDIT CARD / OTHER REASONS FOR UNAUTHORIZED USE OF CAR
2015-01-10,03:05,101 N Caraway Road,2015-01-09,16:30,15-00016,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-10,15:03,2510 Aggie RD,2015-01-10,14:55,15-00017,Arkansas State University-Main Campus,Fire Alarm
2015-01-10,23:59,121 N Caraway 519,2015-01-10,22:49,15-00018,Arkansas State University-Main Campus,Fire Alarm
2015-01-11,00:22,119 Dean ST,2015-01-10,23:46,15-00019,Arkansas State University-Main Campus,University Referral - Residence Hall Violation University Referral - Dishonesty
2015-01-11,01:34,1115 University Loop East Building #1,2015-01-11,01:00,15-00020,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2015-01-11,03:24,2730 Iroquois ST,2015-01-11,02:35,15-00021,Arkansas State University-Main Campus,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR"
2015-01-11,05:23,Marion Berry Parkway/Aggie Rd.,2015-01-11,05:00,15-00022,Arkansas State University-Main Campus,OUT OF TOWN WARRANT/ASSIST
2015-01-11,06:26,Aggie/Marion Berry,2015-01-11,06:10,15-00023,Arkansas State University-Main Campus,OUT OF TOWN WARRANT/ASSIST
2015-01-11,18:23,2623 Cherokee ST,2015-01-11,17:00,15-00024,Arkansas State University-Main Campus,University Referral - Excessive Noise
2015-01-11,21:35,2214 E Johnson AVE,2015-01-11,20:29,15-00025,Arkansas State University-Main Campus,OUT OF TOWN WARRANT/ASSIST
2015-01-12,05:48,119 Dean ST 113,2015-01-12,00:48,15-00026,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-01-12,05:58,2509 Aggie RD,2015-01-12,01:52,15-00027,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009 University Referral - Disorderly Conduct University Referral - Dishonesty University Referral - Residence Hall Violation
2015-01-12,09:32,Parking Lots around Administration Building,2015-01-09,09:32,15-00028,Arkansas State University-Main Campus,Found Article/Property
2015-01-12,22:19,1203 University Loop Bldg 3 ST,2015-01-12,20:35,15-00029,Arkansas State University-Main Campus,University Referral - Excessive Noise
2015-01-13,07:43,2301  E Johnson AVE,2015-01-13,07:30,15-00030,Arkansas State University-Main Campus,Burglary Alarm
2015-01-13,08:50,2825 Quapaw ST,2015-01-13,08:50,15-00031,Arkansas State University-Main Campus,"Found Article/Property THEFT $1,000 OR LESS - ALL OTHERS"
2015-01-13,14:44,121 N Caraway Road,2015-01-13,14:16,15-00032,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-01-13,20:10,1115 University Loop East Building #4,2015-01-13,15:35,15-00033,Arkansas State University-Main Campus,University Referral - False Alarm
2015-01-13,20:30,2509 Aggie RD,2015-01-13,17:25,15-00034,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-01-13,22:21,2410 Aggie  RD,2015-01-13,22:20,15-00035,Arkansas State University-Main Campus,University Referral - False Alarm
2015-01-14,13:43,Somewhere around 101 N. Caraway Rd.,2015-01-13,19:30,15-00036,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-15,12:35,2405 Aggie Way,2015-01-14,11:30,15-00037,Arkansas State University-Main Campus,"THEFT OF PROPERTY - LOST, MISLAID, DELIVERED BY MISTAKE"
2015-01-15,13:17,113 Dean  ST,2015-01-15,10:30,15-00038,Arkansas State University-Main Campus,Found Article/Property
2015-01-15,21:24,2505 Danner Bldg 4 ST,2015-01-15,20:53,15-00039,Arkansas State University-Main Campus,University Referral - False Alarm
2015-01-16,02:05,2509 Aggie RD,2015-01-16,02:05,15-00041,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-01-16,03:05,2509 Aggie RD,2015-01-16,01:25,15-00040,Arkansas State University-Main Campus,University Referral - Residence Hall Violation University Referral - Dishonesty
2015-01-16,07:34,1007 University Loop East,2015-01-16,01:27,15-00042,Arkansas State University-Main Campus,RAPE / INCAPABLE OF CONSENT
2015-01-16,09:01,2405 Aggie Way,2014-11-06,09:01,15-00043,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2015-01-16,23:31,2509 Aggie RD,2015-01-16,23:25,15-00045,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-01-16,23:44,503 S Robinson ST,2015-01-16,12:22,15-00046,Arkansas State University-Main Campus,"HINDERING APPREHENSION OR PROSECUTION /CONCEALS, ALTERS, DESTROYS,  FACTS"
2015-01-17,05:51,1203 University Loop Bldg 1 ST,2015-01-17,01:00,15-00044,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-01-17,10:13,2501 Danner Road,2015-01-17,09:50,15-00047,Arkansas State University-Main Campus,Welfare Concern
2015-01-17,15:41,1007 University Loop East,2015-01-15,10:00,15-00048,Arkansas State University-Main Campus,CONTRIBUTING TO THE DELINQUENCY OF A MINOR
2015-01-18,00:52,1115 University Loop East Building #3,2015-01-18,00:52,15-00049,Arkansas State University-Main Campus,Fire Alarm
2015-01-18,05:37,JOHNSON / DEAN,2015-01-18,03:15,15-00050,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-01-18,12:45,Aggie Rd. / Marion Berry,2015-01-18,11:45,15-00051,Arkansas State University-Main Campus,Found Article/Property
2015-01-18,19:24,910 University Loop East,2015-01-16,19:00,15-00052,Arkansas State University-Main Campus,"BURGLARY, RESIDENTIAL UNAUTHORIZED USE OF A VEHICLE CRIMINAL TRESPASS IN OR ON A VEHICLE OR STRUCTURE / PREMISES"
2015-01-20,17:16,101 N Caraway Road,2015-01-20,15:00,15-00053,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-20,21:32,NA,2015-01-20,21:32,15-00054,Arkansas State University-Main Campus,"NA"
2015-01-20,22:00,2515 Honors AVE,2015-01-20,21:15,15-00055,Arkansas State University-Main Campus,Damaged Property not criminal in nature
2015-01-20,22:28,101 N Caraway Road,2015-01-20,17:45,15-00056,Arkansas State University-Main Campus,Found Article/Property
2015-01-20,22:40,120 Dean  ST,2015-01-20,22:40,15-00057,Arkansas State University-Main Campus,Welfare Concern
2015-01-21,05:37,Honors Road,2015-01-20,22:37,15-00058,Arkansas State University-Main Campus,University Referral - Possession of Firearms
2015-01-21,12:53,Cherokee ST,2015-01-21,10:54,15-00059,Arkansas State University-Main Campus,Found Article/Property
2015-01-21,15:35,121 N Caraway Road,2015-01-21,08:00,15-00060,Arkansas State University-Main Campus,Damaged Property not criminal in nature
2015-01-21,18:29,1007 University Loop East,2015-01-16,00:30,15-00061,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / RECKLESSLY DESTROYS
2015-01-22,08:29,2407 Quapaw Way,2015-01-22,08:15,15-00062,Arkansas State University-Main Campus,Sick or Injured person
2015-01-22,10:55,2724 Iroquois ST arki,2015-01-22,10:35,15-00063,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-01-22,15:53,113 S Caraway Road,2015-01-12,10:50,15-00064,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-01-22,16:18,101 N Caraway Road,2015-01-22,14:55,15-00065,Arkansas State University-Main Campus,Found Article/Property
2015-01-22,19:18,1115 University Loop East Building #3,2015-01-22,19:18,15-00066,Arkansas State University-Main Campus,Fire Alarm
2015-01-22,19:23,1115 University Loop East Building #1,2015-01-22,19:23,15-00067,Arkansas State University-Main Campus,Fire Alarm
2015-01-23,03:54,101 N Caraway Road,2015-01-22,05:45,15-00068,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-23,04:04,3405 Aggie RD,2015-01-22,11:30,15-00069,Arkansas State University-Main Campus,University Referral -
2015-01-23,05:56,Johnson/Caraway,2015-01-23,04:12,15-00070,Arkansas State University-Main Campus,"POSSESSION OF DRUG PARAPHERNALIA PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR DWI (UNLAWFUL ACT) University Referral - Alcohol Violation"
2015-01-23,05:59,1115 University Loop East Building #3,2015-01-23,05:26,15-00071,Arkansas State University-Main Campus,BREAKING OR ENTERING / BUILDING OR STRUCTURE
2015-01-23,08:09,3333 Stadium BLVD,2015-01-23,07:40,15-00072,Arkansas State University-Main Campus,Burglary Alarm
2015-01-23,13:53,111 N Caraway Road,2015-01-23,13:21,15-00073,Arkansas State University-Main Campus,Welfare Concern
2015-01-23,14:42,111 N Caraway Road,2015-01-23,12:40,15-00074,Arkansas State University-Main Campus,Accident - Hit and Run
2015-01-23,16:33,322 University Loop West CRC,2015-01-23,NA,15-00075,Arkansas State University-Main Campus,Found Article/Property
2015-01-24,02:47,1115 University Loop East Building #1,2015-01-24,01:15,15-00076,Arkansas State University-Main Campus,"OBSTRUCTING GOVERNMENTAL OPERATIONS / REFUSES TO PROVIDE INFORMATION FOR A PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR University Referral - Alcohol Violation University Referral - Drug Violation University Referral - Dishonesty University Referral - Residence Hall Violation PNG Issued on this person for the ASU Campus"
2015-01-24,03:01,1115 University Loop East Building #1,2015-01-24,03:01,15-00077,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / RECKLESSLY DESTROYS
2015-01-24,04:01,121 N Caraway Road,2015-01-24,04:01,15-00078,Arkansas State University-Main Campus,University Referral - Alcohol Violation University Referral - Excessive Noise University Referral - Disorderly Conduct University Referral - University Referral - Residence Hall Violation
2015-01-25,00:45,2509 Aggie RD,2015-01-25,00:45,15-00080,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-01-25,01:58,119 Dean ST,2015-01-24,23:49,15-00079,Arkansas State University-Main Campus,OBSTRUCTING GOVERNMENTAL OPERATIONS / REFUSES TO PROVIDE INFORMATION FOR A University Referral - Residence Hall Violation University Referral - Fail To Comply University Referral - Dishonesty
2015-01-26,10:28,322 University Loop West CRC,2015-01-26,09:29,15-00081,Arkansas State University-Main Campus,Found Article/Property
2015-01-26,12:15,Driver ST,2015-01-26,07:50,15-00082,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 1ST DEGREE  PROPERTY OF ANOTHER VALUE $500 OR LESS
2015-01-26,12:44,2505 Osage ST,2015-01-25,19:00,15-00083,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / PURPOSELY TAMPERS
2015-01-26,13:05,Aggie / in front of AGR house,2015-01-26,09:00,15-00084,Arkansas State University-Main Campus,Found Article/Property
2015-01-26,13:11,322 University Loop West CRC,2015-01-26,11:00,15-00085,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM BUILDING"
2015-01-26,13:15,Driver ST,2015-01-26,13:10,15-00086,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-01-26,14:43,125 Dean  ST,2015-01-28,08:52,15-00087,Arkansas State University-Main Campus,University Referral - Fail To Comply University Referral - Disorderly Conduct PNG Issued on this person for the ASU Campus
2015-01-26,15:19,ASU Campus,2015-01-26,09:00,15-00088,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-27,09:11,1115 University Loop East Building #3,2015-01-26,11:10,15-00089,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM BUILDING"
2015-01-27,09:14,General Campus,2014-09-01,09:14,15-00090,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-27,09:47,111 N Caraway Road,2015-01-27,09:35,15-00091,Arkansas State University-Main Campus,Accident - Hit and Run Leaving the Scene of an Accident
2015-01-27,10:35,2629 Cherokee ST #7,2015-01-27,10:35,15-00092,Arkansas State University-Main Campus,Sick or Injured person
2015-01-27,12:22,322 University Loop West CRC,2015-01-23,12:00,15-00093,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-01-27,13:04,101 N Caraway Road,2015-01-27,12:17,15-00094,Arkansas State University-Main Campus,Found Article/Property
2015-01-27,18:35,101 N Caraway Road,2015-01-27,18:15,15-00095,Arkansas State University-Main Campus,"POSSESSION OF A CONTROLLED SUBSTANCE RESISTING ARREST - REFUSAL TO SUBMIT TO ARREST / USES FORCE OBSTRUCTING GOVERNMENTAL OPERATIONS / REFUSES TO PROVIDE INFORMATION FOR A DISORDERLY CONDUCT / PUBLIC PLACE USES ABUSIVE, OBSCENE SPEECH OR OBSCENE"
2015-01-28,11:39,910 University Loop East,2015-01-27,23:00,15-00096,Arkansas State University-Main Campus,"CRIMINAL MISCHIEF - 1ST DEGREE / PROPERTY OF ANOTHER W/VALUE OF $1,000 OR LESS"
2015-01-28,12:26,2004 E Nettleton  AVE,2015-01-28,12:12,15-00097,Arkansas State University-Main Campus,Burglary Alarm
2015-01-28,13:14,120 Dean  ST,2015-01-28,12:56,15-00098,Arkansas State University-Main Campus,Fire Alarm
2015-01-28,13:28,104 N Caraway Road #302A,2014-12-09,13:00,15-00099,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM BUILDING"
2015-01-28,13:37,1115 University Loop East Building #1,2015-01-28,13:15,15-00100,Arkansas State University-Main Campus,University Referral - False Alarm
2015-01-28,20:00,Marion Berry / Red Wolf,2015-01-28,17:00,15-00101,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE
2015-01-29,00:40,Red Wolf Blvd/Alumni,2015-01-28,23:05,15-00102,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE
2015-01-29,08:48,101 N Caraway Road,2015-01-29,08:00,15-00103,Arkansas State University-Main Campus,Fire Alarm
2015-01-29,10:09,2623 Cherokee ST,2015-01-29,10:00,15-00104,Arkansas State University-Main Campus,DOMESTIC DISTURBANCE University Referral - Disorderly Conduct
2015-01-30,05:06,113 Dean ST,2015-01-30,03:15,15-00105,Arkansas State University-Main Campus,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR"
2015-01-30,10:07,104 N Caraway Road,2015-01-22,08:00,15-00106,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM A COIN OPERATION MACHINE BREAKING OR ENTERING / COIN OPERATED MACHINE, VENDING MACHINE, PRODUCT DISPENSER"
2015-01-30,18:21,2517 Honors AVE,2015-01-26,22:30,15-00107,Arkansas State University-Main Campus,Accident - Hit and Run
2015-01-30,20:13,2504 Aggie RD,2015-01-30,19:48,15-00108,Arkansas State University-Main Campus,Fire Alarm
2015-01-31,00:26,Alumni/University Loop,2015-01-31,00:26,15-00109,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-01-31,00:33,2509 .Arkansas Hall 113 RD,2015-01-30,23:28,15-00110,Arkansas State University-Main Campus,POSSESSION OF SCH VI LT 4OZ POSSESSION OF SCH I OR II GT 2GM BUT LT 10GM POSSESSION OF DRUG PARAPHERNALIA University Referral - Alcohol Violation University Referral - Drug Violation
2015-01-31,05:36,125 Dean ST,2015-01-31,05:36,15-00111,Arkansas State University-Main Campus,Sick or Injured person
2015-01-31,06:17,2509 Aggie RD,2015-01-31,02:50,15-00112,Arkansas State University-Main Campus,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR University Referral - Alcohol Violation"
2015-01-31,23:20,1915 Aggie Road,2015-01-31,23:17,15-00113,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-02-01,02:21,1915 Aggie RD,2015-02-01,01:30,15-00114,Arkansas State University-Main Campus,Sick or Injured person University Referral - Alcohol Violation
2015-02-01,17:20,2509 Aggie RD,2015-02-01,17:00,15-00115,Arkansas State University-Main Campus,Welfare Concern
2015-02-02,14:58,104 N Caraway RD,2015-01-29,08:00,15-00116,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2015-02-02,16:53,Johnson/Marion Berry Parkway,2015-02-02,16:53,15-00117,Arkansas State University-Main Campus,OUT OF TOWN WARRANT/ASSIST
2015-02-02,20:17,2617 Cherokee ST 2,2015-02-02,16:00,15-00118,Arkansas State University-Main Campus,Welfare Concern
2015-02-02,21:19,120 Dean ST,2015-02-02,21:13,15-00119,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / RECKLESSLY DESTROYS
2015-02-02,22:10,2720 A ST,2015-02-02,21:24,15-00120,Arkansas State University-Main Campus,Damaged Property not criminal in nature
2015-02-04,07:40,322 University Loop CIR,2015-02-03,16:00,15-00123,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM VEHICLE"
2015-02-04,10:45,101 N Caraway RD,2015-02-04,19:15,15-00124,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-02-04,11:00,113 Dean ST,2015-02-04,10:47,15-00125,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-02-05,11:47,217 Olympic DR,2015-02-05,11:16,15-00126,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-02-05,15:36,322 University Loop CIR,2014-11-01,NA,15-00127,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2015-02-05,16:09,2505 Aggie RD,2015-02-05,15:55,15-00128,Arkansas State University-Main Campus,Sick or Injured person
2015-02-05,18:40,113 S Caraway Road,2015-02-05,18:40,15-00129,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-02-05,20:32,2509 Aggie RD,2015-02-05,20:32,15-00130,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-02-06,08:01,333 Red Wolf BLVD,2015-02-06,07:55,15-00131,Arkansas State University-Main Campus,Burglary Alarm
2015-02-06,16:30,101 N Caraway RD,2015-02-06,19:01,15-00122,Arkansas State University-Main Campus,HARASSMENT / CONDUCT THAT REPEATEDLY CAUSES ALARM OR SERIOUS ANNOYS ANOTHER PNG Issued on this person for the ASU Campus
2015-02-06,18:43,217 Olympic DR,2015-02-06,18:43,15-00132,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-02-07,01:37,Aggie/Marion Berry,2015-02-07,01:04,15-00133,Arkansas State University-Main Campus,POSSESSION OF SCH I OR II GT 2GM BUT LT 10GM POSSESSION OF DRUG PARAPHERNALIA POSSESSION OF SCH VI LT 4OZ POSSESSION OF DRUG PARAPHERNALIA POSSESSION OF SCH I OR II LT 2GM University Referral - Alcohol Violation University Referral - Drug Violation
2015-02-07,02:44,A St / University Loop,2015-02-07,02:44,15-00121,Arkansas State University-Main Campus,DWI (UNLAWFUL ACT) University Referral - Alcohol Violation
2015-02-07,18:43,1115 University Loop East Building #2,2015-02-07,18:28,15-00134,Arkansas State University-Main Campus,University Referral - False Alarm Fire Alarm
2015-02-07,18:57,2331 U ST,2015-02-07,18:11,15-00135,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-02-07,21:30,1115 University Loop East Building #1,2015-02-05,16:30,15-00136,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / PURPOSELY TAMPERS
2015-02-07,22:21,Marion Berry Parkway/Red Wolf Trail,2015-02-07,22:21,15-00137,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2015-02-08,00:17,State Street,2015-02-08,NA,15-00138,Arkansas State University-Main Campus,DWI - DRUGS (UNLAWFUL ACT) CARELESS AND PROHIBITED DRIVING
2015-02-08,03:19,2509 Aggie RD,2015-02-08,01:40,15-00139,Arkansas State University-Main Campus,"PURCHASE, POSSESSION OF INTOXICATING LIQUOR BY MINOR University Referral - Alcohol Violation University Referral - Dishonesty University Referral - Theft University Referral - Residence Hall Violation"
2015-02-08,16:58,217 Olympic DR,2015-02-08,16:58,15-00140,Arkansas State University-Main Campus,Sick or Injured person
2015-02-08,17:51,Aggie Road in fornt of Arkansas Hall,2015-02-08,17:51,15-00141,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-02-09,14:05,1115 University Loop East Building #1,2015-02-09,09:15,15-00142,Arkansas State University-Main Campus,"BURGLARY, RESIDENTIAL THEFT $1,000 OR LESS - FROM BUILDING"
2015-02-09,23:41,2515 Danner Building 1 ST,2015-02-09,23:41,15-00143,Arkansas State University-Main Campus,University Referral - False Alarm
2015-02-10,06:24,125 Dean ST 1117,2015-02-10,06:24,15-00144,Arkansas State University-Main Campus,"HARASSING COMMUNICATIONS / TELEPHONE REPEATEDLY, OR CAUSE TO RING REPEATED"
2015-02-10,13:05,121 N Caraway RD,2015-02-10,11:33,15-00145,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-02-10,16:35,1007 University Loop E,2015-02-09,08:00,15-00146,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2015-02-11,00:26,113 Dean ST,2015-02-11,00:26,15-00147,Arkansas State University-Main Campus,"VIDEO VOYEURISM - RESIDENCE, BUSINESS, OR SCHOOL"
2015-02-11,09:09,315 University Loop CIR,2015-02-11,07:10,15-00148,Arkansas State University-Main Campus,"BREAKING OR ENTERING / COIN OPERATED MACHINE, VENDING MACHINE, PRODUCT DISPENSER THEFT $1,000 OR LESS - FROM A COIN OPERATION MACHINE"
2015-02-11,12:23,2407 Quapaw WAY,2015-02-10,10:30,15-00149,Arkansas State University-Main Campus,Agency Assist - Actions or assistance to agencies outside jurisdictional boundaries
2015-02-11,15:01,1115 University Loop East Building #2 1202,2015-02-09,15:01,15-00150,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2015-02-11,16:02,2407 Quapaw WAY,2015-02-05,14:00,15-00151,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM BUILDING"
2015-02-11,16:24,2510 Aggie RD,2015-02-11,16:24,15-00152,Arkansas State University-Main Campus,Fire Alarm
2015-02-11,19:36,Aggie/MarionBerry Parkway,2015-02-11,19:36,15-00153,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE
2015-02-12,00:23,2509 Aggie RD,2015-02-12,NA,15-00154,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-02-12,06:22,113 Dean ST,2015-02-12,00:22,15-00155,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-02-12,19:08,101 N Caraway RD,2015-02-12,18:30,15-00156,Arkansas State University-Main Campus,Found Article/Property
2015-02-12,19:49,2108 Aggie RD,2015-02-12,13:00,15-00157,Arkansas State University-Main Campus,University Referral - Misuse of University Computer/Network
2015-02-13,12:56,910 University Loop,2015-02-13,02:00,15-00158,Arkansas State University-Main Campus,Accident - Hit and Run
2015-02-13,15:23,1115 University Loop East,2015-02-13,15:23,15-00159,Arkansas State University-Main Campus,Found Article/Property
2015-02-14,11:47,217 Olympic DR,2015-02-13,20:00,15-00160,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM VEHICLE"
2015-02-14,16:00,Parking space on South side of Aggie RD next to the Rec Center,2015-02-14,14:40,15-00161,Arkansas State University-Main Campus,Accident - Hit and Run
2015-02-15,01:05,Marion Berry/ Johnson,2015-02-15,00:14,15-00162,Arkansas State University-Main Campus,POSSESSION OF A CONTROLLED SUBSTANCE
2015-02-15,10:08,Aggie Rd. east of Mation Berry Parkway,2015-01-27,00:30,15-00163,Arkansas State University-Main Campus,Abandoned Vehicle Vehicle Tow
2015-02-15,20:17,113 Dean ST,2015-02-15,20:00,15-00164,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-02-16,12:00,Marion Berry Parkway,2015-02-16,12:38,15-00165,Arkansas State University-Main Campus,Sick or Injured person
2015-02-16,16:19,3000 Aggie RD,2015-02-16,16:03,15-00166,Arkansas State University-Main Campus,Leaving the Scene of an Accident FLEEING CARELESS AND PROHIBITED DRIVING No Proof of Liability Insurance University Referral - Dishonesty University Referral - Fail To Comply
2015-02-16,16:51,Cherokee ST,2015-02-16,16:01,15-00167,Arkansas State University-Main Campus,University Referral - Dishonesty
2015-02-17,13:34,2509 Aggie RD,2015-02-17,13:10,15-00168,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-02-17,15:16,2508 Honors Bldg 1 AVE,2015-02-17,15:05,15-00169,Arkansas State University-Main Campus,University Referral - Drug Violation University Referral - Residence Hall Violation
2015-02-17,22:27,1115 University Loop East Building #1,2015-02-10,19:00,15-00170,Arkansas State University-Main Campus,"HARASSING COMMUNICATIONS / TELEPHONE REPEATEDLY, OR CAUSE TO RING REPEATED"
2015-02-18,01:17,2508 Honors Bldg 2 AVE,2015-02-17,11:30,15-00171,Arkansas State University-Main Campus,University Referral - Drug Violation
2015-02-18,12:47,Aggie Road / Pawnee Street,2015-02-18,12:29,15-00172,Arkansas State University-Main Campus,Vehicle Tow
2015-02-19,01:08,University Loop,2015-02-19,23:30,15-00173,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE
2015-02-19,10:36,2407 .Laboratory Sciences/Engineering Complex Rm 219 WAY,2015-02-19,10:36,15-00174,Arkansas State University-Main Campus,Sick or Injured person
2015-02-19,16:12,101 N Driver ST,2015-02-12,18:00,15-00175,Arkansas State University-Main Campus,"BREAKING OR ENTERING / ARTICLES FROM VEHICLE THEFT $1,000 OR LESS - FROM VEHICLE"
2015-02-19,20:57,113 Dean ST,2015-02-19,20:55,15-00176,Arkansas State University-Main Campus,University Referral - Residence Hall Violation
2015-02-19,22:39,2301 U ST,2015-02-19,21:45,15-00177,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2015-02-20,06:58,2509 .Arkansas Hall 428 RD,2015-02-20,06:30,15-00178,Arkansas State University-Main Campus,Sick or Injured person
2015-02-20,20:16,109 S Driver ST,2015-02-20,20:00,15-00179,Arkansas State University-Main Campus,Sick or Injured person
