date_occurred,time_occurred,date_reported,case_number,incident,location,time_reported,university
2017-03-30,NA,2017-03-30,179788,"Possession ofMarijuana",Russell Circle,NA,Texas State University
2017-03-30,NA,2017-03-30,179912,"Possession ofMarijuana",Comanche Street,NA,Texas State University
2017-03-29,NA,2017-03-29,179775,"Possession of DrugParaphernalia",Aquarena Springs Drive,NA,Texas State University
2017-03-29,NA,2017-03-29,179760,Suspicious Person,Aquarena Springs Drive,NA,Texas State University
2017-03-29,NA,2017-03-29,179656,Public Intoxication,Wood Street,NA,Texas State University
2017-03-29,NA,2017-03-29,179661,"Possession of DrugParaphernalia",N LBJ Drive,NA,Texas State University
2017-03-29,NA,2017-03-29,179671,"Possession of DrugParaphernalia",Student Center Drive,NA,Texas State University
2017-03-29,NA,2017-03-29,179762,"Possession ofMarijuana",Academy Street,NA,Texas State University
2017-03-29,NA,2017-03-29,179776,POCS Group 2,Blanco Hall Drive,NA,Texas State University
2017-03-28,NA,2017-03-28,1709598,Failure to ID,Baseball Field,NA,Texas State University
2017-03-28,NA,2017-03-28,1709589,"Assault ‐ Causes BodilyInjury",Bobcat Village Apartments,NA,Texas State University
2017-03-28,NA,2017-03-28,1709581,"Possession ofMarijuana",Moore Street,NA,Texas State University
2017-03-28,NA,2017-03-28,1709639,"Possession ofMarijuana",Guadalupe Street,NA,Texas State University
2017-03-27,NA,2017-03-27,1709306,"Possession ofMarijuana",Meadows Center,NA,Texas State University
2017-03-27,NA,2017-03-27,1709308,Public Intoxication,Sessom Drive (East),NA,Texas State University
2017-03-26,NA,2017-03-26,1709210,"Theft ‐ Property>=$100<$750",Sewell Park,NA,Texas State University
2017-03-26,NA,2017-03-26,1709152,MIP‐Alcohol,Matthew Street Garage,NA,Texas State University
2017-03-26,NA,2017-03-26,1709156,"Possession of DrugParaphernalia",Guadalupe Street,NA,Texas State University
2017-03-25,NA,2017-03-25,1708960,Warning,Russell Circle,NA,Texas State University
2017-03-24,NA,2017-03-24,1708832,"Driving Under theInfluence of Alcohol byMinor",Sessom Drive (West),NA,Texas State University
2017-03-24,NA,2017-03-24,1708803,"Possession ofMarijuana",Speck Parking Lot,NA,Texas State University
2017-03-24,NA,2017-03-24,1708820,"Possession of DrugParaphernalia",The Tower Parking Garage,NA,Texas State University
2017-03-24,NA,2017-03-24,1708804,"Possession ofMarijuana",Wood Street,NA,Texas State University
2017-03-23,NA,2017-03-23,1708672,Public Intoxication,Bobcat Village Apartments,NA,Texas State University
2017-03-23,NA,2017-03-23,1708670,Public Intoxication,Bobcat Village Apartments,NA,Texas State University
2017-03-23,NA,2017-03-23,1708691,Burglary of Vehicle,Guadalupe Street,NA,Texas State University
2017-03-23,NA,2017-03-23,1708693,Burglary of Vehicle,San Marcos Hall Parking Garage,NA,Texas State University
2017-03-23,NA,2017-03-23,1708684,"Possession of DrugParaphernalia",Bobcat Village Apartments,NA,Texas State University
2017-03-21,NA,2017-03-21,1708292,"Impersonate PublicServent",Glade Outdoor Theatre,NA,Texas State University
2017-03-21,NA,2017-03-21,1708303,POCS Group 3,Sewell Park,NA,Texas State University
2017-03-21,NA,2017-03-21,1708304,Public Intoxication,Bexar Hall,NA,Texas State University
2017-03-21,NA,2017-03-21,1708439,Warning,Guadalupe Street,NA,Texas State University
2017-03-20,NA,2017-03-20,1708237,"Theft of Service ‐Under $100",LBJ Parking Garage,NA,Texas State University
2017-03-20,NA,2017-03-20,1708225,Burglary ‐ Habitation,Bexar Hall,NA,Texas State University
2017-03-19,NA,2017-03-19,1708069,Public Intoxication,San Antonio Street (West),NA,Texas State University
2017-03-19,NA,2017-03-19,1708155,Warning,Other,NA,Texas State University
2017-03-19,NA,2017-03-19,1708137,Burglary ‐ Habitation,Bexar Hall,NA,Texas State University
2017-03-18,NA,2017-03-18,1708020,"Theft ‐ Property>=$100<$750",Student Recreation Center,NA,Texas State University
2017-03-09,NA,2017-03-09,1707228,"Possession ofMarijuana",Academy Street,NA,Texas State University
2017-03-09,NA,2017-03-09,1707224,"Driving WhileIntoxicated",Aquarena Springs Drive,NA,Texas State University
2017-03-09,NA,2017-03-09,1707282,Harassment,Math Computer Science Bldg,NA,Texas State University
2017-03-08,NA,2017-03-08,1707057,"Possession of DrugParaphernalia",Guadalupe Street,NA,Texas State University
2017-03-08,NA,2017-03-08,1707084,POCS Group 2,Hutchison Street,NA,Texas State University
2017-03-08,NA,2017-03-08,1707096,"Driving WhileIntoxicated",Edward Gary Street,NA,Texas State University
2017-03-08,NA,2017-03-08,1707141,"Possession of DrugParaphernalia",Bobcat Village Apartments,NA,Texas State University
2017-03-08,NA,2017-03-08,1707133,"Failure toComply/StrikingUnattended Vehicle",Aquarena Springs Drive,NA,Texas State University
2017-03-08,NA,2017-03-08,1707131,"Failure toComply/StrikingUnattended Vehicle",Peques Lot,NA,Texas State University
2017-03-07,NA,2017-03-07,1706995,MIP‐Alcohol,Baseball Field,NA,Texas State University
2017-03-06,NA,2017-03-06,1706866,Theft‐Under $50,Nueces Bldg,NA,Texas State University
2017-03-06,NA,2017-03-06,1706876,"Failure toComply/StrikingUnattended Vehicle",LBJ Parking Garage,NA,Texas State University
2017-03-06,NA,2017-03-06,1706888,"Possession of DrugParaphernalia",Eastwood Street,NA,Texas State University
2017-03-06,NA,2017-03-06,1706837,"Possession ofMarijuana",Student Center Drive,NA,Texas State University
2017-03-05,NA,2017-03-05,1706774,Public Intoxication,Post Road,NA,Texas State University
2017-03-04,NA,2017-03-04,1706689,Warrant Service,The Tower Hall,NA,Texas State University
2017-03-04,NA,2017-03-04,1706755,"Possession ofMarijuana",Blanco Hall,NA,Texas State University
2017-03-04,NA,2017-03-04,1706692,"Criminal Trespass:Property, Building, orAircraft",Blanco Hall,NA,Texas State University
2017-03-04,NA,2017-03-04,1706706,"Failure toComply/StrikingUnattended Vehicle",Edward Gary Street,NA,Texas State University
2017-03-03,NA,2017-03-03,1706653,MIP‐Alcohol,Bobcat Village Apartments,NA,Texas State University
2017-03-03,NA,2017-03-03,1706551,Warning,Hutchison Street,NA,Texas State University
2017-03-03,NA,2017-03-03,1706521,"Possession of DrugParaphernalia",University Drive,NA,Texas State University
2017-03-03,NA,2017-03-03,1706595,Counterfeiting,Harris Dining Hall,NA,Texas State University
2017-03-02,NA,2017-03-02,1706473,"Assault ‐ Causes BodilyInjury",Alkek Library,NA,Texas State University
2017-03-02,NA,2017-03-02,1706453,Harassment,Coliseum Parking Lot,NA,Texas State University
2017-03-02,NA,2017-03-02,1706516,"Driving WhileIntoxicated",CM Allen PKWY,NA,Texas State University
2017-03-02,NA,2017-03-02,1706517,POCS Group 2,Fall Sayers Housing Complex,NA,Texas State University
2017-03-02,NA,2017-03-02,1706462,"Credit Card or DebitCard Abuse",RR12,NA,Texas State University
2017-03-01,NA,2017-03-01,1706315,"Theft of Service ‐Under $100",LBJ Parking Garage,NA,Texas State University
2017-03-01,NA,2017-03-01,1706229,POCS Group 3,LBJ Street,NA,Texas State University
2017-03-01,NA,2017-03-01,1706340,"CriminalMischief>=$100<$750",LBJ Street,NA,Texas State University
2017-03-01,NA,2017-03-01,1706346,POCS Group 2,Moore Street,NA,Texas State University
2017-03-01,NA,2017-03-01,1706348,Public Intoxication,Student Recreation Center,NA,Texas State University
2017-03-01,NA,2017-03-01,1706197,"Possession of DrugParaphernalia",Mathew St.,NA,Texas State University
2017-02-28,NA,2017-02-28,1706175,"Possession of DrugParaphernalia","Angelina San Gabriel HousingComplex",NA,Texas State University
2017-02-28,NA,2017-02-28,1706183,"Possession of DrugParaphernalia",Edward Gary Street,NA,Texas State University
2017-02-28,NA,2017-02-28,1706132,"Forgery ‐Govt/National GovInstrmoney/secur",LBJ Student & Visitor Center,NA,Texas State University
2017-02-28,NA,2017-02-28,1706122,Theft‐Under $50,Derrick Hall,NA,Texas State University
2017-02-27,NA,2017-02-27,1706011,"Criminal Trespass:Property, Building, orAircraft",Texas State University,NA,Texas State University
2017-02-27,NA,2017-02-27,1706014,"Failure toComply/StrikingUnattended Vehicle",LBJ Student & Visitor Center,NA,Texas State University
2017-02-27,NA,2017-02-27,1706018,"Possession ofMarijuana",Comanche Street,NA,Texas State University
2017-02-26,NA,2017-02-26,1705854,"Driving WhileIntoxicated",University Drive,NA,Texas State University
2017-02-26,NA,2017-02-26,1705890,Burglary of Vehicle,Bobcat Village Apartments,NA,Texas State University
2017-02-26,NA,2017-02-26,1705893,Terroristic Threat,Butler Hall,NA,Texas State University
2017-02-25,NA,2017-02-25,1705830,Burglary of Vehicle,Bobcat Village Apartments,NA,Texas State University
2017-02-25,NA,2017-02-25,1705825,"Possession of DrugParaphernalia",Academy Street,NA,Texas State University
2017-02-25,NA,2017-02-25,1705760,Warning,Glade Outdoor Theatre,NA,Texas State University
2017-02-25,NA,2017-02-25,1705845,Unlawful Restraint,Bobcat Village Apartments,NA,Texas State University
2017-02-24,NA,2017-02-24,1705683,"Possession of DrugParaphernalia",CM Allen PKWY,NA,Texas State University
2017-02-24,NA,2017-02-24,1707512,"Theft ‐ Property>=$100<$750","Academic Service BuildingNorth",NA,Texas State University
2017-02-22,NA,2017-02-22,1705540,Warrant Service,San Antonio Street (West),NA,Texas State University
2017-02-22,NA,2017-02-22,1705519,Warning,Sewell Park,NA,Texas State University
2017-02-22,NA,2017-02-22,1705486,"Driving WhileIntoxicated",MLK Drive,NA,Texas State University
2017-02-21,NA,2017-02-21,1705417,Counterfeiting,"J.C. Kellam AdministrationBuilding",NA,Texas State University
2017-02-21,NA,2017-02-21,1705424,Theft‐Under $50,Jackson Hall,NA,Texas State University
2017-02-20,NA,2017-02-20,1705334,"Possession of DrugParaphernalia",Glade Outdoor Theatre,NA,Texas State University
2017-02-20,NA,2017-02-20,1705323,"Possession of DrugParaphernalia",San Marcos Hall Parking Garage,NA,Texas State University
2017-02-20,NA,2017-02-20,1705331,"Possession of DrugParaphernalia",Glade Outdoor Theatre,NA,Texas State University
2017-02-20,NA,2017-02-20,1705271,"Theft ‐ Property>=$100<$750",San Jacinto Hall Parking Garage,NA,Texas State University
2017-02-19,NA,2017-02-19,1705116,"Possession ofMarijuana",The Tower Parking Garage,NA,Texas State University
2017-02-19,NA,2017-02-19,1705158,"Possession of DrugParaphernalia",N LBJ Drive,NA,Texas State University
2017-02-18,NA,2017-02-18,1705097,"Theft ‐ Property>=$750>$2,500",Fam & Con Sci Bldg,NA,Texas State University
2017-02-18,NA,2017-02-18,1705081,"Criminal Mischief ‐SubstantialInconvenience",Jowers Center,NA,Texas State University
2017-02-18,NA,2017-02-18,1705043,"Driving WhileIntoxicated",Post Road,NA,Texas State University
2017-02-17,NA,2017-02-17,1705022,POCS Group 3,Baseball Field,NA,Texas State University
2017-02-17,NA,2017-02-17,1705028,"Possession ofMarijuana",Edward Gary Street,NA,Texas State University
2017-02-17,NA,2017-02-17,1705007,"Theft ‐ Property>=$100<$750",Blanco Hall,NA,Texas State University
2017-02-17,NA,2017-02-17,1704977,POCS Group 3,RR12,NA,Texas State University
2017-02-16,NA,2017-02-16,1704894,"Failure toComply/StrikingUnattended Vehicle",LBJ Parking Garage,NA,Texas State University
2017-02-16,NA,2017-02-16,1704849,"Possession ofMarijuana",Llano Circle,NA,Texas State University
2017-02-16,NA,2017-02-16,1704926,"Theft ‐ Property>=$100<$750",Jowers Center,NA,Texas State University
2017-02-15,NA,2017-02-15,1704807,"Possession of DrugParaphernalia","Angelina San Gabriel HousingComplex",NA,Texas State University
2017-02-15,NA,2017-02-15,1704789,"Criminal MischiefDamage/destrWorship/school",Spring Lake,NA,Texas State University
2017-02-15,NA,2017-02-15,1704784,"Failure toComply/StrikingUnattended Vehicle",Sewell Park,NA,Texas State University
2017-02-15,NA,2017-02-15,1704744,"Criminal MischiefDamage/destrWorship/school",Flowers Hall,NA,Texas State University
2017-02-15,NA,2017-02-15,1704745,"Possession of DrugParaphernalia",Guadalupe Street,NA,Texas State University
2017-02-15,NA,2017-02-15,1704742,Public Intoxication,San Antonio Street (East),NA,Texas State University
2017-02-15,NA,2017-02-15,1704724,Public Intoxication,Wood Street,NA,Texas State University
2017-02-14,NA,2017-02-14,1704672,"Theft ‐ Property>=$100<$750",The Tower Hall,NA,Texas State University
2017-02-14,NA,2017-02-14,1704667,"Possession of DrugParaphernalia",Lindsey Street,NA,Texas State University
2017-02-14,NA,2017-02-14,1704659,"Theft of Service ‐Under $100",LBJ Parking Garage,NA,Texas State University
2017-02-14,NA,2017-02-14,1704715,"Possession of DrugParaphernalia",Peques Street,NA,Texas State University
2017-02-13,NA,2017-02-13,1704496,"Theft ‐ Property>=$100<$750",Evans Liberal Arts Building,NA,Texas State University
2017-02-12,NA,2017-02-12,1704371,MIP‐Alcohol,Sessom Drive (East),NA,Texas State University
2017-02-12,NA,2017-02-12,1704380,Public Intoxication,Guadalupe Street,NA,Texas State University
2017-02-11,NA,2017-02-11,1704276,MIP‐Alcohol,Matthew Street Garage,NA,Texas State University
2017-02-11,NA,2017-02-11,1704315,"Criminal Trespass of aHabitation",Laurel Hall,NA,Texas State University
2017-02-11,NA,2017-02-11,1704344,"Driving While LicenseInvalid",University Drive,NA,Texas State University
2017-02-10,NA,2017-02-10,1704206,Harassment,Jackson Hall,NA,Texas State University
2017-02-10,NA,2017-02-10,1704251,"Driving WhileIntoxicated",Edward Gary Street,NA,Texas State University
2017-02-10,NA,2017-02-10,1704130,Warning,Glade Outdoor Theatre,NA,Texas State University
2017-02-09,NA,2017-02-09,1704115,"Possession ofMarijuana",San Marcos Hall Parking Garage,NA,Texas State University
2017-02-09,NA,2017-02-09,1704065,"Criminal TrespassWarning",University Events Center,NA,Texas State University
2017-02-08,NA,2017-02-08,1703986,Warning,Sessom Drive (West),NA,Texas State University
2017-02-07,NA,2017-02-07,1703829,"Possession of DrugParaphernalia",Glade Outdoor Theatre,NA,Texas State University
2017-02-07,NA,2017-02-07,1703781,"Failure toComply/StrikingUnattended Vehicle",Moore Street,NA,Texas State University
2017-02-07,NA,2017-02-07,1703831,Warrant Service,Hutchison Street,NA,Texas State University
2017-02-07,NA,2017-02-07,1703787,Harassment,Evans Liberal Arts Building,NA,Texas State University
2017-02-06,NA,2017-02-06,1703671,"CriminalMischief>=$100<$750",Chemistry Building,NA,Texas State University
2017-02-06,NA,2017-02-06,1703692,"Unlawful Possession ofFirearm",Guadalupe Street,NA,Texas State University
2017-02-06,NA,2017-02-06,1703685,"Possession of DrugParaphernalia",Aquarena Springs Drive,NA,Texas State University
2017-02-06,NA,2017-02-06,1703668,"Driving Without aLicense (whenunlicensed)",Wood Street,NA,Texas State University
2017-02-06,NA,2017-02-06,1703663,"Failure toComply/StrikingUnattended Vehicle",Moore Street,NA,Texas State University
2017-02-06,NA,2017-02-06,1703660,"Criminal Mischief>=$20K<$100K",Flowers Hall,NA,Texas State University
2017-02-06,NA,2017-02-06,1703657,"Theft ‐ Property>=$100<$750",Bobcat Stadium Parking Lot,NA,Texas State University
2017-02-06,NA,2017-02-06,1703605,"Possession of DrugParaphernalia",Wood Street,NA,Texas State University
2017-02-05,NA,2017-02-05,1703513,MIC‐Alcohol,University Drive,NA,Texas State University
2017-02-05,NA,2017-02-05,1703515,MIC‐Alcohol,Hutchison Street,NA,Texas State University
2017-02-05,NA,2017-02-05,1703521,MIP‐Alcohol,College Inn,NA,Texas State University
2017-02-05,NA,2017-02-05,1703570,"Credit Card or DebitCard Abuse",CM Allen PKWY,NA,Texas State University
2017-02-03,NA,2017-02-03,1703382,"Assault ‐ FamilyViolence",Health Professions Building,NA,Texas State University
2017-02-03,NA,2017-02-03,1703364,"Theft of DriversLicense",Gaillardia Street,NA,Texas State University
2017-02-03,NA,2017-02-03,1703386,"Possession of DrugParaphernalia",San Marcos Hall,NA,Texas State University
2017-02-03,NA,2017-02-03,1703341,"Possession ofMarijuana",Speck Street,NA,Texas State University
2017-02-02,NA,2017-02-02,1703290,"Possession ofMarijuana",San Marcos Hall Parking Garage,NA,Texas State University
2017-02-01,NA,2017-02-01,1703118,Warrant Service,San Jacinto Hall Parking Garage,NA,Texas State University
2017-02-01,NA,2017-02-01,1703187,"Possession of DrugParaphernalia",Guadalupe Street,NA,Texas State University
2017-02-01,NA,2017-02-01,1703181,"Criminal MischiefDamage/destrWorship/school","Undergradute AdmissionsCenter",NA,Texas State University
2017-02-01,NA,2017-02-01,1703125,"Theft of Service ‐under $500",Matthew Street Garage,NA,Texas State University
2017-01-31,NA,2017-01-31,1703038,"Theft ‐ Property>=$100<$750",Blanco Hall,NA,Texas State University
2017-01-31,NA,2017-01-31,1702993,"Theft ‐ Property>=$100<$750",Aquarena Springs Drive,NA,Texas State University
2017-01-31,NA,2017-01-31,1703020,"Possession of DrugParaphernalia",University Drive,NA,Texas State University
2017-01-29,NA,2017-01-29,1702782,POCS Group 1,Aquarena Springs Drive,NA,Texas State University
2017-01-28,NA,2017-01-28,1702768,Warning,Gaillardia Hall,NA,Texas State University
2017-01-28,NA,2017-01-28,1702766,"Possession of DrugParaphernalia",Gaillardia Hall,NA,Texas State University
2017-01-28,NA,2017-01-28,1702688,Public Intoxication,Hutchison Street,NA,Texas State University
2017-01-27,NA,2017-01-27,1702620,"Assault ‐ FamilyViolence",Bobcat Village Apartments,NA,Texas State University
2017-01-26,NA,2017-01-26,1702502,"Possession of DrugParaphernalia",Glade Outdoor Theatre,NA,Texas State University
2017-01-26,NA,2017-01-26,1702571,"Assault ‐ FamilyViolence",LBJ Student & Visitor Center,NA,Texas State University
2017-01-26,NA,2017-01-26,1702560,Burglary of Vehicle,Aquarena Springs Drive,NA,Texas State University
2017-01-25,NA,2017-01-25,1702374,"Possession of DrugParaphernalia",University Drive,NA,Texas State University
2017-01-25,NA,2017-01-25,1702366,Warning,Hopkins Street,NA,Texas State University
2017-01-25,NA,2017-01-25,1702477,POCS Group 1,Eastwood Street,NA,Texas State University
2017-01-25,NA,2017-01-25,1702460,POCS Group 4,Fredericksburg Street,NA,Texas State University
2017-01-24,NA,2017-01-24,1702304,"Possession ofMarijuana",Speck Parking Lot,NA,Texas State University
2017-01-24,NA,2017-01-24,1702289,"Theft of Service ‐under $500",Joann Cole Mitte Art Bldg,NA,Texas State University
2017-01-23,NA,2017-01-23,1702108,Burglary ‐ Building,Derrick Hall,NA,Texas State University
2017-01-23,NA,2017-01-23,1702115,"Possession ofMarijuana",Matthew Street Garage,NA,Texas State University
2017-01-23,NA,2017-01-23,1702122,"Failure toComply/StrikingUnattended Vehicle",LBJ Student & Visitor Center,NA,Texas State University
2017-01-23,NA,2017-01-23,1702140,POCS Group 1,The Vista Apartments,NA,Texas State University
2017-01-23,NA,2017-01-23,1702157,"Possession of DrugParaphernalia",The Tower Parking Garage,NA,Texas State University
2017-01-22,NA,2017-01-22,1702025,"Possession of DrugParaphernalia",Speck Parking Lot,NA,Texas State University
2017-01-22,NA,2017-01-22,1701996,Burglary of Vehicle,Coliseum Parking Lot,NA,Texas State University
2017-01-22,NA,2017-01-22,1701964,MIC‐Alcohol,Bobcat Village Apartments,NA,Texas State University
2017-01-21,NA,2017-01-21,1701939,"Open Container inMotor Vehicle",Comanche Street,NA,Texas State University
2017-01-21,NA,2017-01-21,1701936,MIC‐Alcohol,San Marcos Hall,NA,Texas State University
2017-01-20,NA,2017-01-20,1701886,Warning,Moore Street,NA,Texas State University
2017-01-20,NA,2017-01-20,1701823,"Driving WhileIntoxicated",Sessom Drive (West),NA,Texas State University
2017-01-20,NA,2017-01-20,1701863,"Theft ‐ Property>=$100<$750","J.C. Kellam AdministrationBuilding",NA,Texas State University
2017-01-19,NA,2017-01-19,1701672,POCS Group 2,Butler Hall,NA,Texas State University
2017-01-19,NA,2017-01-19,1701791,MIC‐Alcohol,Bobcat Village Apartments,NA,Texas State University
2017-01-18,NA,2017-01-18,1701587,"Reckless Damage orDestruction",Moon Street,NA,Texas State University
2017-01-18,NA,2017-01-18,1701650,"Driving WhileIntoxicated",Hopkins Street,NA,Texas State University
2017-01-18,NA,2017-01-18,1701538,Public Intoxication,Edward Gary Street,NA,Texas State University
2017-01-16,NA,2017-01-16,171358,"Possession of DrugParaphernalia",Llano Circle,NA,Texas State University
2017-01-16,NA,2017-01-16,1701333,"Possession of DrugParaphernalia",Mill Street,NA,Texas State University
2017-01-15,NA,2017-01-15,1701224,"Possession of DrugParaphernalia",San Jacinto Hall Parking Garage,NA,Texas State University
2017-01-15,NA,2017-01-15,1701169,"Driving WhileIntoxicated",Sessom Drive (West),NA,Texas State University
2017-01-15,NA,2017-01-15,1701235,Sexual Assault,Sewell Park,NA,Texas State University
2017-01-14,NA,2017-01-14,171104,"Driving WhileIntoxicated",Fredericksburg Street,NA,Texas State University
2017-01-14,NA,2017-01-14,1701121,Public Intoxication,Sessom Drive (West),NA,Texas State University
2017-01-14,NA,2017-01-14,1701125,Prohibited Weapons,Pleasant Street,NA,Texas State University
2017-01-10,NA,2017-01-10,1700777,"Theft ‐ Property>=$100<$750",Student Center Drive,NA,Texas State University
2017-01-08,NA,2017-01-08,1700601,POCS Group 2,Guadalupe Street,NA,Texas State University
2017-01-08,NA,2017-01-08,1700632,"Possession ofMarijuana",Saltgrass Steak House,NA,Texas State University
2017-01-07,NA,2017-01-07,1700570,Public Intoxication,Hopkins Street,NA,Texas State University
2017-01-06,NA,2017-01-06,1700496,"Driving WhileIntoxicated",Hutchison Street,NA,Texas State University
2017-01-05,NA,2017-01-05,1700477,"CriminalMischief>=$100<$750",San Marcos Hall,NA,Texas State University
2017-01-05,NA,2017-01-05,1700418,"Possession ofMarijuana",Aquarena Springs Drive,NA,Texas State University
2017-01-03,NA,2017-01-03,1700226,"Graffiti ‐School/HigherEducation",Thorpe Lane,NA,Texas State University
2017-01-02,NA,2017-01-02,1700157,Burglary ‐ Habitation,Bobcat Village Apartments,NA,Texas State University
2017-01-02,NA,2017-01-02,1700175,POCS Group 1,Thorpe Lane,NA,Texas State University
2017-01-01,NA,2017-01-01,1700063,"Possession of DrugParaphernalia",Hopkins Street,NA,Texas State University
2016-12-31,NA,2016-12-31,1632929,Burglary ‐ Habitation,Bobcat Village Apartments,NA,Texas State University
2016-12-31,NA,2016-12-31,1632907,"Driving WhileIntoxicated",University Drive,NA,Texas State University
2016-12-30,NA,2016-12-30,1632859,"Possession ofMarijuana",RR12,NA,Texas State University
2016-12-30,NA,2016-12-30,1632896,"Possession ofMarijuana",Hopkins Street,NA,Texas State University
2016-12-30,NA,2016-12-30,1632851,"Driving While LicenseInvalid",N LBJ Drive,NA,Texas State University
2016-12-28,NA,2016-12-28,1632733,POCS Group 2,Post Road,NA,Texas State University
2016-12-26,NA,2016-12-26,1632681,"Possession ofMarijuana",Charles Austin Drive,NA,Texas State University
2016-12-26,NA,2016-12-26,1632647,"CriminalMischief>=$100<$750",Speck Parking Lot,NA,Texas State University
2016-12-23,NA,2016-12-23,1632505,"Weapon ‐ UnlawfulCarrying",Bobcat Village Apartments,NA,Texas State University
2016-12-23,NA,2016-12-23,1632521,Burglary ‐ Building,Hunter Road,NA,Texas State University
2016-12-21,NA,2016-12-21,1632378,Evading Arrest,Hopkins Street,NA,Texas State University
2016-12-18,NA,2016-12-18,1632165,"Driving WhileIntoxicated",N LBJ Drive,NA,Texas State University
2016-12-17,NA,2016-12-17,1632117,Public Intoxication,Fredericksburg Street,NA,Texas State University
2016-12-17,NA,2016-12-17,1632157,"Consumption AlcoholMinor",Sessom Drive (East),NA,Texas State University
2016-12-17,NA,2016-12-17,1632126,POCS Group 2,San Antonio Street (East),NA,Texas State University
2016-12-16,NA,2016-12-16,1632050,"Open Container inMotor Vehicle",CM Allen PKWY,NA,Texas State University
2016-12-16,NA,2016-12-16,1632097,Evading Arrest,N LBJ Drive,NA,Texas State University
2016-12-16,NA,2016-12-16,1632093,"Possession of DrugParaphernalia",College Inn,NA,Texas State University
2016-12-16,NA,2016-12-16,1632077,"Theft ‐ Property>=$100<$750",Jackson Hall,NA,Texas State University
2016-12-16,NA,2016-12-16,1632060,"Driving WhileIntoxicated",North Street,NA,Texas State University
2016-12-16,NA,2016-12-16,1632079,"Theft ‐ Property>=$750>$2,500",Blanco Hall,NA,Texas State University
2016-12-16,NA,2016-12-16,1632041,"Possession of DrugParaphernalia",Post Road,NA,Texas State University
2016-12-16,NA,2016-12-16,1631899,"Possession of DrugParaphernalia",Comanche Street,NA,Texas State University
2016-12-16,NA,2016-12-16,1632065,MIP‐Alcohol,Academy Street,NA,Texas State University
2016-12-15,NA,2016-12-15,1631940,Public Intoxication,Guadalupe Street,NA,Texas State University
2016-12-15,NA,2016-12-15,1631985,Theft‐Under $50,Alkek Library,NA,Texas State University
2016-12-15,NA,2016-12-15,1631974,"Graffiti ‐School/HigherEducation",Alkek Library,NA,Texas State University
2016-12-15,NA,2016-12-15,1631981,"Theft ‐ Property>=$100<$750",Fall Sayers Housing Complex,NA,Texas State University
2016-12-13,NA,2016-12-13,1631756,Harassment,Texas State University,NA,Texas State University
2016-12-13,NA,2016-12-13,1631683,"Possession ofMarijuana",Pecos Bldg,NA,Texas State University
2016-12-13,NA,2016-12-13,1631775,"Theft ‐ Property>=$100<$750",Chautauqua,NA,Texas State University
2016-12-12,NA,2016-12-12,1631673,"Weapon ‐ UnlawfulCarrying",Nueces Parking Lot,NA,Texas State University
2016-12-11,NA,2016-12-11,1631577,"Possession ofMarijuana",Bobcat Village Apartments,NA,Texas State University
2016-12-11,NA,2016-12-11,1631562,"Assault ‐ Causes BodilyInjury","Angelina San Gabriel HousingComplex",NA,Texas State University
2016-12-11,NA,2016-12-11,1631559,"Possession ofMarijuana",Sterry Hall,NA,Texas State University
2016-12-11,NA,2016-12-11,1631555,Warning,Sewell Park,NA,Texas State University
2016-12-11,NA,2016-12-11,1631581,Warning,The Tower Hall,NA,Texas State University
2016-12-10,NA,2016-12-10,1631524,"Theft of Service ‐Under $100",Edward Gary Garage,NA,Texas State University
2016-12-10,NA,2016-12-10,1631487,"Possession of DrugParaphernalia","Angelina San Gabriel HousingComplex",NA,Texas State University
2016-12-10,NA,2016-12-10,1631471,MIC‐Alcohol,RR12,NA,Texas State University
2016-12-10,NA,2016-12-10,1631526,Warrant Service,Aquarena Springs Drive,NA,Texas State University
2016-12-09,NA,2016-12-09,1631389,POCS Group 3,Sessom Drive (East),NA,Texas State University
2016-12-09,NA,2016-12-09,1631364,"Possession of DrugParaphernalia",San Jacinto Hall Parking Garage,NA,Texas State University
2016-12-09,NA,2016-12-09,1631414,"Graffiti ‐School/HigherEducation","Academic Service BuildingNorth",NA,Texas State University
2016-12-08,NA,2016-12-08,1631329,"Possession of DrugParaphernalia","Angelina San Gabriel HousingComplex",NA,Texas State University
2016-12-08,NA,2016-12-08,1631323,Theft‐Under $500,Chemisrty Bldg,NA,Texas State University
2016-12-08,NA,2016-12-08,1631313,"Failure toComply/StrikingUnattended Vehicle",San Marcos Hall Parking Garage,NA,Texas State University
2016-12-08,NA,2016-12-08,1631307,"Criminal Mischief>=$750<$2500",Sewell Park,NA,Texas State University
2016-12-08,NA,2016-12-08,1631276,"Possession ofMarijuana",Aquarena Springs Drive,NA,Texas State University
2016-12-08,NA,2016-12-08,1631349,"Theft ‐ Property>=$750>$2,500",Bobcat Village Apartments,NA,Texas State University
2016-12-07,NA,2016-12-07,1631152,"Driving WhileIntoxicated",University Drive,NA,Texas State University
2016-12-07,NA,2016-12-07,1631148,POCS Group 2,University Drive,NA,Texas State University
2016-12-07,NA,2016-12-07,1631136,"Possession ofMarijuana",Sterry Hall,NA,Texas State University
2016-12-07,NA,2016-12-07,1631243,"Possession of DrugParaphernalia",Wood Street,NA,Texas State University
2016-12-06,NA,2016-12-06,1631123,"Failure toComply/StrikingUnattended Vehicle",Fam & Con Sci Parking Lot,NA,Texas State University
