case_number,date_occurred,date_reported,incident,location,university,time_occurred,time_reported
U14‐13842,2014-07-18,2014-07-18,KU FIRES,1736 ENGEL,University of Kansas,NA,NA
U14‐11664,2014-06-12,2014-06-16,THEFT: MISDEMEANOR,1345 JAYHAWK,University of Kansas,NA,NA
U14‐13965,2014-07-20,2014-07-20,DUI (ARREST),SUNFLOWER,University of Kansas,NA,NA
U14‐14008,2014-07-20,2014-07-20,KU MEDICAL EMERGENCY,1415 MEMORIAL,University of Kansas,NA,NA
U14‐14048,2014-07-18,2014-07-21,CRIMINAL DAMAGE TO PROPERTY; WIT,1467 JAYHAWK,University of Kansas,NA,NA
U14‐14536,2014-07-28,2014-07-28,KU MEDICAL EMERGENCY,1515 SAINT ANDREWS,University of Kansas,NA,NA
U14‐15468,2014-08-05,2014-08-12,THEFT OF PROPERTY OR SERVICES; VALU ,15 ST ANDREWS,University of Kansas,NA,NA
U14‐15468,2014-08-05,2014-08-12,THEFT OF PROPERTY OR SERVICES; VALU ,15 ST ANDREWS,University of Kansas,NA,NA
U14‐15682,2014-08-15,2014-08-15,BURGLARY; DWELLING TO COMMIT FEL ,02 IOWA,University of Kansas,NA,NA
U14‐11868,2014-06-19,2014-06-19,DUI (ARREST),1800 IOWA,University of Kansas,NA,NA
U14‐11890,2014-06-06,2014-06-19,CRIMINAL DAMAGE TO PROPERTY: MIS ,46 WEST CAMPUS,University of Kansas,NA,NA
U14‐11880,2014-06-19,2014-06-19,KU ACCIDENT (VEHICLE) ‐ NON REPORTA ,50 JAYHAWK,University of Kansas,NA,NA
U14‐12017,2014-06-21,2014-06-21,DUI (ARREST),BOB BILLINGS,University of Kansas,NA,NA
U14‐12249,2014-06-24,2014-06-24,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U14‐12255,2014-06-23,2014-06-24,THEFT: MISDEMEANOR,1740 WATKINS CENTER,University of Kansas,NA,NA
U14‐12287,2014-06-24,2014-06-24,Possession of certain depressants,1530 ENGEL,University of Kansas,NA,NA
U14‐12036,2014-06-21,2014-06-21,CRIMINAL TRESPASS; REMAIN IN DEFIA ,30 ENGEL,University of Kansas,NA,NA
U14‐12067,2014-06-22,2014-06-22,KU FIRES,1465 JAYHAWK,University of Kansas,NA,NA
U14‐12151,2014-06-23,2014-06-23,KU MEDICAL EMERGENCY,NAISMITH,University of Kansas,NA,NA
U14‐08948,2014-05-02,2014-05-09,KU MISCELLANEOUS (INFO),1251 WESCOE HALL,University of Kansas,NA,NA
U14‐08896,2014-05-08,2014-05-08,MINOR IN POSSESSION OF CMB,500 11TH,University of Kansas,NA,NA
U14‐09020,2014-05-10,2014-05-10,KU MEDICAL EMERGENCY,500 11TH,University of Kansas,NA,NA
U14‐09008,2014-05-09,2014-05-09,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U14‐09031,2014-05-10,2014-05-10,DUI (ARREST),2100 CLINTON,University of Kansas,NA,NA
U14‐09064,2014-05-10,2014-05-10,CRIMINAL DAMAGE TO PROPERTY: MIS ,50 JAYHAWK,University of Kansas,NA,NA
U14‐09066,2014-05-10,2014-05-10,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U14‐09078,2014-05-10,2014-05-10,CRIMINAL DAMAGE TO PROPERTY; WIT ,45 JAYHAWK,University of Kansas,NA,NA
U14‐09140,2014-05-11,2014-05-11,DUI (ARREST),1122 JRP HALL,University of Kansas,NA,NA
U14‐09219,2014-04-12,2014-05-13,THEFT: MISDEMEANOR,1460 JAYHAWK,University of Kansas,NA,NA
U14‐09316,2014-05-15,NA,MEDICAL EMERGENCY,1415 JAYHAWK,University of Kansas,NA,NA
U14‐09416,2014-05-16,2014-05-16,KU MEDICAL EMERGENCY,1445 JAYHAWK,University of Kansas,NA,NA
U14‐09465,2014-05-17,2014-05-17,KU MISCELLANEOUS (INFO),1530 NAISMITH,University of Kansas,NA,NA
U14‐09507,2014-05-17,2014-05-17,CRIMINAL DAMAGE TO PROPERTY: MIS ,65 JAYHAWK,University of Kansas,NA,NA
U14‐09510,2014-05-17,2014-05-17,CRIMINAL DAMAGE TO PROPERTY: MIS ,45 JAYHAWK,University of Kansas,NA,NA
U14‐09172,2014-05-12,2014-05-12,THEFT: MISDEMEANOR,1815 NAISMITH,University of Kansas,NA,NA
U14‐09217,2014-05-12,2014-05-13,BURGLARY; DWELLING WITH INTENT TO ,01 SUNNYSIDE,University of Kansas,NA,NA
U14‐09241,2014-05-13,2014-05-13,KU MISCELLANEOUS (INFO),1300 SUNNYSIDE,University of Kansas,NA,NA
U14‐09230,2014-05-13,2014-05-13,KU MEDICAL EMERGENCY,1300 SUNNYSIDE,University of Kansas,NA,NA
U14‐09261,2014-05-14,2014-05-14,KU MEDICAL EMERGENCY,1520 15TH,University of Kansas,NA,NA
U14‐09291,2014-05-14,2014-05-14,THEFT: LOST‐MISLAID PROPERTY,1450 JAYHAWK,University of Kansas,NA,NA
U14‐09294,2014-05-14,2014-05-14,THEFT: MISDEMEANOR,1246 WEST CAMPUS,University of Kansas,NA,NA
U14‐09349,2014-05-15,2014-05-15,KU ACCIDENT (VEHICLE) ‐ NON REPORTA ,50 MEMORIAL,University of Kansas,NA,NA
U14‐09375,2014-05-15,2014-05-15,KU MISCELLANEOUS (INFO),1632 ENGEL,University of Kansas,NA,NA
U14‐09450,2014-05-15,2014-05-17,CRIMINAL DAMAGE TO PROPERTY; WIT ,00 SUNNYSIDE,University of Kansas,NA,NA
U14‐09442,2014-05-15,2014-05-16,CRIMINAL DAMAGE TO PROPERTY; WIT ,40 JAYHAWK,University of Kansas,NA,NA
U14‐09435,2014-05-15,2014-05-16,CRIMINAL DAMAGE TO PROPERTY; WIT,1415 JAYHAWK,University of Kansas,NA,NA
U14‐09439,2014-05-15,2014-05-16,The of property or services; Value less ,35 JAYHAWK,University of Kansas,NA,NA
U14‐09440,2014-05-15,2014-05-16,CRIMINAL DAMAGE TO PROPERTY; WIT,1467 JAYHAWK,University of Kansas,NA,NA
U14‐09511,2014-05-16,2014-05-18,CRIMINAL DAMAGE TO PROPERTY: MIS,1200 SUNNYSIDE,University of Kansas,NA,NA
U14‐09544,2014-05-18,2014-05-18,KU MEDICAL EMERGENCY,1101 MISSISSIPPI,University of Kansas,NA,NA
U14‐09533,2014-05-18,2014-05-18,KU MEDICAL EMERGENCY,1410 JAYHAWK,University of Kansas,NA,NA
U14‐09543,2014-05-18,2014-05-18,THEFT: LOST‐MISLAID PROPERTY,1101 MISSISSIPPI,University of Kansas,NA,NA
U14‐09565,2014-05-18,2014-05-18,,00 BAGLEY,University of Kansas,NA,NA
U14‐09147,2014-05-11,2014-05-11,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U14‐09703,2014-05-20,2014-05-20,BURGLARY; VEHICLE TO COMMIT FELON,1261 OREAD,University of Kansas,NA,NA
U14‐09619,2014-05-19,2014-05-19,THEFT: MISDEMEANOR,1301 JAYHAWK,University of Kansas,NA,NA
U14‐09779,2014-05-21,2014-05-21,KU MENTAL,1501 CRESTLINE,University of Kansas,NA,NA
U14‐09790,2014-05-21,2014-05-21,KU MISCELLANEOUS (INFO),1301 MISSISSIPPI,University of Kansas,NA,NA
U14‐09818,2014-05-21,2014-05-21,CRIMINAL DAMAGE TO PROPERTY; WIT,1460 JAYHAWK,University of Kansas,NA,NA
U14‐09538,2014-05-18,2014-05-18,KU MEDICAL EMERGENCY,1146 FAMBROUGH,University of Kansas,NA,NA
U14‐09536,2014-05-18,2014-05-18,KU MEDICAL EMERGENCY,1146 FAMBROUGH,University of Kansas,NA,NA
U14‐09848,2014-05-22,2014-05-22,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U14‐09679,2014-04-15,2014-05-20,THEFT: MISDEMEANOR,1734 ENGEL,University of Kansas,NA,NA
U14‐09726,2014-05-19,2014-05-20,CRIMINAL DAMAGE TO PROPERTY; WIT ,45 JAYHAWK,University of Kansas,NA,NA
U14‐09787,2014-05-16,2014-05-21,THEFT: MISDEMEANOR,1632 ENGEL,University of Kansas,NA,NA
U14‐09859,2014-05-18,2014-05-22,POSSESSION OF MARIJUANA AND THC,1425 ALUMNI,University of Kansas,NA,NA
U14‐09872,2014-05-21,2014-05-22,THEFT: MISDEMEANOR,1455 JAYHAWK,University of Kansas,NA,NA
U14‐10106,2014-05-25,2014-05-26,THEFT: MISDEMEANOR,1632 ENGEL,University of Kansas,NA,NA
U14‐10254,2014-05-28,2014-05-28,KU MEDICAL EMERGENCY,1555 IRVING HILL,University of Kansas,NA,NA
U14‐09883,2014-05-22,2014-05-22,KU MISCELLANEOUS (INFO),1415 JAYHAWK,University of Kansas,NA,NA
U14‐09902,2014-05-23,2014-05-23,THEFT: MISDEMEANOR,1440 JAYHAWK,University of Kansas,NA,NA
U14‐09900,2014-05-23,2014-05-23,DUI (ARREST),BOB BILLINGS,University of Kansas,NA,NA
U14‐10049,2014-05-25,2014-05-25,DUI (ARREST),CONSTANT,University of Kansas,NA,NA
U14‐10038,2014-05-24,2014-05-24,DRIVING AROUND BARRICADES,JAYHAWK,University of Kansas,NA,NA
U14‐10186,2014-05-27,2014-05-27,KU MEDICAL EMERGENCY,1251 WESCOE HALL,University of Kansas,NA,NA
U14‐08227,2014-04-29,2014-04-29,KU MEDICAL EMERGENCY,1345 LOUISIANA,University of Kansas,NA,NA
U14‐08284,2014-04-30,2014-04-30,POSSESSION OF FAKE DL,1530 ENGEL,University of Kansas,NA,NA
U14‐08049,2014-04-27,2014-04-27,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U14‐08080,2014-04-27,2014-04-27,KU MEDICAL EMERGENCY,1601 IRVING HILL,University of Kansas,NA,NA
U14‐08155,2014-04-24,2014-04-28,CRIMINAL DAMAGE TO PROPERTY; WIT ,45 JAYHAWK,University of Kansas,NA,NA
U14‐07769,2014-04-23,2014-04-23,KU MISCELLANEOUS (INFO),2099 CONSTANT,University of Kansas,NA,NA
U14‐08147,2014-04-25,2014-04-28,CRIMINAL DAMAGE TO PROPERTY: MIS ,30 15TH,University of Kansas,NA,NA
U14‐07787,2014-04-23,2014-04-23,KU MEDICAL EMERGENCY,1400 LILAC,University of Kansas,NA,NA
U14‐08277,2014-04-14,2014-04-30,FALSE IMPSERSONATION,1001 SUNNYSIDE,University of Kansas,NA,NA
U14‐08304,2014-02-01,2014-04-30,THEFT: LOSS <$,00; INTENT TO PERMA 1530 ENGEL,University of Kansas,NA,NA
U14‐08307,2014-04-30,2014-04-30,POSSESSION OF MARIJUANA AND THC ,34 ENGEL,University of Kansas,NA,NA
U14‐08363,2014-05-01,2014-05-01,THEFT: LOSS <$,00; INTENT TO PERMA 1425 JAYHAWK,University of Kansas,NA,NA
U14‐08368,2014-05-01,2014-05-01,KU MISCELLANEOUS (INFO),500 WEST 11TH,University of Kansas,NA,NA
U14‐08392,2014-05-02,2014-05-02,KU MEDICAL EMERGENCY,1301 MISSISSIPPI,University of Kansas,NA,NA
U14‐08380,2014-05-01,2014-05-01,KU INVESTIGATIVE,1815 NAISMITH,University of Kansas,NA,NA
U14‐08439,2014-05-01,2014-05-02,DAMAGE BY GRAFFITI,1301 SUNNYSIDE,University of Kansas,NA,NA
U14‐08323,2014-05-01,2014-05-01,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U14‐08445,2014-05-02,2014-05-02,KU MEDICAL EMERGENCY,JAYHAWK,University of Kansas,NA,NA
U14‐08486,2014-05-03,2014-05-03,KU MEDICAL EMERGENCY,1301 JAYHAWK,University of Kansas,NA,NA
U14‐08477,2014-04-26,2014-05-03,THEFT: MISDEMEANOR,1730 BAGLEY,University of Kansas,NA,NA
U14‐08517,2014-05-03,2014-05-03,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U14‐08534,2014-05-03,2014-05-03,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U14‐08556,2014-05-04,2014-05-04,DUI (ARREST),1000 SUNNYSIDE,University of Kansas,NA,NA
U14‐08397,2014-05-02,2014-05-02,KU MISCELLANEOUS (INFO),1301 HOCH AUDITORIA,University of Kansas,NA,NA
U14‐08472,2014-05-03,2014-05-03,KU MISCELLANEOUS (INFO),1536 15TH,University of Kansas,NA,NA
U14‐08511,2014-04-28,2014-05-03,THEFT: MISDEMEANOR,1730 BAGLEY,University of Kansas,NA,NA
U14‐08553,2014-05-04,2014-05-04,SEXUAL BATTERY,1500 15TH,University of Kansas,NA,NA
U14‐08550,2014-05-04,2014-05-04,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U14‐08617,2014-05-02,2014-05-04,CRIMINAL DAMAGE TO PROPERTY: MIS ,50 JAYHAWK,University of Kansas,NA,NA
U14‐08626,2014-05-02,2014-05-05,CRIMINAL DAMAGE TO PROPERTY: MIS,1445 JAYHAWK,University of Kansas,NA,NA
U14‐08552,2014-05-04,2014-05-04,KU MEDICAL EMERGENCY,1603 15TH,University of Kansas,NA,NA
U14‐08542,2014-05-04,2014-05-04,POSSESSION OF MARIJUANA AND THC ,40 JAYHAWK,University of Kansas,NA,NA
U14‐08586,2014-05-04,2014-05-04,CRIMINAL DAMAGE TO PROPERTY; WIT ,03 15TH,University of Kansas,NA,NA
U14‐08606,2014-05-04,2014-05-04,KU MISCELLANEOUS (INFO),1530 ENGEL,University of Kansas,NA,NA
U14‐08620,2014-05-04,2014-05-04,THEFT: MISDEMEANOR,1740 WATKINS CENTER,University of Kansas,NA,NA
U14‐08664,2014-05-05,2014-05-05,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U14‐08669,2014-05-05,2014-05-05,KU MISCELLANEOUS (INFO),1501 IRVING HILL,University of Kansas,NA,NA
U14‐08713,2014-05-06,2014-05-06,KU MISCELLANEOUS (INFO),1261 OREAD,University of Kansas,NA,NA
U14‐08740,2014-05-06,2014-05-06,.,IRVING HILL,University of Kansas,NA,NA
U14‐08755,2014-05-06,2014-05-06,THEFT: LOST‐MISLAID PROPERTY,1460 JAYHAWK,University of Kansas,NA,NA
U14‐08739,2014-05-06,2014-05-06,BURGLARY; DWELLING TO COMMIT FEL,1318 LOUISIANA,University of Kansas,NA,NA
U14‐08846,2014-05-07,2014-05-07,KU MEDICAL EMERGENCY,420 11TH,University of Kansas,NA,NA
U14‐08859,2014-05-07,2014-05-08,THEFT: MISDEMEANOR,1450 JAYHAWK,University of Kansas,NA,NA
U14‐08719,2014-05-05,2014-05-06,The of property or services; Value less ,03 SUNFLOWER,University of Kansas,NA,NA
U14‐08727,2014-05-05,2014-05-06,The of property or services; Value less ,50 JAYHAWK,University of Kansas,NA,NA
U14‐08736,2014-05-06,2014-05-06,KU MEDICAL EMERGENCY,1851 WESTBROOKE,University of Kansas,NA,NA
U14‐08839,2014-05-07,2014-05-07,KU MEDICAL EMERGENCY,1475 JAYHAWK,University of Kansas,NA,NA
U14‐08851,2014-05-08,2014-05-08,DUI (ARREST),2335 IRVING HILL,University of Kansas,NA,NA
U14‐08867,2014-05-08,2014-05-08,KU FIRES,1345 LOUISIANA,University of Kansas,NA,NA
U14‐08737,2014-05-06,2014-05-06,KU ACCIDENT (NON‐VEHICULAR),1301 OHIO,University of Kansas,NA,NA
U14‐08728,2014-05-06,2014-05-06,KU MISCELLANEOUS (INFO),1501 CRESTLINE,University of Kansas,NA,NA
U14‐08784,2014-05-07,2014-05-07,BATTERY,1800 ENGEL,University of Kansas,NA,NA
U14‐08866,2014-05-07,2014-05-08,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U14‐08893,2014-05-08,2014-05-08,KU MISCELLANEOUS (INFO),1425 JAYHAWK,University of Kansas,NA,NA
U14‐08936,2014-05-09,2014-05-09,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U14‐08941,2014-05-09,2014-05-09,KU INVESTIGATIVE,1800 ENGEL,University of Kansas,NA,NA
U14‐05787,2014-03-21,2014-03-21,KU LOST/FOUND PROPERTY,2096 CONSTANT,University of Kansas,NA,NA
U14‐05892,2014-03-26,2014-03-26,STOP SIGN; FAIL TO STOP,NAISMITH,University of Kansas,NA,NA
U14‐06962,2014-04-10,2014-04-10,BURGLARY; VEHICLE TO COMMIT FELON ,91 CONSTANT,University of Kansas,NA,NA
U14‐06924,2014-04-10,2014-04-10,CRIMINAL TRESPASS,1443 ALUMNI,University of Kansas,NA,NA
U14‐06921,2014-04-10,2014-04-10,KU MEDICAL EMERGENCY,1740 WATKINS CENTER,University of Kansas,NA,NA
U14‐07011,2014-04-11,2014-04-11,KU FIRES,1603 15TH,University of Kansas,NA,NA
U14‐07081,2014-04-12,2014-04-12,POSSESSION OF FAKE DL,1815 NAISMITH,University of Kansas,NA,NA
U14‐07128,2014-04-13,2014-04-13,INTERFERENCE W/DUTIES OF A POLICE ,66 OREAD,University of Kansas,NA,NA
U14‐07205,2014-04-14,2014-04-14,KU ACCIDENT (NON‐VEHICULAR),1800 NAISMITH,University of Kansas,NA,NA
U14‐07006,2014-04-11,2014-04-11,KU MEDICAL EMERGENCY,500 11TH,University of Kansas,NA,NA
U14‐07059,2014-04-12,2014-04-12,DISORDERLY CONDUCT,1734 ENGEL,University of Kansas,NA,NA
U14‐07079,2014-04-12,2014-04-12,KU FIRES,1266 OREAD,University of Kansas,NA,NA
U14‐07118,2014-04-13,2014-04-13,INDECENT EXPOSURE: LEWD & LASCIVIO ,75 JAYHAWK,University of Kansas,NA,NA
U14‐07134,2014-04-13,2014-04-13,BATTERY ON LEO; BODILY HARM TO UN ,66 OREAD,University of Kansas,NA,NA
U14‐07208,2014-04-09,2014-04-14,THEFT: MISDEMEANOR,1632 ENGEL,University of Kansas,NA,NA
U14‐07217,2014-04-14,2014-04-14,KU MISCELLANEOUS (INFO),1301 HOCH AUDITORIA,University of Kansas,NA,NA
U14‐07387,2014-04-17,2014-04-17,KU MISCELLANEOUS (INFO),1301 HOCH AUDITORIA,University of Kansas,NA,NA
U14‐07394,2014-04-17,2014-04-17,KU MISCELLANEOUS (INFO),500 11TH,University of Kansas,NA,NA
U14‐07407,2014-04-17,2014-04-17,KU MEDICAL EMERGENCY,1460 JAYHAWK,University of Kansas,NA,NA
U14‐07418,2014-04-14,2014-04-17,CRIMINAL DAMAGE TO PROPERTY: MIS ,03 15TH,University of Kansas,NA,NA
U14‐07416,2014-04-16,2014-04-17,THEFT: MISDEMEANOR,1530 ENGEL,University of Kansas,NA,NA
U14‐07482,2014-04-18,2014-04-18,THEFT OF SERVICES,1261 OREAD,University of Kansas,NA,NA
U14‐07364,2014-03-31,2014-04-16,THEFT: MISDEMEANOR,1426 ALUMNI,University of Kansas,NA,NA
U14‐07365,2014-04-09,2014-04-16,THEFT: MISDEMEANOR,1426 ALUMNI,University of Kansas,NA,NA
U14‐07453,2014-04-18,2014-04-18,POSSESSION OF MARIJUANA AND THC,1815 NAISMITH,University of Kansas,NA,NA
U14‐07484,2014-04-18,2014-04-18,FALSE ALARM ‐ GIVING A,1530 15TH,University of Kansas,NA,NA
U14‐07589,2014-04-20,2014-04-20,POSSESSION OF MARIJUANA AND THC,23RD,University of Kansas,NA,NA
U14‐07661,2014-04-21,2014-04-21,KU MEDICAL EMERGENCY,1425 JAYHAWK,University of Kansas,NA,NA
U14‐07494,2014-04-17,2014-04-18,THEFT: MISDEMEANOR,1506 LILAC,University of Kansas,NA,NA
U14‐07523,2014-04-18,2014-04-18,POSSESSION OF MARIJUANA AND THC ,15 ENGEL,University of Kansas,NA,NA
U14‐07529,2014-04-19,2014-04-19,POSSESSION OF MARIJUANA AND THC ,32 ENGEL,University of Kansas,NA,NA
U14‐07536,2014-04-19,2014-04-19,KU MISCELLANEOUS (INFO),1632 ENGEL,University of Kansas,NA,NA
U14‐07537,2014-04-19,2014-04-19,,03 15TH,University of Kansas,NA,NA
U14‐07545,2014-04-18,2014-04-19,THEFT OF PROPERTY OR SERVICES; VALU ,43 ALUMNI,University of Kansas,NA,NA
U14‐07545,2014-04-18,2014-04-19,THEFT OF PROPERTY OR SERVICES; VALU ,43 ALUMNI,University of Kansas,NA,NA
U14‐07557,2014-04-19,2014-04-19,DISORDERLY CONDUCT,1734 ENGEL,University of Kansas,NA,NA
U14‐07553,2014-04-19,2014-04-19,KU MEDICAL EMERGENCY,1100 MISSISSIPPI,University of Kansas,NA,NA
U14‐07555,2014-04-19,2014-04-19,BURGLARY; VEHICLE TO COMMIT FELON ,00 ROCK CHALK,University of Kansas,NA,NA
U14‐07828,2014-04-23,2014-04-23,KU MEDICAL EMERGENCY,1515 ENGEL,University of Kansas,NA,NA
U14‐07733,2014-04-22,2014-04-22,KU MEDICAL EMERGENCY,1445 JAYHAWK,University of Kansas,NA,NA
U14‐07793,2014-04-23,2014-04-23,KU MISCELLANEOUS (INFO),1261 OREAD,University of Kansas,NA,NA
U14‐07939,2014-04-22,2014-04-25,THEFT: LOST‐MISLAID PROPERTY,500 11TH,University of Kansas,NA,NA
U14‐08050,2014-04-27,2014-04-27,THEFT: MISDEMEANOR,1301 JAYHAWK,University of Kansas,NA,NA
U14‐07567,2014-04-19,2014-04-19,CRIMINAL DAMAGE TO PROPERTY: MIS,1734 ENGEL,University of Kansas,NA,NA
U14‐07734,2014-04-22,2014-04-22,CRIMINAL DAMAGE TO PROPERTY; WIT,1260 TIMBEREDGE,University of Kansas,NA,NA
U14‐07815,2014-04-23,2014-04-23,BURGLARY; DWELLING TO COMMIT FEL ,00 ENGEL,University of Kansas,NA,NA
U14‐07837,2014-04-24,2014-04-24,KU MISCELLANEOUS (INFO),500 11TH,University of Kansas,NA,NA
U14‐07901,2014-04-25,2014-04-25,CRIMINAL TRESPASS,1800 NAISMITH,University of Kansas,NA,NA
U14‐07645,2014-03-26,2014-04-21,KU INVESTIGATIVE,10801AMITY,University of Kansas,NA,NA
U14‐07934,2014-04-25,2014-04-25,KU ACCIDENT (VEHICLE) ‐ NON REPORTA,15TH,University of Kansas,NA,NA
U14‐07933,2014-04-25,2014-04-25,KU MISCELLANEOUS (INFO),1318 LOUISIANA,University of Kansas,NA,NA
U14‐08094,2014-04-25,2014-04-27,THEFT: MISDEMEANOR,1515 ENGEL,University of Kansas,NA,NA
U14‐08152,2014-04-28,2014-04-28,KU WELFARE CHECK,1301 HOCH AUDITORIA,University of Kansas,NA,NA
U14‐08199,2014-04-29,2014-04-29,KU MEDICAL EMERGENCY,1301 HOCH AUDITORIA,University of Kansas,NA,NA
U14‐08243,2014-04-29,2014-04-29,POSSESSION OF MARIJUANA AND THC ,15 NAISMITH,University of Kansas,NA,NA
U14‐04366,2014-03-04,2014-03-04,POSSESSION OF MARIJUANA AND THC ,00 ENGEL,University of Kansas,NA,NA
U14‐04349,2014-03-04,2014-03-04,KU MEDICAL EMERGENCY,1734 ENGEL,University of Kansas,NA,NA
U14‐04497,2014-02-19,2014-03-06,THEFT: LOSS <$,00; INTENT TO PERMA 1530 NAISMITH,University of Kansas,NA,NA
U14‐04525,2014-03-07,2014-03-07,POSSESSION OF DRUG PARAPHERNALIA ,15 NAISMITH,University of Kansas,NA,NA
U14‐04334,2014-02-27,2014-03-04,THEFT: LOST‐MISLAID PROPERTY,1445 JAYHAWK,University of Kansas,NA,NA
U14‐04526,2014-03-07,2014-03-07,POSSESSION OF MARIJUANA AND THC ,15 NAISMITH,University of Kansas,NA,NA
U14‐04490,2014-01-01,2014-03-06,KU MISCELLANEOUS (INFO),1425 JAYHAWK,University of Kansas,NA,NA
U14‐04623,2014-03-08,2014-03-08,POSSESSION OF FAKE DL,500 11TH,University of Kansas,NA,NA
U14‐04627,2014-02-08,2014-03-08,CRIMINAL DAMAGE TO PROPERTY: MIS ,0 11TH,University of Kansas,NA,NA
U14‐04629,2014-03-08,2014-03-08,STOP SIGN; FAIL TO STOP,2021 NAISMITH,University of Kansas,NA,NA
U14‐04613,2014-03-07,2014-03-07,POSSESSION OF MARIJUANA AND THC ,32 ENGEL,University of Kansas,NA,NA
U14‐04479,2014-03-06,2014-03-06,KU MEDICAL EMERGENCY,1301 SUNNYSIDE,University of Kansas,NA,NA
U14‐04641,2014-03-08,2014-03-08,CRIMINAL DAMAGE TO PROPERTY: MIS,500 11TH,University of Kansas,NA,NA
U14‐04656,2014-03-08,2014-03-08,KU MEDICAL EMERGENCY,1266 OREAD,University of Kansas,NA,NA
U14‐04666,2014-03-08,2014-03-08,KU MISCELLANEOUS (INFO),1712 ANNA,University of Kansas,NA,NA
U14‐04704,2014-03-09,2014-03-09,DISORDERLY CONDUCT,1734 ENGEL,University of Kansas,NA,NA
U14‐04744,2014-02-11,2014-03-09,CRIMINAL DAMAGE TO PROPERTY: MIS ,01 MISSISSIPPI,University of Kansas,NA,NA
U14‐04835,2014-02-28,2014-03-06,CRIMINAL DAMAGE TO PROPERTY: MIS ,30 15TH,University of Kansas,NA,NA
U14‐04585,2014-03-07,2014-03-07,POSSESSION OF MARIJUANA AND THC ,34 ENGEL,University of Kansas,NA,NA
U14‐04826,2014-03-07,2014-03-10,DAMAGE BY GRAFFITI,420 11TH,University of Kansas,NA,NA
U14‐04949,2014-03-11,2014-03-11,KU DEATH INVESTIGATION (USE KSOR),1815 BAGLEY,University of Kansas,NA,NA
U14‐05084,2014-03-13,2014-03-13,THEFT: MISDEMEANOR,1530 ENGEL,University of Kansas,NA,NA
U14‐05146,2014-03-11,2014-03-14,CRIMINAL DAMAGE TO PROPERTY; WIT,500 11TH,University of Kansas,NA,NA
U14‐05231,2014-03-15,2014-03-15,POSSESSION OF MARIJUANA AND THC,1603 15TH,University of Kansas,NA,NA
U14‐05340,2014-03-17,2014-03-17,KU MISCELLANEOUS (INFO),1301 SUNNYSIDE,University of Kansas,NA,NA
U14‐04607,2014-03-07,2014-03-07,KU MISCELLANEOUS (INFO),1515 ENGEL,University of Kansas,NA,NA
U14‐04605,2014-03-07,2014-03-07,THEFT: LOST‐MISLAID PROPERTY,1740 WATKINS CENTER,University of Kansas,NA,NA
U14‐04604,2014-03-07,2014-03-07,KU MEDICAL EMERGENCY,1800 ENGEL,University of Kansas,NA,NA
U14‐04625,2014-03-08,2014-03-08,KU MEDICAL EMERGENCY,1530 ENGEL,University of Kansas,NA,NA
U14‐04689,2014-03-09,2014-03-09,POSSESSION OF MARIJUANA AND THC,12TH,University of Kansas,NA,NA
U14‐04699,2014-03-09,2014-03-09,KU MEDICAL EMERGENCY,1815 NAISMITH,University of Kansas,NA,NA
U14‐04685,2014-03-08,2014-03-08,KU MISCELLANEOUS (INFO),1603 15TH,University of Kansas,NA,NA
U14‐04703,2014-03-09,2014-03-09,KU MISCELLANEOUS (INFO),1740 WATKINS CENTER,University of Kansas,NA,NA
U14‐04816,2014-03-06,2014-03-10,DUTY OF DRIVER TO REPORT ACCIDENT ,00 SUNNYSIDE,University of Kansas,NA,NA
U14‐05091,2014-03-13,2014-03-13,THEFT: LOSS <$,00; INTENT TO PERMA 1530 ENGEL,University of Kansas,NA,NA
U14‐05132,2014-03-14,2014-03-14,CRIMINAL TRESPASS,1440 JAYHAWK,University of Kansas,NA,NA
U14‐05208,2014-03-15,2014-03-15,,34 ENGEL,University of Kansas,NA,NA
U14‐05248,2014-03-15,2014-03-15,KU MEDICAL EMERGENCY,1560 OLIVER,University of Kansas,NA,NA
U14‐05387,2014-03-14,2014-03-14,KU INVESTIGATIVE,2040 BECKER,University of Kansas,NA,NA
U14‐04909,2014-03-06,2014-03-10,THEFT: MISDEMEANOR,1530 15TH,University of Kansas,NA,NA
U14‐05028,2014-03-12,2014-03-12,KU MENTAL,1800 ENGEL,University of Kansas,NA,NA
