incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
HARASSMENT-COMMUNICATIONS,13-005963,23:13,2013-03-04,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-005973,00:17,2013-03-05,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-005998,03:11,2013-03-05,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-005999,04:03,2013-03-05,"PENNSYLVANIA HALL - 3825 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-006005,06:11,2013-03-05,"5TH AVE AND BIGELOW BLVD PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-006011,08:12,2013-03-05,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-006020,09:47,2013-03-05,"FRICK FINE ARTS BUILDING - 650 SCHENLEY DR PITTSBURGH, PA 15217",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006021,10:21,2013-03-05,"LIFE SCIENCES ANNEX - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006025,11:17,2013-03-05,"3800 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006033,13:56,2013-03-05,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISTURBANCE,13-006036,14:44,2013-03-05,"3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006037,14:48,2013-03-05,"UNIVERSITY CHILD DEVELOPMENT CNTR - 635 CLYDE ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-006043,16:34,2013-03-05,"WPIC - 3811 O'HARA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006046,17:06,2013-03-05,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-006051,17:59,2013-03-05,"FORBES AVE AND MCKEE PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006063,21:14,2013-03-05,"OFF CAMPUS - OFF CAMPUS FREEDOM, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-006069,21:57,2013-03-05,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-006110,00:54,2013-03-06,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DRUG ACTIVITY,13-006116,01:26,2013-03-06,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-006139,06:18,2013-03-06,"Q LOT - SENNOTT ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006147,10:39,2013-03-06,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-006152,12:59,2013-03-06,"CHEVRON SCIENCE CENTER - 219 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM - MEDICAL,13-006163,15:47,2013-03-06,"UPMC PRESBYTERIAN - 200 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-006177,17:47,2013-03-06,"SENNOTT SQUARE - 210 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-006233,01:21,2013-03-07,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-006261,07:49,2013-03-07,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-006285,11:21,2013-03-07,"VICTORIA BUILDING - 3500 VICTORIA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-006292,12:53,2013-03-07,"UNIVERSITY A DR PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-006304,15:37,2013-03-07,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-006357,23:27,2013-03-07,"BOUQUET GARDENS J - 315 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-006359,23:44,2013-03-07,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI,13-006385,01:21,2013-03-08,"3708 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ORDINANCE VIOLATION,13-006393,02:01,2013-03-08,"SENNOTT SQUARE - 210 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006399,02:59,2013-03-08,"TOWERS - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006403,03:35,2013-03-08,"UPMC PRESBYTERIAN - 200 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-006412,07:53,2013-03-08,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-006422,08:46,2013-03-08,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-006429,09:17,2013-03-08,"FRICK FINE ARTS BUILDING - 650 SCHENLEY DR PITTSBURGH, PA 15217",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-006430,09:41,2013-03-08,"PROPERTY MANAGEMENT OFFICE - 127 N BELLEFIELD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-006442,11:29,2013-03-08,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006445,12:10,2013-03-08,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006446,12:18,2013-03-08,"FORBES AVE AND S BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006447,12:24,2013-03-08,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-006453,13:01,2013-03-08,"WPIC - 3811 O'HARA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-006454,13:02,2013-03-08,"CHEVRON SCIENCE CENTER - 219 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006455,13:02,2013-03-08,"5TH AVE AND HALKET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-006456,13:10,2013-03-08,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-006457,13:12,2013-03-08,"J-LOT - 3719 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006461,13:48,2013-03-08,"5030 CENTRE AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006490,17:50,2013-03-08,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-006521,21:51,2013-03-08,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-006532,23:44,2013-03-08,"SCHENLEY QUAD - HOUSING ADMIN - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006544,01:22,2013-03-09,"3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-006552,02:30,2013-03-09,"BOUQUET GARDENS APARTMENTS - 259 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006562,11:19,2013-03-09,"305 MEYRAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-006574,16:17,2013-03-09,"236 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-006597,21:06,2013-03-09,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
PSYCHIATRIC NON VIOLENT,13-006603,21:42,2013-03-09,"PANTHER CENTRAL - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006640,03:21,2013-03-10,"3236 JULIET ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006653,14:03,2013-03-10,"PANTHER CENTRAL - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-006658,16:40,2013-03-10,"BATES ST AND THE BLVD OF THE ALLIES PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006666,18:30,2013-03-10,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-006710,01:48,2013-03-11,"TERRACE ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-006718,05:43,2013-03-11,"LOTHROP ST AND 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - ASSAULT,13-006728,09:53,2013-03-11,"CENTRE AVE AND N. NEVILLE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006730,10:30,2013-03-11,"LANGLEY HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006732,10:53,2013-03-11,"PG GARAGE - O'HARA & DESOTO STREETS PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006739,12:34,2013-03-11,"UPMC PRESBYTERIAN - 200 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
REPORT ISSUED IN ERROR,13-006741,13:33,2013-03-11,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM,13-006768,21:12,2013-03-11,"130 N BELLEFIELD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM,13-006773,22:21,2013-03-11,"130 N BELLEFIELD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-006782,23:52,2013-03-11,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006797,05:27,2013-03-12,"TREES HALL - 2701 ALLEQUIPPA STREET PITTSBURGH, PA 12561",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-006814,12:52,2013-03-12,"BIOMEDICAL SCIENCE TOWER 3 - 3501 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006841,20:17,2013-03-12,"147 CHESTERFIELD RD PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS VEHICLE,13-006846,21:02,2013-03-12,"ALLEQUIPPA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-006848,21:20,2013-03-12,"3441 WARD ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-006861,00:01,2013-03-13,"147 CHESTERFIELD RD PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - ASSAULT,13-006886,02:34,2013-03-13,"N CRAIG ST AND CENTRE AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-006897,08:08,2013-03-13,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006912,12:21,2013-03-13,"OFF CAMPUS - 2239 MARGARETT ST PITTSBURGH, PA 15235",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-006913,12:37,2013-03-13,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-006920,13:53,2013-03-13,"Y LOT (CONSOLIDATED INTO DSAC) - DARRAGH STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-006922,14:30,2013-03-13,"305 ATWOOD ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
CONFISCATION,13-006945,20:27,2013-03-13,"BOUNDARY ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-006954,22:31,2013-03-13,"3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-006962,00:18,2013-03-14,"TREES HALL - 2701 ALLEQUIPPA STREET PITTSBURGH, PA 12561",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-006981,06:25,2013-03-14,"CLAPP HALL - FIFTH AVE AND RUSKIN AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
CAMP SEC AUTH - ALCOHOL VIOLATION,13-006982,06:46,2013-03-14,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-006984,07:12,2013-03-14,"GRADUATE SCHOOL OF PUBLICH HEALTH - 130 DESOTO ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - ROBBERY,13-007006,14:01,2013-03-14,"OFF CAMPUS - OFF CAMPUS MCKEESPORT, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-007007,14:09,2013-03-14,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007024,16:30,2013-03-14,"5TH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-007036,18:58,2013-03-14,"BIGELOW BLVD PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-007120,20:12,2013-03-15,"348 S BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-007147,01:18,2013-03-16,"FORBES-CRAIG APARTMENTS - 4531 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-007161,11:05,2013-03-16,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-007168,16:19,2013-03-16,"CRAWFORD HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRESPASSING,13-007201,22:40,2013-03-16,"GARAGE DOOR - 223 ATWOOD ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ORDINANCE VIOLATION,13-007205,23:12,2013-03-16,"308 ATWOOD ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-007217,23:59,2013-03-16,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007230,02:13,2013-03-17,"OC LOT - ALLEQUIPPA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI,13-007233,02:16,2013-03-17,"5TH AVE AND UNIVERSITY PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SEX OFFENSE,13-007245,14:03,2013-03-17,"BOUQUET GARDENS B - 260 SOUTH BOUQUET STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-007246,15:16,2013-03-17,"7500 THOMAS BLVD PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-007263,20:53,2013-03-17,"BRUCE HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACTUAL FIRE,13-007292,05:37,2013-03-18,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
BURGLARY REPORT,13-007302,10:12,2013-03-18,"POSVAR HALL - 230 S BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-007310,15:41,2013-03-18,"ROBINSON ST EXT AND CENTRE AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-007327,18:10,2013-03-18,"SOLDIERS & SAILORS MEMORIAL HALL - 4141 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-007329,18:22,2013-03-18,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-007343,22:49,2013-03-18,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-007345,23:15,2013-03-18,"BENEDUM HALL - 3700 O'HARA STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-007350,00:30,2013-03-19,"BENEDUM HALL - 3700 O'HARA STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-007351,00:59,2013-03-19,"BRACKENRIDGE HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-007379,10:58,2013-03-19,"6032 STEVENSON PL PITTSBURGH, PA 15206",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-007380,11:13,2013-03-19,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-007381,11:24,2013-03-19,"OFF CAMPUS - OFF CAMPUS , NC",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007383,12:16,2013-03-19,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007386,13:34,2013-03-19,"LAW SCHOOL - 3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-007402,16:31,2013-03-19,"3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007408,17:50,2013-03-19,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007409,17:52,2013-03-19,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM,13-007413,19:26,2013-03-19,"130 N BELLEFIELD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-007458,08:51,2013-03-20,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007488,13:54,2013-03-20,"CLAPP HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007489,14:26,2013-03-20,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-007490,14:37,2013-03-20,"BOUQUET GARDENS J - 315 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-007499,15:41,2013-03-20,"SENNOTT SQUARE - 210 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TERRORISTIC THREAT,13-007506,16:55,2013-03-20,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007516,19:23,2013-03-20,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-007517,19:25,2013-03-20,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007531,22:13,2013-03-20,"SCHENLEY QUAD - HOUSING ADMIN - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-007536,22:57,2013-03-20,"3525 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM - HOLD UP,13-007540,23:47,2013-03-20,"DLR BUILDING - 3512 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007547,00:37,2013-03-21,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007564,04:21,2013-03-21,"SUTHERLAND HALL - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-007579,08:13,2013-03-21,"CENTRE & EWART - CENTRE AVE AND EWART DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
WANTED PERSON,13-007591,12:16,2013-03-21,"GRADUATE SCHOOL OF PUBLICH HEALTH - 130 DESOTO ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007593,12:32,2013-03-21,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-DUMPSTER/TRASH COMPACTOR,13-007594,12:48,2013-03-21,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
VIOLATES UNIVERSITY RULES/REGS,13-007651,00:42,2013-03-22,"PENNSYLVANIA HALL - 3825 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-007658,01:27,2013-03-22,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-007663,01:39,2013-03-22,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-007664,02:01,2013-03-22,"SCHENLEY QUAD - HOUSING ADMIN - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-007670,03:27,2013-03-22,"BOUQUET GARDENS F - 240 SOUTH BOUQUET STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-007688,08:50,2013-03-22,"4200 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
