location,case_number,date_occurred,time_occurred,date_reported,time_reported,university,incident
130 crouse dr,00024807,NA,09:00,NA,09:46,Syracuse University,susi-suspicious event/incident  
130 crouse dr,00035872,NA,08:00,NA,04:10,Syracuse University,larc-larceny            
130 crouse dr,00036894,NA,07:18,NA,09:52,Syracuse University,burg-burglary            
130 crouse dr,00037494,NA,07:39,NA,07:38,Syracuse University,burg-burglary            
130 crouse dr,00044061,NA,07:00,NA,07:16,Syracuse University,larc-larceny            
130 crouse dr,00044730,NA,07:11,NA,07:11,Syracuse University,larc-larceny            
130 crouse dr,00053251,2016-10-19,07:45,2016-10-19,07:58,Syracuse University,larc-larceny            
130 CROUSE DR,14-198098,2014-03-14,12:55,2014-03-14,13:12,Syracuse University,HARA-Aggravated Harrassment
130 CROUSE DR,14-317081,2014-06-09,16:06,2014-06-09,16:06,Syracuse University,MENT- Emot. Disturbed Person
130 CROUSE DR,14-347019,2014-02-14,11:00,2014-06-30,13:53,Syracuse University,SUSI-Suspicious Event/Incident
130 CROUSE DR,14-368857,2014-07-03,11:00,2014-07-15,15:29,Syracuse University,LARC-Larceny
130 CROUSE DR,14-502641,2014-10-13,10:36,2014-10-21,09:17,Syracuse University,SUSI-Suspicious Event/Incident
130 CROUSE DR,15-265159,2015-01-30,23:00,2015-05-05,15:59,Syracuse University,SUSI-Suspicious Event/Incident
130 CROUSE DR,15-484689,2015-10-01,13:00,2015-10-02,08:55,Syracuse University,SUSI-Suspicious Event/Incident
130 CROUSE DR,15-537361,2015-11-05,11:30,2015-11-09,12:31,Syracuse University,SUSI-Suspicious Event/Incident
130 CROUSE DR,15-549362,2015-11-18,13:00,2015-11-18,13:39,Syracuse University,LARC-Larceny
130 CROUSE DR,17-108018,NA,NA,NA,NA,Syracuse University,LARC-Larceny
130 CROUSE DR,17-185612,NA,NA,NA,NA,Syracuse University,LARC-Larceny
130 CROUSE DR,17-251724,NA,NA,NA,NA,Syracuse University,PINJ-Personal Injury/Injury
130 CROUSE DR,17-302991,NA,NA,NA,NA,Syracuse University,Burglary - Attempt
130 CROUSE DR,17-306107,NA,NA,NA,NA,Syracuse University,BURG-Burglary
130 CROUSE DR,19-276835,2019-05-08,13:31,2019-05-10,14:20,Syracuse University,INFO-Police Information
130 CROUSE DR,19-296596,2019-05-24,10:05,2019-05-24,10:07,Syracuse University,PINJ-Personal Injury/Injury
130 CROUSE DR,19-340080,2019-06-24,10:10,2019-06-24,10:12,Syracuse University,PINJ-Personal Injury/Injury
130 CROUSE DR,19-541344,2019-11-18,09:30,2019-11-18,17:17,Syracuse University,LARC-Larceny
130 LAMBRETH LN,14-265429,2014-04-26,01:30,2014-05-04,15:00,Syracuse University,PDAM-Property Damage
130 LAMBRETH LN,14-484883,2014-10-07,22:06,2014-10-07,22:06,Syracuse University,DISP- Verbal Dispute
130 LAMBRETH LN,14-487048,2014-10-08,20:30,2014-10-09,14:29,Syracuse University,CMIS- Criminal Mischief CMIS- Criminal Mischief
130 LAMBRETH LN,14-505585,2014-10-23,11:41,2014-10-23,11:41,Syracuse University,MENT- Emot. Disturbed Person
130 LAMBRETH LN,14-506750,2014-10-24,10:03,2014-10-24,10:03,Syracuse University,DRUG-CSC Sanction Only DRUG-CSC Sanction Only DRUG-CSC Sanction Only
130 LAMBRETH LN,15-147363,2014-12-15,19:00,2015-02-06,16:53,Syracuse University,CMIS- Criminal Mischief
130 LAMBRETH LN,15-480506,2015-09-25,15:00,2015-09-29,11:06,Syracuse University,LARC-Larceny
130 LAMBRETH LN,DR 14-578916,2014-12-20,00:18,2014-12-20,02:50,Syracuse University,CMIS- Criminal Mischief
130 sims dr,00007489,NA,00:30,NA,00:56,Syracuse University,pinj-personal injury/injury  
130 sims dr,00032619,NA,02:25,NA,02:26,Syracuse University,larc-larceny            
130 sims dr,00038463,NA,03:13,NA,03:13,Syracuse University,motor vehicle accident      
130 sims dr,00039782,NA,00:30,NA,01:16,Syracuse University,burg-burglary            
130 sims dr,00043573,NA,00:00,NA,03:37,Syracuse University,pinj-personal injury/injury  
130 sims dr,00044749,NA,08:36,NA,08:59,Syracuse University,larc-larceny            
130 sims dr,00046676,NA,07:40,NA,05:46,Syracuse University,susi-suspicious event/incident  
130 sims dr,00052261,2016-10-14,05:20,2016-10-15,01:20,Syracuse University,iod-injury on duty       
130 SIMS DR,14-233031,2014-04-10,09:30,2014-04-10,10:22,Syracuse University,PINJ-Personal Injury/Injury
130 SIMS DR,14-269854,2014-04-28,13:00,2014-05-07,18:48,Syracuse University,LARC-Larceny
130 SIMS DR,14-325730,2014-06-15,15:00,2014-06-15,18:38,Syracuse University,BURG-Burglary BURG-Burglary BURG-Burglary
130 SIMS DR,14-326506,2014-06-11,11:00,2014-06-16,11:33,Syracuse University,LARC-Larceny LARC-Larceny LARC-Larceny
130 SIMS DR,14-435604,2014-09-02,10:35,2014-09-02,10:37,Syracuse University,PINJ-Personal Injury/Injury
130 SIMS DR,14-467340,2014-09-23,16:00,2014-09-24,18:20,Syracuse University,LARC-Larceny
130 SIMS DR,14-481100,2014-10-05,00:45,2014-10-05,00:45,Syracuse University,INTX-Intoxicated Person
130 SIMS DR,14-486590,2014-10-06,08:00,2014-10-09,08:12,Syracuse University,CMIS- Criminal Mischief
130 SIMS DR,14322923,2014-06-13,14:00,2014-06-13,16:04,Syracuse University,LARC-Larceny
130 SIMS DR,15-393544,2015-08-01,07:57,2015-08-01,08:23,Syracuse University,LARC-Larceny
130 SIMS DR,15-423776,2015-08-21,06:30,2015-08-21,17:08,Syracuse University,Motor Vehicle Accident
130 SIMS DR,15-433024,2015-08-21,06:00,2015-08-28,09:13,Syracuse University,INFO-Police Information
130 SIMS DR,15-461342,2015-09-15,20:00,2015-09-16,15:49,Syracuse University,LARC-Larceny
130 SIMS DR,15-465818,2015-09-19,03:29,2015-09-19,03:29,Syracuse University,INTX-Intoxicated Person
130 SIMS DR,15-513295,2015-10-22,22:20,2015-10-22,22:20,Syracuse University,INTX-Intoxicated Person
130 SIMS DR,17-130810,NA,NA,NA,NA,Syracuse University,DIST-Disturbance
130 SIMS DR,17-134800,NA,NA,NA,NA,Syracuse University,INTX-Intoxicated Person
130 SIMS DR,17-206639,NA,NA,NA,NA,Syracuse University,PINJ-Personal Injury/Injury
130 SIMS DR,17-321761,NA,NA,NA,NA,Syracuse University,SUSI-Suspicious
130 SIMS DR,19-202436,2019-03-18,09:36,2019-03-18,09:36,Syracuse University,Motor Vehicle Accident
130 SIMS DR,19-434644,2019-08-30,11:30,2019-08-30,11:50,Syracuse University,SUSI-Suspicious Event/Incident
130 SIMS DR,19-487099,2019-10-01,21:00,2019-10-07,21:30,Syracuse University,LARC-Larceny
130 SLOCUM DR,14-524048,2014-11-06,11:35,2014-11-06,11:45,Syracuse University,LARC-Larceny
130 SLOCUM DR,15-168706,2015-02-22,18:00,2015-02-22,18:20,Syracuse University,DOMP- Domestic Physical
130 SLOCUM DR,15-230644,2015-04-10,19:15,2015-04-10,20:14,Syracuse University,DOMV- Domestic Verbal
130 SLOCUM DR,15-435774,2015-08-30,03:50,2015-08-30,03:52,Syracuse University,ALRF-Fire Alarm
130 SLOCUM DR,19-254750,2019-04-25,00:30,2019-04-25,00:34,Syracuse University,DOMP- Domestic Physical
130 smith dr,00000967,NA,00:00,NA,04:39,Syracuse University,burg-burglary                  burg-burglary                 
130 smith dr,00003542,NA,08:30,NA,02:18,Syracuse University,susi-suspicious event/incident  
130 smith dr,00006609,NA,09:40,NA,00:31,Syracuse University,pinj-personal injury/injury  
130 smith dr,00008467,NA,02:26,NA,02:26,Syracuse University,burg-burglary            burg-burglary            burg-burglary           
130 smith dr,00017031,NA,08:45,NA,00:31,Syracuse University,pinj-personal injury/injury  
130 smith dr,00021184,NA,04:30,NA,08:19,Syracuse University,larc-larceny            
130 smith dr,00023245,NA,09:07,NA,09:07,Syracuse University,larc-larceny            
130 smith dr,00027288,NA,04:00,NA,03:43,Syracuse University,larc-larceny            
130 smith dr,00030091,NA,09:02,NA,09:02,Syracuse University,larc-larceny             larc-larceny            
130 smith dr,00030519,NA,00:00,NA,00:03,Syracuse University,larc-larceny            
130 smith dr,00035464,NA,06:17,NA,06:17,Syracuse University,cmis- criminal mischief      
130 smith dr,00035567,NA,06:37,NA,06:37,Syracuse University,attempt larceny          
130 smith dr,00035851,NA,09:15,NA,02:22,Syracuse University,larc-larceny            
130 smith dr,00036059,NA,03:50,NA,04:00,Syracuse University,pinj-personal injury/injury   
130 smith dr,00039462,NA,08:03,NA,06:03,Syracuse University,tres-trespassing          
130 smith dr,00040521,NA,00:30,NA,00:30,Syracuse University,larc-larceny            
130 smith dr,00055030,2016-10-27,04:07,2016-10-27,03:08,Syracuse University,intx-intoxicated person     
130 SMITH DR,14-111211,2014-01-09,11:35,2014-01-09,11:42,Syracuse University,PINJ-Personal Injury/Injury
130 SMITH DR,14-123716,2014-01-19,00:28,2014-01-19,00:28,Syracuse University,TRES-Trespassing
130 SMITH DR,14-160040,2014-02-17,17:10,2014-02-17,17:50,Syracuse University,LARC-Larceny
130 SMITH DR,14-228474,2014-04-06,18:30,2014-04-06,21:13,Syracuse University,LARC-Larceny
130 SMITH DR,14-422303,2014-08-23,15:53,2014-08-23,15:53,Syracuse University,PINJ-Personal Injury/Injury
130 SMITH DR,14-461190,2014-09-19,15:01,2014-09-20,09:49,Syracuse University,LARC-Larceny
130 SMITH DR,14-468354,2014-08-07,12:00,2014-09-25,13:39,Syracuse University,BURG-Burglary
130 SMITH DR,14-526430,2014-11-08,09:02,2014-11-08,09:02,Syracuse University,TRES-Trespassing
130 SMITH DR,14-554909,2014-11-21,17:30,2014-12-01,09:59,Syracuse University,BURG-Burglary
130 SMITH DR,14-558026,2014-12-03,12:37,2014-12-03,18:17,Syracuse University,LARC-Larceny
130 SMITH DR,14-562532,NA,NA,2014-12-07,12:23,Syracuse University,SUSI-Suspicious Event/Incident
130 SMITH DR,14-563295,2014-12-08,08:11,2014-12-08,08:11,Syracuse University,SUSP-Suspicious Person
130 SMITH DR,14482453,2014-09-25,11:00,2014-10-06,09:49,Syracuse University,BURG-Burglary
130 SMITH DR,15-190816,2014-12-23,17:00,2015-03-11,16:20,Syracuse University,CMIS- Criminal Mischief
130 SMITH DR,15-245499,2015-04-20,18:00,2015-04-21,09:44,Syracuse University,LARC-Larceny
130 SMITH DR,15-264536,2015-05-01,15:30,2015-05-05,09:16,Syracuse University,LARC-Larceny
130 SMITH DR,15-336915,2015-06-23,15:45,2015-06-24,10:43,Syracuse University,LARC-Larceny
130 SMITH DR,15-366225,2015-07-13,20:24,2015-07-13,20:24,Syracuse University,HAZM-Hazardous Material
130 SMITH DR,15-382013,2015-07-23,14:00,2015-07-24,14:57,Syracuse University,LARC-Larceny
130 SMITH DR,15-428812,2015-07-25,12:00,2015-08-25,09:37,Syracuse University,BURG-Burglary BURG-Burglary
130 SMITH DR,15-432878,2015-08-28,05:27,2015-08-28,05:27,Syracuse University,INTX-Intoxicated Person
130 SMITH DR,15-445221,2015-09-05,13:30,2015-09-05,15:36,Syracuse University,LARC-Larceny
130 SMITH DR,15-449441,2015-09-04,16:30,2015-09-08,14:11,Syracuse University,BURG-Burglary BURG-Burglary
130 SMITH DR,15-452426,2015-09-05,11:00,2015-09-10,11:37,Syracuse University,BURG-Burglary
130 SMITH DR,15-452428,2015-09-03,00:01,2015-09-10,11:35,Syracuse University,BURG-Burglary
130 SMITH DR,15-462834,2015-05-06,12:00,2015-09-17,10:57,Syracuse University,BURG-Burglary
130 SMITH DR,15-468440,2015-09-21,05:18,2015-09-21,05:18,Syracuse University,LARC-Larceny
130 SMITH DR,15-500689,2015-10-13,19:02,2015-10-13,19:02,Syracuse University,MENT- Emot. Disturbed Person
130 SMITH DR,15-503496,2015-10-13,20:00,2015-10-15,18:10,Syracuse University,LARC-Larceny
130 SMITH DR,15-542695,2015-11-08,21:00,2015-11-13,11:45,Syracuse University,PINJ-Personal Injury/Injury
130 SMITH DR,15-551803,2015-11-20,08:39,2015-11-20,08:39,Syracuse University,SUSP-Suspicious Person
130 SMITH DR,17-250923,NA,NA,NA,NA,Syracuse University,LARC-Larceny
130 SMITH DR,17-280040,NA,NA,NA,NA,Syracuse University,LARC-Larceny
130 SMITH DR,17-290562,NA,NA,NA,NA,Syracuse University,PDAM-Property Damage
130 SMITH DR,19-251126,2019-04-22,14:04,2019-04-22,14:29,Syracuse University,SUSI-Suspicious Event/Incident
130 SMITH DR,19-293433,2019-05-22,09:15,2019-05-22,09:38,Syracuse University,PDAM-Property Damage
130 SMITH DR,19-351891,2019-07-02,14:40,2019-07-02,14:58,Syracuse University,PINJ-Personal Injury/Injury
130 SMITH DR,19-455799,2019-09-14,16:25,2019-09-14,17:18,Syracuse University,PDAM-Property Damage
130 standart st,00007433,NA,07:12,NA,07:15,Syracuse University,motor vehicle accident      
130 standart st,00008549,NA,02:00,NA,00:46,Syracuse University,motor vehicle accident      
130 standart st,00019352,NA,09:00,NA,04:53,Syracuse University,cmis- criminal mischief  
130 standart st,00019355,NA,09:00,NA,05:17,Syracuse University,cmis- criminal mischief  
130 standart st,00022160,NA,05:00,NA,04:47,Syracuse University,motor vehicle accident      
130 standart st,00023899,NA,NA,NA,NA,Syracuse University,"NA"
130 standart st,00028861,NA,06:30,NA,07:12,Syracuse University,larc-larceny            
130 standart st,00050999,2016-10-10,02:29,2016-10-10,02:28,Syracuse University,tres-trespassing          
130 standart st,00067605,2016-12-31,00:54,2016-12-31,00:54,Syracuse University,susv-suspicious vehicle      
130 STANDART ST,14-143228,2014-02-04,01:20,2014-02-04,01:23,Syracuse University,LARC-Larceny
130 STANDART ST,14-440950,2014-09-05,20:04,2014-09-05,20:04,Syracuse University,Motor Vehicle Accident
130 STANDART ST,14-450070,2014-09-12,10:00,2014-09-12,10:39,Syracuse University,Motor Vehicle Accident
130 STANDART ST,14-457533,2014-09-17,15:00,2014-09-17,19:37,Syracuse University,LARC-Larceny
130 STANDART ST,14-474206,2014-09-29,22:00,2014-09-29,22:19,Syracuse University,Motor Vehicle Accident
130 STANDART ST,14-476653,2014-10-01,08:00,2014-10-01,16:01,Syracuse University,Motor Vehicle Accident
130 STANDART ST,14-565017,2014-12-06,12:00,2014-12-09,13:07,Syracuse University,CMIS- Criminal Mischief
130 STANDART ST,14-565018,2014-12-07,21:30,2014-12-09,13:30,Syracuse University,LARC-Larceny LARC-Larceny
130 STANDART ST,15-172253,2015-02-25,11:15,2015-02-25,11:34,Syracuse University,PDAA-Prop. Damage Auto Accident
130 STANDART ST,15-174749,2015-02-26,08:00,2015-02-27,10:38,Syracuse University,PDHR-Property Damage Hit and Run
130 STANDART ST,15-490109,2015-10-05,22:00,2015-10-06,08:56,Syracuse University,STLV-Stolen Veh- Motor Veh Theft STLV-Stolen Veh- Motor Veh Theft
130 STANDART ST,15-514112,2015-10-22,20:00,2015-10-23,13:22,Syracuse University,LARC-Larceny LARC-Larceny
130 STANDART ST,15-533691,2015-11-06,08:05,2015-11-06,14:39,Syracuse University,CMIS- Criminal Mischief
130 STANDART ST,15-541246,2015-11-11,20:00,2015-11-12,11:22,Syracuse University,LARC-Larceny LARC-Larceny
130 STANDART ST,15-546629,2015-11-14,09:15,2015-11-16,14:39,Syracuse University,CMIS- Criminal Mischief
130 STANDART ST,15-546631,2015-11-14,09:15,2015-11-16,14:57,Syracuse University,CMIS- Criminal Mischief
130 STANDART ST,15436907,2015-08-31,01:35,2015-08-31,01:35,Syracuse University,SUSI-Suspicious Event/Incident
130 STANDART ST,17-227343,NA,NA,NA,NA,Syracuse University,Motor Vehicle Accident
130 STANDART ST,17-235690,NA,NA,NA,NA,Syracuse University,Motor Vehicle Accident
130 STANDART ST,17-244702,NA,NA,NA,NA,Syracuse University,FORG-Forgery
130 STANDART ST,17-244843,NA,NA,NA,NA,Syracuse University,Fraud
130 STANDART ST,17-252794,NA,NA,NA,NA,Syracuse University,FORG-Forgery
130 STANDART ST,19-110852,2019-01-08,07:40,2019-01-08,07:43,Syracuse University,INFO-Police Information
130 STANDART ST,19-168452,2019-02-20,16:16,2019-02-20,16:16,Syracuse University,PDAA-Prop. Damage Auto Accident
130 STANDART ST,19-173084,2019-02-23,14:00,2019-02-24,07:58,Syracuse University,CMIS- Criminal Mischief
130 STANDART ST,19-202695,2019-03-18,11:36,2019-03-18,11:37,Syracuse University,FORG-Forgery
130 STANDART ST,19-262488,NA,NA,2019-04-30,14:25,Syracuse University,Motor Vehicle Accident
130 STANDART ST,19-320825,2019-05-13,10:00,2019-06-10,11:03,Syracuse University,Motor Vehicle Accident
130 STANDART ST,19-463796,2019-09-14,18:00,2019-09-20,10:56,Syracuse University,CMIS- Criminal Mischief
130 STANDART ST,19-480257,2019-10-02,11:00,2019-10-02,11:03,Syracuse University,Motor Vehicle Accident
130 STANDART ST,19-578785,2019-12-19,01:55,2019-12-19,01:59,Syracuse University,Motor Vehicle Accident
130 STANDART ST,DR 14-427383,2014-08-24,20:00,2014-08-27,10:38,Syracuse University,Motor Vehicle Accident
130 WINDING RIDGE RD,17-181546,NA,NA,NA,NA,Syracuse University,PINJ-Personal Injury/Injury
130 WINDING RIDGE RD,17-213432,NA,NA,NA,NA,Syracuse University,CMIS- Criminal Mischief
130 WINDING RIDGE RD,17-218317,NA,NA,NA,NA,Syracuse University,LARC-Larceny
1300 E ADAMS ST,15-251507,2015-04-25,18:33,2015-04-25,18:33,Syracuse University,City Ordin Viol-Open Cont
1300 E GENESEE ST,15-493933,2015-10-08,17:15,2015-10-08,17:41,Syracuse University,INFO-Police Information
1300 IVY RIDGE RD,17-115160,NA,NA,NA,NA,Syracuse University,INFO-Police Information
1301 e colvin st,00001243,NA,02:03,NA,02:49,Syracuse University,hara-aggravated harrassment           hara-aggravated harrassment           hara-aggravated harrassment           hara-aggravated harrassment          
1301 e colvin st,00007356,NA,09:24,NA,09:24,Syracuse University,found property          
1301 e colvin st,00007690,NA,07:30,NA,09:31,Syracuse University,pinj-personal injury/injury  
1301 e colvin st,00009564,NA,09:30,NA,00:52,Syracuse University,pinj-personal injury/injury  
1301 e colvin st,00014373,NA,04:11,NA,04:11,Syracuse University,drug law violation-upm        
1301 e colvin st,00025769,NA,03:55,NA,03:55,Syracuse University,found property           
1301 e colvin st,00025775,NA,03:55,NA,04:24,Syracuse University,found property           
1301 e colvin st,00029336,NA,06:42,NA,06:43,Syracuse University,domv- domestic verbal        
1301 e colvin st,00037415,NA,05:46,NA,05:46,Syracuse University,found property           
1301 e colvin st,00040497,NA,07:31,NA,07:31,Syracuse University,susp-suspicious person       
1301 e colvin st,00040524,NA,00:45,NA,00:59,Syracuse University,larc-larceny             
1301 e colvin st,00043588,NA,03:52,NA,00:46,Syracuse University,motor vehicle accident      
1301 e colvin st,00046219,NA,03:51,NA,05:51,Syracuse University,info-police information      
1301 e colvin st,00046448,NA,03:25,NA,03:25,Syracuse University,motor vehicle accident      
1301 e colvin st,00046481,NA,08:48,NA,08:48,Syracuse University,ment- emot. disturbed person    
1301 e colvin st,00050143,2016-10-06,07:35,2016-10-06,07:34,Syracuse University,motor vehicle accident      
1301 e colvin st,00050292,2016-10-06,07:30,2016-10-07,08:24,Syracuse University,larc-larceny            
1301 e colvin st,00050842,2016-10-09,00:00,2016-10-09,00:15,Syracuse University,pinj-personal injury/injury  
1301 e colvin st,00050881,2016-10-08,00:30,2016-10-09,07:10,Syracuse University,larc-larceny           
1301 e colvin st,00056469,2016-10-31,07:50,2016-11-02,02:35,Syracuse University,larc-larceny            
1301 e colvin st,00058635,2016-11-12,02:25,2016-11-12,02:34,Syracuse University,pinj-personal injury/injury   
1301 e colvin st,00059244,2016-11-15,04:00,2016-11-15,04:19,Syracuse University,pinj-personal injury/injury   
1301 E COLVIN ST,14-146841,2014-02-06,22:50,2014-02-06,22:59,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,14-151968,2014-02-10,20:00,2014-02-11,07:52,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,14-153588,NA,NA,2014-02-12,11:54,Syracuse University,LARC-Larceny
1301 E COLVIN ST,14-157493,2014-02-15,14:20,2014-02-15,14:38,Syracuse University,PDAA-Prop. Damage Auto Accident
1301 E COLVIN ST,14-158592,2014-02-16,13:00,2014-02-16,13:05,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,14-183833,2014-02-23,08:00,2014-03-03,11:58,Syracuse University,LARC-Larceny
1301 E COLVIN ST,14-216312,2014-03-28,06:15,2014-03-28,15:57,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,14-250512,2014-04-23,06:00,2014-04-23,06:07,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,14-259841,2014-04-30,12:30,2014-04-30,13:18,Syracuse University,MENT- Emot. Disturbed Person
1301 E COLVIN ST,14-440127,2014-09-02,06:36,2014-09-05,09:12,Syracuse University,INFO-Police Information
1301 E COLVIN ST,14-441942,2014-09-06,02:00,2014-09-06,14:49,Syracuse University,DOMV- Domestic Verbal
1301 E COLVIN ST,14-443189,2014-09-07,14:53,2014-09-07,14:53,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
1301 E COLVIN ST,14-477658,2014-10-01,23:30,2014-10-02,10:39,Syracuse University,INFO-Police Information
1301 E COLVIN ST,14-492338,2014-10-13,18:07,2014-10-13,18:07,Syracuse University,ASTP-Assist Police Agency
1301 E COLVIN ST,14-496930,2014-10-16,21:30,2014-10-16,21:34,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,14-497827,2014-10-17,11:00,2014-10-17,14:29,Syracuse University,LARC-Larceny
1301 E COLVIN ST,14-502859,2014-10-21,12:30,2014-10-21,12:34,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,14-512325,2014-10-28,16:30,2014-10-28,16:35,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,14-540621,2014-11-19,16:50,2014-11-19,17:30,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,14-559444,2014-12-04,21:25,2014-12-04,21:25,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,14-576794,2014-12-18,08:00,2014-12-18,13:20,Syracuse University,Fraud
1301 E COLVIN ST,15-108764,2015-01-07,08:38,2015-01-07,08:48,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,15-116334,2015-01-13,10:00,2015-01-13,12:09,Syracuse University,LARC-Larceny
1301 E COLVIN ST,15-123424,2015-01-16,11:30,2015-01-18,23:09,Syracuse University,CMIS- Criminal Mischief
1301 E COLVIN ST,15-125045,2015-01-19,14:00,2015-02-28,09:12,Syracuse University,SUSI-Suspicious Event/Incident
1301 E COLVIN ST,15-144152,2015-02-02,20:00,2015-02-04,08:58,Syracuse University,SUSI-Suspicious Event/Incident
1301 E COLVIN ST,15-163419,2015-02-18,18:00,2015-02-18,21:54,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,15-180993,2015-03-04,08:41,2015-03-04,08:41,Syracuse University,PDAM-Property Damage
1301 E COLVIN ST,15-209822,2015-03-25,20:46,2015-03-25,20:46,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,15-214422,2015-03-29,12:25,2015-03-29,12:27,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,15-250750,2015-04-25,02:17,2015-04-25,02:17,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
1301 E COLVIN ST,15-270998,2015-05-09,17:55,2015-05-09,18:08,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,15-277579,2015-05-14,09:50,2015-05-14,13:24,Syracuse University,LARC-Larceny
1301 E COLVIN ST,15-304653,2015-05-21,15:00,2015-06-02,11:02,Syracuse University,LARC-Larceny
1301 E COLVIN ST,15-312367,2015-06-07,13:45,2015-06-07,13:49,Syracuse University,PDAA-Prop. Damage Auto Accident
1301 E COLVIN ST,15-333554,2015-06-21,22:00,2015-06-22,06:51,Syracuse University,CMIS- Criminal Mischief CMIS- Criminal Mischief
1301 E COLVIN ST,15-347525,2015-07-01,14:30,2015-07-01,14:49,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,15-400691,2015-08-06,07:10,2015-08-06,07:16,Syracuse University,INFO-Police Information
1301 E COLVIN ST,15-476600,2015-09-26,13:20,2015-09-26,13:50,Syracuse University,BURG-Burglary BURG-Burglary
1301 E COLVIN ST,15-494698,2015-10-02,08:00,2015-10-09,11:11,Syracuse University,LARC-Larceny
1301 E COLVIN ST,15-532081,2015-11-05,13:45,2015-11-05,13:53,Syracuse University,PDAA-Prop. Damage Auto Accident
1301 E COLVIN ST,15-544366,2015-11-14,20:09,2015-11-14,20:09,Syracuse University,PDAM-Property Damage
1301 E COLVIN ST,15-577945,2015-12-09,18:00,2015-12-10,12:53,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,15-593599,2015-12-21,17:44,2015-12-22,11:41,Syracuse University,LARC-Larceny
1301 E COLVIN ST,15-599395,2015-12-27,13:55,2015-12-27,13:55,Syracuse University,Motor Vehicle Accident
1301 E COLVIN ST,15-601485,2015-12-23,15:30,2015-12-29,10:21,Syracuse University,BURG-Burglary
1301 E COLVIN ST,17-161176,NA,NA,NA,NA,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,17-182724,NA,NA,NA,NA,Syracuse University,PDAA-Prop. Damage Auto
1301 E COLVIN ST,17-249215,NA,NA,NA,NA,Syracuse University,DOMV- Domestic Verbal
1301 E COLVIN ST,17-331459,NA,NA,NA,NA,Syracuse University,PINJ-Personal Injury/Injury
1301 E COLVIN ST,19-112197,2018-12-24,09:00,2019-01-09,09:55,Syracuse University,LARC-Larceny
1301 E COLVIN ST,19-116302,2019-01-12,15:20,2019-01-12,15:20,Syracuse University,LARC-Larceny
1301 E COLVIN ST,19-118842,2019-01-13,00:30,2019-01-14,15:24,Syracuse University,DOMP- Domestic Physical
1301 E COLVIN ST,19-185805,2019-03-05,19:25,2019-03-05,19:25,Syracuse University,TRES-Trespassing
1301 E COLVIN ST,19-212576,2019-03-25,19:02,2019-03-25,19:02,Syracuse University,LARC-Larceny
1301 E COLVIN ST,19-330622,2019-06-17,12:50,2019-06-17,14:52,Syracuse University,CMIS- Criminal Mischief
1301 E COLVIN ST,19-404364,NA,NA,2019-08-08,14:21,Syracuse University,LARC-Larceny
1301 E COLVIN ST,19-491828,2019-10-10,20:00,2019-10-11,08:49,Syracuse University,SUSI-Suspicious Event/Incident
1301 E COLVIN ST,DR# 14-165545,2014-02-22,01:39,2014-02-22,01:39,Syracuse University,INTX-Intoxicated Person INTX-Intoxicated Person INTX-Intoxicated Person
1301 E COLVIN ST,DR#14-150740,2014-02-10,06:30,2014-02-10,06:34,Syracuse University,INFO-Police Information
1302 e adams st,00010318,NA,06:00,NA,01:26,Syracuse University,pdam-property damage         
1302 E ADAMS ST,14-136197,2014-01-15,12:00,2014-01-29,09:28,Syracuse University,PDAM-Property Damage
1302 E ADAMS ST,14-234042,2014-04-10,23:28,2014-04-10,23:28,Syracuse University,City Ordin Viol-Nuisance
1302 E ADAMS ST,14-422882,2014-08-24,00:35,2014-08-24,00:36,Syracuse University,DIST-Disturbance DIST-Disturbance DIST-Disturbance DIST-Disturbance DIST-Disturbance
1302 E ADAMS ST,14-473124,2014-09-29,08:08,2014-09-29,08:17,Syracuse University,PDAM-Property Damage
1302 E ADAMS ST,15-129203,2015-01-22,13:30,2015-01-23,11:56,Syracuse University,Motor Vehicle Accident
1302 E ADAMS ST,15-161919,2015-02-14,14:00,2015-02-17,18:44,Syracuse University,Motor Vehicle Accident
