incident,case_number,date_reported,date_occurred,time_occurred,location,university,time_reported
Larceny,C14-0000722.A28,2014-01-13,2014-01-13,18:29,Memorial Student Center,Marshall University,NA
Striking Unattended Vehicle,C14-0000776.A23,2014-01-14,2014-01-14,15:34,3rd Ave Parking Garage,Marshall University,NA
Larceny,C14-0000777.A26,2014-01-14,2013-12-19,15:30,Prichard Hall,Marshall University,NA
Receiving and Transferring Stolen Property,C14-0000922.A14,2014-01-16,2014-01-16,13:58,Stadium Bookstore,Marshall University,NA
Larceny,C14-0000924.A23,2014-01-16,2014-01-05,15:15,Henderson Center,Marshall University,NA
Leaving the Scene of an Accident,C14-0000926.A24,2013-01-17,2014-01-16,13:25,Stadium Parking Lot,Marshall University,NA
Consumption of Alcohol by Minor,C14-0000967.A30,2014-01-17,2014-01-17,01:14,Wellman Hall,Marshall University,NA
Possession & Consumption Under Age Alcohol,C14-0001071.A35,2014-01-18,2014-01-18,21:17,South Residence Hall,Marshall University,NA
Indecent Exposure,C14-0001178.A26,2014-01-20,2014-01-20,21:12,Student South Parking Lot,Marshall University,NA
Destruction of Property,C14-0001274.A24,2014-01-22,2014-01-20,11:35,3rd Ave Parking Garage,Marshall University,NA
Grand Larceny,C14-0001549.A31,2014-01-27,2014-01-25,10:56,2211 3rd Ave,Marshall University,NA
Unassigned Incident,C14-0001550.A31,2014-01-27,2014-01-27,11:15,Annex Building Parking Lot,Marshall University,NA
Property Damage,C14-0001810.A24,2014-01-31,2014-01-31,08:58,Public Safety Lot,Marshall University,NA
Report of Personal Injury,C14-0001814.A24,2014-01-31,2014-01-29,12:35,Drinko Library,Marshall University,NA
Larceny,C14-0001816.A31,2014-01-31,2014-01-22,14:02,Henderson Center,Marshall University,NA
Unlawful Drinking Under 21,C14-0001864.A33,2014-02-02,2014-02-02,00:55,Gibson Hall,Marshall University,NA
Suicidal Threats,C14-0001883.A30,2014-02-02,2014-02-02,02:12,Gibson Hall,Marshall University,NA
Shoplifting 1st Offense,C14-0001982.A16,2013-02-04,2013-02-04,15:51,Memorial Student Center,Marshall University,NA
Petit Larceny,C14-0002035.A24,2014-02-05,2014-02-05,10:55,Memorial Student Center,Marshall University,NA
Petit Larceny,C14-0002099.A31,2014-02-06,2016-02-04,15:00,Twin Towers East,Marshall University,NA
Grand Larceny,C14-0002133.A35,2014-02-06,2014-02-03,19:25,Gullickson Hall,Marshall University,NA
Assault,C14-0002172.A24,2014-02-07,2014-02-07,12:35,7/11 Convenient Store,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C14-0002228.A29,2014-02-08,2014-02-08,17:02,Gullickson Hall,Marshall University,NA
Petit Larceny,C14-0002262.A29,2014-02-09,2014-02-09,18:53,Recreation Center,Marshall University,NA
Petit Larceny,C14-0002281.A31,2014-02-10,2014-02-09,12:23,Gullickson Hall,Marshall University,NA
Larceny from Building,C14-0002314.A22,2014-02-10,2014-02-10,22:30,Corbly Hall,Marshall University,NA
Larceny from Building,C14-0002401.A23,2014-02-12,2014-02-06,09:21,Myers Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C14-0002407.A23,2014-02-12,2014-02-12,14:57,6th Ave Student Lot,Marshall University,NA
Possession of Marijuana,C14-0002748.A26,2014-02-19,2014-02-19,20:25,Twin Towers West,Marshall University,NA
Possession of Marijuana,C14-0002890.A30,2014-02-23,2014-02-23,00:11,Holderby Hall,Marshall University,NA
B & E Building,C14-0002904.A29,2014-02-23,2014-02-23,16:13,Henderson Center,Marshall University,NA
Larceny,C14-0002925.A23,2014-02-24,2014-02-24,12:17,South Residence Hall,Marshall University,NA
Larceny from Building,C14-0002928.A22,2014-02-24,2014-02-24,22:30,Recreation Center,Marshall University,NA
Larceny,C14-0002958.A23,2014-02-25,2014-02-25,12:42,Twin Towers East,Marshall University,NA
Property Damage,C14-0002996.A24,2014-02-26,2014-02-26,09:54,Forensic Center,Marshall University,NA
Possession of Marijuana,C14-0003115.A33,2014-03-02,2014-03-02,03:54,1531 6th Avenue,Marshall University,NA
Petit Larceny,C14-0003231.A35,2014-03-04,2014-03-04,06:36,Corbly Hall,Marshall University,NA
Larceny from Vehicle,C14-0003242.A33,2014-03-05,2014-03-04,01:15,Student Lot,Marshall University,NA
Petit Larceny,C14-0003307.A26,2014-03-05,2014-03-05,20:15,Recreation Center,Marshall University,NA
Harassment,C14-0003337.A24,2014-03-06,2014-03-06,14:06,MUPD,Marshall University,NA
Petit Larceny from Vehicle,C14-0003523.A22,2014-03-10,2014-03-10,16:07,Maple Student Parking Lot,Marshall University,NA
Burglary,C14-0003582.A16,2014-03-11,2014-03-11,13:44,Twin Towers West,Marshall University,NA
Harassment,C14-0003603.A35,2014-03-11,2014-02-28,16:53,Twin Towers East,Marshall University,NA
Larceny from Vehicle,C14-0003795.A35,2014-03-15,2014-03-11,23:30,Student Lot 6th Avenue,Marshall University,NA
Striking Unattended Vehicle,C14-0003858.A23,2014-03-18,2014-03-18,15:06,Erma Byrd Clinic,Marshall University,NA
Petit Larceny,C14-0004048.A16,2014-03-25,2014-03-13,10:59,Twin Towers West,Marshall University,NA
Unassigned Incident,C14-0004083.A32,2014-03-26,2014-03-26,00:05,Twin Towers East,Marshall University,NA
Brandishing,C14-0004151.A10,2014-03-27,2014-03-27,11:15,1900 Block / 5th Avenue,Marshall University,NA
Unassigned Incident,C14-0004189.A31,2014-03-28,2014-03-28,08:10,19th Street / College Ave,Marshall University,NA
Destruction of Property,C14-0004200.A28,2014-03-28,2014-03-27,16:35,1800 Block / 6th Avenue,Marshall University,NA
Unassigned Batter,C14-0004206.A30,2014-03-29,2014-03-29,00:56,Gibson Hall,Marshall University,NA
Grand Larceny,C14-0004306.A16,2014-04-01,2014-04-01,12:57,907 3rd Ave Suite 300,Marshall University,NA
Larceny,C14-0004334.A28,2014-04-01,2014-04-01,22:30,Twin Towers West,Marshall University,NA
Harrassing Communications by Electronic Device,C14-0004414.A26,2014-04-03,2014-04-03,20:30,Twin Towers East,Marshall University,NA
Larceny,C14-0004419.A30,2014-04-04,2014-04-04,01:04,Buskirk Hall,Marshall University,NA
Petit Larceny,C14-0004462.A28,2014-04-06,2014-04-05,22:00,Drinko Library,Marshall University,NA
Petit Larceny,C14-0004536.A16,2014-04-08,2014-04-06,08:06,South Residence Hall,Marshall University,NA
Unassigned Incident,C14-0004590.A24,2014-04-09,2014-04-09,11:36,Haymaker Hall,Marshall University,NA
Destruction of Property,C14-0004687.A24,2014-04-11,2014-04-08,15:08,Student Parking Lot,Marshall University,NA
Larceny from Building,C14-0004738.A29,2014-04-13,2014-04-09,21:25,Harless Dining Hall,Marshall University,NA
Destruction of Property,C14-0004740.A29,2014-04-13,2014-04-06,20:00,3rd Avenue Parking Garage,Marshall University,NA
Attempted Suicide,C14-0004785.A32,2014-04-15,2014-04-15,01:39,North Residence Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C14-0005108.A32,2014-04-22,2014-04-21,00:55,Employee Parking,Marshall University,NA
Grand Larceny,C14-0005400.A16,2014-04-28,2014-03-28,11:12,Communications Bldg,Marshall University,NA
Petit Larceny,C14-0005613.A31,2014-05-02,2014-04-29,09:13,Memorial Student Center,Marshall University,NA
Possession of Marijuana,C14-0005617.A31,2014-05-02,2014-05-02,10:40,B Lot,Marshall University,NA
Suicidal Threats,C14-0005689.A30,2014-05-04,2014-05-14,01:34,Holderby Hall,Marshall University,NA
Worthless Check,C14-0005832.A35,2014-05-07,2014-05-07,17:02,Memorial Student Center,Marshall University,NA
Possession of Marijuana,C14-0005978.A30,2014-05-10,2014-05-10,00:44,Stadium Parking Lot,Marshall University,NA
B & E of Vehicle,C14-0006000.A24,2014-05-10,2014-05-09,11:45,Employee F Lot,Marshall University,NA
Petit Larceny,C14-0006045.A31,2014-05-12,2014-05-08,13:00,Harris Hall,Marshall University,NA
Fugitive from Justice,C14-0006097.A28,2014-05-13,2014-05-13,16:20,1949 5th Avenue,Marshall University,NA
Grand Larceny,C14-0006367.A16,2014-05-19,2014-05-16,08:00,Harris Hall,Marshall University,NA
Petit Larceny,C14-0006401.A27,2014-05-20,2014-05-18,14:38,Drinko Library,Marshall University,NA
Larceny from Vehicle,C14-0006435.A22,2014-05-20,2014-05-20,16:13,South Employee Parking,Marshall University,NA
Burglary Enter w/o Breaking,C14-0006464.A16,2014-05-21,2014-05-16,09:30,Jenkins Hall,Marshall University,NA
Larceny from Building,C14-0006678.A22,2014-05-26,2014-05-23,13:00,University Physicians,Marshall University,NA
Traffic Accident,C14-0006842.A34,2014-05-30,2014-05-30,08:15,5th Ave / 17th Street,Marshall University,NA
Larceny,C14-0007381.A30,2014-06-10,2014-06-10,03:28,Harris Hall Parking Lot,Marshall University,NA
Larceny,C14-0007442.A25,2014-06-11,2014-06-09,10:10,Gullickson Hall,Marshall University,NA
Larceny,C14-0007752.A25,2014-06-16,2014-06-16,10:58,Haymaker Hall,Marshall University,NA
Leave Scene of Accident,C14-0007808.A26,2014-06-17,2014-06-17,16:03,Stadium Parking Lot,Marshall University,NA
Petit Larceny,C14-0007882.A24,2014-06-18,2014-06-17,13:18,Twin Towers West,Marshall University,NA
Unassigned Incident,C14-0007935.A33,2014-06-19,2014-06-19,07:37,Warehouse,Marshall University,NA
Petit Larceny,C14-0007944.A24,2014-06-19,2014-06-19,10:45,Bookstore,Marshall University,NA
Larceny,C14-0007961.A34,2014-06-19,2014-06-19,05:38,Twin Towers West,Marshall University,NA
Grand Larceny,C14-0008133.A33,2014-06-22,2014-06-21,00:37,1600 Block / 5th Avenue,Marshall University,NA
Larceny,C14-0008221.A25,2014-06-24,2014-06-23,09:16,Gullickson Hall,Marshall University,NA
Larceny,C14-0008287.A34,2014-06-25,2014-06-25,14:51,Gullickson Hall,Marshall University,NA
Larceny,C14-0008290.A34,2014-06-25,2014-06-25,15:43,Corbly Hall,Marshall University,NA
Hit & Run,C14-0008353.A31,2014-06-26,2014-06-26,12:55,Erma C. Byrd Facility,Marshall University,NA
Grand Larceny,C14-0008558.A25,2014-06-30,2014-06-29,08:30,Stadium,Marshall University,NA
Grand Larceny,C14-0008605.A25,2014-07-10,2014-07-01,08:50,Memorial Student Center,Marshall University,NA
Tamper with Vehicle,C14-0008703.A33,2014-07-03,2014-07-02,01:15,F lot 3rd Avenue,Marshall University,NA
Leaving the Scene of an Accident,C14-0009088.A25,2014-07-10,2014-07-10,13:54,Visual Arts Center,Marshall University,NA
Larceny,C14-0009279.A34,2014-07-13,2014-07-13,21:00,Drinko Library,Marshall University,NA
Destruction of Property,C14-0009329.A31,2014-07-14,2014-07-14,12:30,Parking Garage,Marshall University,NA
Fraud,C14-0009401.A25,2014-07-15,2014-06-03,19:04,Twin Towers West,Marshall University,NA
Burglary,C14-0010430.A25,2014-08-04,2014-08-03,11:26,Stadium,Marshall University,NA
Indecent Exposure,C14-0010549.A24,2014-08-06,2014-08-06,13:54,Drinko Library,Marshall University,NA
Larceny,C14-0010689.A34,2014-08-08,2014-08-08,22:30,Twin Towers West,Marshall University,NA
Larceny,C14-0010834.A34,2014-08-10,2014-08-03,18:00,Twin Towers East Parking Lot,Marshall University,NA
Possession of Controlled Substance,C14-0010984.A24,2014-08-13,2014-08-13,14:40,2100 Block / 6th Avenue,Marshall University,NA
Suicidal Threats,C14-0011023.A33,2014-08-14,2014-08-14,01:33,Twin Towers West,Marshall University,NA
Larceny,C14-0011144.A25,2014-08-16,2014-08-15,11:30,Willis Hall,Marshall University,NA
Destruction of Property,C14-0011208.A33,2014-08-17,2014-08-17,07:47,Upper Cuts,Marshall University,NA
Destruction of Property,C14-0011214.A24,2014-08-17,2014-08-17,11:08,Arthur Weisburg Engineering Bldg,Marshall University,NA
Petit Larceny,C14-0011215.A31,2014-08-17,2014-08-16,11:13,North Residence Hall,Marshall University,NA
Larceny,C14-0011241.A34,2014-08-17,2014-08-16,17:22,South Residence Hall,Marshall University,NA
Larceny,C14-0011319.A25,2014-08-19,2014-08-18,10:14,Willis Hall,Marshall University,NA
Underage Consumption,C14-0011417.A29,2014-08-20,2014-08-20,22:31,North Residence Hall,Marshall University,NA
Breaking & Entering,C14-0011606.A27,2014-08-23,2014-08-22,03:02,Twin Towers West Parking Lot,Marshall University,NA
Underage Drinking,C14-0011685.A30,2014-08-24,2014-08-24,00:54,Drinko Library,Marshall University,NA
Grand Larceny,C14-0011749.A34,2014-08-24,2014-08-24,18:33,Twin Towers West,Marshall University,NA
Petit Larceny,C14-0011845.A25,2014-08-26,2014-08-26,13:32,Holderby Hall,Marshall University,NA
Petit Larceny,C14-0012007.A14,2014-08-28,2014-08-28,13:22,Smith Hall,Marshall University,NA
Larceny,C14-0012043.A34,2014-08-28,2014-08-28,20:20,Twin Towers East,Marshall University,NA
Sexual Assault,C14-0012046.A26,2014-08-28,2014-08-28,22:10,Twin Towers East,Marshall University,NA
Destruction of Property,C14-0012068.A24,2014-08-29,2014-08-29,09:10,Destruction of Property,Marshall University,NA
Destruction of Property,C14-0012203.A33,2014-08-31,2014-08-30,23:45,Holderby Hall,Marshall University,NA
Petit Larceny,C14-0012348.A16,2014-09-02,2014-09-02,NA,East Hall,Marshall University,NA
Possession of Marijuana,C14-0012351.A31,2014-09-02,2014-09-02,NA,South Residence Hall,Marshall University,NA
Possession of a Controlled Substance,C14-0012421.A24,2014-09-03,2014-09-03,NA,Alumni Center Parking  Lot,Marshall University,NA
Petit Larceny,C14-0012511.A24,2014-09-04,2014-09-04,NA,Twin Towers East,Marshall University,NA
Petit Larceny,C14-0012527.A22,2014-09-04,2014-09-04,NA,Twin Towers,Marshall University,NA
Petit Larceny,C14-0012547.A35,2014-09-04,2014-09-04,NA,Recreation Center,Marshall University,NA
Possession of a Controlled Substance,C14-0012592.A31,2014-09-05,2014-09-05,NA,South Residence Hall,Marshall University,NA
Petit Larceny,C14-0012647.A24,2014-09-06,2014-08-26,NA,South Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C14-0012658.A33,2014-09-06,2014-09-06,NA,17th Street / College Ave,Marshall University,NA
Public Intoxication,C14-0012688.A35,2014-09-06,2014-09-06,NA,Stadium Lot,Marshall University,NA
Underage Consumption,C14-0012691.A35,2014-09-06,2014-09-06,NA,Buskirk Hall,Marshall University,NA
Larceny,C14-0012726.A33,2014-09-07,2014-09-06,NA,Warehouse,Marshall University,NA
Petit Larceny,C14-0012745.A31,2014-09-07,2014-09-06,NA,Drinko Library,Marshall University,NA
Underage Consumption,C14-0012764.A29,2014-09-07,2014-09-07,NA,1700 Block / 6th Ave,Marshall University,NA
Larceny,C14-0012792.A16,2014-09-08,2014-09-06,NA,1800 Block / College Ave,Marshall University,NA
Petit Larceny,C14-0012801.A16,2014-09-08,2014-09-08,NA,1600 Block / College Ave,Marshall University,NA
Petit Larceny,C14-0012829.A29,2014-09-08,2014-09-08,NA,Recreation Center,Marshall University,NA
Accident-Leaving Scene,C14-0012851.A31,2014-09-08,2014-09-09,NA,F Lot 3rd Avenue,Marshall University,NA
B & E Auto,C14-0012852.A10,2014-09-09,2014-09-07,NA,6th Avenue Parking Lot,Marshall University,NA
Warrant,C14-0012856.A31,2014-09-09,2014-09-09,NA,Science Building,Marshall University,NA
Petit Larceny,C14-0012857.A22,2014-09-09,2014-09-04,NA,Stadium Lot,Marshall University,NA
Grand Larceny,C14-0012870.A35,2014-09-09,2014-09-09,NA,Corbly Hall,Marshall University,NA
Petit Larceny,C14-0012936.A33,2014-09-10,2014-09-10,NA,Twin Towers East,Marshall University,NA
Petit Larceny,C14-0012942.A33,2014-09-10,2014-09-08,NA,Science Building,Marshall University,NA
SRL DUI,C14-0012946.A16,2014-09-10,2014-09-10,NA,2200 Block / 6th Avenue,Marshall University,NA
Petit Larceny,C14-0012952.A22,2014-09-10,2014-09-10,NA,Harris Hall,Marshall University,NA
Petit Larceny,C14-0013031.A35,2014-09-11,2014-09-10,NA,Holderby Hall,Marshall University,NA
Underage Drinking,C14-0013033.A27,2014-09-11,2014-09-11,NA,MU & Surrounding Areas,Marshall University,NA
Forgery,C14-0013070.A14,2014-09-12,2014-08-27,NA,Old Main,Marshall University,NA
Petit Larceny,C14-0013075.A31,2014-09-12,2014-09-11,NA,Willis Hall,Marshall University,NA
Petit Larceny,C14-0013153.A35,2014-09-13,2014-09-12,NA,Twin Towers West,Marshall University,NA
Petit Larceny,C14-0013271.A29,2014-09-15,2014-09-15,NA,Smith Music Hall,Marshall University,NA
Petit Larceny,C14-0013272.A22,2014-09-15,2014-09-15,NA,Recreation Center,Marshall University,NA
Possession of a Controlled Substance,C14-0013311.A16,2014-09-16,2014-09-16,NA,300 Block / 16th Street,Marshall University,NA
Unassigned Incident,C14-0013313.A31,2014-09-16,2014-09-16,NA,South Residence Hall,Marshall University,NA
Verbal Assault,C14-0013314.A31,2014-09-16,2014-09-16,NA,1801 5th Avenue,Marshall University,NA
Petit Larceny,C14-0013391.A35,2014-09-17,2014-09-17,NA,Holderby Hall,Marshall University,NA
Petit Larceny,C14-0013484.A29,2014-09-18,2014-09-13,NA,Twin Towers East,Marshall University,NA
Possession of Marijuana,C14-0013486.A29,2014-09-18,2014-09-18,NA,Twin Towers West,Marshall University,NA
Larceny,C14-0013530.A24,2014-09-19,2014-09-19,NA,Old Main,Marshall University,NA
Striking Unattended Vehicle,C14-0013593.A31,2014-09-30,2014-09-30,NA,3rd Avenue Parking Garage,Marshall University,NA
Assault-Verbal,C14-0013736.A31,2014-09-22,2014-09-22,NA,Twin Towers East,Marshall University,NA
Petit Larceny,C14-0013738.A16,2014-09-22,2014-09-22,NA,Recreation Center,Marshall University,NA
Larceny,C14-0013853.A24,2014-09-24,2014-09-24,NA,Recreation Center,Marshall University,NA
Shoplifting,C14-0013861.A24,2014-09-24,2014-09-24,NA,Memorial Student Center,Marshall University,NA
Petit Larceny,C14-0013868.A24,2014-09-24,2014-09-23,NA,Smith Hall,Marshall University,NA
Sexual Abuse,C14-0013871.A24,2014-09-24,2014-09-23,NA,Twin Towers East,Marshall University,NA
Underage Consumption,C14-0013957.A30,2014-09-26,2014-09-26,NA,1900 Block / 4 1/2 Alley,Marshall University,NA
Underage Drinking,C14-0013959.A30,2014-09-26,2014-09-26,NA,1700 Block / 4th Avenue,Marshall University,NA
Possession of Marijuana,C14-0014010.A28,2014-09-26,2014-09-26,NA,1800 Block / 5th Avenue,Marshall University,NA
Arson,C14-0014044.A32,2014-09-27,2014-09-27,NA,Holderby Hall,Marshall University,NA
Assault,C14-0014143.A24,2014-09-28,2014-09-28,NA,Buskirk Hall,Marshall University,NA
Possession of Marijuana,C14-0014158.A28,2014-09-28,2014-09-28,NA,Twin Towers West,Marshall University,NA
Unassigned Incident,C14-0014187.A16,2014-09-29,2014-09-29,NA,399 Thundering Herd Drive,Marshall University,NA
Possession of a Controlled Substance,C14-0014216.A29,2014-09-29,2014-09-29,NA,1900 Block / 5th Avenue,Marshall University,NA
Possession of a Controlled Substance,C14-0014237.A31,2014-09-30,2014-09-30,NA,Buskirk Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C14-0014238.A22,2014-09-30,2014-09-30,NA,Stadium Lot,Marshall University,NA
Petit Larceny,C14-0014323.A22,2014-10-01,2014-10-01,22:13,Gibson Hall,Marshall University,NA
Possession of Marijuana,C14-0014406.A33,2014-10-03,2014-10-03,02:46,1900 Block / Maple Ave,Marshall University,NA
Harrasing Phone Calls,C14-0014482.A30,2014-10-04,2014-09-14,00:05,Twin Towers West,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C14-0014749.A22,2014-10-08,2014-10-07,18:55,MUPD Parking Lot,Marshall University,NA
Possession of Marijuana,C14-0014799.A30,2014-10-09,2014-10-09,22:39,North Residence Hall,Marshall University,NA
Burglary,C14-0014873.A30,2014-10-10,2014-10-10,10:31,Twin Towers East,Marshall University,NA
Unlawful Drinking Under 21,C14-0014970.A33,2014-10-12,2014-10-12,01:35,Twin Towers West,Marshall University,NA
Possession of Marijuana,C14-0015027.A29,2014-10-12,2014-10-12,22:46,6th Ave Student Parking,Marshall University,NA
Unassigned Incident,C14-0015051.A30,2014-10-13,2014-10-09,13:56,John Marshall Drive,Marshall University,NA
Striking Unattended Vehicle,C14-0015109.A30,2014-10-14,2014-10-14,15:23,Gibson Lot,Marshall University,NA
Unassigned Incident,C14-0015230.A30,2014-10-16,2014-10-15,10:05,Marshall Bookstore,Marshall University,NA
Destruction of Property,C14-0015271.A33,2014-10-17,2014-10-11,00:43,6th Ave Student Parking,Marshall University,NA
Destruction of Property,C14-0015383.A16,2014-10-18,2014-10-17,14:23,Stadium Parking Lot,Marshall University,NA
Underage Consumption,C14-0015481.A29,2014-10-19,2014-10-19,22:55,Haymaker Hall,Marshall University,NA
Petit Larceny,C14-0015576.A30,2014-10-21,2014-10-21,13:10,1321 Hal Greer Blvd,Marshall University,NA
Unassigned Incident,C14-0015652.A30,2014-10-22,2014-10-22,13:00,South Residence Hall,Marshall University,NA
Burglary,C14-0015657.A24,2014-10-22,2014-10-22,14:59,Twin Towers East,Marshall University,NA
Burglary,C14-0015718.A30,2014-10-23,2014-10-23,12:41,Twin Towers East,Marshall University,NA
Striking Unattended Vehicle,C14-0015797.A24,2014-10-24,2014-10-24,12:00,John Marshall Drive,Marshall University,NA
Battery,C14-0015883.A10,2014-10-25,2014-10-25,16:30,Stadium,Marshall University,NA
Unassigned Incident,C14-0015935.A28,2014-10-26,2014-10-26,00:02,South Residence Hall,Marshall University,NA
Possession of Marijuana,C14-0015997.A29,2014-10-27,2014-10-27,22:39,3rd Ave Parking Garage,Marshall University,NA
Petit Larceny,C14-0016089.A24,2014-10-29,2014-10-29,15:50,Twin Towers East,Marshall University,NA
Assault,C14-0016091.A24,2014-10-29,2014-10-24,15:35,Wellman Hall,Marshall University,NA
Petit Larceny,C14-0016121.A35,2014-10-29,2014-10-29,21:40,Drinko Library,Marshall University,NA
Underage Consumption,C14-0016123.A32,2014-10-30,2014-10-30,00:03,North Residence Hall,Marshall University,NA
Possession of Marijuana,C14-0016126.A33,2014-10-30,2014-10-30,02:38,Science Building,Marshall University,NA
Burglary without Breaking,C14-0016215.A30,2014-10-31,2014-10-31,14:19,Twin Towers East,Marshall University,NA
Underage Consumption,C14-0016225.A30,2014-10-31,2014-10-31,20:52,1400 Bloc / 5 1/2 Alley,Marshall University,NA
Possession of Marijuana,C14-0016231.A26,2014-10-31,2014-10-31,22:42,Holderby Hall,Marshall University,NA
Destruction of Property,C14-0016252.A32,2014-11-01,2014-10-31,00:46,Engineering Building,Marshall University,NA
Unassigned Incident,C14-0016265.A32,2014-11-01,2014-11-01,04:38,Holderby Hall,Marshall University,NA
Petit Larceny,C14-0016335.A24,2014-11-02,2014-11-02,14:13,Twin Towers East,Marshall University,NA
Attempted Extortion by Threats,C14-0016375.A28,2014-11-03,2014-11-03,19:17,Holderby Hall,Marshall University,NA
Petit Larceny,C14-0016399.A16,2014-11-04,2014-10-20,13:58,Buskirk Hall,Marshall University,NA
Striking Unattended Vehicle,C14-0016401.A20,2014-11-04,2014-11-03,14:21,3rd Ave Garage,Marshall University,NA
Assault,C14-0016473.A16,2014-11-05,2014-11-04,12:05,Twin Towers East,Marshall University,NA
Extortion-threatened,C14-0016475.A30,2014-11-05,2014-11-05,14:20,Willis Hall,Marshall University,NA
Petit Larceny,C14-0016555.A35,2014-11-06,2014-11-06,16:38,Stadium,Marshall University,NA
DUI 1st Offense,C14-0016647.A33,2014-11-08,2014-11-08,14:22,16th Street / 4th Ave,Marshall University,NA
Underage Drinking,C14-0016697.A33,2014-11-09,2014-11-09,01:52,South Residence Hall,Marshall University,NA
Public Intoxication,C14-0016709.A24,2014-11-09,2014-11-09,08:42,Holderby Hall,Marshall University,NA
Petit Larceny,C14-0016756.A33,2014-11-10,2014-11-09,01:43,Twin Towers East,Marshall University,NA
Joy Riding,C14-0016809.A30,2014-11-11,2014-11-10,11:45,1600 Block / 4th Ave,Marshall University,NA
Destruction of Property,C14-0016836.A17,2014-11-12,2014-11-12,03:42,Stadium,Marshall University,NA
Petit Larceny,C14-0016943.A30,2014-11-13,2014-11-13,13:46,Twin Towers East,Marshall University,NA
Larceny,C14-0017016.A31,2014-11-14,2014-11-14,13:16,Smith Hall,Marshall University,NA
Destruction of Property,C14-0017018.A24,2014-11-14,2014-11-12,14:40,3rd Ave Garage,Marshall University,NA
Petit Larceny,C14-0017092.A28,2014-11-15,2014-11-01,18:03,General Parking,Marshall University,NA
Assault,C14-0017215.A26,2014-11-17,2014-11-17,19:29,Twin Towers Cafeteria,Marshall University,NA
Petit Larceny,C14-0017271.A30,2014-11-19,2014-11-18,11:45,Recreation Center,Marshall University,NA
Unassigned Incident,C14-0017590.A16,2014-11-24,2014-11-24,10:44,1600 Block / 3rd Ave,Marshall University,NA
Destruction of Property,C14-0017607.A22,2014-11-24,2014-11-24,18:36,Engineering Building,Marshall University,NA
B & E other than a Dwelling,C14-0017635.A30,2014-11-25,2014-11-22,10:46,Shewey Building,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C14-0017724.A35,2014-11-26,2014-11-26,19:56,University Physicians,Marshall University,NA
Disorderly Conduct,C14-0017816.A29,2014-11-28,2014-11-28,12:45,Stadium,Marshall University,NA
Vandalism,C14-0017864.A31,2014-11-29,2014-11-28,10:15,Henderson Center,Marshall University,NA
Public Intoxication,C14-0017961.A28,2014-12-01,NA,00:45,Twin Towers East,Marshall University,NA
Unassigned Incident,C14-0017989.A31,2014-12-01,NA,14:00,6th Ave Parking Lot,Marshall University,NA
Petit Larceny,C14-0018031.A30,2014-12-02,NA,13:00,Gullickson Hall,Marshall University,NA
Stalking,C14-0018034.A30,2014-12-02,NA,12:00,Twin Towers East,Marshall University,NA
Larceny from Building,C14-0018098.A16,2014-12-03,NA,16:00,Smith Hall,Marshall University,NA
Robbery-Unarmed,C14-0018172.A29,2014-12-04,NA,19:42,Henderson Center,Marshall University,NA
Domestic Violence,C14-0018174.A29,2014-12-04,NA,20:20,Twin Towers West,Marshall University,NA
Destruction of Property,C14-0018303.A33,2014-12-07,NA,04:05,Engineering Building,Marshall University,NA
Larceny from Machine,C14-0018433.A22,2014-12-08,NA,21:31,Corbly Hall,Marshall University,NA
Unassigned Incident,C14-0018698.A32,2014-12-14,NA,00:52,South Residence Hall,Marshall University,NA
Obedience to Traffic Control Devices,C14-0018787.A28,2014-12-16,NA,07:09,500 Block / John Marshall Drive,Marshall University,NA
Petit Larceny,C14-0018852.A16,2014-12-17,NA,09:24,Smith Hall,Marshall University,NA
Destruction of Property,C14-0019355.A28,2014-12-28,NA,07:55,Career Services,Marshall University,NA
Attempted Suicide,C15-0000272.A31,2016-01-06,2015-01-06,15:22,Twin Towers West,Marshall University,NA
Joy Riding,C15-0000428.A29,2015-01-10,2015-01-09,16:30,6th Avenue Parking Lot,Marshall University,NA
Petit Larceny,C15-0000601.A35,2015-01-13,2015-01-13,16:35,1351 16th Street,Marshall University,NA
Unlawful Drinking Under 21,C15-0000676.A26,2015-01-14,2015-01-14,22:59,North Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C15-0000756.A25,2015-01-16,2015-01-16,01:32,North Residence Hall,Marshall University,NA
Unassigned Incident,C15-0000780.A28,2015-01-17,2015-01-17,06:30,Twin Towers East,Marshall University,NA
DUI,C15-0000840.A34,2015-01-18,2015-01-18,05:00,1900 Block / Maple Ave,Marshall University,NA
Larceny,C15-0000956.A26,2015-01-20,2015-01-20,17:23,Science Building,Marshall University,NA
Destruction of Property,C15-0001077.A22,2015-01-22,2015-01-22,18:47,16th Street / 4th Ave,Marshall University,NA
Petit Larceny,C15-0001078.A29,2015-01-22,2015-01-22,19:32,Drinko Library Coffee Shop,Marshall University,NA
Leaving the Scene of an Accident,C15-0001087.A25,2015-01-23,2015-01-23,02:04,C Lot,Marshall University,NA
