case_number,incident,date_reported,location,date_occurred,time_occurred,time_reported,university
1901409,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-04-18,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2019-04-15,20:30,NA,Emory University
1901405,Possession of One Ounce or Less of Marijuana,2019-04-18,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-04-18,03:52,NA,Emory University
1901397,"Criminal Damage to Property, Second Degree",2019-04-17,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2019-04-16,11:50,NA,Emory University
1901390,"Theft by Taking (Motor Vehicle Parts/Accessories, Exterior)",2019-04-17,"Emory Rehabilitation Hospital, Parking Lot, 1441 Clifton Rd, Atlanta 30322",2019-03-01,00:01,NA,Emory University
1901382,Theft by Shoplifting ($300 or Less),2019-04-16,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-04-16,22:12,NA,Emory University
1901379,Possession of One Ounce or Less of Marijuana,2019-04-16,"Clairmont Tower, 2425 Dooley Dr, Atlanta  30322",2019-04-16,21:55,NA,Emory University
1901378,Simple Battery,2019-04-16,"Wesley Woods Towers, 1825 Clifton Rd, Atlanta 30322",2019-04-16,20:11,NA,Emory University
1901365,Rape,2019-04-16,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-01-15,00:00,NA,Emory University
1901352,"Criminal Trespass, Property Damage",2019-04-15,"Quadrangle, 251 Dowman Dr, Atlanta 30322",2019-04-15,23:59,NA,Emory University
1901340,Entering an Auto,2019-04-15,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd, Atlanta 30322",2019-04-02,11:30,NA,Emory University
1901339,Financial Transaction Card Theft,2019-04-15,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-04-10,00:00,NA,Emory University
1901336,"Theft by Taking (From Bldg, Valued Over $1500)",2019-04-15,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-04-11,03:00,NA,Emory University
1901328,Financial Transaction Card Theft,2019-04-14,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-04-11,00:00,NA,Emory University
1901323,Simple Battery,2019-04-14,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-04-14,13:56,NA,Emory University
1901300,"Arrest: Possession of One Ounce or Less of Marijuana, Possession and Use of Drug-Related Objects",2019-04-13,"Woodruff Residential Center, 1495 Clifton Rd, Atlanta 30322",2019-04-13,00:15,NA,Emory University
1901299,Possession and Use of Drug-Related Objects,2019-04-12,"Fraternity House, 15 Eagle Row, Atlanta 30322",2019-04-12,22:25,NA,Emory University
1901297,Theft of Services (Valued $1500 or Less); Criminal Trespass - Entry After Notice Prohibiting,2019-04-12,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2019-04-12,20:39,NA,Emory University
1901282,Arrest: Unlawful Use of License Plate,2019-04-11,"Haygood Dr at Clifton Rd, Atlanta 30307",2019-04-11,23:29,NA,Emory University
1901281,"Theft by Taking (Bicycle, Valued $1500 or Less)",2019-04-11,"Longstreet-Means Parking Deck, 646 Means Dr, Atlanta 30322",2019-03-30,00:01,NA,Emory University
1901276,Financial Transaction Card Theft,2019-04-11,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2019-04-10,18:30,NA,Emory University
1901263,Arrest: Driving While License Suspended or Revoked,2019-04-10,"Gambrell Dr at Clifton Rd, Atlanta 30322",2019-04-10,18:20,NA,Emory University
1901261,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-04-10,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2019-04-10,12:00,NA,Emory University
1901259,Entering an Auto,2019-04-10,"Emory Univ Hospital Tower, Valet Parking, 1365-J Clifton Rd, Atlanta 30322",2018-12-01,00:01,NA,Emory University
1901258,Entering an Auto,2019-04-10,"Emory Univ Hospital Tower, Valet Parking, 1365-J Clifton Rd, 30322",2019-04-10,12:19,NA,Emory University
1901257,"Entering an Auto; Criminal Trespass, Property Damage",2019-04-10,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",2019-04-10,05:43,NA,Emory University
1901246,Stalking,2019-04-09,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-03-31,00:00,NA,Emory University
1901245,Rape,2019-04-09,"Evans Hall, 4 Eagle Row, Atlanta 30322",2018-09-01,00:00,NA,Emory University
1901244,Identity Fraud,2019-04-09,"Children's Healthcare of Atlanta-Egleston, 1405 Clifton Rd, Atlanta 30329",2019-03-31,20:27,NA,Emory University
1901243,"Theft by Taking (Other, Value $1500 or Less)",2019-04-09,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2019-04-08,15:00,NA,Emory University
1901217,"Arrest: Possession of Controlled Substances, Possession of Marijuana, Possession and Use of Drug-Related Objects, Drugs to be Ke",2019-04-06,"Evans Hall, 4 Eagle Row, Atlanta 30322",2019-04-06,22:58,NA,Emory University
1901215,"Arrest: Possession of One Ounce or Less of Marijuana, Possession and Use of Drug-Related Objects",2019-04-06,"Clairmont Tower, 2425 Dooley Dr, Atlanta 30322",2019-04-06,19:58,NA,Emory University
1901193,"Theft by Taking (Other, Value $1500 or Less)",2019-04-05,"School of Medicine, 100 Woodruff Cir, Atlanta 30322",2019-04-05,07:50,NA,Emory University
1901178,"Theft by Taking (Other, Value $1500 or Less)",2019-04-04,"Shoup Court, Atlanta 30322",2019-03-22,00:00,NA,Emory University
1901174,"Criminal Trespass, Property Damage",2019-04-03,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",2019-04-03,06:30,NA,Emory University
1901173,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-04-03,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2019-04-03,20:00,NA,Emory University
1901170,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-04-03,"Callaway Center, 537 Kilgo Cir, Atlanta 30322",2019-04-02,08:00,NA,Emory University
1901163,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-04-03,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-04-03,04:30,NA,Emory University
1901161,Driving While License Suspended or Revoked,2019-04-03,"N Decatur Rd at Haygood Dr, Atlanta 30307",2019-04-03,01:13,NA,Emory University
1901156,"Burglary, First Degree, Non-Forcible Entry",2019-04-02,"Clairmont URC, Bldg D, 2405 Dooley Dr, Atlanta 30322",2019-04-02,11:30,NA,Emory University
1901153,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-04-02,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-04-02,16:55,NA,Emory University
1901150,"Criminal Damage to Property, Second Degree",2019-04-02,"Wesley Woods Hospital, 1821 Clifton Rd, Atlanta 30322",2019-04-02,16:30,NA,Emory University
1901146,Entering an Auto,2019-04-02,"Lowergate West Parking Deck, 1785 Gambrell Dr, Atlanta  30322",2019-04-02,11:30,NA,Emory University
1901140,Identity Fraud,2019-04-02,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-04-02,08:02,NA,Emory University
1901137,Possession of a Weapon in a School Safety Zone; Stalking,2019-04-01,"Clairmont CRC, Bldg E, 2445 Dooley Dr, Atlanta 30322",2019-04-01,20:30,NA,Emory University
1901120,"Criminal Trespass, Property Damage",2019-03-31,"Wesley Woods Hospital, 1821 Clifton Rd, Atlanta 30322",2019-03-31,20:30,NA,Emory University
1901117,"Criminal Damage to Property, Second Degree",2019-03-31,"Emory Conference Center Hotel, South Parking Deck, 1615 Clifton Rd, Atlanta 30322",2019-03-31,00:54,NA,Emory University
1901107,"Criminal Damage to Property, Second Degree",2019-03-30,"Wesley Woods Hospital, 1821 Clifton Rd, Atlanta 30322",2019-03-30,19:00,NA,Emory University
1901103,Financial Transaction Card Fraud,2019-03-30,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd, Atlanta 30322",2019-03-28,07:30,NA,Emory University
1901100,Rape,2019-03-30,"Park Bldg, Emory Point, 1578 Avenue Pl, Atlanta 30329",2019-03-23,23:59,NA,Emory University
1901099,Arrrest: Underage Possession of Alcohol; Possession of False Identification,2019-03-30,"Longstreet-Means Hall, 646 Means Dr, Atlanta 30322",2019-03-30,10:30,NA,Emory University
1901087,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-03-29,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-03-28,22:00,NA,Emory University
1901084,"Criminal Trespass, Property Damage",2019-03-29,"Peavine Parking Lot, 29 Eagle Row, Atlanta 30322",2019-03-29,11:15,NA,Emory University
1901082,Harassing Communications,2019-03-29,"Few Hall, 4 Eagle Row, Atlanta 30322",2018-12-18,00:00,NA,Emory University
1901078,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-03-29,"Schwartz Center for the Performing Arts, 1700 N Decatur Rd, Atlanta  30322",2019-03-28,16:00,NA,Emory University
1901076,"Theft by Taking (Motor Vehicle Parts/Accessories, Exterior)",2019-03-29,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd, Atlanta 30322",2019-03-27,09:58,NA,Emory University
1901075,"Possession, Display, or Use of False ID Document; Person Down-Alcohol, Underage Possession",2019-03-29,"Evans Hall, 4 Eagle Row, Atlanta 30322",2019-03-29,00:07,NA,Emory University
1901061,Deposit Account Fraud,2019-03-28,"1579 Avenue Pl, Atlanta 30329",2019-03-27,10:30,NA,Emory University
1901050,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-03-27,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-03-27,13:08,NA,Emory University
1901038,"Criminal Trespass, Property Damage",2019-03-26,"Michael St Parking Deck, 550 Michael St, Atlanta 30322",2019-03-26,21:22,NA,Emory University
1901037,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-03-26,"Clairmont CRC Bldg E, 2445 Dooley Dr, Atlanta 30322",2019-03-26,17:15,NA,Emory University
1901035,"Theft by Taking (Motor Vehicle Parts/Accessories, Exterior)",2019-03-26,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2019-03-26,07:00,NA,Emory University
1901030,Rape,2019-03-26,"Emory University, 201 Dowman Dr, Atlanta 30322",2013-01-01,00:00,NA,Emory University
1901029,"Theft by Taking (From Bldg, Valued Over $1500)",2019-03-26,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-03-26,00:00,NA,Emory University
1901025,Sexual Battery,2019-03-26,"Raoul Hall, 2 Eagle Row, Atlanta 30322",2019-03-24,00:00,NA,Emory University
1901008,Sexual Battery,2019-03-25,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2019-03-25,04:30,NA,Emory University
1901007,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-03-24,"Freshman Quad, 625 Pierce Promenade, Atlanta 30322",2019-03-23,19:00,NA,Emory University
1900997,Arrest: Driving Without a Valid License; Possession of Less Than One Ounce of Marijuana,2019-03-24,"Clairmont Rd at N Decatur Rd, Decatur GA 30033",2019-03-24,01:33,NA,Emory University
1900994,Arrest: Possession of Less Than One Ounce of Marijuana,2019-03-23,"Briarcliff Rd at Stillwood Dr, Atlanta 30306",2019-03-23,22:30,NA,Emory University
1900987,Arrest: Driving While License Suspended or Revoked; Possession of Controlled Substances; Possession of Less Than One Ounce of Ma,2019-03-23,"N Decatur Rd at Clairmont Rd, Decatur 30030",2019-03-23,01:45,NA,Emory University
1900978,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-03-22,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-03-21,16:00,NA,Emory University
1900975,"Entering an Auto; Criminal Trespass, Property Damage",2019-03-22,"West Parking Deck, 855 Emory Point Dr, Atlanta 30329",2019-03-21,12:00,NA,Emory University
1900969,Possession of Marijuana,2019-03-22,"Woodruff Residential Center, 1495 Clifton Rd, Atlanta 30322",2019-03-22,01:21,NA,Emory University
1900964,Entering an Auto,2019-03-21,"Emory Univ Hospital Tower, Valet Parking, 1365-J Clifton Rd, Atlanta  30322",2019-03-21,14:43,NA,Emory University
1900962,"Entering an Auto; Criminal Trespass, Property Damage",2019-03-21,"Children's Healthcare of Atlanta - Egleston, Parking Deck, 1405 Clifton Rd, Atlanta 30329",2019-03-21,06:00,NA,Emory University
1900961,Theft by Deception ($500 or Less),2019-03-21,"Administration Bldg, 201 Dowman Dr, Atlanta 30322",2019-03-20,17:30,NA,Emory University
1900959,"Entering an Auto; Criminal Trespass, Property Damage",2019-03-21,"West Parking Deck, 855 Emory Point Dr, Atlanta 30329",2019-03-21,10:15,NA,Emory University
1900948,Harassing Communications,2019-03-20,"720 Highland Square Dr, Atlanta 30306",2019-03-20,17:42,NA,Emory University
1900938,Theft by Deception ($500 or Less),2019-03-19,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-03-08,09:09,NA,Emory University
1900932,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-03-19,"Fraternity House, 20 Eagle Row, Atlanta 30322",2019-03-08,03:00,NA,Emory University
1900925,"Manufacture, Delivery, Distribution, or Sale of Controlled Substance",2019-03-19,"1762 Clifton Rd, Atlanta 30322",2019-03-18,10:30,NA,Emory University
1900919,Arrest: Possession of Controlled Substances,2019-03-18,"Emory University Hospital, 1364 Clifton Rd, Atlanta 30322",2019-03-18,22:04,NA,Emory University
1900915,"Theft by Taking (From Bldg, Valued Over $1500)",2019-03-18,"Schwartz Center for the Performing Arts, 1700 N Decatur Rd, Atlanta 30322",2019-03-18,17:30,NA,Emory University
1900911,"Burglary, First Degree, Non-Forcible Entry",2019-03-18,"Hopkins Hall, 1310 Clifton Rd, Atlanta 30322",2019-03-08,16:00,NA,Emory University
1900892,Entering an Auto,2019-03-15,"Emory Univ Hospital, Valet Parking, 1364 Clifton Rd, Atlanta 30322",2019-03-14,19:30,NA,Emory University
1900886,Identity Fraud,2019-03-14,"Starvine Parking Deck, 1945 Starvine Way, Atlanta 30322",2019-03-14,14:00,NA,Emory University
1900880,Harassing Communications,2019-03-13,"Starbucks, Oxford Road Bldg, 1390 Oxford Rd, Atlanta 30322",2018-08-01,09:00,NA,Emory University
1900867,Information Report (Theft by Taking - Motor Vehicle),2019-03-11,"Emory Univ Orthopedic and Spine Hospital, 1455 Montreal Rd, Tucker 30084",2019-03-11,14:00,NA,Emory University
1900863,"Criminal Trespass, Property Damage",2019-03-11,"Callaway Center, 537 Kilgo Cir, Atlanta 30322",2019-03-08,15:30,NA,Emory University
1900860,"Criminal Damage to Property, Second Degree",2019-03-11,"Fraternity House, 17 Eagle Row, Atlanta 30322",2019-03-06,18:00,NA,Emory University
1900857,Arrest: Public Intoxication,2019-03-10,"Fed Ex Office, Print, and Ship Center, 2088 N Decatur Rd, Decatur GA 30033",2019-03-10,21:53,NA,Emory University
1900831,"Theft by Taking (From Bldg, Valued Over $1500)",2019-03-08,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-03-08,00:01,NA,Emory University
1900806,"Arrest: Possession of Weapon in School Safety Zone, Possession of Weapon While Committing Certain Crimes, Possession of Controll",2019-03-05,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-03-05,13:21,NA,Emory University
1900788,Arrest: Driving While License Suspended or Revoked,2019-03-03,"1600 block Briarcliff Rd NE, Atlanta 30306",2019-03-03,20:36,NA,Emory University
1900784,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-03-03,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",2019-03-03,16:15,NA,Emory University
1900773,"Arrest for Other Agency (DeKalb County Sheriff's Office, Failure to Appear; Clayton County Sheriff's Office, Probation Viola",2019-03-02,"Clifton Rd at Eagle Row, Atlanta 30322",2019-03-02,09:07,NA,Emory University
1900770,Arrest: Driving While License Suspended or Revoked,2019-03-02,"Clairmont Rd at N Decatur Rd, Decatur GA 30033",2019-03-02,04:00,NA,Emory University
1900769,False Report of a Crime,2019-03-01,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta  30329",2019-03-01,20:00,NA,Emory University
1900723,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-02-27,"Goizueta Business School Foundation Center, 1300 Clifton Rd NE, Atlanta 30322",2019-02-25,12:30,NA,Emory University
1900717,Arrest: Possession of Less Than One Ounce of Marijuana,2019-02-26,"Clifton Ridge Subdivision, 1164 Clifton Rd, Atlanta 30307",2019-02-26,21:25,NA,Emory University
1900716,"Criminal Trespass, Property Damage",2019-02-26,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",2019-02-26,20:35,NA,Emory University
1900701,"Theft by Taking (Other, Value $1500 or Less)",2019-02-25,"McDonough Field, 616 Asbury Cir, Atlanta 30322",2019-02-25,18:30,NA,Emory University
1900689,Possession of Less Than One Ounce Marijuana,2019-02-24,"Children's Healthcare of Atlanta-Egleston, 1405 Clifton Rd, Atlanta 30329",2019-02-24,04:58,NA,Emory University
1900674,"Arson (Unknown party set towel on fire, then placed in trash can, igniting papers)",2019-02-22,"Woodruff Residential Center, 1495 Clifton Rd, Atlanta 30322",2019-02-22,23:46,NA,Emory University
1900673,Arrest: Family Violence Battery,2019-02-22,"CVS Pharmacy, 1520 Avenue Pl, Atlanta  30329",2019-02-22,23:30,NA,Emory University
1900665,"Theft by Taking (Bicycle, Valued $1500 or Less)",2019-02-22,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-02-22,07:00,NA,Emory University
1900645,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-02-21,"Which Wich, 1520 Avenue Pl, Suite B150, Atlanta 30329",2019-02-21,12:10,NA,Emory University
1900643,Rape,2019-02-21,"Emory Point, Atlanta GA 30329",2019-02-14,22:00,NA,Emory University
1900641,Entering an Auto,2019-02-21,"CVS Pharmacy, 1520 Avenue Pl, Suite B100, Atlanta 30329",2019-02-21,10:30,NA,Emory University
1900635,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-02-20,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-02-19,19:30,NA,Emory University
1900629,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-02-20,"Goizueta Business School Foundation Center, 1300 Clifton Rd, Atlanta 30322",2019-02-18,13:00,NA,Emory University
1900611,Terroristic Threats,2019-02-19,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-02-18,16:00,NA,Emory University
1900598,"Theft by Taking (Motor Vehicle Parts/Accessories, Exterior)",2019-02-18,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta  30322",2019-02-18,07:00,NA,Emory University
1900595,Harassing Communications,2019-02-18,"Clairmont Tower, 2425 Dooley Dr, Atlanta 30322",2017-08-01,00:01,NA,Emory University
1900572,Harassing Communications,2019-02-16,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-02-06,00:00,NA,Emory University
1900559,Terroristic Threats,2019-02-15,"Emory Police Dept, 1784 N Decatur Rd, Atlanta 30322",2019-02-14,14:29,NA,Emory University
1900553,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-02-14,"Cox Hall, 569 Asbury Cir, Atlanta 30322",2019-02-08,18:00,NA,Emory University
1900547,Identity Fraud; Financial Transaction Card Fraud,2019-02-14,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-01-01,00:01,NA,Emory University
1900533,Financial Transaction Card Fraud,2019-02-13,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-02-12,15:46,NA,Emory University
1900517,Possession of Less Than One Ounce Marijuana; Possession and Use of Drug-Related Objects,2019-02-12,"Woodruff Residential Center, 1495 Clifton Rd, Atlanta 30322",2019-02-12,23:15,NA,Emory University
1900485,"Criminal Trespass, Property Damage",2019-02-10,"Clairmont CRC Bldg F, 2445 Dooley Dr, Atlanta 30322",2019-02-09,21:30,NA,Emory University
1900480,Criminal Trespass - Entry After Notice Prohibiting,2019-02-10,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2019-02-10,09:23,NA,Emory University
1900474,Terroristic Threats,2019-02-09,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd NE, Atlanta 30329",2019-02-09,15:36,NA,Emory University
1900468,"Criminal Trespass, Property Damage",2019-02-08,"Clairmont CRC Bldg F, 2445 Dooley Dr, Atlanta 30322",2019-02-08,23:16,NA,Emory University
1900457,"Theft by Taking (Other, Value $1500 or Less)",2019-02-08,"Emory Point Leasing Office, 855 Emory Point Dr, Atlanta 30329",2019-01-31,13:00,NA,Emory University
1900443,Entering an Auto,2019-02-07,"Campus Crossings at Briarcliff Apts, 1649-1659 Briarcliff Rd NE, Atlanta 30306",2019-02-05,16:30,NA,Emory University
1900442,Simple Battery,2019-02-07,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",2019-02-06,18:45,NA,Emory University
1900437,"Theft by Taking (Other, Valued Over $1500)",2019-02-06,"Paterson Green, 1300 Clifton Rd, Atlanta 30322",2019-02-06,19:00,NA,Emory University
1900432,Battery,2019-02-06,"Wesley Woods Hospital, 1821 Clifton Rd, Atlanta 30322",2019-02-06,18:45,NA,Emory University
1900429,Simple Battery,2019-02-06,"Wesley Woods Hospital, 1821 Clifton Rd, Atlanta 30322",2019-02-06,15:00,NA,Emory University
1900424,Simple Battery,2019-02-06,"Wesley Woods Hospital, 1821 Clifton Rd, Atlanta 30322",2019-02-06,08:00,NA,Emory University
1900404,"Theft by Taking (From Bldg, Valued Over $1500)",2019-02-04,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2019-01-24,15:00,NA,Emory University
1900403,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-02-04,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2019-01-23,17:00,NA,Emory University
1900398,Family Violence Battery,2019-02-04,"Children's Healthcare of Atlanta - Egleston, 1405 Clifton Rd, Atlanta 30329",2019-02-04,11:30,NA,Emory University
1900397,Unlawfully Obtaining Controlled Substances,2019-02-04,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-01-01,00:00,NA,Emory University
1900383,Criminal Attempt - Theft by Extortion,2019-02-02,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",2019-02-01,18:18,NA,Emory University
1900375,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-02-01,"Longstreet-Means Hall, 646 Means Dr, Atlanta 30322",2019-02-01,12:00,NA,Emory University
1900369,"Theft by Taking (Bicycle, Valued $1500 or Less)",2019-02-01,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2019-01-22,20:30,NA,Emory University
1900368,Entering an Auto,2019-02-01,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",2019-01-31,09:00,NA,Emory University
1900357,"Criminal Damage to Property, Second Degree",2019-01-31,"Wesley Woods Hospital, 1821 Clifton Rd, Atlanta 30322",2019-01-31,20:30,NA,Emory University
1900352,Harassing Communications,2019-01-31,"Emory Rehabilitation Hospital, 1441 Clifton Rd,  Atlanta 30322",2019-01-31,10:42,NA,Emory University
1900346,"Criminal Trespass, Property Damage",2019-01-31,"Fishburne Parking Deck, 1670 N Decatur Rd, Atlanta 30322",2019-01-31,11:42,NA,Emory University
1900334,Theft by Extortion,2019-01-30,"Campus Crossings Apartments, 1659 Briarcliff Rd NE, Atlanta 30306",2019-01-30,00:01,NA,Emory University
1900269,"Criminal Trespass, Property Damage",2019-01-24,"Peavine South Parking Deck, 27 Eagle Row, Atlanta 30322",2019-01-24,21:29,NA,Emory University
1900266,Entering an Auto,2019-01-24,"Winship Clinic Valet Parking, 1711 Uppergate Dr, Atlanta 30322",2019-01-24,10:15,NA,Emory University
1900264,Criminal Attempt - Theft by Extortion,2019-01-24,"Schwartz Center for the Performing Arts, 1700 N Decatur Rd, Atlanta 30322",2019-01-24,13:00,NA,Emory University
1900260,Harassing Communications,2019-01-24,"Emory Orthopaedics and Spine Center, 4555 N Shallowford Rd, Dunwoody 30338",2019-01-21,08:00,NA,Emory University
1900256,"Theft by Taking (From Coin-Operated Machines, Valued $1500 or Less); Criminal Trespass, Property Damage",2019-01-24,"Raoul Hall, 2 Eagle Row, Atlanta 30322",2019-01-18,02:00,NA,Emory University
1900233,"Simple Battery; Arrest for Other Agency (Norcross Police Dept., Failure to Appear)",2019-01-22,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-01-22,19:30,NA,Emory University
1900231,"Theft by Taking (Bicycle, Valued $1500 or Less)",2019-01-22,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",2019-01-18,17:00,NA,Emory University
1900226,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-01-22,"Andrews Circle, Atlanta 30322",2019-01-22,08:30,NA,Emory University
1900223,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-01-21,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",2019-01-21,22:00,NA,Emory University
1900221,"Theft by Taking (From Bldg, Valued Over $1500)",2019-01-21,"Candler Mansion, 1260 Briarcliff Rd, Atlanta 30322",2018-12-14,00:00,NA,Emory University
1900217,Possession of Controlled Substances,2019-01-21,"Emory University Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2019-01-21,10:29,NA,Emory University
1900204,"Entering an Auto; Criminal Trespass, Property Damage",2019-01-20,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",2019-01-19,15:00,NA,Emory University
1900197,Criminal Solicitation,2019-01-19,"Emory University, 201 Dowman Dr, Atlanta 30322",2019-01-18,16:00,NA,Emory University
1900184,"Theft by Taking (From Bldg, Valued $1500 or Less)",2019-01-18,"Budd Terrace, 1833 Clifton Rd, Atlanta 30322",2019-01-18,10:00,NA,Emory University
1900179,Arrest: Possession of Controlled Substances,2019-01-18,"Fraternity House, 17 Eagle Row, Atlanta 30322",2019-01-18,02:00,NA,Emory University
1900175,"Arrest: Public Drunkenness, Possession Display or Use of False ID Document",2019-01-18,"Fraternity House, 17 Eagle Row, Atlanta 30322",2019-01-18,02:15,NA,Emory University
1900167,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-01-17,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-01-14,12:00,NA,Emory University
1900148,"Burglary, First Degree, Non-Forcible Entry",2019-01-15,"Asbury House, 764 Peavine Creek Dr, Atlanta 30322",2018-12-21,08:00,NA,Emory University
1900147,Entering an Auto,2019-01-15,"Winship Cancer Clinic, Valet Parking, 1711 Uppergate Dr, Atlanta 30322",2019-01-15,15:44,NA,Emory University
1900144,Harassing Communications,2019-01-15,"Winship Cancer Clinic, 1711 Uppergate Dr, Atlanta 30322",2019-01-11,15:25,NA,Emory University
1900141,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-01-14,"Emory Univ Hospital Tower, 1365 Clifton Rd, Atlanta 30322",2019-01-14,16:00,NA,Emory University
1900135,Simple Battery,2019-01-14,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-01-10,03:35,NA,Emory University
1900115,"Entering an Auto; Criminal Trespass, Property Damage",2019-01-11,"Hahn Woods, 866 Houston Mill Rd, Atlanta 30322",2019-01-11,17:15,NA,Emory University
1900107,Possession of Schedule II Controlled Substances; Possession of Marijuana,2019-01-11,"Emory Univ Hospital, 1364 Clifton Rd, Atlanta 30322",2019-01-11,00:56,NA,Emory University
1900100,"Criminal Trespass, Property Damage",2019-01-10,"Woodruff Physical Education Center, 26 Eagle Row, Atlanta 30322",2019-01-10,14:40,NA,Emory University
1900093,"Theft by Taking (Other, Value $1500 or Less)",2019-01-09,"Lullwater Preserve, 1463 Clifton Rd, Atlanta 30322",2018-01-09,18:00,NA,Emory University
