case_number,date_reported,time_reported,date_occurred,time_occurred,location,incident,university
CFS14-04-07-003136,2014-04-07,15:17,2014-04-04,15:00,SOUTH GREEN DRIVE - INTRAMURAL FD. Common Name: PARKING LOT 55,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-08-003158,2014-04-08,14:11,2014-04-06,21:45,MCKINLEY RESIDENTIAL LOT Common Name: PARKING LOT 50,LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02,Ohio University
CFS14-04-08-003165,2014-04-08,17:50,NA,NA,122 SOUTH GREEN DRIVE Common Name: FENZEL HOUSE Location Detail: ROOM 427,LARCENY-THEFT THEFT - FROM BUILDINGS 2913,Ohio University
CFS14-04-08-003173,2014-04-08,21:46,2014-04-08,20:00,59 EAST GREEN DRIVE Common Name: SHIVELY HALL Location Detail: BIKE RACK,LARCENY-THEFT THEFT - BICYCLES 2913,Ohio University
CFS14-04-08-003178,2014-04-08,23:18,NA,NA,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: BASKETBALL COURT AREA,NOISE COMPLAINT,Ohio University
CFS14-04-09-003179,2014-04-09,00:28,2014-04-09,00:28,EDGEHILL DRIVE Common Name: EDGEHILL DRIVE,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-09-003180,2014-04-09,01:02,2014-04-09,01:02,46 EAST GREEN STREET Common Name: JEFFERSON HALL,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-09-003182,2014-04-09,01:51,2014-04-09,01:51,35 SOUTH CONGRESS Common Name: BROMLEY HALL,ALCOHOL OFFENSE,Ohio University
CFS14-04-09-003190,2014-04-09,09:45,NA,NA,CHURCH ST. Common Name: SEIGFRED,FIRE ALARM,Ohio University
CFS14-04-09-003195,2014-04-09,14:50,NA,NA,97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 230,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-09-003204,2014-04-09,18:03,NA,NA,OXBOW TRAIL Common Name: STOCKER HALL Location Detail: ROOM 110 MEN'S RESTROOM,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-10-003211,2014-04-10,06:14,NA,NA,132 SOUTH GREEN DRIVE Common Name: TRUE HOUSE Location Detail: FROM OMH,TRANSPORT,Ohio University
CFS14-04-10-003249,2014-04-10,23:25,2014-04-10,23:00,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 349,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-10-003250,2014-04-10,23:26,NA,NA,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: W STATE ST,NOISE COMPLAINT,Ohio University
CFS14-04-11-003252,2014-04-11,00:14,NA,NA,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: 20 N HIGH ST,NOISE COMPLAINT,Ohio University
CFS14-04-11-003253,2014-04-11,00:35,NA,NA,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: HOCKING ST,NOISE COMPLAINT,Ohio University
CFS14-04-11-003254,2014-04-11,01:59,2014-04-11,01:57,COSS STREET Common Name: COSS STREET Location Detail: NEAR LOWER SEIGFRED,ASSAULT OFFENSES,Ohio University
CFS14-04-11-003261,2014-04-11,07:43,2014-04-11,02:30,68 SOUTH GREEN DRIVE Common Name: PICKERING HALL Location Detail: 3RD FLOOR,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-11-003263,2014-04-11,08:46,NA,NA,8 WEST GREEN DRIVE Common Name: JAMES HALL,FIRE ALARM,Ohio University
CFS14-04-11-003274,2014-04-11,16:34,2014-04-11,16:30,WEST GREEN DRIVE Common Name: PARKING LOT 111,TRAFFIC CRASH,Ohio University
CFS14-04-11-003277,2014-04-11,18:37,2014-04-11,18:30,CHURCH ST. Common Name: SEIGFRED Location Detail: CATWALK,POSSESSION OF DRUG PARAPHERNALIA,Ohio University
CFS14-04-11-003282,2014-04-11,21:13,NA,NA,97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 232,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-11-003283,2014-04-11,22:10,NA,NA,SOUTH GREEN DR. - REAR PICKERING Common Name: PARKING LOT 52,TRAFFIC CRASH,Ohio University
CFS14-04-11-003284,2014-04-11,22:16,NA,NA,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: 33 GROVESNOR,NOISE COMPLAINT,Ohio University
CFS14-04-12-003289,2014-04-11,23:58,2014-04-11,23:58,COLLEGE STREET Common Name: COLLEGE STREET Location Detail: IN FRONT OF SCHOONOVER BLDG,POSSESSION OF DRUG PARAPHERNALIA,Ohio University
CFS14-04-12-003290,2014-04-12,00:03,NA,NA,97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 249,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-12-003291,2014-04-12,00:14,2014-04-12,00:14,COURT STREET Common Name: COURT STREET,ALCOHOL OFFENSE,Ohio University
CFS14-04-12-003305,2014-04-12,08:06,2014-04-11,15:30,Common Name: MAIN CAMPUS/COLLEGE GREEN Location Detail: LIGHT POLE CG028,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-12-003309,2014-04-12,09:52,NA,NA,COURT STREET Common Name: COURT STREET Location Detail: UNION STREET,TRAFFIC DETAIL,Ohio University
CFS14-04-12-003311,2014-04-12,10:36,2014-04-12,10:36,PEDEN STADIUM Common Name: PARKING LOT 132,TRAFFIC CRASH,Ohio University
CFS14-04-12-003319,2014-04-12,13:03,2014-04-12,12:50,Common Name: SOUTH GREEN GARAGE Location Detail: UNDER NELSON DINING HALL,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-12-003321,2014-04-12,13:22,NA,NA,UNION STREET Common Name: UNION STREET Location Detail: AT HDL,TRAFFIC OBST VIEW/CONTROL OF DRIVER - OPENING DOOR TRAFFIC 4511.70,Ohio University
CFS14-04-12-003322,2014-04-12,13:36,2014-04-12,13:36,97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 234,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-12-003323,2014-04-12,14:18,2014-04-12,12:00,S.GREEN DR. Common Name: PARKING LOT 93,LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02,Ohio University
CFS14-04-12-003325,2014-04-12,14:46,2014-04-12,14:46,SOUTH GREEN DR.- REAR PICKERING Common Name: PARKING LOT 51,ALCOHOL OFFENSE,Ohio University
CFS14-04-12-003331,2014-04-12,15:53,2014-04-12,15:53,71 SOUTH GREEN DRIVE Common Name: CRAWFORD,FIRE FALSE FIRE ALARM,Ohio University
CFS14-04-12-003333,2014-04-12,16:14,2014-04-12,16:14,71 SOUTH GREEN DRIVE Common Name: CRAWFORD,ALCOHOL OFFENSE,Ohio University
CFS14-04-12-003334,2014-04-12,16:19,2014-04-12,16:19,OUTSIDE THE CONVO Common Name: PARKING LOT 128,ASSAULT OFFENSES,Ohio University
CFS14-04-12-003336,2014-04-12,16:32,NA,NA,97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 327,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-12-003346,2014-04-12,20:20,NA,NA,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: ROOM 327,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-12-003347,2014-04-12,20:35,2014-04-12,21:15,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: NEAR BIKE PATH AT NEW LIFE CHURCH,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-12-003350,2014-04-12,21:08,NA,NA,133 SOUTH GREEN DRIVE Common Name: DOUGAN HOUSE Location Detail: OUTSIDE FACING BIKE PATH,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-12-003351,2014-04-12,21:25,NA,NA,STEWART ST. Common Name: STEWART STREET Location Detail: LOT 104,TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,Ohio University
CFS14-04-12-003352,2014-04-12,21:34,2014-04-05,03:00,SOUTH GREEN DRIVE - INTRAMURAL FD. Common Name: PARKING LOT 55,LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02,Ohio University
CFS14-04-12-003353,2014-04-12,22:10,2014-04-12,22:10,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: ROOM 136,JUSTICE & PUB. ADMIN. OBSTRUCTING JUSTICE 2921.32,Ohio University
CFS14-04-12-003358,2014-04-12,23:37,2014-04-12,23:37,WEST UNION STREET Common Name: HANING HALL,ALCOHOL OFFENSE,Ohio University
CFS14-04-12-003359,2014-04-12,23:40,2014-04-12,23:40,STATE ROUTE 682 Common Name: STATE ROUTE 682 Location Detail: WHITE'S MILL,INTOXICATED PERSON,Ohio University
CFS14-04-13-003361,2014-04-13,00:04,NA,NA,Common Name: JAMES GARAGE,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-13-003365,2014-04-13,00:50,NA,NA,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: OUTSIDE SARGENT,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-04-13-003366,2014-04-13,01:06,2014-04-13,01:06,WEST GREEN - STOCKER/IRVINE Common Name: PARKING LOT 115 Location Detail: GULCH/ARC AREA,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-13-003367,2014-04-13,01:37,NA,NA,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: @ RACE,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-04-13-003374,2014-04-13,06:27,2014-04-13,01:30,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: 4TH FLOOR MEN'S RESTROOM,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-13-003377,2014-04-13,09:00,NA,NA,131 SOUTH GREEN DRIVE Common Name: SMITH HOUSE,EMERGENCY CALL,Ohio University
CFS14-04-13-003380,2014-04-13,10:19,2014-04-12,16:00,46 EAST GREEN STREET Common Name: JEFFERSON HALL,BURGLARY OFFENSES,Ohio University
CFS14-04-13-003383,2014-04-13,12:00,NA,NA,WEST GREEN DRIVE Common Name: WEST GREEN DRIVE,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-13-003384,2014-04-13,12:51,2014-04-11,19:30,MCCRACKEN SIDE - STEWART STREET Common Name: PARKING LOT 44,LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02,Ohio University
CFS14-04-13-003388,2014-04-13,17:54,2014-04-11,21:00,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: ROOMO # 357,BURGLARY OFFENSES,Ohio University
CFS14-04-13-003390,2014-04-13,19:50,2014-04-12,11:30,46 EAST GREEN STREET Common Name: JEFFERSON HALL Location Detail: ROOM #437,BURGLARY OFFENSES,Ohio University
CFS14-04-13-003393,2014-04-13,22:16,NA,NA,133 SOUTH GREEN DRIVE Common Name: DOUGAN HOUSE Location Detail: ROOM 448 MOD B,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-13-003394,2014-04-13,22:22,NA,NA,45 EAST GREEN STREET Common Name: LINCOLN HALL Location Detail: ROOM # 126,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-14-003405,2014-04-14,09:38,NA,NA,UNION STREET Common Name: UNION STREET Location Detail: AT SCHOONOVER CENTER,TRAFFIC VEHICLE LICENSE REGISTRATION,Ohio University
CFS14-04-14-003406,2014-04-14,12:00,2014-04-09,20:00,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-14-003407,2014-04-14,12:45,2014-04-14,12:45,SOUTH GREEN DRIVE Common Name: PARKING LOT 87,TRAFFIC CRASH,Ohio University
CFS14-04-14-003408,2014-04-14,12:55,2014-04-11,15:30,NA,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-14-003410,2014-04-14,14:08,NA,NA,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,Ohio University
CFS14-04-15-003418,2014-04-15,00:57,NA,NA,PARK PLACE Common Name: PARK PLACE Location Detail: FRONT OF ALDEN,PARKING COMPLAINT,Ohio University
CFS14-04-15-003419,2014-04-15,02:34,2014-04-15,02:34,UNION STREET Common Name: UNION STREET Location Detail: FRONT OF BW-3'S,OPERATING A VEHICLE UNDER THE INFLUENCE,Ohio University
CFS14-04-15-003423,2014-04-15,10:05,NA,NA,71 SOUTH GREEN DRIVE Common Name: CRAWFORD Location Detail: ROOM 134/135,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-15-003424,2014-04-15,10:11,NA,NA,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,Ohio University
CFS14-04-15-003425,2014-04-15,12:08,2014-04-15,12:08,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT OU PARKING LOT 51,"TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",Ohio University
CFS14-04-15-003426,2014-04-15,12:38,NA,NA,WEST GREEN GULCH Common Name: PARKING LOT 114,ANIMAL COMPLAINT,Ohio University
CFS14-04-15-003435,2014-04-15,17:14,NA,NA,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,Ohio University
CFS14-04-15-003437,2014-04-15,18:23,NA,NA,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,Ohio University
CFS14-04-15-003440,2014-04-15,20:20,NA,NA,OUTSIDE THE CONVO Common Name: PARKING LOT 128 Location Detail: NEAR GROSVENOR HALL,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-15-003444,2014-04-15,21:25,2014-04-15,21:25,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT UNIVERSITY TERRACE,INTOXICATED PERSON,Ohio University
CFS14-04-15-003447,2014-04-15,22:41,NA,NA,35 SOUTH CONGRESS Common Name: BROMLEY HALL,FIRE ALARM,Ohio University
CFS14-04-16-003456,2014-04-16,10:30,2014-04-09,00:00,Common Name: BIKE PATH,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-16-003457,2014-04-16,10:49,2014-04-16,10:30,SOUTH GREEN DRIVE Common Name: PARKING LOT 87,TRAFFIC CRASH,Ohio University
CFS14-04-16-003458,2014-04-16,12:18,NA,NA,MULBERRY ST Common Name: MULBERRY ST Location Detail: BENTLEY ANNEX AREA,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-16-003461,2014-04-16,13:09,2014-04-16,13:09,WEST GREEN - STOCKER/IRVINE Common Name: PARKING LOT 115 Location Detail: NEAR STOCKER,TRAFFIC CRASH,Ohio University
CFS14-04-16-003470,2014-04-16,19:50,NA,NA,WEST GREEN Common Name: WEST GREEN Location Detail: NEAR RYORS HALL,ANIMAL COMPLAINT,Ohio University
CFS14-04-16-003471,2014-04-16,20:20,NA,NA,35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: ROOM 218-219,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-16-003472,2014-04-16,20:31,2014-04-16,20:31,125 SOUTH GREEN DRIVE Common Name: FOSTER HOUSE Location Detail: ROOM 333,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-16-003476,2014-04-16,23:59,2014-04-16,23:59,130 SOUTH GREEN DRIVE Common Name: ATKINSON Location Detail: ROOM #440,ALCOHOL OFFENSE,Ohio University
CFS14-04-17-003479,2014-04-17,01:26,2014-04-17,01:26,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL Location Detail: PARK AREA,ALCOHOL OFFENSE,Ohio University
CFS14-04-17-003489,2014-04-17,09:38,2014-04-17,00:00,EAST UNION STREET Common Name: SCHOONOVER CENTER,LARCENY-THEFT THEFT - BICYCLES 2913,Ohio University
CFS14-04-17-003492,2014-04-17,11:42,2014-04-17,11:42,COURT STREET Common Name: COURT STREET Location Detail: AT BAKER CENTER,"TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",Ohio University
CFS14-04-17-003493,2014-04-17,11:44,NA,NA,OXBOW TRAIL Common Name: STOCKER HALL,FIRE ALARM,Ohio University
CFS14-04-17-003494,2014-04-17,12:39,NA,NA,16 WEST GREEN DRIVE Common Name: GROSVENOR HALL,FIRE ALARM,Ohio University
CFS14-04-17-003503,2014-04-17,16:35,NA,NA,MULBERRY ST Common Name: MULBERRY ST Location Detail: NEAR LASHER`,RECKLESS DRIVER,Ohio University
CFS14-04-17-003505,2014-04-17,17:13,2014-04-17,17:00,SOUTH GREEN DR.- REAR PICKERING Common Name: PARKING LOT 51,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-17-003509,2014-04-17,18:06,NA,NA,S.GREEN DR. Common Name: PARKING LOT 93,TRAFFIC EARPHONES OR EARPLUGS ON OPERATOR PROHIBITED 4511.84,Ohio University
CFS14-04-17-003512,2014-04-17,18:34,NA,NA,48 EAST GREEN STREET Common Name: READ HALL Location Detail: 2ND FLOOR,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-17-003517,2014-04-17,22:29,NA,NA,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: AT SOUTH GREEN DRIVE,TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,Ohio University
CFS14-04-18-003524,2014-04-18,00:30,NA,NA,UNIVERSITY TERRACE Common Name: KONNEKER ALUMNI CENTER Location Detail: FRONT OF,"TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",Ohio University
CFS14-04-18-003526,2014-04-18,01:34,NA,NA,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: THE COMMONS APT. 401,NOISE COMPLAINT,Ohio University
CFS14-04-18-003527,2014-04-18,03:50,NA,NA,Common Name: OFF-CAMPUS MISCELLANEOUS,RAPE,Ohio University
CFS14-04-18-003533,2014-04-18,07:53,2014-04-18,07:53,EAST GREEN Common Name: EAST GREEN Location Detail: BETWEEN GAM AND WASHINGTON HALLS,FIRE FIRE OUTSIDE (NO STRUCTURE INVOLVED),Ohio University
CFS14-04-18-003538,2014-04-18,10:51,2014-04-17,15:00,123 SOUTH GREEN DRIVE Common Name: O'BLENESS HOUSE,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-18-003544,2014-04-18,14:48,2014-04-15,23:00,68 SOUTH GREEN DRIVE Common Name: PICKERING HALL Location Detail: ROOM 203,LARCENY-THEFT THEFT - FROM BUILDINGS 2913,Ohio University
CFS14-04-18-003545,2014-04-18,14:51,NA,NA,97 WEST GREEN DRIVE Common Name: JAMES HALL,FIRE ALARM,Ohio University
CFS14-04-18-003559,2014-04-18,23:41,NA,NA,E.UNION ST. Common Name: MUSIC BUILDING Location Detail: 1ST FLOOR DOORS,TRESPASSING OFFENSES,Ohio University
CFS14-04-19-003560,2014-04-19,00:42,NA,NA,COURT STREET Common Name: COURT STREET Location Detail: WENDY'S,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-04-19-003561,2014-04-19,01:51,NA,NA,Common Name: CONVO GARAGE,TRAFFIC VEHICLE LICENSE REGISTRATION,Ohio University
CFS14-04-19-003562,2014-04-19,02:22,NA,NA,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL Location Detail: FIRE PANEL IN LOBBY,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-19-003563,2014-04-19,02:28,2014-04-19,02:28,Common Name: MAIN CAMPUS/COLLEGE GREEN Location Detail: ACROSS SCHOONOVER,ALCOHOL OFFENSE,Ohio University
CFS14-04-19-003564,2014-04-19,02:42,2014-04-19,02:42,EAST UNION STREET Common Name: PILCHER HOUSE Location Detail: ALLEY,ALCOHOL OFFENSE,Ohio University
CFS14-04-19-003575,2014-04-19,18:30,NA,NA,S.GREEN DR/UNIV.TERRACE Common Name: PING STUDENT REC. CENTER Location Detail: ROOM 140,ANIMAL COMPLAINT,Ohio University
CFS14-04-19-003576,2014-04-19,20:20,NA,NA,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: ROOM 218,FIRE ALARM,Ohio University
CFS14-04-20-003581,2014-04-20,02:32,2014-04-20,02:32,"104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN Location Detail: ROOM 234, ATHENS, OH 45701",BURGLARY OFFENSES,Ohio University
CFS14-04-20-003591,2014-04-20,20:54,NA,NA,FACTORY STREET Common Name: FACTORY STREET Location Detail: AT HDL,TRAFFIC FAILURE TO YIELD - DRIVEWAY OR LOT 4511.44,Ohio University
CFS14-04-21-003594,2014-04-21,00:02,2014-04-21,00:02,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL Location Detail: ROOM 325,POSSESSION OF DRUG PARAPHERNALIA,Ohio University
CFS14-04-21-003599,2014-04-21,12:39,NA,NA,125 SOUTH GREEN DRIVE Common Name: FOSTER HOUSE,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-21-003605,2014-04-21,16:28,NA,NA,SOUTH GREEN DR. AT RICHLAND Common Name: WALTER LECTURE HALL Location Detail: ROOM 235,FIRE ALARM,Ohio University
CFS14-04-21-003607,2014-04-21,16:52,NA,NA,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL,FIRE ALARM,Ohio University
CFS14-04-21-003610,2014-04-21,23:50,2014-04-21,23:50,SOUTH GREEN Common Name: SOUTH GREEN Location Detail: VOLLEYBALL COURT,MENACING OFFENSES,Ohio University
CFS14-04-22-003625,2014-04-22,13:50,2014-04-22,13:50,PEDEN STADIUM Common Name: PARKING LOT 132,TRAFFIC DRIVING UPON SIDEWALK AREA 4511.711,Ohio University
CFS14-04-22-003626,2014-04-22,14:51,2014-04-22,14:51,SCOTT QUAD Common Name: OHIO UNIVERSITY POLICE DEPT,THREAT ASSESSMENT,Ohio University
CFS14-04-22-003632,2014-04-22,16:50,2014-04-21,08:00,WEST SIDE OF CONVO Common Name: PARKING LOT 127 Location Detail: PARKING PERMIT,LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02,Ohio University
CFS14-04-22-003634,2014-04-22,19:45,2014-04-22,19:00,RIVERSIDE DRIVE Common Name: FACILITIES MANAGEMENT Location Detail: PARKING LOT,FIRE FIRE OUTSIDE (NO STRUCTURE INVOLVED),Ohio University
CFS14-04-23-003642,2014-04-23,07:58,NA,NA,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: ROOM 142,OPERATIONS OUTSTANDING WARRANTS,Ohio University
CFS14-04-23-003654,2014-04-23,17:42,NA,NA,VAN VORHEES & RACE Common Name: MORTON HALL Location Detail: MATH ROOM 218,NOISE COMPLAINT,Ohio University
CFS14-04-23-003656,2014-04-23,18:32,2014-04-23,18:32,47 EAST GREEN STREET Common Name: JOHNSON HALL Location Detail: ROOM 214,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-23-003657,2014-04-23,19:21,2014-04-20,15:00,NELSON COMMONS Common Name: PARKING LOT 79 Location Detail: BIKE RACK,LARCENY-THEFT THEFT - BICYCLES 2913,Ohio University
CFS14-04-24-003676,2014-04-24,12:59,NA,NA,MULBERRY ST Common Name: MULBERRY ST Location Detail: AT MCKINLEY AVENUE,TRAFFIC BRAKE LIGHTS 4513.071,Ohio University
CFS14-04-24-003679,2014-04-24,14:41,2014-04-24,14:41,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: ROOM 209,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-24-003691,2014-04-24,20:05,2000-01-01,00:00,127 SOUTH GREEN DRIVE Common Name: MARTZOLFF HOUSE Location Detail: ROOM 248,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-25-003697,2014-04-25,01:41,NA,NA,UNION STREET Common Name: UNION STREET Location Detail: @ STEWART ST.,DISORDERLY CONDUCT OFFENSES,Ohio University
CFS14-04-25-003698,2014-04-25,02:02,2014-04-25,02:02,PEDEN STADIUM Common Name: PARKING LOT 132,OPERATING A VEHICLE UNDER THE INFLUENCE,Ohio University
CFS14-04-25-003704,2014-04-25,08:54,NA,NA,SHAFER STREET Common Name: SHAFER STREET Location Detail: AT WREN STADIUM,TRAFFIC FAILURE TO DISPLAY LIC. PLATE/STICKER 4503.21,Ohio University
CFS14-04-25-003706,2014-04-25,13:09,NA,NA,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: ROOM 313,FIRE ALARM,Ohio University
CFS14-04-25-003707,2014-04-25,14:07,NA,NA,SOUTH GREEN DRIVE Common Name: PARKING LOT 54,ANIMAL COMPLAINT,Ohio University
CFS14-04-25-003710,2014-04-25,15:20,2000-01-01,00:00,Common Name: BAKER GARAGE,TRAFFIC CRASH,Ohio University
CFS14-04-25-003720,2014-04-25,23:46,2014-04-25,23:46,100 WEST GREEN DRIVE Common Name: BOYD Location Detail: 3RD FLOOR,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-26-003722,2014-04-26,02:48,2014-04-26,02:48,100 WEST GREEN DRIVE Common Name: BOYD Location Detail: 2ND FLOOR STUDY LOUNGE,INTOXICATED PERSON,Ohio University
CFS14-04-26-003725,2014-04-26,04:05,2014-04-26,04:05,45 EAST GREEN STREET Common Name: LINCOLN HALL Location Detail: 3RD FLOOR WOMEN'S SHOWER,INTOXICATED PERSON,Ohio University
CFS14-04-26-003729,2014-04-26,07:00,2014-04-26,03:00,71 SOUTH GREEN DRIVE Common Name: CRAWFORD,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-26-003730,2014-04-26,08:00,NA,NA,MILL STREET Common Name: MILL STREET Location Detail: AT N MCKINLEY AVENUE,TRAFFIC DETAIL,Ohio University
CFS14-04-26-003731,2014-04-26,11:41,2014-04-26,11:40,Common Name: SOUTH GREEN GARAGE,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-26-003734,2014-04-26,16:36,2014-04-26,02:30,69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: ROOM 209,THEFT OFFENSE,Ohio University
CFS14-04-26-003742,2014-04-26,22:08,NA,NA,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL Location Detail: ROOM 407,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-27-003745,2014-04-27,00:01,NA,NA,50 EAST GREEN STREET Common Name: BUSH Location Detail: ROOM # 419,POSSESSION OF  CONTROLLED SUBSTANCES,Ohio University
CFS14-04-27-003746,2014-04-27,00:50,2014-04-27,00:50,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM # 406,INTOXICATED PERSON,Ohio University
CFS14-04-27-003747,2014-04-27,00:58,NA,NA,SOUTH GREEN DRIVE Common Name: ADAMS HALL,FIRE ALARM,Ohio University
CFS14-04-27-003749,2014-04-27,01:47,NA,NA,DAIRY LANE Common Name: DAIRY LANE Location Detail: PARK AREA,DESTRUCTION OF PROPERTY,Ohio University
CFS14-04-27-003748,2014-04-27,01:47,NA,NA,STEWART ST. Common Name: STEWART STREET,TRAFFIC SPEED 4511.21,Ohio University
CFS14-04-27-003753,2014-04-27,03:12,NA,NA,STATE STREET Common Name: EAST STATE STREET Location Detail: 57 E STATE ST./SAE FRATERNITY,NOISE COMPLAINT,Ohio University
CFS14-04-27-003754,2014-04-27,03:21,NA,NA,SOUTH GREEN Common Name: SOUTH GREEN Location Detail: BASKETBALL COURT,NOISE COMPLAINT,Ohio University
