case_number,date_reported,time_reported,incident,location,university,date_occurred,time_occurred
142330050,2014-08-21,08:06,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
142330069,2014-08-21,10:35,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
142330077,2014-08-21,11:21,Larceny from a veh. (personal prop),LOT M-55,University of Michigan-Ann Arbor,NA,NA
142330085,2014-08-21,12:06,Larceny from a building,BRIARWOOD FAMILY PRACTICE  **,University of Michigan-Ann Arbor,NA,NA
142330101,2014-08-21,13:45,Larceny from a building,CARDIOVASCULAR CENTER **,University of Michigan-Ann Arbor,NA,NA
142330108,2014-08-21,14:26,Property damage (accidental),M-18 P2 NORTH SIDE,University of Michigan-Ann Arbor,NA,NA
142330117,2014-08-21,15:10,Traffic accident (hit & run),LOT M-15,University of Michigan-Ann Arbor,NA,NA
142330144,2014-08-21,19:13,Violation of controlled substances,CHURCH CARPORT,University of Michigan-Ann Arbor,NA,NA
142330156,2014-08-21,20:58,Ambulance request,DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142340026,2014-08-22,03:59,Assist other agency,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142340028,2014-08-22,04:06,Indecent exposure,NA,University of Michigan-Ann Arbor,NA,NA
142340045,2014-08-22,07:38,Traffic Accident w/Injuries,NA,University of Michigan-Ann Arbor,NA,NA
142340049,2014-08-22,07:59,Alarm - fire (intentional),EAST HALL,University of Michigan-Ann Arbor,NA,NA
142340058,2014-08-22,08:59,Suspicious circumstances,LAW QUAD,University of Michigan-Ann Arbor,NA,NA
142340105,2014-08-22,13:17,Larceny from a building,HATCHER GRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
142340115,2014-08-22,14:24,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
142340117,2014-08-22,14:43,Property damage (accidental),NORTHWOOD V,University of Michigan-Ann Arbor,NA,NA
142340144,2014-08-22,18:28,C.S.C. 4th degree,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142350002,2014-08-23,00:12,Obstructing Justice,NA,University of Michigan-Ann Arbor,NA,NA
142350069,2014-08-23,12:57,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
142350079,2014-08-23,14:54,Unlawful entry,TRANSPORTATION SERVICES,University of Michigan-Ann Arbor,NA,NA
142350087,2014-08-23,16:58,Ordinance - Soliciting on Grounds,DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142350090,2014-08-23,17:13,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
142350097,2014-08-23,19:09,Ambulance request,RUTHVEN MUSEUM,University of Michigan-Ann Arbor,NA,NA
142350098,2014-08-23,19:34,Traffic violation (criminal),LOT N-27  DOCK OF LSI BLDG,University of Michigan-Ann Arbor,NA,NA
142350104,2014-08-23,20:47,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
142350109,2014-08-23,21:49,Fraudulent activities,STUDENT HEALTH SERVICES,University of Michigan-Ann Arbor,NA,NA
142350129,2014-08-23,23:36,Fireworks complaint,LAW QUAD,University of Michigan-Ann Arbor,NA,NA
142360023,2014-08-24,02:11,Ordinance - Urinating in Public,NA,University of Michigan-Ann Arbor,NA,NA
142360030,2014-08-24,02:57,Assist other agency,NA,University of Michigan-Ann Arbor,NA,NA
142360079,2014-08-24,13:00,Assist other agency,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142360106,2014-08-24,19:28,Larceny (other),EAST QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142360118,2014-08-24,22:29,Violation of controlled substances,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142370009,2014-08-25,01:05,Disorder person(s),LOT M-10,University of Michigan-Ann Arbor,NA,NA
142370012,2014-08-25,01:44,Minors in possession of alcohol,LAW QUAD,University of Michigan-Ann Arbor,NA,NA
142370023,2014-08-25,04:02,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
142370045,2014-08-25,07:51,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
142370070,2014-08-25,10:01,Chemical spill / leak,ELECTRICAL ENGINEERING,University of Michigan-Ann Arbor,NA,NA
142370106,2014-08-25,13:27,Chemical spill / leak,BREHM TOWER,University of Michigan-Ann Arbor,NA,NA
142370126,2014-08-25,15:26,Disorder person(s),WEST HALL ARCH,University of Michigan-Ann Arbor,NA,NA
142370131,2014-08-25,15:41,Disorder person(s),NORTH CAMPUS STORAGE,University of Michigan-Ann Arbor,NA,NA
142370132,2014-08-25,15:44,"Assault, non-aggravated",City of Ann Arbor,University of Michigan-Ann Arbor,NA,NA
142370137,2014-08-25,17:04,Larceny from a building,HATCHER GRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
142370149,2014-08-25,19:50,Assist other agency,PIERPONT  COMMONS,University of Michigan-Ann Arbor,NA,NA
142370170,2014-08-25,22:33,Ambulance request,WALGREEN DRAMA CENTER,University of Michigan-Ann Arbor,NA,NA
142370175,2014-08-25,22:54,"Ordinance - Skateboards, Roller Blades",THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
142380014,2014-08-26,02:59,Minors in possession of alcohol,NA,University of Michigan-Ann Arbor,NA,NA
142380053,2014-08-26,09:25,Domestic Dispute/Assault,SCHOOL OF DENTISTRY,University of Michigan-Ann Arbor,NA,NA
142380055,2014-08-26,09:42,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
142380077,2014-08-26,12:09,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
142380078,2014-08-26,12:11,Missing person,EAST QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142380083,2014-08-26,12:32,Traffic accident (hit & run),LOT NC-60,University of Michigan-Ann Arbor,NA,NA
142380087,2014-08-26,12:56,Ambulance request,MEDICAL SCIENCE UNIT I,University of Michigan-Ann Arbor,NA,NA
142380089,2014-08-26,13:09,"Assault, non-aggravated",DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142380115,2014-08-26,15:30,Traffic Accident (off roadway),SCHOOL OF DENTISTRY,University of Michigan-Ann Arbor,NA,NA
142380118,2014-08-26,15:50,Ambulance request,MOSHER-JORDAN HALL,University of Michigan-Ann Arbor,NA,NA
142380139,2014-08-26,17:56,Property damage (accidental),VERA BAITS II ZIWET HOUSE,University of Michigan-Ann Arbor,NA,NA
142380140,2014-08-26,17:58,Personal injury (non-traffic),CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
142380154,2014-08-26,19:11,Trespassing,DUDERSTADT BLDG,University of Michigan-Ann Arbor,NA,NA
142380180,2014-08-26,22:47,Property damage (accidental),SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142380181,2014-08-26,22:47,Violation of controlled substances,VERA BAITS II COMAN HOUSE,University of Michigan-Ann Arbor,NA,NA
142390003,2014-08-27,00:10,Ordinance - Urinating in Public,MARTHA COOK RESIDENCE,University of Michigan-Ann Arbor,NA,NA
142390011,2014-08-27,00:46,Fraudulent activities,MOTT CHILD VON VOIGTLANDER WMN,University of Michigan-Ann Arbor,NA,NA
142390029,2014-08-27,04:47,Larceny from a building,TOWSLEY CENTER,University of Michigan-Ann Arbor,NA,NA
142390042,2014-08-27,06:26,Trespassing,NA,University of Michigan-Ann Arbor,NA,NA
142390100,2014-08-27,11:45,Ambulance request,STUDENT HEALTH SERVICES,University of Michigan-Ann Arbor,NA,NA
142390114,2014-08-27,12:45,Suspicious circumstances,NA,University of Michigan-Ann Arbor,NA,NA
142390122,2014-08-27,13:31,MDOP - other graffiti,LOT E-10,University of Michigan-Ann Arbor,NA,NA
142390149,2014-08-27,17:08,Larceny (other),SAMUEL TRASK DANA,University of Michigan-Ann Arbor,NA,NA
142390156,2014-08-27,18:32,Larceny (other),THOMAS COOLEY MEM FOUNT MALL,University of Michigan-Ann Arbor,NA,NA
142390175,2014-08-27,20:21,Prostitution,NQ RESIDENTIAL & ACADEMIC,University of Michigan-Ann Arbor,NA,NA
142390187,2014-08-27,22:34,Personal injury (non-traffic),SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142390192,2014-08-27,22:53,Minors in possession of alcohol,VANDENBERG HOUSE,University of Michigan-Ann Arbor,NA,NA
142390194,2014-08-27,23:06,Trespassing,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142400011,2014-08-28,01:55,Assist other agency,LOT NC-78,University of Michigan-Ann Arbor,NA,NA
142400012,2014-08-28,01:59,Minors in possession of alcohol,EAST QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142400013,2014-08-28,02:24,O.U.I.L. or O.U.I.D.,NA,University of Michigan-Ann Arbor,NA,NA
142400014,2014-08-28,02:26,Minors in possession of alcohol,EAST QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142400023,2014-08-28,03:41,Assist other agency,NA,University of Michigan-Ann Arbor,NA,NA
142400065,2014-08-28,09:35,Larceny from a veh. (personal prop),NA,University of Michigan-Ann Arbor,NA,NA
142400066,2014-08-28,09:47,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
142400091,2014-08-28,12:49,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
142400103,2014-08-28,14:41,Suspicious circumstances,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142400116,2014-08-28,16:55,Personal injury (non-traffic),NA,University of Michigan-Ann Arbor,NA,NA
142400123,2014-08-28,17:56,Violation of controlled substances,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142400124,2014-08-28,17:58,Disorder person(s),NA,University of Michigan-Ann Arbor,NA,NA
142400126,2014-08-28,18:51,Minors in possession of alcohol,DUDERSTADT BLDG,University of Michigan-Ann Arbor,NA,NA
142400135,2014-08-28,20:49,Personal injury (non-traffic),NORTHWOOD III APTS 1-48,University of Michigan-Ann Arbor,NA,NA
142400160,2014-08-28,23:45,Ambulance request,DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142400162,2014-08-28,23:49,Minors in possession of alcohol,NA,University of Michigan-Ann Arbor,NA,NA
142410002,2014-08-29,00:07,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
142410005,2014-08-29,00:24,Minors in possession of alcohol,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
142410006,2014-08-29,00:25,"Fire, accidental",ANGELL HALL,University of Michigan-Ann Arbor,NA,NA
142410007,2014-08-29,00:33,Minors in possession of alcohol,EAST QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142410015,2014-08-29,01:08,Minors in possession of alcohol,NA,University of Michigan-Ann Arbor,NA,NA
142410016,2014-08-29,01:11,Obstructing police,NA,University of Michigan-Ann Arbor,NA,NA
142410024,2014-08-29,01:44,Minors in possession of alcohol,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142410029,2014-08-29,02:05,Minors in possession of alcohol,LOT NW-10,University of Michigan-Ann Arbor,NA,NA
142410030,2014-08-29,02:13,Ambulance request,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142410038,2014-08-29,02:39,Arson,NA,University of Michigan-Ann Arbor,NA,NA
142410042,2014-08-29,03:08,Minors in possession of alcohol,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142440099,2014-09-01,11:13,Ambulance request,VERA BAITS II COMAN HOUSE,University of Michigan-Ann Arbor,NA,NA
142440122,2014-09-01,14:38,Ordinance - Soliciting on Grounds,DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142440124,2014-09-01,14:52,Suspicious circumstances,M-22 CARPORT,University of Michigan-Ann Arbor,NA,NA
142440128,2014-09-01,16:17,Personal injury (non-traffic),INTRAMURAL SPORTS BUILDING,University of Michigan-Ann Arbor,NA,NA
142440157,2014-09-01,20:54,Violation of controlled substances,NQ RESIDENTIAL & ACADEMIC,University of Michigan-Ann Arbor,NA,NA
142440182,2014-09-01,23:33,Suspicious circumstances,NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
142440184,2014-09-01,23:43,Traffic violation (criminal),PIERPONT  COMMONS,University of Michigan-Ann Arbor,NA,NA
142450002,2014-09-02,00:02,Trespassing,SHAPIRO UNDERGRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
142450003,2014-09-02,00:02,Ambulance request,HELEN NEWBERRY DORMITORY,University of Michigan-Ann Arbor,NA,NA
142450018,2014-09-02,01:23,Trespassing,SHAPIRO UNDERGRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
142450069,2014-09-02,08:27,Trespassing,HATCHER GRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
142450091,2014-09-02,10:58,Larceny from a building,MOTT CHILD VON VOIGTLANDER WMN,University of Michigan-Ann Arbor,NA,NA
142450107,2014-09-02,13:01,Violation of controlled substances,LOT NC-45,University of Michigan-Ann Arbor,NA,NA
142450128,2014-09-02,15:54,"Smoke, smell of",SCHOOL OF DENTISTRY,University of Michigan-Ann Arbor,NA,NA
142450138,2014-09-02,17:46,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
142450142,2014-09-02,18:20,Violation of controlled substances,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
142450144,2014-09-02,19:07,Personal injury (non-traffic),BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142450148,2014-09-02,19:51,"Assault, non-aggravated",U HOSPITAL EMERGENCY ROOM,University of Michigan-Ann Arbor,NA,NA
142450151,2014-09-02,20:03,Trespassing,ALICE LLOYD HALL,University of Michigan-Ann Arbor,NA,NA
142460003,2014-09-03,00:06,Personal injury (non-traffic),STOCKWELL HALL,University of Michigan-Ann Arbor,NA,NA
142460021,2014-09-03,02:32,Operating while intoxicated,NA,University of Michigan-Ann Arbor,NA,NA
142460024,2014-09-03,02:50,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
142460035,2014-09-03,05:58,Traffic Accident (off roadway),LOT NC-99 BY NCRC BLDG 73,University of Michigan-Ann Arbor,NA,NA
142460066,2014-09-03,09:48,Suspicious circumstances,MICHIGAN LEAGUE,University of Michigan-Ann Arbor,NA,NA
142460068,2014-09-03,09:49,Embezzlement,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
142460086,2014-09-03,11:37,Ambulance request,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142460092,2014-09-03,12:45,Personal injury (non-traffic),UNDERGRADUATE SCIENCE BLDG,University of Michigan-Ann Arbor,NA,NA
142460100,2014-09-03,13:39,Ambulance request,MOSHER-JORDAN HALL,University of Michigan-Ann Arbor,NA,NA
142460102,2014-09-03,13:59,Larceny from a building,CANCER CENTER,University of Michigan-Ann Arbor,NA,NA
142460143,2014-09-03,19:13,Personal injury (non-traffic),BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142460154,2014-09-03,21:10,Larceny (other),INTRAMURAL SPORTS BUILDING,University of Michigan-Ann Arbor,NA,NA
142460175,2014-09-03,23:54,Minors in possession of alcohol,VANDENBERG HOUSE,University of Michigan-Ann Arbor,NA,NA
142470008,2014-09-04,01:13,Assist other agency,DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142470015,2014-09-04,03:25,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
142470074,2014-09-04,10:20,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142470076,2014-09-04,10:21,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
142470097,2014-09-04,13:03,Suspicious circumstances,DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142470099,2014-09-04,13:07,Malicious destruction,DIAGONAL,University of Michigan-Ann Arbor,NA,NA
142470122,2014-09-04,15:14,Disorder person(s),NA,University of Michigan-Ann Arbor,NA,NA
142470123,2014-09-04,15:34,Property damage (accidental),WEILL HALL,University of Michigan-Ann Arbor,NA,NA
142470124,2014-09-04,15:48,Unlawful entry,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
142470131,2014-09-04,16:47,"Smoke, smell of",NA,University of Michigan-Ann Arbor,NA,NA
142470135,2014-09-04,16:58,Suspicious circumstances,ELECTRICAL ENGINEERING,University of Michigan-Ann Arbor,NA,NA
142470153,2014-09-04,19:35,Ambulance request,"N'WEST LVL 1, FLETCHER CARPORT",University of Michigan-Ann Arbor,NA,NA
142470168,2014-09-04,21:54,Obstructing Justice,WASHTENAW COUNTY JAIL,University of Michigan-Ann Arbor,NA,NA
142470179,2014-09-04,23:12,Ambulance request,WEST CC LITTLE S OF NU BUS STO,University of Michigan-Ann Arbor,NA,NA
142480022,2014-09-05,01:49,Violation of controlled substances,FLETCHER HALL,University of Michigan-Ann Arbor,NA,NA
142480024,2014-09-05,01:54,Minors in possession of alcohol,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142480039,2014-09-05,04:06,Trespassing,CHURCH CARPORT,University of Michigan-Ann Arbor,NA,NA
142480047,2014-09-05,06:02,Trespassing,STUDENT HEALTH SERVICES,University of Michigan-Ann Arbor,NA,NA
142480055,2014-09-05,07:12,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142480068,2014-09-05,08:26,Trespassing,BOB AND BETTY BEYSTER BUILDING,University of Michigan-Ann Arbor,NA,NA
142480076,2014-09-05,09:16,Assist other agency,NA,University of Michigan-Ann Arbor,NA,NA
142480078,2014-09-05,09:39,Fraudulent activities,EAST ANN ARBOR MED CENTER**,University of Michigan-Ann Arbor,NA,NA
142480087,2014-09-05,10:36,Suspicious circumstances,NA,University of Michigan-Ann Arbor,NA,NA
142480095,2014-09-05,11:33,Ambulance request,COMMUNITY DENTAL HEALTH CLINIC,University of Michigan-Ann Arbor,NA,NA
142480116,2014-09-05,14:00,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142480169,2014-09-05,19:53,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
142480179,2014-09-05,20:37,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142480182,2014-09-05,21:02,Trespassing,BIOMEDICAL SCI RESEARCH BLDG,University of Michigan-Ann Arbor,NA,NA
142480184,2014-09-05,21:20,Minors in possession of alcohol,NA,University of Michigan-Ann Arbor,NA,NA
142480187,2014-09-05,21:27,Larceny (other),UNIVERSITY GOLF COURSE,University of Michigan-Ann Arbor,NA,NA
142480192,2014-09-05,22:30,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142480194,2014-09-05,22:41,Minors in possession of alcohol,NA,University of Michigan-Ann Arbor,NA,NA
142480207,2014-09-05,23:45,Missing person,LOT NC-43 2100 BLK FULLER RD,University of Michigan-Ann Arbor,NA,NA
142490007,2014-09-06,00:38,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142490009,2014-09-06,00:43,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
142490014,2014-09-06,01:17,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
142490016,2014-09-06,01:19,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142490017,2014-09-06,01:22,Minors in possession of alcohol,EAST QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142490018,2014-09-06,01:26,Minors in possession of alcohol,NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
142490023,2014-09-06,01:41,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142490028,2014-09-06,02:01,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142490067,2014-09-06,07:10,Suspicious circumstances,G.G. BROWN,University of Michigan-Ann Arbor,NA,NA
142490089,2014-09-06,09:58,Malicious destruction,MICHIGAN STADIUM,University of Michigan-Ann Arbor,NA,NA
142490091,2014-09-06,10:24,Ambulance request,ELECTRICAL ENGINEERING,University of Michigan-Ann Arbor,NA,NA
142490094,2014-09-06,10:34,MDOP - other graffiti,THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
142490120,2014-09-06,14:07,Ambulance request,SPACE RESEARCH,University of Michigan-Ann Arbor,NA,NA
142490134,2014-09-06,16:30,Personal injury (non-traffic),LOT NC-3,University of Michigan-Ann Arbor,NA,NA
142490139,2014-09-06,17:22,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142490145,2014-09-06,18:43,Ambulance request,CHEEVER HOUSE,University of Michigan-Ann Arbor,NA,NA
142490146,2014-09-06,18:58,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142490153,2014-09-06,19:42,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142490154,2014-09-06,19:46,Violation of controlled substances,THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
142490157,2014-09-06,19:53,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142490159,2014-09-06,20:19,Motor vehicle theft,THOMPSON CARPORT,University of Michigan-Ann Arbor,NA,NA
142490168,2014-09-06,21:47,Minors in possession of alcohol,NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
142490170,2014-09-06,22:01,Suspicious circumstances,NORTH CAMPUS STORAGE,University of Michigan-Ann Arbor,NA,NA
142490172,2014-09-06,22:17,Minors in possession of alcohol,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142490174,2014-09-06,22:24,Ambulance request,COUZENS HALL,University of Michigan-Ann Arbor,NA,NA
142490177,2014-09-06,22:35,Ambulance request,COUZENS HALL,University of Michigan-Ann Arbor,NA,NA
142490186,2014-09-06,23:45,Larceny (other),THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
142500003,2014-09-07,00:17,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
142500004,2014-09-07,00:25,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142500005,2014-09-07,00:29,Ambulance request,MOSHER-JORDAN HALL,University of Michigan-Ann Arbor,NA,NA
142500014,2014-09-07,01:40,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
142500021,2014-09-07,02:23,Assist other agency,NA,University of Michigan-Ann Arbor,NA,NA
142500066,2014-09-07,09:24,Violation of controlled substances,NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
142500102,2014-09-07,15:16,Ambulance request,NCRC #16 WEST BUILDING,University of Michigan-Ann Arbor,NA,NA
142500103,2014-09-07,15:20,Ambulance request,NICHOLS ARBORETUM,University of Michigan-Ann Arbor,NA,NA
142500104,2014-09-07,15:34,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
142500106,2014-09-07,15:55,Larceny (other),UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
142500133,2014-09-07,20:13,Disorder person(s),EARL V MOORE BUILDING,University of Michigan-Ann Arbor,NA,NA
142500140,2014-09-07,20:59,Larceny from a building,SHAPIRO UNDERGRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
142510014,2014-09-08,01:00,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
142510015,2014-09-08,01:07,Suspicious circumstances,NICHOLS ARBORETUM,University of Michigan-Ann Arbor,NA,NA
142510020,2014-09-08,02:03,Minors in possession of alcohol,THOMPSON CARPORT,University of Michigan-Ann Arbor,NA,NA
142510082,2014-09-08,10:51,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142510086,2014-09-08,11:05,Suspicious circumstances,LIFE SCIENCES INSTITUTE BLDG,University of Michigan-Ann Arbor,NA,NA
142510091,2014-09-08,11:41,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
142510093,2014-09-08,11:57,"Assault, non-aggravated",NA,University of Michigan-Ann Arbor,NA,NA
142510103,2014-09-08,13:46,Larceny from a veh. (personal prop),M-18 CARPORT,University of Michigan-Ann Arbor,NA,NA
142510105,2014-09-08,13:53,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
142510110,2014-09-08,14:43,Larceny from a veh. (personal prop),LOT W-1,University of Michigan-Ann Arbor,NA,NA
142510123,2014-09-08,15:49,Traffic accident (hit & run),LOT M-79,University of Michigan-Ann Arbor,NA,NA
142510124,2014-09-08,15:54,"Assault, non-aggravated",U HOSPITAL EMERGENCY ROOM,University of Michigan-Ann Arbor,NA,NA
142510125,2014-09-08,16:03,Larceny (other),NORTHWOOD COMMUNITY CENTER,University of Michigan-Ann Arbor,NA,NA
142510130,2014-09-08,17:06,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
142510149,2014-09-08,21:16,Ambulance request,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142510156,2014-09-08,22:11,Suspicious circumstances,HURON,University of Michigan-Ann Arbor,NA,NA
142510158,2014-09-08,22:26,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
142510171,2014-09-08,23:31,Malicious destruction,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142520003,2014-09-09,00:21,Operating while intoxicated,NA,University of Michigan-Ann Arbor,NA,NA
142520004,2014-09-09,00:34,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
142520052,2014-09-09,08:25,Larceny from a veh. (personal prop),LOT NC-46,University of Michigan-Ann Arbor,NA,NA
142520078,2014-09-09,11:29,Larceny from a building,MEDICAL INN,University of Michigan-Ann Arbor,NA,NA
142520096,2014-09-09,13:28,Property damage (accidental),LOT NC-99 BY NCRC BLDG 73,University of Michigan-Ann Arbor,NA,NA
142520101,2014-09-09,13:56,Ambulance request,NCRC #16 WEST BUILDING,University of Michigan-Ann Arbor,NA,NA
142520121,2014-09-09,15:58,Personal injury (non-traffic),NA,University of Michigan-Ann Arbor,NA,NA
142520125,2014-09-09,16:38,Ambulance request,BRIARWOOD MED REHAB BLDG 4 **,University of Michigan-Ann Arbor,NA,NA
142520131,2014-09-09,17:32,"Ordinance - Skateboards, Roller Blades",HILL CARPORT,University of Michigan-Ann Arbor,NA,NA
142520145,2014-09-09,19:56,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
142520147,2014-09-09,20:20,Larceny from a building,NORTH CAMPUS RECREATION BLDG.,University of Michigan-Ann Arbor,NA,NA
142520162,2014-09-09,22:20,Personal injury (non-traffic),INTRAMURAL SPORTS BUILDING,University of Michigan-Ann Arbor,NA,NA
142530006,2014-09-10,00:15,Traffic Accident (off roadway),THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
142530019,2014-09-10,02:13,Suspicious circumstances,NA,University of Michigan-Ann Arbor,NA,NA
142530033,2014-09-10,04:21,Larceny from a building,MOTT CHILD VON VOIGTLANDER WMN,University of Michigan-Ann Arbor,NA,NA
142530056,2014-09-10,07:21,Assist other agency,GRAHAM SUSTAINABILITY INSTITUT,University of Michigan-Ann Arbor,NA,NA
142530066,2014-09-10,09:11,Traffic Accident (off roadway),LOT SC-11,University of Michigan-Ann Arbor,NA,NA
142530077,2014-09-10,10:19,Traffic Accident (off roadway),AUXILLARY SERVICES BLDG II,University of Michigan-Ann Arbor,NA,NA
142530081,2014-09-10,10:35,Property damage (accidental),ART AND ARCHITECTURE,University of Michigan-Ann Arbor,NA,NA
142530090,2014-09-10,11:30,Larceny from a building,CARDIOVASCULAR CENTER **,University of Michigan-Ann Arbor,NA,NA
142530097,2014-09-10,11:50,Larceny from a building,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
