case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
"OCA
2015-0148",2015-02-06,14:49,2015-02-06,11:00,"Upper Minges
Lot",East Carolina University,Larceny
"OCA
2015-0150",2015-02-06,23:56,2015-02-06,23:56,Aycock Hall,East Carolina University,Underage Alcohol (3)
"OCA
2015-0151",2015-02-06,23:58,2015-02-06,23:58,"West Arlington
Ave.",East Carolina University,Possession of Marijuana Possession of Drug Paraphenalia
"OCA
2015-0152",2015-02-07,01:00,2015-02-07,01:00,Fourth St.,East Carolina University,"Careless & Reckless
DWI"
"OCA
2015-0153",2015-02-07,02:19,2015-02-07,02:19,Fifth Street,East Carolina University,Provisionsl DWI
"OCA
2015-0155",2015-02-07,02:25,2015-02-07,02:25,"Third & Reade
St.",East Carolina University,DWI
"OCA
2015-0156",2015-02-08,00:09,2015-02-08,00:09,"1700 E Fourth
St",East Carolina University,Underage Alcohol
"OCA
2015-0157",2015-02-08,01:28,2015-02-08,01:28,Clement hall,East Carolina University,Underage Alcohol
"OCA
2015-0158",2015-02-08,02:51,2015-02-08,02:51,Fifth & Elm Sts.,East Carolina University,Possession of Marijuana DWI
"OCA
2015-0159",2015-02-08,00:00,2015-02-08,00:00,Clement hall,East Carolina University,"Damage to State
Property
Larceny"
"OCA
2015-0160",2015-02-08,13:04,2015-02-08,13:04,Cotten Hall,East Carolina University,Possession of Marijuana Possession of Drug Paraphenalia
"OCA
2015-0161",2015-02-08,18:00,2015-02-08,18:00,White Hall,East Carolina University,Injury to Real Property
"OCA
2015-0162",2015-02-08,18:37,2015-02-08,18:37,Tenth & College Hill,East Carolina University,"Possession of
Marijuana
Warrant Service/Other
Agency"
"OCA
2015-0163",2015-02-08,20:57,2015-02-08,20:57,Fourteenth St. Parking Lot,East Carolina University,Possession of Marijuana Possession of Drug Paraphenalia
"OCA
2015-0164",2015-02-09,15:55,2015-02-08,15:55,"White
Residence Hall",East Carolina University,"Larceny
Injury to Personal
Property"
"OCA
2015-0166",2015-02-10,01:43,2015-02-10,01:43,First & Woodlawn,East Carolina University,Possession of Marijuana (3) Possession of Drug Paraphenalia (3)
"OCA
2015-0169",2015-02-10,16:43,2015-01-12,09:00,"Althletics
Complex",East Carolina University,Felony Larceny
"OCA
2015-0170",NA,NA,NA,NA,Tenth St.,East Carolina University,PWISD Marijuana
"OCA
2015-0171",2015-02-11,20:54,2015-02-11,20:54,Umstead Hall,East Carolina University,"Possession of Marijuana Possession of Drug Paraphenalia
Possession of Alcohol"
"OCA
2015-0174",2015-02-11,15:16,NA,10:30,Cotten Hall,East Carolina University,Larceny
"OCA
2015-0175",2015-02-08,14:51,NA,14:51,Tenth & Founders Dr.,East Carolina University,"Driving While License
Revoked
Warrant Service/Other
Agency"
"OCA
2015-0179",NA,10:09,2015-02-12,10:09,Old Cafeteria,East Carolina University,Hit & Run
"OCA
2015-0182",2015-12-08,23:26,2015-02-12,23:26,Cotten Hall,East Carolina University,Underage Consumption
"OCA
2015-0183",2015-02-13,01:47,2015-02-13,01:47,Jarvis & E. Third Sts.,East Carolina University,"Driving While Impaired Provisional DWI
Underage Consumption"
"OCA
2015-0185",2015-02-13,14:19,2015-02-13,14:19,"Cotton
Residence Hall",East Carolina University,"Simple Possession of
Marijuana Possession of Drug Paraphenalia"
"OCA
2015-0186",2015-02-13,18:59,2015-02-13,18:59,Jones Hall,East Carolina University,"Posession of Marijuana Possession of Drug Paraphenalia
Underage Possession of
Alcohol"
"OCA
2015-0187",2015-02-13,19:35,2015-02-13,19:20,Graham,East Carolina University,Larceny
"OCA
2015-0188",2015-02-13,21:20,2015-02-13,21:20,Firetower Road,East Carolina University,DWI
"OCA
2015-0190",2015-02-14,00:10,2015-02-14,00:10,"Rock Springs
Road",East Carolina University,"Warrant Service/Other
Agency"
"OCA
2015-0191",2015-02-14,02:20,2015-02-14,02:20,Third St. & Woodlawn,East Carolina University,DWI
"OCA
2015-0192",2015-02-14,11:18,2015-02-14,11:18,E Tenth & Evans Sts.,East Carolina University,"Driving While License
Revoked
Warrant Service/Other
Agency"
"OCA
2015-0193",2015-02-15,23:53,2015-02-15,23:53,Fletcher,East Carolina University,Damage to Property
"OCA
2015-0194",2015-02-15,01:53,2015-02-15,01:53,Reade & Second Sts.,East Carolina University,"DWI
Resist, Delay Obstruct"
"OCA
2015-0195",2015-02-15,08:24,2015-02-15,08:24,"Minges Parking
Area",East Carolina University,Misuse of 911 Line Possession of Drugs on Prision Property
"OCA
2015-0199",2015-02-17,09:56,2015-02-17,09:56,Tyler Hall,East Carolina University,"Possession of < 1/2 oz
Marijuana"
"OCA
2015-0200",2015-02-17,18:15,2015-02-17,18:15,"Curry Court
PVA",East Carolina University,Possession of Marijuana (3) Possession of Drup Paraphenalia (3)
"OCA
2015-0201",2015-02-17,20:30,2015-02-17,20:30,Aycock Hall,East Carolina University,"Possession of Schedule
II (m)
Possession of Schedule
II (f)"
"OCA
2015-0202",2015-02-17,20:45,2015-02-17,20:45,Aycock Hall,East Carolina University,"Possession of Schedule
III Steriods
Underage Alcohol (9)"
"OCA
2015-0204",2015-02-18,00:41,2015-02-18,00:41,Jones Hall,East Carolina University,Possession of Marijuana (1) Possession of Drug Paraphenalia (2) Underage Alcohol (1)
"OCA
2015-0206",2015-02-18,09:11,2015-02-18,09:11,"Fletcher
Residence Hall",East Carolina University,"Damage to Real
Property"
"OCA
2015-0208",2015-02-18,18:32,2015-02-18,18:32,Peds Outpatients W. Camp.,East Carolina University,"Resist, Delay Obstruct
LEO
Second Degree
Trespassing"
"OCA
2015-0209",2015-02-18,17:56,2015-02-18,12:50,"Clement
Residence Hall",East Carolina University,Larceny
"OCA
2015-0210",2015-02-18,21:24,2015-02-18,21:24,Student Rec. hall,East Carolina University,Larceny
"OCA
2015-0211",2015-02-18,23:31,2015-02-18,23:30,Garrett Hall,East Carolina University,Larceny
"OCA
2015-0212",2015-02-19,01:12,2015-02-19,01:12,"10th & Clark
Sts.",East Carolina University,Warrant Service/Other Agency Harrassing/Obscene Phone Calls
"OCA
2015-0214",2015-02-20,02:08,2015-02-20,02:08,"Fifth & Reade
Sts.",East Carolina University,"Intoxicated & Disruptive
Resist, Delay Obstruct"
"OCA
2015-0217",2015-02-20,15:53,2015-02-20,15:00,Aycock Hall,East Carolina University,Larceny
"OCA
2015-0218",2015-02-20,18:16,2015-02-20,16:50,"West End
Dining",East Carolina University,Larceny
"OCA
2015-0219",2015-02-20,19:47,2015-02-20,19:47,Tyler Hall,East Carolina University,Possession Marijuana Possession Drug Paraphenalia
"OCA
2015-0220",2015-02-21,00:47,2015-02-20,00:45,Reade St.,East Carolina University,Damage to Property
"OCA
2015-0221",2015-02-21,03:17,2015-02-21,03:17,River Driv,East Carolina University,"DWI
Resist, Delay Obstruct
Communicate Threats"
"OCA
2015-0223",2015-02-21,23:09,2015-02-21,23:09,Providence Apt. Complex,East Carolina University,"Possession of
Marijuana"
"OCA
2015-0225",2015-02-22,04:23,2015-02-22,04:23,College Hill,East Carolina University,DWI
"OCA
2015-0226",2015-02-22,02:45,2015-02-22,02:45,"Chancellor's
Way",East Carolina University,Underage Alcohol (2)
"OCA
2015-0227",2015-02-22,08:07,2015-02-22,08:04,College Hill,East Carolina University,Hit & Run
"OCA
2015-0229",2015-02-22,08:07,2015-02-22,08:07,Tenth Sts.,East Carolina University,"DWI
Poss Drug Paraphenalia False Info to LEO Resist, Obatruct Delay No Operator's License
Warrant Service/Other
Agency
For the Following
Charges
Fail To Registered as
Sex Offender Assault on Female Damage to Property"
"OCA
2015-0229",2015-02-23,16:36,2015-02-23,16:36,"White
Residence Hall",East Carolina University,Simple Possession of Marijuana (2) Possession of Drug Paraphenalia (2)
"OCA
2015-0231",2015-02-23,22:00,2015-02-23,22:00,"Fletcher
Residence Hall",East Carolina University,Larceny
"OCA
2015-0234",2015-02-24,11:27,2015-02-20,14:45,"Scott Residence
Hall",East Carolina University,Larceny
"OCA
2015-0235",2015-02-24,18:00,2015-02-24,21:00,"Umstead
Residence Hall",East Carolina University,Larceny
"OCA
2015-0236",2015-02-24,23:19,2015-02-24,23:19,Tenth & Cotanche Sts.,East Carolina University,"DWI
Provisional DWI Careless & Reckless"
"OCA
2015-0237",2015-02-25,02:07,2015-02-25,02:07,Clement Hall,East Carolina University,"Underage Possession of
Alcohol Possession of Fraudulent ID"
"OCA
2015-0238",2015-02-25,01:26,2015-02-25,01:26,Clement Hall,East Carolina University,"Underage Possession of
Alcohol Possession of Fraudulent ID"
"OCA
2015-0239",2015-02-25,12:56,2015-02-25,10:56,Student Store,East Carolina University,Larceny
"OCA
2015-0241",2015-02-25,19:52,2015-02-25,17:00,Rivers,East Carolina University,Larceny
"OCA
2015-0243",2015-02-25,10:45,2015-02-25,10:45,Scott Hall,East Carolina University,"Possession Marijuana
(2)
Possession Drug Paraphenalia (3) Destroy Criminal Evidence (1) Underage Alcohol (1)"
"OCA
2015-0244",2015-02-26,13:55,2015-02-26,13:55,Umstead Hall,East Carolina University,"Damage to Coin
Operated Machine"
"OCA
2015-0245",2015-02-26,20:58,2015-02-26,20:58,White Hall,East Carolina University,"Possession of Drug
Paraphenalia (2) Possession Schedule II (1)
Possession Marijuana
(1)
Possession of Drug
Paraphenalia(2)"
"OCA
2015-0246",2015-02-27,02:36,2015-02-27,02:36,Fifth St.,East Carolina University,"DWI
Possession of Drug
Paraphenalia"
"OCA
2015-0247",2015-02-27,03:30,2015-02-27,03:30,Fifth St.,East Carolina University,Underage Alcohol (2)
"OCA
2015-0248",2015-02-27,04:48,2015-02-27,04:48,Fifth St.,East Carolina University,Underage Alcohol
"OCA
2015-0250",2015-02-27,14:18,2015-02-27,14:18,College Hill,East Carolina University,Sexual Battery
"OCA
2015-0251",2015-02-27,16:58,2015-02-27,16:58,Clement Hall,East Carolina University,Larceny
"OCA
2015-0253",2015-02-28,00:51,NA,00:51,"Fifth & Harding
Sts.",East Carolina University,"Underage Consumption
Littering"
"OCA
2015-0254",2015-02-28,03:39,2015-02-28,03:39,Aycock Hall,East Carolina University,"Possession Marijuana
Underage Consumption"
"OCA
2015-0255",2015-02-28,11:15,NA,11:15,Tenth Sts.,East Carolina University,DWLR
"OCA
2015-0256",2015-02-28,16:36,2015-02-28,16:30,"Fleming Hall
Rm 150",East Carolina University,Possession Marijuana
"OCA
2015-0257",2015-02-28,20:19,NA,20:19,College Hill & Fourteenth Sts.,East Carolina University,"Warrant Service/Other
Agency"
"OCA
2015-0258",2015-02-28,23:19,NA,NA,"Evans & E. 12th
Sts.",East Carolina University,"Warrant Service/Other
Agency"
"OCA
2015-0259",2015-02-28,22:00,NA,22:00,Clement Hall,East Carolina University,"Damage to Real
Property"
"OCA
2015-0260",2015-03-01,00:07,2015-03-01,00:07,Reade Sts.,East Carolina University,"Underage Possession of
Alcohol"
"OCA
2015-0261",2015-03-01,00:03,2015-03-01,00:02,"Mendenhall
PVA",East Carolina University,Common Law Robbery
"OCA
2015-0262",2015-03-01,00:21,2015-03-01,00:21,Fletcher,East Carolina University,"Molesting Fire
Extinguisher"
"OCA
2015-0263",NA,00:37,2015-03-01,00:37,Reade St.,East Carolina University,Underage Consumption of Alcohol
"OCA
2015-0264",2015-03-01,01:11,2015-03-01,01:11,Reade St.,East Carolina University,Underage Consumption of Alcohol
"OCA
2015-0265",2015-05-29,08:02,2015-05-29,00:00,Facilities Grounds Department,East Carolina University,"Damage to a Coin
Operated Machine"
"OCA
2015-0267",2015-03-01,20:00,NA,20:00,10th @ College Hill Dr.,East Carolina University,Possess Alcohol <21
"OCA
2015-0268",2015-03-01,01:20,NA,01:20,Tenth @ College Hill Dr.,East Carolina University,"Possession Drug
Paraphenalia"
"OCA
2015-0271",2015-03-03,03:11,2015-03-03,03:00,Jones Hall,East Carolina University,"Larceny
Damage to Real
Property"
"OCA
2015-0274",2015-03-04,02:03,NA,02:03,Fifth & Chancellor's Way,East Carolina University,Underage Consumption of Alcohol (2)
"OCA
2015-0275",2015-03-04,12:53,2015-03-04,10:25,Minges PVA Lower Lot,East Carolina University,"Damage to Real
Property"
"OCA
2015-0276",2015-03-04,13:25,2015-03-04,13:25,14th & Haskett Way,East Carolina University,"Possession Drug
Paraphenalia"
"OCA
2015-0278",2015-03-04,19:48,2015-03-04,19:48,Garrett Residence Hall,East Carolina University,"Simple Possession of
Marijuana Possession of Drug Paraphenalia
Underage Possession of alcohol"
"OCA
2015-0279",2015-03-04,22:55,2015-03-04,22:55,Fletcher Residence Hall,East Carolina University,Simple Possession of Marijuana (2) Possession of Drug Paraphenalia (2)
"OCA
2015-0283",NA,15:30,2015-03-01,01:56,"Mendenhall
PVA",East Carolina University,Assault
"OCA
2015-0284",2015-03-06,04:34,2015-03-06,04:34,White Residence Hall,East Carolina University,Ist Degree Trespassing Underage Consumption of Alcohol
"OCA
2015-0286",2015-03-06,01:12,2015-03-06,01:12,White Residence Hall,East Carolina University,1st Degree Trespassing
"OCA
2015-0289",2015-03-06,16:27,2015-03-06,16:27,First Street,East Carolina University,"Carry Concealed
Weapon
Possession Marijuana
DWLR"
"OCA
2015-0295",2015-03-10,12:54,2015-03-10,12:53,Cotanche St.,East Carolina University,Warrant Service
"OCA
2015-0297",2015-03-10,16:36,2015-03-10,16:36,"International
House",East Carolina University,"Second Degree
Trespassing"
"OCA
2015-0298",2015-03-11,13:08,2015-03-11,13:08,"College Hill
Suites",East Carolina University,Damage To Property
"OCA
2015-0301",2015-03-12,14:25,2015-03-12,09:00,BSOM,East Carolina University,"Obtaining Property By
False Pretenses"
"OCA
2015-0302",2015-03-14,00:31,2015-03-14,00:31,Tenth & Charles Blvd.,East Carolina University,DWLR
"OCA
2015-0303",2015-03-14,23:27,2015-03-14,23:27,Forbes & Tenth Sts.,East Carolina University,DWLR
"OCA
2015-0305",2015-03-16,09:27,2015-03-16,09:27,"Brody
Outpatient",East Carolina University,Communicating Threats
"OCA
2015-0308",2015-03-16,11:47,2015-03-16,11:47,Scales,East Carolina University,Hit & Run
"OCA
2015-0309",2015-03-16,16:39,2015-03-07,00:00,Aycock Hall,East Carolina University,Larceny
"OCA
2015-0310",2015-03-16,21:18,2015-03-16,21:10,Tyler Hall 613,East Carolina University,Possession of Marijuana Posssession of Drug Paraphenalia
"OCA
2015-0311",2015-03-17,08:15,2015-03-17,08:15,"Lower Minges
Lot",East Carolina University,"Failure to Report
Accident"
"OCA
2015-0314",2015-03-17,16:20,2015-03-16,16:00,"Student Rec
Center",East Carolina University,Larceny
"OCA
2015-0318",2015-03-18,02:41,2015-03-18,02:41,Fifth St. & Founders Dr.,East Carolina University,"Attempted Assault on a
Female"
"OCA
2015-0323",2015-03-19,18:40,2015-01-27,13:50,Clement hall,East Carolina University,Larceny
"OCA
2015-0326",2015-03-20,11:53,2015-03-20,11:53,Heart Dr.,East Carolina University,Larceny
"OCA
2015-0327",2015-03-20,13:10,2015-03-20,13:10,Tenth St.,East Carolina University,"Possession of Drug
Paraphenalia"
"OCA
2015-0330",2015-03-20,11:53,2015-03-07,14:00,Heart Drive,East Carolina University,Larceny
"OCA
2015-0331",2015-03-20,11:53,2015-03-18,17:20,Heart Drive,East Carolina University,Larceny
"OCA
2015-0332",2015-03-20,11:53,2014-11-24,08:00,Heart Drive,East Carolina University,Larceny
"OCA
2015-0333",2015-03-20,11:53,2015-03-13,11:53,Heart Drive,East Carolina University,Larceny
"OCA
2015-0334",2015-03-20,11:53,2014-09-01,08:00,Heart Drive,East Carolina University,Larceny
"OCA
2015-0335",2015-03-20,23:31,2015-03-20,23:31,Charles Blvd.,East Carolina University,"Warrrant Service For
Other Agency"
"OCA
2015-0336",2015-03-21,01:10,2015-03-21,01:00,Cotanche & Reade St.,East Carolina University,Underage Consumption
"OCA
2015-0338",2015-03-22,01:59,2015-03-22,01:59,"First & Reade
Sts.",East Carolina University,"Underage Possession of
Alcohol"
"OCA
2015-0339",2015-03-22,11:00,2015-03-22,11:00,"McGreggors
Down",East Carolina University,"Warrant Service For
Other Service"
"OCA
2015-0341",2015-03-22,02:11,2015-03-22,02:11,Aycock Hall,East Carolina University,Larceny
"OCA
2015-0342",2015-03-22,18:07,2015-03-22,18:07,"Brody Lake
Side Annex",East Carolina University,"Warrant Service For
Other Agency (2)"
"OCA
2015-0343",2015-03-22,19:50,2015-03-22,23:30,Greene Hall,East Carolina University,Larceny
"OCA
2015-0344",2015-03-23,09:25,2015-02-19,08:00,"ECU Women
Physicians",East Carolina University,Larceny
"OCA
2015-0348",2015-03-24,16:02,2015-03-24,16:02,"North Campus
Crossing",East Carolina University,"PWISD Marijuana
Sell Heroin Deliver Heroin Possession of Marijuana"
"OCA
2015-0350",2015-03-24,16:20,2015-03-24,16:20,T. Langston & Mem Dr.,East Carolina University,"PWISD Marijuana (2) Sell Heroin (2)
Deliver Heroin (2)"
"OCA
2015-0351",2015-03-24,12:51,2015-03-24,22:51,Scott Residence Hall,East Carolina University,"PWISD Cocaine
Possession of Schedule
1
Possession of Drug
Paraphernalia"
"OCA
2015-0352",2015-03-25,10:38,2015-03-20,11:00,Bates,East Carolina University,Larceny
"OCA
2015-0354",2015-03-25,10:12,2015-03-25,11:00,Jones,East Carolina University,Assault of a Female
"OCA
2015-0355",2015-03-25,13:25,2015-03-17,01:00,Boxelder Way,East Carolina University,Larceny
"OCA
2015-0359",NA,16:07,2015-03-06,07:00,College Hill Drive Construction Site,East Carolina University,Larceny
"OCA
2015-0360",2015-03-26,20:00,2015-03-26,16:43,Wrights Plaza,East Carolina University,Larceny
"OCA
2015-0364",2015-03-27,20:50,2015-03-27,02:30,Greene Residence Hall,East Carolina University,Larceny
"OCA
2015-0365",2015-03-27,23:00,2015-03-27,23:00,Scott Residence Hall,East Carolina University,Simple Possession of Marijuana (3) Possession of Drug Paraphenalia (2)
"OCA
2015-0368",2015-03-29,14:29,2015-03-29,14:29,"Christenbury
Gym",East Carolina University,Possession of Marijuana <1/2 oz Possession Drug Paraphenalia
"OCA
2015-0369",2015-03-29,20:04,2015-03-29,20:04,"Tyler
Residence hall",East Carolina University,Communicating Threats
"OCA
2015-0375",2015-03-31,10:16,2015-03-27,13:29,Aycock Hall,East Carolina University,"Breaking or Entering
Building
Larceny"
"OCA
2015-0378",2015-03-31,20:10,2015-03-31,20:10,"Flanagan
(Exterior)",East Carolina University,"Resist, Delay, Obstruct
Officer
Consume Alcohol
Underage"
"OCA
2015-0380",2015-03-31,NA,2015-03-31,21:47,Fletcher Hall,East Carolina University,Underage Consumption
"OCA
2015-0382",2015-04-01,13:38,2015-04-01,10:45,"Christenbury
Gym",East Carolina University,Larceny
"OCA
2015-0383",2015-04-01,19:58,2015-04-01,19:58,"College Hill Dr.
& 10th St.",East Carolina University,"Driving While
License Revoked"
"OCA
2015-0384",2015-04-02,00:35,2015-04-02,00:35,"Town Commons
Near Willis Bld",East Carolina University,Simple Poss. of Marijuana (1) Possession of Drug Paraphenalia (2)
"OCA
2015-0385",2015-04-02,05:29,2015-04-02,05:29,"Jones Hall
Parking Lot",East Carolina University,"Possession of False
ID Underage Consumption of alcohol
Resist LEO"
"OCA
2015-0393",2015-04-02,22:59,2015-04-02,22:59,"College Hill Dr.
& 10th St.",East Carolina University,"Underage Consumption of Alcohol (4)
Underage Possession of Alcohol (5)"
"OCA
2015-0396",2015-04-05,14:50,2015-04-05,14:50,"College Hill Dr.
& 10th St.",East Carolina University,"Warrant Service other
Agency
Damage to Property"
"OCA
2015-0398",2015-04-06,16:54,2015-04-05,16:54,"College Hill
Drive",East Carolina University,"Breaking/Entering
/Larceny From MV"
"OCA
2015-0399",2015-04-07,00:50,2015-04-07,00:50,Jones Hall,East Carolina University,"Poss Marijuana up to
1/2 oz
Poss Drug
Paraphenalia"
"OCA
2015-0403",2015-04-07,17:29,2015-04-07,17:29,Umstead Hall,East Carolina University,Larceny After B& E
"OCA
2015-0404",2015-04-07,21:28,2015-04-07,21:28,Fletcher Hall,East Carolina University,"Poss Marijuana up to
1/2 oz
Poss Drug
Paraphenalia"
"OCA
2015-0406",2015-04-08,13:41,2015-04-08,11:42,Student Health,East Carolina University,"Communicating
Threats"
"OCA
2015-0408",2015-04-08,19:06,2015-04-08,19:06,5th Street,East Carolina University,PWISD Cocaine/Sell Cocaine/Deliver Cocaine
"OCA
2015-0409",2015-04-08,20:23,2015-04-08,20:23,7th & Cotanche,East Carolina University,"DWI/Provisional
DWI"
"OCA
2015-0410",2015-04-09,07:56,2015-04-09,20:00,Belk Hall (Construction Site),East Carolina University,Larceny
"OCA
2015-0411",2015-04-09,08:06,2015-04-09,08:06,Thomas Professional Bldg.,East Carolina University,"Damage to Real
Property"
"OCA
2015-0412",2015-04-09,14:00,2015-04-09,18:00,Jones Hall,East Carolina University,Larceny
"OCA
2015-0412",2015-04-13,NA,2015-04-13,16:59,Cotanche Street,East Carolina University,Obtaining Property by False Pretense (F)
"OCA
2015-0415",2015-04-09,17:16,2015-04-09,00:00,Cotten Hall,East Carolina University,Larceny
"OCA
2015-0416",2015-04-09,21:48,2015-04-09,21:48,White Hall,East Carolina University,Underage Alcohol Fradulent Identification
"OCA
2015-0418",2015-04-10,02:20,2015-04-10,02:20,10th & Charles,East Carolina University,DWI
"OCA
2015-0419",2015-04-10,03:19,2015-04-10,03:19,10th Street,East Carolina University,"DWI/Provisional
DWI
Possess Drug
Paraphernalia"
"OCA
2015-0419",2015-04-15,03:17,2015-04-15,03:17,"Magistrates
Office",East Carolina University,Possess Marijuana
"OCA
2015-0420",2015-04-10,20:16,2015-04-10,20:14,Founders Drive,East Carolina University,Hit & Run/ DWI
"OCA
2015-0421",2015-04-10,22:25,2015-04-10,22:25,3rd St. & Meade,East Carolina University,DWI
"OCA
2015-0422",2015-04-11,02:02,2015-04-11,02:02,"Reade St. @ 3rd
St.",East Carolina University,DWI
"OCA
2015-0426",2015-04-12,14:56,2015-04-12,14:40,"Province
Apartments",East Carolina University,Assault on Female
"OCA
2015-0460",NA,00:07,2015-04-17,00:07,1st and Reade,East Carolina University,"AWDW on LEO (F)/Flee to Elude Arrest (F)
Resist Public Officer/Reckless Driving to Endanger"
"OCA
2015-0462",2015-04-18,05:00,2015-04-18,04:59,"Outside of Fletcher
Hall",East Carolina University,"Warrant Service for
Other Agency
Violation of Court
Order"
"OCA
2015-0465",2015-04-18,17:45,2015-04-18,01:38,Jones Hall,East Carolina University,Larceny
"OCA
2015-0466",2015-04-18,22:31,2015-04-18,22:31,Messick PVA,East Carolina University,"Larceny from Motor
Vehicle x4
Damage to Motor
Vehicle x4
Tampering with Motor
Vehicle x4"
"OCA
2015-0467",2015-04-18,23:41,2015-04-18,18:00,"Student Recreation
Center",East Carolina University,Larceny
"OCA
2015-0468",2015-04-19,01:48,2015-04-19,01:48,Cotanche Street,East Carolina University,Underage Alcohol/Fradulent Identification
"OCA
2015-0469",2015-04-19,04:43,2015-04-19,03:30,Fletcher Hall,East Carolina University,2nd Degree Rape
"OCA
2015-0470",2015-04-19,13:28,2015-04-19,21:00,Jones Hall,East Carolina University,Simple Assault
"OCA
2015-0473",2015-04-19,21:04,2015-04-19,21:00,"Ninth & Cotanche
Sts",East Carolina University,Sexual Battery
"OCA
2015-0474",2015-04-19,22:08,2015-04-19,21:02,College Hill Suites,East Carolina University,Simple Assault
"OCA
2015-0475",2015-04-20,10:11,2015-04-17,15:00,Brewster 210D,East Carolina University,Larceny
"OCA
2015-0476",2015-04-20,13:13,2015-02-01,13:00,Scott Hall,East Carolina University,Larceny
"OCA
2015-0478",2015-04-20,17:00,2015-04-20,17:00,"North Campus
Crossing",East Carolina University,Poss. Marijuana less than 1/2 oz.Poss. Drug Paraphernalia
"OCA
2015-0479",2015-04-20,20:33,2015-04-20,20:33,College Hill Area,East Carolina University,"Poss. Marijuana less than 1/2 oz.
Poss. Drug Praphernalia"
"OCA
2015-0480",2015-04-20,21:32,2015-04-20,16:30,"Student Recreation
Center",East Carolina University,Larceny
"OCA
2015-0481",2015-04-20,21:32,2015-04-18,17:00,Umstead Hall,East Carolina University,Larceny
"OCA
2015-0483",2015-04-21,10:46,2015-02-27,15:00,Scott Hall,East Carolina University,"Obtaining Property by
False Pretense
Financial Identity
Fraud"
"OCA
2015-0487",2015-04-21,19:47,2015-04-21,19:47,Aycock Hall,East Carolina University,"Warrant Service
(Assault on Female)"
"OCA
2015-0488",2015-04-22,02:16,2015-04-22,02:16,"Tenth St./Charles
Blvd.",East Carolina University,"DWI/ DWLR/ Aid and
Abet DWI"
"OCA
2015-0490",2015-04-22,09:58,2015-04-22,08:30,Joyner Library,East Carolina University,Larceny
"OCA
2015-0495",2015-04-22,17:44,2015-04-22,16:40,Science & Technology,East Carolina University,Larceny
"OCA
2015-0496",2015-04-22,18:00,2015-04-22,16:33,Student Recreational Center,East Carolina University,Larceny
"OCA
2015-0497",2015-04-22,21:43,2015-04-22,21:35,"Blount Sports
Complex",East Carolina University,Communicating Threats/ Damage to Property
"OCA
2015-0499",2015-04-23,10:31,2015-04-23,10:31,Old Cafeteria,East Carolina University,"Carrying Concealed
Weapon"
"OCA
2015-0500",2015-04-24,00:36,2015-04-24,00:36,Garrett Hall,East Carolina University,Breaking & Entering
"OCA
2015-0504",2015-04-25,00:30,2015-04-25,00:30,Graham Bldg.,East Carolina University,Intoxicated & Disrupted
"OCA
2015-0506",2015-04-25,03:53,2015-04-25,02:14,Tyler Hall PVA,East Carolina University,Hit&Run/False Report to LE
"OCA
2015-0507",2015-04-25,04:35,2015-04-25,04:35,"Dowdy Ficklen
Stadium",East Carolina University,1st Degree Trespassing/Resist Obstruct Delay
"OCA
2015-0508",2015-04-25,12:02,2015-04-25,12:02,Fletcher Hall,East Carolina University,Assault on Female
"OCA
2015-0510",2015-04-25,23:07,2015-04-25,23:07,College Hill Drive,East Carolina University,"Poss. Marijuana up to
1/2 oz."
"OCA
2015-0512",2015-04-26,03:13,2015-04-26,NA,"Greenville Blvd.
@ Forest Hill",East Carolina University,"Driving While License
Revoked"
"OCA
2015-0513",2015-04-26,14:07,2015-04-26,14:07,"Parking & Traffic
Bldg. PVA",East Carolina University,"Poss. Drug
Paraphernalia"
"OCA
2015-0514",NA,19:19,2015-04-26,NA,Umstead Hall,East Carolina University,Larceny
"OCA
2015-0515",2015-04-27,09:38,2015-04-27,09:38,Jones Hall,East Carolina University,"Warrant Service for
Other Agency
Breaking and Entering"
"OCA
2015-0517",2015-04-28,00:18,2015-04-28,00:18,Cotanche St.,East Carolina University,DWI
"OCA
2015-0518",2015-04-28,01:00,2015-04-28,01:00,Scott Hall,East Carolina University,"Poss. Marijuana/Poss. Paraphernalia
Underage Alco/ Poss. Weapon on Campus (knife)"
"OCA
2015-0522",2015-04-28,20:45,2015-04-28,20:30,Tyler Hall,East Carolina University,"Communicating
Threats"
"OCA
2015-0525",2015-04-29,00:16,2015-04-29,00:16,4th & Rotary,East Carolina University,DWI/ Provisional DWI
"OCA
2015-0526",2015-04-28,01:28,2015-04-28,01:28,White Hall.,East Carolina University,Discharging Fire Extinguisher/Underage Alcohol
"OCA
2015-0528",2015-04-29,01:45,2015-04-29,01:40,Umstead Hall,East Carolina University,False Bomb Threat
"OCA
2015-0529",2015-04-29,02:54,2015-04-29,02:52,Cotten Hall,East Carolina University,"Discharging Fire
Extinguisher"
"OCA
2015-0530",2015-04-29,04:57,2015-04-29,04:57,White Hall,East Carolina University,"Discharging Fire
Extinguisher"
"OCA
2015-0533",2015-04-29,08:12,2015-04-29,08:10,"R2 Parking Lot
Reade Street",East Carolina University,"Injury to Personal
Property"
"OCA
2015-0535",2015-04-29,16:23,2015-04-29,16:23,College Hill Suites,East Carolina University,"Warrant Service for
Other Agency-FTA"
"OCA
2015-0537",2015-04-29,16:45,2015-03-08,00:00,"Clement Hall Bike
Rack",East Carolina University,Larceny
