Classification,Incident Number,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Information / Stalking,18UV001954,03/24/2018,0352,03/24/2018,0352,Buell St,Closed; Report to Title IX
Vandalism,18UV001957,03/24/2018,1017,03/24/2018,1017,Patterson Hall,Closed
Citizen Assist,18UV001958,03/24/2018,1146,03/24/2018,1146,Rowell Outside,Closed
Citizen Assist,18UV001963,03/24/2018,1722,03/24/2018,1722,Redstone Hall,Closed
Drugs,18UV001975,03/25/2018,0054,03/25/2018,0054,Jeanne Mance Hall,Closed; report to CSC
Medical Assist,18UV001978,03/25/2018,0414,03/25/2018,0414,Mason Hall,Closed; subject referred to UVM Rescue
Vandalism,18UV001979,03/25/2018,0442,Unk,Unk,Mason Hall,Closed
Fire Alarm,18UV001982,03/25/2018,0630,03/25/2018,0630,Gutterson Field House,Closed
Fire Alarm,18UV001984,03/25/2018,0841,03/25/2018,0841,Gutterson Field House,Closed
Fire Alarm,18UV001985,03/25/2018,1016,03/25/2018,1016,Wing Davis Wilks,Closed
Citizen Assist / Suspicious Event,18UV001989,03/25/2018,1430,03/25/2018,1345-1430,Centennial Field Lot,Closed
Medical Assist,18UV001992,`03/25/2018,1605,03/25/2018,1605,Living and Learning Outside,Closed; subject referred to UVM Rescue.
Motor Vehicle Complaint / Parking Violation,18UV001993,03/25/2018,2012,03/25/2018,2012,Royal Tyler Theater Outside,Closed
Suspicious Event / UVM Policy Violation,18UV001999,03/25/2018,2326,03/25/2018,2326,University Heights South Outside,Closed
Suspicious Event / Odor Investigation,18UV002001,03/26/2018,0019,03/26/2018,0019,Southwick Hall Outside,Closed
Intrusion Alarm,18UV002002,03/26/2018,0750,03/26/2018,0750,UHC Pharmacy,Closed
Illegal Dumping,18UV002004,03/26/2018,0951,03/26/2018,0951,Centennial Field,Open
Anonymous Sexual Assault,18UV002008,03/26/2018,1203,Fall 2017,Unk,Unknown Off Campus Location,Closed; Report to Title IX
Information / Accident,18UV002009,03/26/2018,1225,03/26/2018,1225,MAT Lot,Open
Fire Alarm,18UV002010,03/26/2018,1441,03/26/2018,1441,CCRH,Closed
Anonymous Assault,18UV002011,03/26/2018,1545,03/19-20/2018,Unk,Unknown Location,Closed; Report to Title IX
Suspicious Event / Sexual Harassment,18UV002012,03/26/2018,1547,03/18/2018,Unk,Mercy,Open; Report to Title IX
Agency Assist,18UV002013,03/26/2018,1816,03/26/2018,1816,Hickok St / River St,Closed; Assist to WPD
Fire Alarm,18UV002014,03/26/2018,1820,03/26/2018,1820,Slade,Closed
Citizen Assist,18UV002020,03/26/2018,2204,03/26/2018,2204,Wheeler House,Closed
Medical Assist,18UV002024,03/26/2018,2347,03/26/2018,2347,Coolidge,Closed; UVM Rescue transported to UVM MC
Information / Recovered Property,18UV002031,03/27/2018,0938,03/27/2018,0938,McAuley,Closed
Information / Sexual Harassment,18UV002033,03/27/2018,1118,03/27/2018,1000,Kalkin Outside,Closed; Report to Title IX
Noise,18UV002034,03/27/2018,1306,03/27/2018,1306,Main Campus,Closed
Larceny from a Motor Vehicle,18UV002035,03/27/2018,1325,03/24-25/2018,1800-1700,Slade Lot,Open
Intrusion Alarm,18UV002037,03/27/2018,1440,03/27/2018,1440,Waterman,Closed
Accident,18UV002038,03/27/2018,1457,03/27/2018,1457,Rowell,Closed
Medical Assist,18UV002039,03/27/2018,1615,03/27/2018,1615,Brennan's,Closed; UVM Rescue transported to UVM MC
Fraud,18UV002040,03/27/2018,1642,03/20-26/2018,Various,University Heights North 2,Open
Drugs,18UV002048,03/27/2018,2309,03/27/2018,2309,Harris,Closed; Cited into court for Poss of Marijuana; Report CSC
Unsecure Premise,18UV002049,03/27/2018,2311,03/27/2018,2311,Discovery,Closed
Unsecure Premise,18UV002053,03/28/2018,0059,03/28/2018,0059,PFG,Closed
Intrusion Alarm,18UV002055,03/28/2018,0301,03/28/2018,0301,460 S Prospect St,Closed
Traffic / Arrest,18UV002056,03/28/2018,0348,03/28/2018,0348,Williston Rd / Hinesburg Rd,Closed; Non-Affiliate Cited into court for False info to Police
Fire Alarm,18UV002062,03/28/2018,1109,03/28/2018,1109,Training and Compliance Office,Closed
Fire Alarm / Gas Leak,18UV002063,03/28/2018,1238,03/28/2018,1238,Living and Learning,Closed
Fire Alarm,18UV002071,03/28/2018,1915,03/28/2018,1915,CWP,Closed
Accident,18UV002072,03/28/2018,1943,03/28/2018,1943,Gutterson Lot,Closed
Motorist Assist,18UV002087,03/29/2018,0112,03/29/2018,0112,Hungerford Ter / Buell St,Closed
Fire Alarm / Drugs,18UV002088,03/29/2018,0114,03/29/2018,0114,252 Colchester Ave,Closed
Suspicious Behavior,18UV002090,03/29/2018,0128,03/29/2018,0128,Harris Millis,Closed; Unable to locate
Agency Assist / Pursuit / Arrest,18UV002092,03/29/2018,0607,03/29/2018,0607,"Williston Rd, S Burlington / Downtown Burlington","Closed; assist to SBPD & BPD; non affiliate cited into court for aggravated assault on police officer, attempting to elude a police officer, grossly negligent operation, excessive speed, and disorderly conduct."
Information / Late reported domestic violence,18UV002102,03/29/2018,1307,Unk,Unk,Unknown,Open; report to Title IX coordinator
Larceny - Bicycle,18UV002103,03/29/2018,1439,03/27-29/2018,Unk,McAuley Hall outside,Open
Theft of Service,18UV002104,03/29/2018,1442,03/29/2018,1442,Given lot,Closed; report to CSC
Medical Assist / Intoxication / Late Reported Sexual Assault,18UV002105,03/29/2018,1542,03/29/2018 / Unknown,1542 / Unknown,HSRF outside / Unknown,Closed; Non affiliate transported to UVM MC by UVM rescue; Report to Title IX
Information,18UV002106,03/29/2018,1548,03/29/2018,1548, Bailey Howe,Closed
Medical Assist,18UV002107,03/29/2018,1603,03/29/2018,1603,Living & Learning,Closed; affiliate transported to UVM MC by Burlington Rescue
Agency / Motorist Assist,18UV002109,03/29/2018,1802,03/29/2018,1802,"Williston Rd, S Burlington",Closed; assist to SBPD
Drugs,18UV002110,03/29/2018,1931,03/29/2018,1931,Davis Center,Closed
Larceny,18UV002113,03/29/2018,2047,Unk,Unk,Patrick Gym,Open
Medical Assist / Intoxication / Drugs,18UV002116,03/29/2018,2335,03/29/2018,2335,Harris Hall,Closed; affiliate transported to UVM MC by UVM Rescue; transported  to ACT I; report to CSC
Motorist Assist,18UV002121,03/30/2018,0833,03/30/2018,0833,"Williston Rd, S Burlington",Closed
Stalking,18UV002124,03/30/2018,1240,Unk,Unk,466 S Prospect St,Open; Report to Title IX
Information / Domestic Assault,18UV002126,03/30/2018,1600,03/26-27/2018,Unk,N Willard St,Open; Report to Title IX
Medical Assist,18UV002127,03/30/2018,1747,03/30/2018,1747,Patrick Gym,Closed; affiliate evaluated on scene by UVM Rescue
Larceny,18UV002128,03/30/2018,1805,03/30/2018,Unk,Patrick Gym,Open
Medical Assist,18UV002131,03/30/2018,2036,03/30/2018,2036,Patrick Gym,Closed; affiliate transported by Burlington Rescue to UVM MC
Alcohol Offense,18UV002132,03/30/2018,2112,03/30/2018,2112,Millis Hall,Closed; report to CSC
Recovered Property,18UV002134,03/30/2018,2155,03/30/2018,2155,Millis Hall,Closed
Alcohol Offense,18UV002138,03/30/2018,2257,03/30/2018,2257,Mercy Hall Outside,Closed; report to CSC
Drugs,18UV002141,03/30/2018,2321,03/30/2018,2321,McAuley Hall,Closed; report to CSC
Traffic / Drugs,18UV002143,03/30/2018,2354,03/30/2018,2354,Patrick Gym Lot,Closed; report to CSC
Alcohol Offense,18UV002145,03/31/2018,0059,03/31/2018,0059,Mercy Hall,Closed; report to CSC
Agency Assist / Traffic / Drugs,18UV002146,03/31/2018,0158,03/31/2018,0158,"Williston Rd, S Burlington",Closed; Assist to Williston PD
Suspicious Event,18UV002148,03/31/2018,0442,03/31/2018,0442,Redstone Quad,Closed
Fire Alarm / UVM Policy Violation,18UV002150,03/31/2018,1208,03/31/2018,1208,University Heights South,Closed; report to CSC
Blue Light Alarm,18UV002155,03/31/2018,1444,03/31/2018,1444,Patrick Gym Outside,Closed
Elevator Alarm,18UV002157,03/31/2018,1710,03/31/2018,1710,Davis Center,Closed
Suspicious Event,18UV002158,03/31/2018,1712,03/31/2018,1712,Davis Center,Closed
Alcohol Offense,18UV002167,03/31/2018,2323,03/31/2018,2323,Wing Parking Lot,Closed
Panic Alarm,18UV002190,04/01/2018,2247,04/01/2018,2247,Bailey Howe,Closed
Unsecure Premise,18UV002194,04/02/2018,0121,04/02/2018,0121,Pearl House,Closed
Fire Alarm,18UV002195,04/02/2018,0814,04/02/2018,0814,Christie Wright Patterson,Closed
Burglary,18UV002196,04/02/2018,0954,03/30-04/02/2018,Unk,Music,Open
Suspicious Behavior,18UV002197,04/02/2018,1028,03/29/2018,Unk,Votey,Open; Report to Title IX
Anonymous Accident,18UV002199,04/02/2018,1140,03/30/2018,Unk,Unknown location on Campus,Open
Agency Assist / Information,18UV002200,04/02/2018,1251,04/02/2018,1251,284 East Ave,Closed; Assist to Homeland Security
Domestic Violence,18UV002202,04/02/2018,1329,2017,Unk,Unknown location,Closed; Report to Title IX
Larceny,18UV002205,04/02/2018,1946,04/02/2018,1920-1935,Redstone Dining,Open
Accident - LSA,18UV002206,04/02/2018,2126,04/02/2018,Unk,PFG Lot,Open
Elevator Alarm / Agency Assist,18UV002207,04/02/2018,2144,04/02/2018,2144,CCRH,Closed; Assist to BFD; Report to CSC
Agency Assist / Welfare Check,18UV002213,04/03/2018,0325,04/03/2018,0325,26 Summit St,Closed; Assist to BPD; Non affiliate cited into court for Simple Assault on a Police Officer
Fire Alarm,18UV002217,04/03/2018,0942,04/03/2018,0942,Billings,Closed
Stalking,18UV002218,04/03/2018,1041,Fall 2017- present,Various,Rowell,Closed; Report to Title IX; Unfounded
Anonymous Sexual Assault,18UV002219,04/03/2018,1054,01-02/2018,Unk,Unknown On Campus Residence,Closed; Report to Title IX
Welfare Check,18UV002221,04/03/2018,1512,04/03/2018,1512,Redstone Lofts,Closed; Affiliate located; Report to CARES
Anonymous Sexual Assault,18UV002222,04/03/2018,1724,12/2017,Unk,Unknown On Campus Residence,Closed; Report to Title IX
Agency Assist / Information,18UV002224,04/03/2018,1818,04/03/2018,1818,284 East Ave,Closed; Assist to BPD
Unsecure Premise,18UV002229,04/03/2018,2324,04/03/2018,2324,Main Campus Construction Area,Closed
Animal Problem,18UV002234,04/04/2018,0831,04/04/2018,0831,East Ave / Main St,Closed
Information / Biased Incident,18UV002239,04/04/2018,0933,04/2018,1245,CWP,Closed; Referred to Dean of Student's Office
Medical Assist / Safety Escort,18UV002242,04/04/2018,1015,04/04/2018,1015,Living and Learning,Closed; BFD Rescue evaluated on scene; transported to CAPS
Subpoena Service,18UV002244,04/04/2018,1400,04/04/2018,1400,Harris Millis Dining,Closed
Agency / Motorist Assist,18UV002246,04/04/2018,1504,04/04/2018,1504,Dorset St / Williston Rd,Closed
Property Damage,18UV002247,04/04/2018,1712,04/04/2018,1712,Williams Hall,Closed
Accident LSA,18UV002249,04/04/2018,2028,04/04/2018,Unk,Centennial Field Lot,Open
Fire Alarm,18UV002250,04/04/2018,2042,04/04/2018,2042,Davis,Closed
Agency Assist,18UV002257,04/04/2018,2353,04/04/2018,2353,Spear St / PFG Rd,Closed; Assist to SBPD
Fire Alarm,18UV002258,04/04/2018,2355,04/04/2018,2355,Redstone Hall,Closed
Drugs,18UV002259,04/05/2018,0030,04/05/2018,0030,Wilks,Closed; Report to CSC
Unsecure Premise,18UV002260,04/05/2018,0538,04/05/2018,0538,Discovery,Closed
Theft of Service,18UV002261,04/05/2018,0836,04/05/2018,0836,Davis Lot,Closed; Report to CSC
ATM Alarm,18UV002262,04/05/2018,1014,04/05/2018,1014,Waterman,Closed
Medical Assist,18UV002263,04/05/2018,1116,04/05/2018,1116,Southwick,Closed; UVM Rescue transported to UVM MC
Motorist Assist,18UV002265,04/05/2018,1432,04/05/2018,1432,Christie Lot,Closed
Disturbance,18UV002266,04/05/2018,1504,04/05/2018,1504,Rowell,Closed; Unable to locate
Fraud,18UV002267,04/05/2018,1657,04/02-05/2018,Various,Florida and Mexico,Open
Citizen Assist,18UV002268,04/05/2018,1701,04/05/2018,1701,284 East Ave,Closed
Information,18UV002277,04/05/2018,2225,04/05/2018,2225,"Baltimore, Maryland",Closed
Unsecure Premise,18UV002278,04/05/2018,2226,04/05/2018,2226,Main Campus Construction,Closed
Intoxication,18UV002283,04/06/2018,0012,04/06/2018,0012,S Prospect St / Main St,Closed; UVM Rescue transported to UVM MC; Transported to ACT 1; Report to CSC
Traffic / Drugs,18UV002285,04/06/2018,0051,04/06/2018,0051,Main St / S Prospect St,Closed
Agency Assist / Traffic / DUI,18UV002286,04/06/2018,0113,04/06/2018,0113,861 Williston Rd,Closed; Assist to SBPD
Alcohol Offense / Citizen Assist,18UV002287,04/06/2018,0114,04/06/2018,0114,Pearl St / Handy Ct,Closed; Report to CSC
Welfare Check / Alcohol Offense,18UV002289,04/06/2018,0214,04/06/2018,0214,Tupper,Closed; Affiliate located; Report to CSC
Blue Light / Agency Assist,18UV002291,04/06/2018,0500,04/06/2018,0500,109 S Prospect St,Closed; Assist to BPD
Welfare Check,18UV002294,04/06/2018,1247,04/06/2018,1247,Redstone Lofts,Closed; Affiliate located
Medical Assist,18UV002295,04/06/2018,1316,04/06/2018,1316,McAuley,Closed; UVM Rescue transported to UVM MC
Information,18UV002296,04/06/2018,1334,01/2018,Unk,Unknown Off Campus Residence,Closed; Report to Title IX
Noise,18UV002309,04/06/2018,2127,04/06/2018,2127,Redstone Lofts,Closed
Vandalism,18UV002316,04/06/2018,2318,Unk,Unk,Mercy,Open
Noise / Alcohol Offense,18UV002317,04/06/2018,2327,04/06/2018,2327,Living and Learning,Closed; Report to CSC
Drugs / Alcohol Offense,18UV002318,04/06/2018,2340,04/06/2018,2340,Mercy,Closed; Report to CSC
Trespass,18UV002319,04/07/2018,0011,04/07/2018,0011,Mercy,Closed
Citizen Assist,18UV002320,04/07/2018,0013,04/07/2018,0013,Music,Closed
Drugs / Alcohol Offense,18UV002321,04/07/2018,0039,04/07/2018,0039,Hunt,Closed; Report to CSC
Medical Assist / Alcohol Offense,18UV002322,04/07/2018,0119,04/07/2018,0119,Millis,Closed; UVM Rescue Evaluated on scene; Report to CSC
Fire Alarm / Tampering with Fire Safety Devices,18UV002323,04/07/2018,0123,04/07/2018,0123,Harris,Open
Medical Assist,18UV002324,04/07/2018,0159,04/07/2018,0159,Harris,Closed; UVM Rescue Evaluated on scene
Motorist Assist,18UV002329,04/07/2018,0901,04/07/2018,0901,"University Place, Burlington",Closed
Citizen Assist,18UV002336,04/07/2018,2054,04/07/2018,2054,Jeanne Mance Hall,Closed
Traffic / DUI,18UV002346,04/08/2018,0209,04/08/2018,0209,Spear St,Closed; non affiliate cited into court for DUI.
Intoxication / Medical Assist,18UV002347,04/08/2018,0220,04/08/2018,0220,CCRH,Closed; affiliate transported to UVM MC ED by UVM Rescue and subsequently taken to ACT 1 for detox.
Agency Assist,18UV002349,04/08/2018,0230,04/08/2018,0230,UVM Police Services,Closed; assist to UVM MC Security
Welfare Check /  Safety Escort,18UV002350,04/08/2018,0341,04/08/2018,0341,Allen House,Closed
Traffic / DUI,18UV002351,04/08/2018,0345,04/08/2018,0345,"I 89 North, Winooski",Closed; non affiliate cited into court for DUI
Agency Assist / Attempt to Locate,18UV002352,04/08/2018,0359,04/08/2018,0359,Coolidge Hall,Closed; assist to Burlington Police
Medical Assist,18UV002355,04/08/2018,0800,04/08/2018,0800,University Hgts South,Closed; affiliate transported to UVM MC by UVM Rescue
Citizen Assist / Welfare Check,18UV002357,04/08/2018,0948,04/08/2018,0948,Redstone Campus,Closed
Fire Alarm,18UV002361,04/08/2018,2301,04/08/2018,2301,Richardson Hall,Closed
Medical Assist,18UV002368,04/09/2018,0450,04/09/2018,0450,Christie Hall,Closed; affiliate transported to UVM MC by UVM Rescue
Late Reported Sexual Assault,18UV002371,04/09/2018,1328,04/08/2018,0200,Millis Hall,Closed; Report to Title IX
Medical Assist,18UV002372,04/09/2018,1348,04/09/2018,1348,Living and Learning,Closed; affiliate transported to UVM MC by UVM Rescue
Citizen Assist / Safety Escort,18UV002373,04/09/2018,1422,04/09/2018,1422,Wright Hall,Closed
Fire Alarm,18UV002374,04/09/2018,1952,04/09/2018,1952,Christie Hall,Closed
Unsecure Premise,18UV002378,04/09/2018,2229,04/09/2018,2229,CCRH / Main Campus Construction Area,Closed
Drugs,18UV002383,04/09/2018,2345,04/09/2018,2345,CCRH,Closed; not substantiated
Unsecure Premise,18UV002384,04/09/2018,2356,04/09/2018,2356,CCRH,Closed
Unsecure Premise,18UV002385,04/10/2018,0006,04/10/2018,0006,Main Campus Construction Area,Closed
Agency Assist / Motor Vehicle Accident,18UV002388,04/10/2018,1249,04/10/2018,1249,"Main St / University Pl, Burlington",Closed; assist to Burlington Police Dept
Medical Assist,18UV002392,04/10/2018,2126,04/10/2018,2126,Wing Hall,Closed; affiliate transported to UVM MC by UVM Rescue
Fire Alarm,18UV002396,04/10/2018,2216,04/10/2018,2216,McAuley Hall,Closed
Accident - LSA,18UV002400,04/11/2018,0751,04/11/2018,0751,Gutterson Garage,Open
Welfare Check,18UV002403,04/11/2018,0921,04/11/2018,0921,Main Campus,Closed; Unable to locate
Citizen Assist,18UV002407,04/11/2018,1159,04/11/2018,1159,284 East Ave,Closed
Burglary,18UV002408,04/11/2018,1301,04/10-11/2018,1900-0800,16 Colchester Ave,Open
Agency Assist,18UV002409,04/11/2018,1319,04/11/2018,1319,284 East Ave,Closed; Assist to Lebanon NH PD
Sexual / Domestic Assault,18UV002410,04/11/2018,1534,Unk-12/2017,Various,Unknown Off Campus Location / On Campus Residential Location,Closed; Referred to CUSI; Report to Title IX
Agency Assist / Intrusion Alarm,18UV002411,04/11/2018,1716,04/11/2018,1716,25 Winooski Falls Way,Closed; Assist to WPD
Intrusion Alarm,18UV002412,04/11/2018,1747,04/11/2018,1747,Waterman,Closed
Animal Problem,18UV002413,04/11/2018,1801,04/11/2018,1801,Centennial Field,Closed
Medical Assist,18UV002417,04/11/2018,2035,04/11/2018,2035,University Heights South,Closed; UVM Rescue transported to UVM MC
Medical Assist,18UV002418,04/11/2018,2110,04/11/2018,2110,University Heights North,Closed; UVM Rescue transported to UVM MC
Motor Vehicle Complaint,18UV002419,04/11/2018,2123,04/11/2018,2123,University Heights Outside,Closed
Motorist Assist,18UV002423,04/11/2018,2202,04/11/2018,2202,Morrill Hall Lot,Closed
Suspicious Event,18UV002437,04/11/2018,2326,04/11/2018,2326,UVM Farm,Closed; Unable to locate
Unsecure Premise,18UV002440,04/12/2018,0057,04/12/2018,0057,Davis Center Loading Dock,Closed
Agency Assist / Search Warrant,18UV002444,04/12/2018,0519,04/12/2018,0519,"Georgia, VT",Closed; Assist to ICAC
Larceny,18UV002448,04/12/2018,1526,04/12/2018,1120-1140,Davis Center,Closed; property recovered
Drugs,18UV002449,04/12/2018,1626,04/12/2018,1626,Living and Learning,Closed; Not Substantiated
Elevator Alarm,18UV002450,04/12/2018,1732,04/12/2018,1732,University Heights South 1,Closed
Drugs,18UV002453,04/12/2018,2219,04/12/2018,2219,Mercy,Closed; Report to CSC
Motorist Assist,18UV002459,04/13/2018,0005,04/13/2018,0005,University Hgts / Main St,Closed
Drugs,18UV002462,04/13/2018,0207,04/13/2018,0207,Williams outside,Closed; Report to CSC
Agency Assist / Accident,18UV002464,04/13/2018,0748,04/13/2018,0748,Williston Rd / Mary St,Closed; Assist to SBPD
Medical Assist,18UV002465,04/13/2018,0842,04/13/2018,0842,McAuley,Closed; BFD Rescue evaluated on scene
Drugs,18UV002466,04/13/2018,1152,04/13/2018,1152,University Heights North 2,Closed
Agency / Citizen  Assist,18UV002467,04/13/2018,1506,04/13/2018,1506,University Heights South Bike Rack,Closed; Assist to Res Life
Animal Problem,18UV002468,04/13/2018,1508,04/13/2018,1508,Farrell,Closed
Suspicious Behavior,18UV002470,04/13/2018,1655,04/13/2018,1655,PFG,Closed; report to Title IX
Larceny / False Pretenses,18UV002471,04/13/2018,1708,04/12-13/2018,1700-1600,Bailey Howe Library,Closed; non affiliate cited into court for False Pretenses
Blue Light Alarm / Citizen Assist,18UV002473,04/13/2018,1955,04/13/2018,1955,Bailey Howe Library,Closed
Agency Assist / Traffic,18UV002474,04/13/2018,2255,04/13/2018,2255,1055 Williston Rd,Closed; Assist to SBPD
Fire Alarm,18UV002481,04/14/2018,0142,04/14/2018,0142,University Heights South 1,Closed
Traffic / DLS,18UV002482,04/14/2018,0303,04/14/2018,0303,Carrigan Dr / Beaumont Dr,Closed; non affiliate cited into court for Driving while license suspended
Elevator Alarm,18UV002483,04/14/2018,0432,04/14/2018,0432,University Heights North 1,Closed
Larceny / False Information to Law Enforcement / Arrest on Warrant,18UV002490,04/14/2018,1246,04/14/2018,1200 - 1246,Bailey Howe Library,"Closed; non affiliate lodged at Chittenden Regional Corrections Facility on an outstanding arrest warrant; also cited into court for Grand Larceny, Possession of Stolen Property and False Information to Police Officer."
Fire Alarm,18UV002491,04/14/2018,1958,04/14/2018,1958,McAuley Hall,Closed; report to CSC
Drugs,18UV002492,04/14/2018,2022,04/14/2018,2022,McAuley Hall,Closed; report to CSC
Fire Alarm,18UV002494,04/14/2018,2214,04/14/2018,2214,Jeanne Mance Hall,Closed
Assist Citizen,18UV002495,04/14/2018,2226,04/14/2018,2226,Bailey Howe Library Outside,Closed
Accident - Injury,18UV002502,04/15/2018,0058,04/15/2018,0058,Davis Center and Nolan House Outside,Closed
Alcohol Violation / Medical Assist,18UV002503,04/15/2018,0210,04/15/2018,0210,Coolidge Hall,Closed; rescue evaluated on scene; report to CSC
Alcohol Violation  / Medical Assist /  Safety Escort,18UV002504,04/15/2018,0234,04/15/2018,0234,Davis Center outside,Closed;  rescue evaluated on scene; report to CSC
Agency Assist / Attempt to Locate / Welfare Check,18UV002505,04/15/2018,0546,04/15/2018,0546,Davis Center outside,Closed; assist to Burlington Police
Intrusion Alarm,18UV002506,04/15/2018,1010,04/15/2018,1010,Continuing Education,Closed
Welfare Check,18UV002507,04/15/2018,1333,04/15/2018,1333,Ready Hall,Closed
Intrusion Alarm,18UV002510,04/15/2018,1949,04/15/2018,1949,460 S Prospect St,Closed
Drugs,18UV002511,04/15/2018,2002,04/15/2018,2002,Harris Hall,Closed; report to CSC
Drugs,18UV002512,04/15/2018,2049,04/15/2018,2049,U Heights South,Closed; report to CSC
Drugs,18UV002513,04/15/2018,2106,04/15/2018,2106,McAuley Hall,Closed; report to CSC
Motorist Assist,18UV002514,04/16/2018,0649,04/16/2018,0649,Harris Millis Lot,Closed
Suspicious Event,18UV002517,04/16/2018,0753,04/16/2018,0753,Living and Learning Outside,Closed
Medical Assist,18UV002523,04/16/2018,1442,04/16/2018,1442,UVM Student Health,Closed; affiliate transported to UVM MC by UVM Rescue.
Agency Assist / Motor Vehicle Crash,18UV002524,04/16/2018,1501,04/16/2018,1501,East Ave / Carrigan Dr,Closed; assist to Burlington Police
Medical Assist / Safety Escort,18UV002529,04/16/2018,2209,04/16/2018,2209,Wilks Hall,Closed; affiliate transported to UVM MC by UVM Rescue
Medical Assist,18UV002530,04/16/2018,2210,04/16/2018,2210,CCRH,Closed; affiliate transported to UVM MC by Burlington Rescue
Agency Assist / Search Warrant,18UV002533,04/17/2018,0530,04/17/2018,0530,"43 Hawthorne Circle, S Burlington",Closed; assist to VT Attorney Generals Office
Citizen Assist /  Audible Alarm,18UV002531,04/17/2018,0558,04/17/2018,0558,Redstone Apartments,Closed
Suspicious Event,18UV002532,04/17/2018,0745,04/17/2018,0745,16 Colchester Ave,Closed
Agency Assist / Paperwork Service,18UV002536,04/17/2018,1431,04/17/2018,1431,Perkins Building / Jeffords Building,Closed; assist to Family Court and the Burlington Police Department; report to Title IX
Welfare Check,18UV002537,04/17/2018,1546,04/17/2018,1546,Living & Learning B,Closed
Suspicious Event / Late Reported Larceny,18UV002538,04/17/2018,1639,04/16/2018,Unk,HSRF,Open
Intrusion Alarm,18UV002539,04/17/2018,1715,04/17/2018,1715,460 S Prospect St,Closed
Medical Assist,18UV002541,04/17/2018,1900,04/17/2018,1900,STEM Discovery Building,Closed; affiliate transported to UVM MC by UVM Rescue
Agency Assist / Attempt to locate,18UV002542,04/17/2018,1929,04/17/2018,1929,UVM Police Services,Closed; assist to Lebanon NH Police
Larceny,18UV002543,04/17/2018,1939,04/17/2018,1715-1815,Patrick Gym,Closed
Elevator Alarm,18UV002545,04/17/2018,2333,04/17/2018,2333,CCRH,Closed
Property Damage,18UV002547,04/18/2018,0249,04/18/2018,0249,Patrick Gym Parking Garage,Closed
Citizen Assist,18UV002548,04/18/2018,0619,04/18/2018,0619,Wheeler,Closed
Larceny,18UV002550,04/18/2018,0823,04/2018,Unk,Davis Center Bike Rack,Closed; Unfounded
Accident,18UV002551,04/18/2018,0826,04/18/2018,0826,Waterman Lot,Closed
Medical Assist,18UV002552,04/18/2018,0916,04/18/2018,0916,Austin,Closed; UVM Rescue evaluated on scene
Vandalism,18UV002554,04/18/2018,1044,Unk,Unk,Virtue Field,Open
Intrusion Alarm,18UV002555,04/18/2018,1141,04/18/2018,1141,Materials Management,Closed
Odor Investigation / Fire Alarm,18UV002556,04/18/2018,1339,04/18/2018,1339,Aiken,Closed
Fire Alarm / Drugs,18UV002557,04/18/2018,1411,04/18/2018,1411,McAuley,Closed; Report to CSC
Sexual Assault,18UV002559,04/18/2018,1709,10/27/2017,Unk,Unknown Location,Open; Report to Title IX
Citizen Assist,18UV002560,04/18/2018,1722,04/18/2018,1722,Jeffords Lot,Closed
Intrusion Alarm,18UV002564,04/18/2018,1931,04/18/2018,1931,460 S Prospect St,Closed
Property Damage,18UV002566,04/18/2018,2129,Unk,Unk,Millis,Open
Drugs / Alcohol Offense,18UV002567,04/18/2018,2132,04/18/2018,2132,Richardson,Closed; Report to CSC
Larceny,18UV002577,04/19/2018,1146,04/18/2018,1950-2010,Patrick Gym Fitness Center,Open
Theft of Service,18UV002578,04/19/2018,1418,04/19/2018,1418,Gutterson Garage,Closed; Report to CSC
Agency Assist / Accident,18UV002579,04/19/2018,1648,04/19/2018,1648,870 Williston Rd,Closed; Assist to SBPD
Agency Assist,18UV002584,04/19/2018,2304,04/19/2018,2304,Mercy,Closed; Assist to Physical Plant
Traffic / DLS,18UV002587,04/20/2018,0026,04/20/2018,0026,S Prospect St / Main St,Closed; non affiliate cited into court for Driving while License Suspended and Violations of Conditions of Release
Intoxication,18UV002588,04/20/2018,0106,04/20/2018,0106,Living and Learning,Closed; UVM Rescue transported to UVM MC; transported to Corrections for detox; Report to CSC
Intoxication,18UV002589,04/20/2018,0118,04/20/2018,0118,Harris Millis,Closed; transported to Corrections for detox; Report to CSC
Agency Assist / Traffic,18UV002590,04/20/2018,0140,04/20/2018,0140,Main St / S Williard St,Closed; Assist to SBPD
Motorist Assist,18UV002591,04/20/2018,0151,04/20/2018,0151,Main St / S Prospect St,Closed
Motorist Assist,18UV002593,04/20/2018,0200,04/20/2018,0200,Christie Lot,Closed
Accident,18UV002596,04/20/2018,0747,04/20/2018,0747,Simpson Loading Dock,Closed
Accident,18UV002599,04/20/2018,0912,04/20/2018,0912,Williams Parking Lot,Closed
Fire Alarm,18UV002603,04/20/2018,1043,04/20/2018,1043,Jeffords,Closed
Trespass,18UV002605,04/20/2018,1515,04/20/2018,1515,PFG Fitness Center,Closed; affiliate trespassed from PFG Complex
Medical Assist,18UV002608,04/20/2018,1631,04/20/2018,1631,Wright Outside,Closed; Non affiliate evaluated by UVM Rescue on scene
Larceny,18UV002609,04/20/2018,1643,04/20/2018,Unk,Terrill,Open
Medical Assist / Drugs,18UV002610,04/20/2018,1845,04/20/2018,1845,Harris,Closed; UVM Rescue transported to UVM MC; Report to CSC
