"Thursday, January 21, 2021"	0.569571759													
Master ID	Date/Time Reported	Day of Week	Date/Time Occurred	MPD Case #	Nature of Calls	Address/Location	Comments	Disposition	Clery Geography	Clery Offense	Clery Count	Clery	Not on Campus	Name Log
388	03/18/18 @13:14	Sunday	Same	18-M02385	Alarm; Elevator	1001 Paradise Creek ST; Ele	Accidental activation	CLO				NO		
389	03/18/18 @14:57	Sunday	Same	18-M02387	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
390	03/18/18 @21:14	Sunday	Same	18-M02398	Other Calls	Moscow	Not on campus or related	CLO				NO	x	
391	03/19/18 @08:58	Monday	Same	18-M02405	Lost Property	Moscow	Guy lost his chimes	CLO				NO		
392	03/19/18 @09:01	Monday	Same	18-M02407	Civil	1016 Deakin Ave; 2	"Brashar / Brashar civil standby, non-event"	CLO				NO		
393	03/19/18 @09:52	Monday	Same	18-M02408	Found Property	861 Perimeter Dr;	"Someone found a marijuana roach at IRIC, booked for destruction"	CLO				NO		
394	03/19/18 @11:26	Monday	Same	18-M02413	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
395	03/19/18 @17:59	Monday	Same	18-M02427	Vehicle Prowl	403 College Ave; Yacht Club	"Clothing stolen from inisde locked vehicle, no suspect"	CLO				NO		
396	03/20/18 @07:48	Tuesday	Same	18-M02437	Traffic Offense	W 6th St & Perimeter Dr; EB	"Report of erratic driver, UTL"	UTL				NO		
397	03/20/18 @09:11	Tuesday	Same	18-M02438	Traffic Offense	Taylor Ave & S Main ST	"1 - (22 YOM) cited for reckless driving on Main near Taylor, off campus"	CAC				NO		
398	03/20/18 @12:34	Tuesday	Same	18-M02443	Accident; Non-Injury	606 Rayburn ST; Near Ag Sci	Non-reportable crash in the parking lot	CLO				NO		
399	03/20/18 @14:13	Tuesday	Same	18-M02449	Suspicious	514 Taylor Ave; 6	"Report of an argument, unfounded"	CLO				NO		
400	03/20/18 @16:18	Tuesday	Same	18-M02455	Accident; Non-Injury	850 Rayburn ST; UofI Library	"Non-injury crash, info left on victim vehicle"	CLO				NO		
401	03/21/18 @00:09	Wednesday	Same	18-M02466	Alarm; Elevator	607 Urquhart ST; Elevator	Accidental activation	CLO				NO		
402	03/21/18 @05:59	Wednesday	Same	18-M02470	Deliver Message	418 Taylor Ave; 1	Death notification to student who's father died	CLO				NO		
403	03/19/18 @17:30	Monday	Same	Active 911# 119403487	Seizures	805 Elm St; Kappa	Seizure					NO		
404	03/21/18 @08:21	Wednesday	Same	18-M02472	Public Program	1210 Blake Ave; Forney Hall	Response to active shooter presentation	CLO				NO		
405	03/21/18 @10:25	Wednesday	Same	18-M02475	Public Program	Moscow	Drug take-back info	CLO				NO		
406	03/21/18 @12:16	Wednesday	Same	18-M02477	Traffic Offense	Perimeter Dr & W Pullman RD	"Report of suspended driver, UTL"	UTL				NO		
407	03/21/18 @15:39	Wednesday	Same	18-M02481	Gun Check	861 Perimeter DR; UI Security	Gun check	CLO				NO		
408	03/21/18 @20:13	Wednesday	Same	18-M02486	Other Calls	709 Deakin Ave; Bruce Pitman	False alarm	CLO				NO		
409	03/22/18 @08:28	Thursday	Same	18-M02491	Alarm; Elevator	921 Campus Dr; Education	Accidental activation	CLO				NO		
410	03/22/18 @10:39	Thursday	Same	18-M02494	Alarm; Fire	875 Perimeter Dr; Facilities	False fire alarm	CLO				NO		
411	03/22/18 @21:25	Thursday	Same	18-M02516	Alarm; Elevator	901 Paradise Creek ST; LLC	Accidental activation	CLO				NO		
412	03/23/18 @08:14	Friday	Same	18-M02526	Found Property	UI Campus	Found car keys	CLO				NO		
413	03/23/18 @09:35	Friday	Same	18-M02530	Drugs	1200 W Palouse River Dr; Arboretum	Two syringes collected and properly disposed of	CLO				NO		
414	03/23/18 @10:09	Friday	Same	18-M02535	Littering	902 Deakin Ave; LDS	Punching bag left in the parking lot	CLO				NO		
415	03/23/18 @10:27	Friday	Same	18-M02532	Accident; Injury	421 Sweet Ave	"Bicyclist ran into turning vehicle, bicyclist transported to GMC"	CLO				NO		
416	03/23/18 @10:30	Friday	Same	18-M02533	Accident; Non-Injury	Sweet Ave & S Main ST	State accident report	CLO				NO		
417	03/23/18 @17:18	Friday	Same	18-M02544	Road Rage	Moscow	RP upset because guy flipped him off after RP honked at him UTL	CLO				NO		
418	03/24/18 @07:52	Saturday	Same	18-M02564	Public Program	1000 Stadium DR; Kibbie Dome	UI Bound	CLO				NO		
419	03/24/18 @15:04	Saturday	Same	18-M02573	Road Rage	Perimeter DR & W Pullman RD	"UTL bike vs motorist road rage incident, 1 hr delay"	CLO				NO		
420	03/24/18 @20:52	Saturday	Same	18-M02580	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
421	03/25/18 @01:27	Sunday	Same	18-M02591	Noise Complaint	Blake Ave & Taylor Ave	UTL loud music on New Greek row	UTL				NO		
422	03/25/18 @03:59	Sunday	Same	18-M02594	Citizen Assist	W 6th St & Elm ST	Drunk male refused any sort of LE assistance	CLO				NO		
423	03/25/18 @10:50	Sunday	Same	18-M02598	Accident; Non-Injury	Line Rayburn Ally & W 6th ST;	"One vehicle crash vs. sign, driver cited for inattentive "	CLO				NO		
424	03/25/18 @13:43	Sunday	Same	18-M02602	Animal; Problem	Perimeter Dr & Old Pullman Rd	Horse was laying down and getting a tan and was CODE 4	CLO				NO		
425	03/25/18 @17:41	Sunday	Same	18-M02606	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
426	03/26/18 @01:08	Monday	Same	18-M02615	Agency Assist	1005 Plant Science Rd;	"Report of a missing person, unfounded"	CLO				NO		
427	03/26/18 @14:45	Monday	Same	18-M02633	Found Property	975 S Line St; UI Commons	"UI employee found to tablets of amphetamine, destruction"	CLO				NO		
428	03/26/18 @22:57	Monday	Same	18-M02649	Suspicious	Farm Rd & W A St; Pump House	UI security found acetaminaphen and a bag of dog feces	CLO				NO		
429	03/27/18 @20:14	Tuesday	Same	Active 911 # 120248252	Alarm; Fire	901 Paradise Creek St; LLC 6	False alarm					NO		
430	03/27/18 @21:06	Tuesday	Same	Active 911 #120251134	Allergies	518 Taylor Ave; 6	Allergy					NO		
431	03/27/18 @21:09	Tuesday	Same	18-M02675	Seizures	401 W 6th ST; Taco Time	"Female thtought she was going into seizure, transported to GMC"	CLO				NO		
432	03/27/18 @23:47	Tuesday	Same	18-M02679	Theft; Other	850 Rayburn St; UI Library	Stolen laptop computer	CLO				NO		
433	03/28/18 @09:10	Wednesday	Same	18-M02681	Malicious Mischief	1000 Stadium Dr; Kibbie Dome	"Report someone damaged tire, damage appears to be from hitting a curb or something, this is not mal mischief"	CLO				NO		
434	03/28/18 @11:28	Wednesday	Same	18-M02689	Traffic Offense	Sweet Ave: Lot 60	Non-student issued traffic citation	CAC				NO		
435	03/28/18 @14:27	Wednesday	Same	18-M02694	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
436	03/28/18 @16:21	Wednesday	Same	18-M02702	Other Calls	UI Campus	Questions regarding NCO in washington	CLO				NO		
437	03/28/18 @16:30	Wednesday	Same	18-M02703	Theft; Automobile	Moscow	"Drunk guy forgot where he parked, NR"	CLO				NO		
438	03/28/18 @18:41	Wednesday	Same	18-M02707	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
439	03/29/18 @03:16	Thursday	Same	18-M02719	Trespassing	627 Elm St; 304	"Escorted a male from an apartment, NR"	CLO				NO		
440	03/29/18 @03:24	Thursday	Same	18-M02720	Threatening	Moscow	Non-student cited for threating a school using social media	ACT				NEED MORE	X	
441	03/29/18 @10:05	Friday	Same	18-M02727	Alarm; Elevator	975 W 6th St; CNR	Accidental activation	CLO				NO		
442	03/29/18 @18:47	Thursday	Same	18-M02743	Public Program	840 University Ave; UI Women's Center	Training for ATVP workers at Women's Center	CLO				NO		
443	03/29/18 @18:47	Thursday	Same	18-M02744	Accident; Non-Injury	Farm Rd & W A St	NON-injurty crash	CLO				NO		
444	03/29/18 @20:01	Thursday	Same	18-M02746	Injured Person	1000 Stadium Dr; Kibbie Dome	Unfounded	CLO				NO		
445	03/30/18 @00:09	Friday	Same	18-M02750	Suspicious	1000 Stadium Dr; Kibbie Dome	Brian Hordeman walking around talking loudly	CLO				NO		
446	03/30/18 @00:39	Friday	Same	Active 911# 120474505	Alarm; Fire	620 Elm ST; Theta Chi	False alarm					NO		
447	03/30/18 @10:29	Friday	Same	18-M02758	Animal; Stray	1000 Stadium Dr; Kibbie Dome	Dog retreived by owner's family	CLO				NO		
448	03/30/18 @15:17	Friday	Same	18-M02770	Civil	530 S Asbury St; Paradise	Not on campus or related	CLO				NO	X	
1029	07/19/18 @08:28	Thursday	Same	18-M06302	Alarm; Elevator	975 W 6th St; Elev	Accidental activation	CLO				NO		
1030	07/19/18 @08:33	Thursday	Same	18-M06303	Abandoned Vehicle	403 College Ave; Parking Lot	Abandon vehicle on private property	CLO				NO		
1031	07/19/18 @10:38	Thursday	Same	18-M06306	Alarm; Fire	850 Rayburn St; UI Library	False alarm	CLO				NO		
1032	07/19/18 @16:01	Thursday	Same	18-M06313	Fraud	Moscow	Unauthorized purchases made on victim's card in CA	ACT				NO		
1033	07/20/18 @08:09	Friday	Same	18-M06332	Fraud	Moscow	Attempted online phising	CLO				NO		
1034	07/20/18 @14:10	Friday	Same	18-M06339	Traffic Offense	Perimeter Dr & Old Pullman RD	Out of control Mini Cooper driven by elderly female who had problems making adjustments to new car	CLO				NO		
1035	07/20/18 @16:43	Friday	Same	18-M06352	Sex Offense; Rape	Moscow	Occurred in Latah County	TRA				NO	x	
1036	07/20/18 @22:02	Friday	Same	18-M06364	Other Calls	Moscow	Not on campus or related	CLO				NO	x	
1037	07/20/18 @23:48	Friday	Same	18-M06366	Alarm; Elevator	1080 W 6th St; Wallace; Willey	Accidental activation	CLO				NO		
1038	07/21/18 @21:24	Saturday	Same	18-M06407	Suspicious	Perimeter DR & Nez Perce Dr	UTL on 4 people climbing water tower	CLO				NO		
1039	07/22/18 @10:01	Sunday	Same	18-M06413	Alarm; Elevator	921 Campus Dr; Ed Bldg	Child accidentally activated alarm	CLO				NO		
1040	07/22/18 @14:34	Sunday	Same	18-M06419	Other Calls	Moscow	Not on campus or related	CLO				NO	x	
1041	07/22/18 @21:05	Sunday	Same	18-M06428	Suspicious	709 Elm ST; Gamma Phi Beta	UTL	CLO				NO		
1042	07/22/18 @21:44	Sunday	Same	18-M06430	Unsecured Premise	Idaho Ave; Student Health	Building cleared C4	CLO				NO		
1043	07/23/18 @11:32	Monday	Same	18-M06443	Theft; Other	728 Elm ST; Delta Gamma	Theft of property from the Sorority	CLO				NO		
1044	07/23/18 @15:45	Monday	Same	18-M06449	Alarm; Fire	2000 W 6th ST; UI Aquaculture	Accidental activation - no fire	CLO				NO		
1045	07/24/18 @01:03	Tuesday	Same	18-M06463	Suicidal Person	Moscow	Report of a suicidal person - they weren't suicidal	CLO				NO		
1046	07/24/18 @07:38	Tuesday	Same	18-M06464	Trespassing	1006 Railroad St; Parking	Known person trespassed from campus - Had a bus ticket to leave town.   Left town shortly thereafter	ACT				NO		
1047	07/24/18 @13:56	Tuesday	Same	18-M06474	Drugs	Moscow	Drug Tip	CLO				NO		
1048	07/25/18 @10:10	Wednesday	Same	18-M06492	Theft; Other	Moscow	Theft of a license plate	ACT				NO		
1049	07/25/18 @10:15	Wednesday	Same	18-M06493	Suspicious	Moscow	Suspicious circumsstances - not near campus	CLO				NO	x	
1050	07/25/18 @15:01	Wednesday	Same	18-M06500	Malicious Mischief	Moscow	Graffiti on the Chipman Trail - Not offensive or biased in appearance	ACT				NO		
1051	07/26/18 @15:43	Thursday	Same	18-M06543	Found Property	W 6th St & Perimeter DR	Property found was returned to owner	CLO				NO		
1052	07/26/18 @19:26	Thursday	Same	18-M06547	DWLS	UI; Vandal Facilities	Citations issued for moving violations	ACT				NO		
1053	07/27/18 @08:30	Friday	Same	18-M06559	Alarm; Elevator	921 Campus Dr; 133; Education	Accidental activation	CLO				NO		
1054	07/29/18 @01:25	Sunday	Same	18-M06621	Noise Complaint	Blake Ave & Taylor Ave; Area	Verbal warning for noise	WRN				NO		
1055	07/29/18 @13:23	Sunday	Same	18-M06627	Other Calls	Moscow	Citizen question	CLO				NO		
1056	07/29/18 @14:38	Sunday	Same	18-M06629	Suspicious	Mosscow; S of 6th ST	Citizen report of a suspicious person	CLO				NO		
1057	07/29/18 @19:14	Sunday	Same	18-M06638	DWLS	W 6th St & Perimeter Dr;	Citation issued for a traffic offense  	ACT				NO		
1058	07/30/18 @09:33	Monday	Same	18-M06648	Alarm; Elevator	921 Campus Dr; 133; Education	Accidental activation	CLO				NO		
1059	07/31/18 @13:58	Tuesday	Same	18-M06673	Theft; Other	401 W 6th St; Taco Time	Theft of a purse at Taco Time	ACT				NO		
1060	08/01/18 @11:50	Wednesday	Same	18-M06698	Vin Inspection	W Palouse River Dr; State	Vin inspection	CLO				NO		
1061	08/01/18 @14:39	Wednesday	Same	18-M06711	Alarm; Elevator	921 Campus Dr; Education Bldg	Accidental activation	CLO				NO		
1062	08/01/18 @15:02	Wednesday	Same	18-M06712	Harassment	Moscow	Not on campus or realted	ACT				NO	x	
1063	08/02/18 @11:00	Thursday	Same	18-M06747	Civil	Moscow	Not on campus or realted	CLO				NO	x	
1064	08/02/18 @12:53	Thursday	Same	18-M06753	Alarm; Elevator	1080 W 6th ST; Elev So	Accidental activation	CLO				NO		
1065	08/02/18 @15:04	Thursday	Same	18-M06757	Alarm; Elevator	901 Paradise Creek ST; LLC	Accidental activation	CLO				NO		
1066	08/02/18 @20:55	Thursday	Same	18-M06769	Other Calls	UI; By the Towers	Locked keys in car NR	CLO				NO		
1067	08/03/18 @12:11	Friday	Same	18-M06781	Harassment	Moscow; Main ST	Not on campus or realted	CLO				NO	x	
1068	08/03/18 @18:53	Friday	Same	18-M06795	Juvenile Problem	Moscow	Not on campus or realted	CLO				NO	x	
1069	08/03/18 @21:07	Friday	Same	18-M06799	Noise Complaint	701 Nez Perce Dr;	1 - warned for noise	WRN				NO		
1070	08/04/18 @14:53	Saturday	Same	18-M06819	Accident; Non-Injury	Perimeter Dr & W Pullman Rd	10-50 in Best Western parking lot	ACT				NO		
1071	08/04/18 @17:47	Saturday	Same	18-M06821	Gunshot Sounds	835 Pine St; Art & Architechture	"RP thought he heard the sound of .22 gunshots toward NW, UTL"	CLO				NO		
1072	08/05/18 @19:22	Sunday	Same	18-M06841	Civil	Moscow	Not on campus or realted	CLO				NO	x	
1073	08/06/18 @12:03	Monday	Same	18-M06856	Alarm; Elevator	901 Paradise Creek St; LLC	Accidental activation	CLO				NO		
1074	08/06/18 @13:55	Monday	Same	18-M06857	Abandoned Vehicle	902 Deakin Ave	Report of abandon vehicle	CLO				NO		
1075	08/07/18 @2:25	Tuesday	Same	18-M06871	Extra Patrol	Greek Row	Extra bicycle patrols 	CLO				NO		
1076	08/07/18 @03:12	Tuesday	Same	18-M06872	Fireworks	Deakin Ave & College Ave	"Members at Lambda Chi throwing firecrackers off second floor, contacted / warned unidentified males "	CLO				NO		
1077	08/07/18 @13:03	Tuesday	Same	18-M06892	Disabled Vehicle	Blake Ave & Taylor Ave	Car broke down	CLO				NO		
1078	08/07/18 @15:36	Tuesday	Same	18-M06901	Suspicious	1200 W Palouse River Dr	"Unfounded, was a UI vehicle driving in arboretum"	CLO				NO		
1079	08/07/18 @23:46	Tuesday	Same	18-M06918	Fireworks	720 Deakin Ave; Behind	UTL	UTL				NO		
1080	08/08/18 @09:26	Wednesday	Same	18-M06927	Fire Other	121 Sweet Ave;	Ruptured gas line	CLO				NO		
1081	08/08/18 @10:38	Wednesday	Same	18-M06929	Fraud	Moscow	"Not on campus, UI employee allegedly used Pcard to make personal purchases off campus"	ACT				NO	x	
1082	08/08/18 @21:54	Wednesday	Same	18-M06947	Extra Patrol	Greek Row	Extra bicycle patrols 	CLO				NO		
1083	08/09/18 @00:58	Thursday	Same	18-M06951	Fireworks	Deakin Ave & College Ave	UTL fireworks being set off at Rail Road APTS	WRN				NO		
1084	08/09/18 @12:50	Thursday	Same	18-M06961	Animal; Problem	810 W 7th ST; McClure Hall	"A bat inside the bldg, was caputured"	CLO				NO		
1085	08/09/18 @16:23	Thursday	Same	18-M06970	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
1086	08/10/18 @16:51	Friday	Same	18-M07013	Other Calls	Moscow	Not on campus or related	CLO				NO	x	
1087	08/11/18 @01:12	Saturday	Same	18-M07024	Suspicious	1330 S Main ST; Vandal Ride	Not on campus or related	CLO				NO	x	
1088	08/12/18 @07:06	Sunday	Same	18-M07058	Animal; Problem	Stadium Dr	Loose cow	CLO				NO		
1089	08/12/18 @18:07	Sunday	Same	18-M07073	DWLS	709 Deakin Ave; Bruce Pitman	"Female ran stop sign, cited for DWP"	ACT				NO		
1090	08/12/18 @20:20	Sunday	Same	18-M07077	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
1091	08/12/18 @20:46	Sunday	Same	18-M07079	Found Property	Moscow	Keys returned to their owner	CLO				NO		
1092	08/13/18 @13:46	Monday	Same	18-M07091	Accident; Non-Injury	720 Deakin Ave; In Front Of	Non-Injury accident	ACT				NO		
1093	08/13/18 @15:09	Monday	Same	18-M07096	MHP Transport	735 Nez Perce Dr; Sigma Chi	"Fraternity member had mental issues, volunatry transport to GMC"	ACT				NO		
1094	08/13/18 @19:15	Monday	Same	18-M07106	Suicidal Person	Moscow	Not in our jurisdiction and not campus related	CLO				NO	x	
1095	08/14/18 @07:50	Tuesday	Same	18-M07117	Public Program	709 Elm St; Gamma Phi Beta	Alcohol and safety talk at Gamma Phi	ACT		Public Program		NO		
1096	08/14/18 @12:48	Tuesday	Same	18-M07130	Public Program	1080 W 6th ST; Wallace Complex	Alcohol and safety talk for RA's at U of I housing	CLO		Public Program		NO		
1097	08/14/18 @13:12	Tuesday	Same	18-M07131	Public Program	720 Deakin Ave: Pitman Center	"Alcohol, drug, safety talk for IPO "	CLO		Public Program		NO		
1098	08/14/18 @15;17	Tuesday	Same	18-M07135	Breathing	W 6th ST; Near Ag Building	Subject transported to GMC for medical problem	CLO				NO		
1099	08/14/18 @15:52	Tuesday	Same	18-M07137	Public Program	609 Elm St; Delta Delta Delta	"Alcohol, drug, safety talk for Tri-Delta"	CLO		Public Program		NO		
1100	08/14/18 @20:54	Tuesday	Same	18-M07145	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
1101	08/14/18 @21:42	Tuesday	Same	18-M07146	Noise Complaint	509 Taylor Ave; Fraternity	Officer UTL noice at AKL	CLO				NO		
1102	08/15/18 @10:29	Wednesday	Same	18-M07157	Alarm; Elevator	1080 W 6th ST; Elev South	Accidental activation	CLO				NO		
1103	08/15/18 @12:57	Wednesday	Same	18-M07165	Theft; Other	West Dome Lot	"Vehicle burglary, window broken, luggage/items stolen from inside, no suspects"	ACT				NO		
1104	08/15/18 @13:10	Wednesday	Same	18-M07167	Theft; Other	West Dome Lot	"Theft, items stolen from open bed of pickup, no suspects"	ACT				NO		
1105	08/15/18 @22:56	Wednesday	Same	18-M07186	Vehicle Prowl	711 Rayburn St; Menard Law	"Vehicle burglary, window broken, luggage/items stolen from inside, no suspects"	ACT				NO		
1106	08/16/18 @03:09	Thursday	Same	18-M07189	Suicidal Person	620 Elm St; Theta Chi	Male trasnported to GMC for alcohol and depression issues	CLO				NEED MORE		
1107	08/16/18 @04:36	Thursday	Same	18-M07191	Vehicle Prowl	711 Rayburn St; Menard Law	"Vehicle burglary, window broken, luggage/items stolen from inside, no suspects"	ACT				NO		
1108	08/16/18 @04:36	Thursday	Same	18-M07192	Vehicle Prowl	711 Rayburn St; Mendard Law	"Vehicle burglary, unlocked vehicle, handgun, luggage/items stolen from inside, no suspects"	ACT				NO		
1109	08/16/18 @07:37	Thursday	Same	18-M07193	Vehicle Prowl	711 Rayburn St; Menard Law	Duplicate of 7186	CLO				NO		
1110	08/16/18 @08:02	Thursday	Same	18-M07196	Alarm; Elevator	1080 W 6th ST; Elev S; Wallace	Accidental activation	ACT				NO		
1111	08/16/18 @08:49	Thursday	Same	18-M07198	Alarm; Elevator	1080 W 6th ST; Elevator	Accidental activation	CLO				NO		
1533	10/30/18 @08:49	Tuesday	Same	18-M10033	Public Program	404 Sweet Ave; UI Education	Public program at day care	ACT				NO		
1534	10/30/18 @09:47	Tuesday	Same	18-M10034	Threatening	Moscow	Not on campus or related	CLO				NO	x	
1535	10/30/18 @13:07	Tuesday	Same	18-M10045	Theft; Other	Moscow	Not on campus or related	CLO				NO	x	
1536	10/30/18 @13:23	Tuesday	Same	18-M10047	Fraud	Moscow	Not on campus or related	CLO				NO	x	
1537	10/30/18 @16:06	Tuesday	Same	18-M10055	Theft; Other	Rayburn St; Area	Lost / stolen wallet	ACT				NO		
1538	10/30/18 @17:25	Tuesday	Same	18-M10056	Alarm; Fire	1080 W 6th St; UI Wallace	False alarm	CLO				NO		
1539	10/30/18 @17:33	Tuesday	Same	18-M10058	Alarm; Elevator	901 Paradise Creek St; Elev	Accidental activation	CLO				NO		
1540	10/30/18 @19:11	Tuesday	Same	18-M10060	Structure Fire	931 Campus Dr; UI A&A	False alarm	CLO				NO		
1541	10/30/18 @20:49	Tuesday	Same	18-M10062	Suspicious	1080 W 6th St; willey 515	"Unidentified male walked into dorm room and woke the residents, suspect  left when confronted and was not positively identified"	ACT				NO		
1542	10/30/18 @22:21	Tuesday	Same	18-M10063	Alarm; Elevator	1001 Paradise Creek St;	Accidental activation	CLO				NO		
1543	10/31/18 @09:15	Wednesday	Same	18-M10073	Malicious Mischief	1000 Stadium Dr; Kibbie Dome	Someone stole an autonomous remote off a piece of heavy equpiment used by UI engineering	ACT				NO		
1544	10/31/18 @14:42	Wednesday	Same	18-M10080	Suspicious	Moscow	Not on campus or related	ACT				NO	x	
1545	11/01/18 @03:11	Thursday	Same	18-M10101	Suspicious	1012 Deakin Ave; 1 Across	"Drunk people walking along road, NR"	CLO				NO		
1546	11/01/18 @09:44	Thursday	Same	18-M10106	Suicidal Person	908 Blake Ave; Steele House	Depressed person put in touch with DOS and CTC	ACT				NO		
1547	11/01/18 @12:29	Thursday	Same	18-M10110	Alarm; Elevator	1060 Rayburn St; Physical	Accidental activation	CLO				NO		
1548	11/01/18 @12:42	Thursday	Same	18-M10111	Accident; Non-Injury	1080 W 6th ST; PL Near Wallace	"Driver of car hit parked car , information exchange"	CLO				NO		
449	03/30/18 @17:59	Friday	Same	18-M02777	Sex Offense	Moscow	"Father of rape victim called, he was trying to encourage dauther to report, unknown exactly who, what, when or where - NOT counted on MPD's End"	CLO	OC OCH	Fondling	1	YES		
450	03/30/18 @19:16	Friday	Same	18-M02778	Alarm; Elevator	921 Campus Dr; 133; Education	Accidental activation	CLO				NO		
451	03/31/18 @00:32	Saturday	Same	18-M02782	Other Calls	1080 W 6th St; Wallace;	"Drunk female, friends took care of her"	CLO				NO		
452	03/31/18 @02:45	Saturday	Same	18-M02785	Vehicle Prowl	1080 W 6th ST; Wallace Complex	Drunk male given a courtesy ride	CLO				NO		
453	03/31/18 @07:55	Saturday	Same	18-M02790	Other Calls	975 S Line St; UI Commons	Extra patrol at UI event	CLO				NO		
454	03/31/18 @10:58	Saturday	Same	18-M02793	Domestic Dispute	828 W Pullman Rd; On Line	"Argument between mother and teenagers, NR"	CLO				NO		
455	03/31/18 @13:43	Saturday	Same	18-M02799	Trespassing	509 Univesity Ave; The Perch	"Drunk males on the roof of apts behind perch, they were told to get down"	CLO				NO		
456	03/31/18 @13:59	Saturday	Same	18-M02800	Threatening	Moscow	"Concerned about the suspect in the social media threat, NR"	CLO				NO		
457	03/31/18 @14:20	Saturday	Same	18-M02801	Threatening	1080 W 6th ST; Gooding Hall	"Threatening message on persons own Twitter feed, directed at someone else, no crime occurred"	CLO				NO		
458	03/31/18 @21:23	Saturday	Same	18-M02805	Drugs	Moscow	"Odor of marijuana, unfounded / not on campus"	CLO				NO	X	
459	03/31/18 @23:17	Saturday	Same	18-M02807	Alcohol Offense	728 Elm ST; Delta Gamma	1 - cited for alcohol - Not a Student	CLO	PP	Alcohol - Arrest	1	YES		
460	03/31/18 @23:23	Saturday	Same	18-M02808	Alcohol Offense	728 Elm ST; Delta Gamma	"1 - 19 YOM, cited for alcohol"	CAC	PP	Alcohol - Arrest	1	YES		
461	04/01/18 @03:54	Sunday	Same	18-M02812	Suspicious	Moscow	Not on campus or related	CLO				NO	X	
462	04/01/18 @09:37	Sunday	Same	18-M02816	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
463	04/01/18 @16:29	Sunday	Same	18-M02823	Theft; Other	Moscow	Not on campus or related	CLO				NO	X	
464	04/01/18 @17:52	Sunday	Same	18-M02827	Extra Patrol	UI Sheep Center	Extra vehicle patrol	CLO				NO		
465	04/01/18 @18:17	Sunday	Same	18-M02828	Gun Check	861 Perimeter Dr; UI Security	Gun check	CLO				NO		
466	04/01/18 @22:35	Sunday	Same	18-M02832	Drugs	1080 W 6th ST; LLC 3; 504	"1 - 18 yom, cited for marijuana and paraphernalia"	CAC	OC OCH	Drug - Arrest	1	YES		
467	04/01/18 @23:32	Sunday	Same	18-M02834	Welfare Check	1080 W 6th ST; Willey; 410	"Report of suicidal male, transported to GMC -- Also an Alcohol Referral in Advocate due to GF being extremely intoxicated"	CLO	OC OCH	Alcohol - Referral	1	YES		
468	03/29/2018 @22:14	Thursday	Same	No MPD	Alcohol Offense	1080 W 6th ST; Wallace; Gooding; 617	12 Subjects contacted & Warned for Alcohol - Referral only in Advocate		OC OCH	Alcohol - Referral	12	YES		
469	04/02/18 @16:33	Monday	Same	18-M02860	Civil	Moscow	Not on campus or related	CLO				NO	x	
470	04/02/18 @22:32	Monday	Same	18-M02865	Intoxication	630 Elm ST; NW Corner Kappa	House mother's husband was drunk	CLO				NO		
471	04/03/18 @07:48	Tuesday	Same	18-M02875	Public Program	709 Deakin Ave; UI Pitman Center	Public program / Active shooter response for Registrar	CLO		Public Program		NO		
472	04/03/18 @14:13	Tuesday	Same	18-M02888	Accident; Non-Injury	N Line St & W Pullman Rd	On pullman rd	CLO				NO		
473	04/03/18 @14:29	Tuesday	Same	18-M02890	Malicious Mischief	Stadium Dr & Paradise Creek	Subject had flat tire and thought it was suspicious	CLO				NO		
474	04/03/18 @20:24	Tuesday	Same	Active 911# 120970205	Alarm; Fire	1001 Paradise Creek ST; Theophilus Tower	Charlie - 1st floor Main Entry					NEED MORE		
475	04/03/18 @21:34	Tuesday	Same	Active 911# 120974326	Fire Other	620 Elm ST; Theta Chi	Delta - Reporting faint smell of gas from the kitchen - Smell only. Smell strongest near over/range area.					NO		
476	04/04/18 @02:27	Wednesday	Same	18-M02903	Other Calls	Moscow	Semi truck noise on hey 95	CLO				NO		
477	04/04/18 @06:15	Wednesday	Same	18-M02905	Extra Patrol	1001 Paradise Creek St; Theophilus Tower	"Light on the roof of theophilus tower, nr"	CLO				NO		
478	04/04/18 @09:59	Wednesday	Same	18-M02906	Found Property	880 W 3rd St; UI Parking Services	Two abandon bicycles	CLO				NO		
479	04/04/18 @11:36	Wednesday	Same	18-M02911	Suspicious	711 Rayburn St; Menard Law	"Guy walking around parking lot with key fob, UTL"	UTL				NO		
480	04/04/18 @22:38	Wednesday	Same	Active 911# 121087963	Agency Assist	722 Deakin Ave; 7	Says m155 responded - Possibly Case 18-M02925					NO		
481	04/04/18 @19:10	Wednesday	Same	18-M02922	Extra Patrol	975 S Line St; UI Commons	Extra foot and vehicle patrol	CLO				NO		
482	04/05/18 @01:54	Thursday	Same	18-M02929	Malicious Mischief	620 Idaho Ave; Phi Kappa	Beta's egged the Phi Taus	CLO				NO		
