year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio
2018,Emory University,23,14,29,211,36,14,0,0,12,139658,Private not-for-profit,4-year,69502,69502,69502,69502,69502,69502,54996,54996,54996,0.19,95,7086,6985,0.1,0.08,0.15,0.43,0.21,0.39,0.1,0.08,0.15,0.68,0.18,14458,12902,90,0.61,0.26,NA,NA,NA,NA,NA,NA,NA,NA,GA,1,-84.325512,33.790183,Semester,690,790,730,660,9
2019,Emory University,20,8,35,193,21,8,0,0,12,139658,Private not-for-profit,4-year,72604,72604,72604,72604,72604,72604,57632,57632,57632,0.16,95,7118,7012,0.1,0.08,0.16,0.43,0.21,0.39,0.11,0.08,0.13,0.69,0.18,14415,12905,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.325512,33.790183,Semester,690,790,740,670,9
2014,Ferrum College,NA,NA,NA,NA,NA,NA,NA,0,NA,232089,Private not-for-profit,4-year,42235,42235,42235,39165,39165,39165,32265,32265,32265,0.73,48,1451,1432,0.3,0.05,0.01,0.55,0.01,0.55,0.05,0.3,0.76,0.23,0,1451,1432,25,1,0.99,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-80.020864,36.926648,Semester,380,480,460,360,15
2015,Ferrum College,NA,NA,NA,NA,NA,NA,NA,0,NA,232089,Private not-for-profit,4-year,43630,43630,43630,40210,40210,40210,33305,33305,33305,0.73,55,1334,1311,0.34,0.05,0.01,0.52,0.01,0.52,0.05,0.34,NA,NA,NA,1334,1311,31,1,0.93,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-80.020864,36.926648,Semester,380,500,500,390,14
2016,Ferrum College,2,4,8,18,0,4,1,0,0,232089,Private not-for-profit,4-year,45480,45480,45480,45480,45480,45480,34440,34440,34440,0.72,59,1294,1271,0.34,0.06,0,0.49,0,0.49,0.06,0.34,0.72,0.28,0,1294,1271,30,1,0.93,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-80.020864,36.926648,Semester,390,480,480,380,16
2017,Ferrum College,0,4,12,25,2,4,0,0,0,232089,Private not-for-profit,4-year,46985,46985,46985,46985,46985,46985,35505,35505,35505,0.72,48,1137,1118,0.33,0.05,0.01,0.49,0.01,0.49,0.05,0.33,NA,NA,NA,1137,1118,35,1,0.86,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-80.021639,36.926912,Semester,420,530,540,430,14
2018,Ferrum College,4,1,19,9,1,1,0,0,3,232089,Private not-for-profit,4-year,48530,48530,48530,48530,48530,48530,36655,36655,36655,0.75,49,1124,1104,0.33,0.05,0.01,0.51,0.01,0.51,0.05,0.33,0.75,0.23,0.01,1124,1104,27,0.98,0.87,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-80.021639,36.926912,Semester,430,520,533,440,13
2019,Ferrum College,1,5,15,6,0,5,0,0,1,232089,Private not-for-profit,4-year,50715,50715,50715,50715,50715,50715,38565,38565,38565,0.73,54,1050,1034,0.3,0.05,0,0.52,0,0.52,0.05,0.3,NA,NA,NA,1050,1034,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.021639,36.926912,Semester,420,520,540,440,13
2014,Florida Atlantic University,3,68,45,174,33,68,1,0,0,133669,Public,4-year,34316,21871,21871,21893,21893,34338,11375,11375,23820,0.66,75,25476,15561,0.19,0.24,0.04,0.46,0.04,0.45,0.25,0.19,0.84,0.1,0.06,30297,17607,46,0.77,0.44,0.32,0.38,0,0.22,0.02,0.01,0.06,11299,FL,1,-80.102293,26.372536,Semester,480,570,570,480,24
2015,Florida Atlantic University,3,47,37,197,91,47,0,0,0,133669,Public,4-year,34700,22255,22255,22341,22341,34786,11691,11691,24136,0.68,78,25471,16116,0.19,0.24,0.04,0.45,0.04,0.43,0.26,0.19,0.81,0.11,0.07,30380,18130,49,0.77,0.45,0.34,0.38,0,0.21,0.02,0.01,0.05,11133,FL,1,-80.102293,26.372536,Semester,470,570,570,480,23
2016,Florida Atlantic University,3,41,46,169,35,41,0,0,0,133669,Public,4-year,35090,22645,22645,23233,23233,35678,11869,11869,24314,0.6,77,25402,16252,0.19,0.25,0.04,0.44,0.04,0.42,0.26,0.2,0.81,0.11,0.08,30541,18387,50,0.82,0.41,0.33,0.37,0,0.2,0.02,0.01,0.06,10289,FL,1,-80.102978,26.372421,Semester,470,570,570,480,24
2017,Florida Atlantic University,10,114,83,176,44,114,1,0.09315068493150686,0,133669,Public,4-year,35804,23359,23359,24021,24021,36466,12554,12554,24999,0.6,79,25030,16325,0.19,0.26,0.05,0.43,0.04,0.41,0.27,0.2,NA,NA,NA,30208,18527,51,0.81,0.38,0.33,0.39,0,0.2,0.02,0.01,0.06,11117,FL,1,-80.102978,26.372421,Semester,520,600,620,540,24
2018,Florida Atlantic University,6,63,39,96,26,63,2,0.16164383561643836,0,133669,Public,4-year,36680,24235,24235,24889,24889,37334,13455,13455,25900,0.59,82,24376,16436,0.19,0.26,0.04,0.42,0.04,0.41,0.27,0.19,0.88,0.11,0.01,29772,18562,52,0.82,0.35,0.3,0.36,0,0.21,0.02,0.01,0.09,11775,FL,1,-80.102978,26.372421,Semester,530,610,630,550,21
2019,Florida Atlantic University,7,52,17,129,31,52,1,0,0,133669,Public,4-year,37904,25459,25459,26303,26303,38748,14587,14587,27032,0.63,81,24740,16678,0.19,0.26,0.04,0.41,0.04,0.4,0.28,0.2,0.87,0.11,0.01,30061,18874,50,NA,NA,0.27,0.37,0,0.23,0.02,0.01,0.1,11369,NA,NA,-80.102978,26.372421,Semester,530,610,630,550,21
2014,Florida International University,3,9,136,355,43,9,0,0,0,133951,Public,4-year,35509,23111,23111,25079,25079,37477,15285,15285,27683,0.53,84,41009,25644,0.12,0.63,0.03,0.11,0.03,0.1,0.67,0.12,0.84,0.04,0.11,49610,31766,54,0.86,0.68,0.34,0.28,0,0.21,0.01,0.03,0.13,5195,FL,1,-80.377591,25.757111,Semester,490,580,590,500,26
2015,Florida International University,6,7,71,343,48,7,0,0,0,133951,Public,4-year,35638,23240,23240,25208,25208,37606,15414,15414,27812,0.5,88,41032,25638,0.12,0.63,0.03,0.11,0.03,0.1,0.67,0.12,0.83,0.03,0.13,49782,31822,58,0.82,0.34,0.35,0.31,0,0.22,0.02,0,0.1,5165,FL,1,-80.377591,25.757111,Semester,490,580,590,500,25
2016,Florida International University,6,7,70,249,67,7,0,0,0,133951,Public,4-year,35910,23512,23512,25337,25337,37735,15542,15542,27940,0.5,88,45856,26312,0.12,0.64,0.03,0.11,0.02,0.09,0.67,0.12,0.82,0.03,0.14,55003,32830,56,0.86,0.31,0.35,0.31,0,0.21,0.04,0,0.09,4913,FL,1,-80.377591,25.757111,Semester,510,600,610,520,27
2017,Florida International University,3,2,43,232,33,2,0,0,0,133951,Public,4-year,36086,23688,23688,25750,25750,38148,15746,15746,28144,0.54,88,47629,26655,0.13,0.64,0.03,0.1,0.02,0.09,0.68,0.13,NA,NA,NA,56718,33067,57,0.89,0.22,0.34,0.32,0,0.2,0.05,0.02,0.08,5218,FL,1,-80.373928,25.75732,Semester,530,610,630,550,27
2018,Florida International University,5,2,11,134,16,2,1,0.0958904109589041,1,133951,Public,4-year,35904,23496,23506,25844,25834,38242,15624,15614,28022,0.59,90,48818,27906,0.12,0.64,0.03,0.1,0.02,0.08,0.67,0.12,0.84,0.03,0.12,57942,34686,58,0.9,0.19,0.29,0.31,0,0.22,0.05,0.02,0.11,5301,FL,1,-80.373928,25.75732,Semester,530,620,640,560,26
2019,Florida International University,11,1,19,142,18,1,0,0,0,133951,Public,4-year,36263,23865,23865,26201,26201,38599,15785,15785,28183,0.58,89,49326,28335,0.12,0.64,0.03,0.1,0.02,0.09,0.67,0.12,NA,NA,NA,58711,35451,63,NA,NA,0.29,0.33,0,0.22,0.04,0.02,0.1,4444,NA,NA,-80.373928,25.75732,Semester,540,630,650,570,27
2014,Florida State University,8,404,191,328,102,404,0,0,8,134097,Public,4-year,36765,21599,21599,21599,21599,36765,11391,11391,26557,0.55,92,32948,29211,0.08,0.16,0.02,0.64,0.02,0.65,0.18,0.08,0.86,0.12,0.02,41226,35181,79,0.88,0.39,0.26,0.35,0,0.28,0.04,0.01,0.07,15957,FL,1,-84.294801,30.4421,Semester,560,640,640,570,26
2015,Florida State University,11,363,212,310,99,363,0,0,11,134097,Public,4-year,37237,22071,22071,22071,22071,37237,11807,11807,26973,0.56,93,32706,29185,0.08,0.17,0.02,0.63,0.02,0.64,0.19,0.08,0.87,0.11,0.02,40830,35129,79,0.89,0.36,0.26,0.38,0,0.26,0.04,0.01,0.06,15458,FL,1,-84.294801,30.4421,Semester,560,640,640,560,25
2016,Florida State University,10,317,240,379,133,317,0,0,10,134097,Public,4-year,37741,22575,22575,22575,22575,37741,12271,12271,27437,0.58,93,32933,29281,0.08,0.18,0.02,0.61,0.02,0.62,0.2,0.08,0.85,0.12,0.02,41173,35201,80,0.93,0.36,0.25,0.39,0,0.24,0.05,0.02,0.06,14905,FL,1,-84.291921,30.440756,Semester,550,640,640,560,24
2017,Florida State University,16,239,208,334,104,239,0,0.15342465753424658,16,134097,Public,4-year,34904,21774,21774,21774,21774,34904,11316,11316,24446,0.49,94,33008,29286,0.08,0.18,0.03,0.61,0.02,0.62,0.2,0.08,0.88,0.12,0.01,41362,35050,80,0.96,0.32,0.25,0.42,0,0.24,0.06,0,0.03,16036,FL,1,-84.291921,30.440756,Semester,590,660,670,600,22
2018,Florida State University,9,162,214,315,114,162,0,0.23013698630136986,9,134097,Public,4-year,35298,22168,22168,22168,22168,35298,11502,11502,24632,0.37,93,32736,29301,0.09,0.19,0.03,0.59,0.03,0.6,0.21,0.09,0.86,0.13,0.01,41269,34996,83,0.97,0.29,0.2,0.41,0,0.27,0.06,0.01,0.05,17073,FL,1,-84.291921,30.440756,Semester,590,670,680,610,21
2019,Florida State University,6,114,132,271,58,114,0,0,6,134097,Public,4-year,35576,22446,22446,22446,22446,35576,11666,11666,24796,0.36,93,33270,29879,0.09,0.2,0.03,0.59,0.03,0.59,0.21,0.09,0.89,0.11,0,42450,35818,83,NA,NA,0.17,0.4,0,0.28,0.08,0.03,0.05,17618,NA,NA,-84.291921,30.440756,Semester,590,670,670,610,21
2014,Hampden-Sydney College,2,36,18,43,3,36,0,0,0,232256,Private not-for-profit,4-year,54266,54266,54266,55104,55104,55104,44604,44604,44604,0.47,83,1105,1104,0.08,0.02,0.02,0.82,0.02,0.82,0.02,0.08,0.66,0.32,0.02,1105,1104,67,1,0.63,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.461371,37.242482,Semester,500,610,600,495,11
2015,Hampden-Sydney College,4,23,13,32,17,23,0,0,0,232256,Private not-for-profit,4-year,57790,57790,57790,56138,56138,56138,44730,44730,44730,0.55,83,1087,1086,0.06,0.02,0.01,0.81,0.01,0.81,0.02,0.06,NA,NA,NA,1087,1086,63,1,0.57,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.461371,37.242482,Semester,500,610,620,500,11
2016,Hampden-Sydney College,0,9,29,34,16,9,0,0,0,232256,Private not-for-profit,4-year,59248,59248,59248,57370,57370,57370,45962,45962,45962,0.56,80,1027,1026,0.05,0.04,0.01,0.84,0.01,0.84,0.04,0.05,0.68,0.32,0,1027,1026,66,0.99,0.61,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.464216,37.240615,Semester,510,615,615,500,10
2017,Hampden-Sydney College,2,26,25,13,11,26,0,0,0,232256,Private not-for-profit,4-year,60360,60360,60360,58348,58348,58348,46940,46940,46940,0.55,84,1046,1039,0.04,0.04,0,0.86,0,0.86,0.04,0.04,NA,NA,NA,1046,1039,64,1,0.63,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.464216,37.240615,Semester,520,630,635,530,10
2018,Hampden-Sydney College,0,63,28,26,9,63,0,0,0,232256,Private not-for-profit,4-year,62304,62304,62304,60154,60154,60154,48746,48746,48746,0.59,81,1072,1070,0.05,0.04,0.01,0.86,0.01,0.86,0.04,0.05,0.73,0.25,0,1072,1070,66,1,0.59,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.464216,37.240615,Semester,520,620,630,530,11
2019,Hampden-Sydney College,3,18,27,13,3,18,0,0,0,232256,Private not-for-profit,4-year,63602,63602,63602,61298,61298,61298,49890,49890,49890,0.57,79,993,986,0.05,0.05,0.01,0.85,0.01,0.85,0.05,0.05,NA,NA,NA,993,986,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.464216,37.240615,Semester,520,650,670,540,10
2014,Indiana University-Bloomington,26,517,613,462,33,517,1,0,8,151351,Public,4-year,47270,24417,24417,24417,24417,47270,15958,15958,38811,0.76,89,36419,31370,0.04,0.04,0.04,0.69,0.04,0.73,0.05,0.04,0.57,0.34,0.08,46416,37670,78,0.71,0.39,0.54,0.16,0,0.12,0.08,0.05,0.05,23237,IN,1,-86.526904,39.166383,Semester,540,660,630,520,17
2015,Indiana University-Bloomington,28,458,611,388,34,458,3,0,15,151351,Public,4-year,47892,24539,24539,24539,24539,47892,15822,15822,39175,0.78,89,38364,31728,0.04,0.05,0.04,0.65,0.04,0.67,0.05,0.04,0.57,0.34,0.09,48514,38003,77,0.76,0.38,0.56,0.17,0,0.12,0.08,0.01,0.07,23038,IN,1,-86.526904,39.166383,Semester,540,660,630,520,17
2016,Indiana University-Bloomington,22,425,531,418,49,425,3,0,12,151351,Public,4-year,48667,24809,24809,24809,24809,48667,15948,15948,39806,0.79,91,39184,32005,0.04,0.05,0.05,0.67,0.05,0.71,0.05,0.04,0.57,0.34,0.09,49695,38398,76,0.77,0.38,0.57,0.17,0,0.11,0.07,0.02,0.06,23402,IN,1,-86.526904,39.166383,Semester,540,660,630,520,17
2017,Indiana University-Bloomington,21,390,434,398,43,390,2,0.0958904109589041,10,151351,Public,4-year,48739,24427,24427,24427,24427,48739,15663,15663,39975,0.76,91,33429,32212,0.04,0.06,0.05,0.66,0.05,0.69,0.06,0.04,0.55,0.36,0.09,43710,38505,77,0.77,0.35,0.55,0.16,0,0.11,0.08,0.04,0.06,25341,IN,1,-86.526559,39.16609,Semester,570,680,670,570,17
2018,Indiana University-Bloomington,31,406,434,362,74,406,2,0.1589041095890411,19,151351,Public,4-year,49554,24779,24779,24779,24779,49554,15929,15929,40704,0.77,91,33301,32109,0.04,0.06,0.06,0.66,0.06,0.69,0.06,0.05,0.57,0.35,0.07,43503,38311,78,0.84,0.35,0.56,0.17,0,0.11,0.08,0.02,0.06,27729,IN,1,-86.526559,39.16609,Semester,570,690,670,580,16
2019,Indiana University-Bloomington,29,318,402,266,26,318,0,0,17,151351,Public,4-year,51222,25657,25657,25657,25657,51222,16307,16307,41872,0.78,90,33084,31981,0.04,0.07,0.06,0.66,0.06,0.69,0.07,0.04,0.56,0.37,0.06,43260,38129,79,NA,NA,0.53,0.16,0,0.11,0.08,0.05,0.06,28373,NA,NA,-86.526559,39.16609,Semester,570,690,670,580,16
2014,James Madison University,NA,NA,NA,NA,NA,NA,NA,0,NA,232423,Public,4-year,38872,24012,24012,24012,24012,38872,15792,15792,30652,0.66,92,19144,18057,0.04,0.05,0.04,0.77,0.04,0.77,0.05,0.04,0.71,0.27,0.01,20855,19123,82,0.63,0.45,0.51,0.24,0,0.09,0.02,0,0.13,3904,VA,1,-78.871663,38.435332,Semester,530,620,610,520,16
2015,James Madison University,NA,NA,NA,NA,NA,NA,NA,0,NA,232423,Public,4-year,39746,24612,24612,24612,24612,39746,16192,16192,31326,0.73,91,19396,18433,0.04,0.06,0.04,0.76,0.04,0.75,0.06,0.04,NA,NA,NA,21227,19546,83,0.62,0.43,0.53,0.23,0,0.09,0.01,0,0.14,4009,VA,1,-78.871663,38.435332,Semester,520,610,610,520,16
2016,James Madison University,NA,NA,NA,NA,NA,NA,NA,0,NA,232423,Public,4-year,40638,24864,24864,24864,24864,40638,16520,16520,32294,0.72,91,19548,18554,0.05,0.06,0.04,0.75,0.05,0.75,0.06,0.05,0.72,0.26,0.02,21270,19597,82,0.63,0.43,0.51,0.22,0,0.08,0.01,0,0.18,3829,VA,1,-78.870484,38.436311,Semester,520,610,610,510,16
2017,James Madison University,16,505,280,81,6,504,23,0,0,232423,Public,4-year,42522,26122,26122,26122,26122,42522,17026,17026,33426,0.75,90,19975,18905,0.05,0.06,0.04,0.75,0.05,0.74,0.07,0.05,NA,NA,NA,21836,19925,83,0.63,0.43,0.57,0.25,0,0.09,0.01,0,0.07,4471,VA,1,-78.870484,38.436311,Semester,540,620,640,560,16
2018,James Madison University,12,771,399,48,4,770,21,0,0,232423,Public,4-year,43756,27356,27356,27356,27356,43756,16844,16844,33244,0.71,90,19923,18881,0.05,0.07,0.04,0.75,0.05,0.75,0.07,0.05,0.73,0.26,0.01,21751,19914,84,0.62,0.42,0.59,0.25,0,0.09,0.01,0.01,0.05,4887,VA,1,-78.870484,38.436311,Semester,550,640,650,570,16
2019,James Madison University,10,486,373,52,7,486,36,0,1,232423,Public,4-year,45082,28182,28182,28182,28182,45082,17244,17244,34144,0.77,89,19895,18798,0.05,0.07,0.05,0.75,0.05,0.75,0.07,0.05,NA,NA,NA,21820,19846,84,NA,NA,0.55,0.22,0,0.08,0.01,0.01,0.12,5231,NA,NA,-78.870484,38.436311,Semester,550,640,650,570,16
2014,Louisiana State University and Agricultural & Mechanical College,6,25,54,311,103,25,1,0,6,159391,Public,4-year,41867,24150,24150,29194,29194,46911,13930,13930,31647,0.77,85,25572,23195,0.11,0.05,0.03,0.71,0.04,0.74,0.06,0.11,0.81,0.18,0.01,31044,27462,67,0.95,0.3,0.32,0.25,0,0.23,0.07,0.03,0.1,17689,LA,1,-91.196656,30.552111,Semester,510,630,600,500,22
2015,Louisiana State University and Agricultural & Mechanical College,3,30,129,336,413,30,25,0,1,159391,Public,4-year,42913,25750,25750,31142,31142,48305,15134,15134,32297,0.77,85,26156,23602,0.12,0.06,0.04,0.7,0.04,0.73,0.06,0.12,0.81,0.18,0.01,31524,27838,67,0.96,0.46,0.31,0.22,0,0.19,0.06,0.01,0.19,17335,LA,1,-91.178921,30.414983,Semester,510,640,620,510,23
2016,Louisiana State University and Agricultural & Mechanical College,7,37,100,303,512,37,36,0,3,159391,Public,4-year,45611,28934,28934,33166,33166,49843,17394,17394,34071,0.76,83,26118,23212,0.12,0.06,0.04,0.7,0.04,0.72,0.06,0.12,0.81,0.18,0.01,31409,27389,68,0.95,0.53,0.32,0.22,0,0.2,0.06,0.03,0.18,15925,LA,1,-91.178921,30.414986,Semester,510,630,620,500,22
2017,Louisiana State University and Agricultural & Mechanical College,5,25,96,237,197,25,23,0.27945205479452057,1,159391,Public,4-year,46381,29704,29704,33966,33966,50643,17954,17954,34631,0.74,83,25444,22060,0.12,0.06,0.04,0.69,0.04,0.71,0.06,0.12,0.82,0.17,0.01,30861,26289,67,0.96,0.36,0.38,0.24,0,0.21,0.06,0,0.11,18296,LA,1,-91.178921,30.414986,Semester,530,650,640,530,20
2018,Louisiana State University and Agricultural & Mechanical College,10,20,141,290,112,20,21,0.16164383561643836,0,159391,Public,4-year,47037,30360,30360,34818,34818,51495,18530,18530,35207,0.74,84,25233,22418,0.12,0.07,0.04,0.67,0.04,0.7,0.07,0.13,0.77,0.22,0.01,30983,26862,67,0.96,0.39,0.36,0.24,0,0.21,0.11,0,0.09,19842,LA,1,-91.178921,30.414986,Semester,530,650,640,540,20
2019,Louisiana State University and Agricultural & Mechanical College,22,18,132,238,80,18,22,0,3,159391,Public,4-year,49639,32962,32962,35196,35196,51873,20686,20686,37363,0.75,83,25826,22726,0.13,0.07,0.04,0.66,0.05,0.69,0.07,0.13,0.76,0.23,0.01,31756,27225,68,NA,NA,0.33,0.21,0,0.2,0.16,0.03,0.07,19789,NA,NA,-91.178921,30.414986,Semester,530,660,650,550,20
2014,Marshall University,4,21,21,98,8,21,0,0,0,237525,Public,4-year,28020,19520,19520,19516,19516,28016,13724,13724,22224,0.77,73,9536,8142,0.06,0.02,0.01,0.82,0.01,0.83,0.02,0.06,0.77,0.22,0.01,13381,10067,44,0.96,0.61,0.27,0.27,0,0.25,0.07,0.03,0.12,9163,WV,1,-82.43065,38.42261,Semester,440,550,550,430,19
2015,Marshall University,3,47,12,84,4,47,0,0,0,237525,Public,4-year,28882,20094,20094,20046,20046,28834,14012,14012,22800,0.88,73,9518,8005,0.05,0.02,0.01,0.79,0.01,0.82,0.02,0.06,0.8,0.19,0.01,13621,10136,45,0.95,0.59,0.31,0.29,0,0.24,0.09,0.01,0.06,9674,WV,1,-82.43065,38.42261,Semester,430,480,490,440,19
2016,Marshall University,7,29,21,84,4,29,0,0,1,237525,Public,4-year,29954,20726,20726,20654,20654,29882,14382,14382,23610,0.89,75,9615,7997,0.05,0.02,0.01,0.79,0.01,0.82,0.02,0.06,0.81,0.19,0,13647,10178,45,0.95,0.59,0.33,0.27,0,0.24,0.1,-0.01,0.06,9756,WV,1,-82.428964,38.422482,Semester,430,560,575,450,19
2017,Marshall University,7,34,19,72,6,34,0,0,0,237525,Public,4-year,31448,21390,21390,21130,21130,31188,14896,14896,24954,0.9,72,9489,7846,0.05,0.02,0.01,0.79,0.01,0.82,0.02,0.06,0.8,0.19,0,13246,9975,49,0.96,0.58,0.32,0.26,0,0.23,0.09,0.04,0.06,10386,WV,1,-82.428964,38.422482,Semester,470,560,608,490,19
2018,Marshall University,6,35,17,40,2,35,0,0.057534246575342465,0,237525,Public,4-year,32455,21969,21969,21785,21785,32271,15336,15336,25822,0.91,72,9593,7460,0.05,0.02,0.01,0.8,0.01,0.82,0.02,0.05,0.79,0.2,0.01,13204,9588,46,0.96,0.52,0.33,0.24,0,0.23,0.09,0.03,0.07,10877,WV,1,-82.428964,38.422482,Semester,440,550,580,470,18
2019,Marshall University,6,25,28,34,1,25,0,0,0,237525,Public,4-year,33297,22443,22443,22179,22179,33033,15549,15549,26403,0.87,73,9415,7123,0.05,0.02,0.01,0.81,0.01,0.83,0.02,0.05,0.79,0.2,0.01,12852,9199,49,NA,NA,0.33,0.25,0,0.24,0.09,0.02,0.07,12839,NA,NA,-82.428964,38.422482,Semester,460,560,590,480,18
2014,Michigan State University,24,564,283,613,129,564,0,0,0,171100,Public,4-year,47115,25350,25350,25350,25350,47115,16146,16146,37911,0.66,92,38786,35341,0.06,0.04,0.04,0.66,0.04,0.68,0.04,0.07,0.71,0.13,0.15,50081,43708,79,0.66,0.43,0.35,0.12,0,0.17,0.06,0.15,0.16,56833,MI,1,-84.473639,42.72476,Semester,540,690,580,430,17
2015,Michigan State University,23,419,241,526,89,419,0,0,0,171100,Public,4-year,48848,26048,26048,26048,26048,48848,16524,16524,39324,0.66,92,39143,35645,0.07,0.04,0.05,0.66,0.05,0.67,0.04,0.07,0.73,0.14,0.13,50538,44026,77,0.68,0.44,0.38,0.13,0,0.18,0.07,0.04,0.19,58903,MI,1,-84.476111,42.73212,Semester,530,680,580,450,17
2016,Michigan State University,41,431,333,514,85,431,0,0,0,171100,Public,4-year,51118,27290,27290,27290,27290,51118,17506,17506,41334,0.66,91,39090,35447,0.07,0.04,0.05,0.66,0.05,0.67,0.04,0.07,0.7,0.16,0.14,50340,43695,78,0.67,0.41,0.4,0.13,0,0.19,0.07,-0.05,0.27,56999,MI,1,-84.476111,42.73212,Semester,540,670,590,450,17
2017,Michigan State University,46,314,322,582,86,314,0,0,0,171100,Public,4-year,53424,28478,28478,28478,28478,53424,18452,18452,43398,0.72,91,38996,35404,0.07,0.04,0.05,0.66,0.05,0.67,0.04,0.07,0.73,0.15,0.12,50019,43507,79,0.66,0.41,0.33,0.11,0,0.15,0.06,0.15,0.2,68205,MI,1,-84.476111,42.73212,Semester,550,670,650,550,16
2018,Michigan State University,86,130,241,458,60,130,0,0,0,171100,Public,4-year,54168,28862,28862,28862,28862,54168,18540,18540,43846,0.78,92,39423,35744,0.07,0.05,0.06,0.66,0.06,0.68,0.05,0.07,0.78,0.14,0.09,50351,43863,80,0.7,0.42,0.34,0.11,0,0.17,0.06,0.13,0.19,72908,MI,1,-84.476111,42.73212,Semester,550,660,650,560,16
2019,Michigan State University,35,102,111,475,71,102,0,0,0,171100,Public,4-year,54436,29130,29130,29130,29130,54436,18608,18608,43914,0.71,91,39176,35722,0.07,0.05,0.06,0.66,0.06,0.68,0.05,0.07,0.76,0.16,0.08,49809,43693,81,NA,NA,0.35,0.12,0,0.18,0.06,0.1,0.19,75619,NA,NA,-84.476111,42.73212,Semester,550,670,650,550,16
2014,Monmouth University,0,64,14,56,2,64,0,0,0,185572,Private not-for-profit,4-year,48376,48376,48376,45776,45776,45776,36933,36933,36933,0.74,84,4634,4370,0.05,0.09,0.03,0.74,0.03,0.76,0.1,0.05,0.82,0.18,0.01,6395,5064,67,0.99,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NJ,1,-74.006447,40.280066,Semester,490,580,560,470,14
2015,Monmouth University,3,65,12,32,1,65,0,0,0,185572,Private not-for-profit,4-year,50250,50250,50250,47111,47111,47111,38144,38144,38144,0.74,83,4693,4450,0.05,0.1,0.03,0.72,0.03,0.74,0.11,0.05,0.82,0.18,0.01,6394,5187,67,0.99,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NJ,1,-74.006447,40.280066,Semester,470,550,570,480,14
2016,Monmouth University,0,52,11,51,2,52,0,0,0,185572,Private not-for-profit,4-year,53110,53110,53110,49491,49491,49491,40524,40524,40524,0.77,79,4707,4490,0.06,0.11,0.04,0.7,0.03,0.72,0.12,0.05,0.84,0.16,0,6371,5186,70,0.99,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NJ,1,-74.006447,40.280066,Semester,470,570,550,460,13
2017,Monmouth University,5,43,7,30,1,43,0,0,0,185572,Private not-for-profit,4-year,54859,54859,54859,50375,50375,50375,41408,41408,41408,0.74,79,4706,4502,0.06,0.12,0.03,0.7,0.03,0.71,0.13,0.05,0.74,0.24,0.01,6340,5156,70,0.99,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NJ,1,-74.006447,40.280066,Semester,480,590,600,490,13
2018,Monmouth University,2,39,3,34,5,39,0,0.32054794520547947,0,185572,Private not-for-profit,4-year,56979,56979,56979,52448,52448,52448,43391,43391,43391,0.77,81,4630,4448,0.05,0.12,0.03,0.7,0.03,0.7,0.14,0.05,0.74,0.26,0.01,6167,5106,69,1,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NJ,1,-74.006447,40.280066,Semester,520,590,660,520,13
